input,output_raw,created_at
"Title: 달걀작가 림버스컴퍼니 싱클레어 돈키호테 피규어 개별가격
Category: 패션 액세서리 > 기타 액세서리 > 
Image: https://media.bunjang.co.kr/product/354385756_1_1763341412_w{res}.jpg","{""weight"":0.13,""volume"":[12,8,10]}",2025-11-21 09:31:07
"Title: 반다이 다마고치 메지루시 샤카샤카 키링
Category: 키덜트 > 피규어/인형 > 
Image: https://media.bunjang.co.kr/product/361579982_1_1760019048_w{res}.jpg","{""weight"":0.03,""volume"":[3,6,8]}",2025-11-21 09:31:02
"Title: B1A4 시즌그리팅 2016 2017
Category: 스타굿즈 > 보이그룹 > 포스터/화보 > 
Image: https://media.bunjang.co.kr/product/369844956_1_1763478039_w{res}.jpg","{""weight"":2.4,""volume"":[10,24,24]}",2025-11-21 09:31:00
"Title: 체인소맨 8주차 수영복 포스터 팝니다 레제
Category: 스타굿즈 > 방송/예능/캐릭터 > 포스터/화보 > 
Image: https://media.bunjang.co.kr/product/369863346_1_1763356623_w{res}.jpg","{""weight"":0.4,""volume"":[6,6,75]}",2025-11-21 09:30:51
"Title: a6 a7 a8 a9 데이바이데이 예산속지
Category: 생활/건강>문구/사무용품>다이어리/플래너>속지/포켓
Image: https://shop-phinf.pstatic.net/20241210_68/1733813720643Mp6JH_JPEG/58290940610569525_2011042962.jpg?type=m510","{""weight"":0.05,""volume"":[1,11,15]}",2025-11-21 09:30:43
"Title: 다이아 부츠컷 데님팬츠d.i.a오네갸루y2k데스라이즈큐빈티지샵오공이
Category: 여성의류 > 바지 > 데님/청바지 > 
Image: https://media.bunjang.co.kr/product/363322291_1_1760710911_w{res}.jpg","{""weight"":0.8,""volume"":[6,30,35]}",2025-11-21 09:30:42
"Title: B1A4 굿즈 일괄
Category: 스타굿즈 > 보이그룹 > 포스터/화보 > 
Image: https://media.bunjang.co.kr/product/370173193_1_1763470144_w{res}.jpg","{""weight"":0.5,""volume"":[4,23,32]}",2025-11-21 09:30:23
"Title: 달콤한 남자 11 한정판 (마우스패드 + 파우치 + 파노라마 엽서 포함)
Category: 도서/티켓/문구 > 도서 > 만화 > 
Image: https://media.bunjang.co.kr/product/368266049_1_1762693592_w{res}.jpg","{""weight"":0.7,""volume"":[5,21,26]}",2025-11-21 09:30:11
"Title: Nike Storm-Fit ADV Running Division Aerogami Running Jacket Black - Asia
Category: streetwear
Image: https://search.pstatic.net/sunny?src=https%3A%2F%2Fkream-phinf.pstatic.net%2FMjAyNTA3MzFfNzMg%2FMDAxNzUzOTEzMTcxOTE0.UJLEHg7YSf1qR1uspI1rD7CtmQvtjsI3kn17nKbYnF4g.0EHJrZr8uIvde02s2GVL-kXqQ4ereXsQBVoGxXZWaJUg.PNG%2Fa_8620124e9cb74ca3a91be4770a7532b4.png","{""weight"":0.4,""volume"":[6,26,32]}",2025-11-21 09:30:09
"Title: 2016 푸마 페라리 F1 레이싱 바람막이 집업 자켓
Category: 남성의류 > 아우터 > 자켓 > 
Image: https://media.bunjang.co.kr/product/364371613_1_1761130234_w{res}.jpg","{""weight"":0.5,""volume"":[7,28,35]}",2025-11-21 09:30:01
"Title: 다이브아웃 빈티지 y2k 갸루 퍼 벨트
Category: 패션 액세서리 > 벨트 > 여성 벨트 > 
Image: https://media.bunjang.co.kr/product/362166709_1_1760692838_w{res}.jpg","{""weight"":0.5,""volume"":[10,20,30]}",2025-11-21 09:29:53
"Title: 띠어리(Theory) 트렌치코트(P)
Category: 여성의류 > 아우터 > 코트 > 
Image: https://media.bunjang.co.kr/product/342964758_1_1762480381_w{res}.jpg","{""weight"":1.5,""volume"":[12,30,40]}",2025-11-21 09:29:46
"Title: 정가13만 이온음료컨셉향수 시티아포스트로피볼 XOXO 엑소 향수 오드퍼퓸
Category: 뷰티/미용 > 향수/아로마 > 남여공용 향수 > 
Image: https://media.bunjang.co.kr/product/362587434_1_1760420482_w{res}.jpg","{""weight"":0.35,""volume"":[4.5,7,15]}",2025-11-21 09:29:36
"Title: 노스페이스 노벨티 반다나 마운틴 자켓 M
Category: 남성의류 > 아우터 > 자켓 > 
Image: https://media.bunjang.co.kr/product/210285561_1_1672800541_w{res}.jpg","{""weight"":1.2,""volume"":[8,30,40]}",2025-11-21 09:29:26
"Title: 체인소맨 수영장 포스터 레제 수영 포스터 8주차 특전 영화관 수포
Category: 생활/건강>수집품>포스터
Image: https://shop-phinf.pstatic.net/20251114_272/1763111181175iy3nR_JPEG/26096034896467684_101202001.jpg?type=m510","{""weight"":0.25,""volume"":[8,8,55]}",2025-11-21 09:29:15
"Title: 코멘샬 풀xtr 최상급 티타늄 mtb 말도안되는 가격에 판매합니다
Category: 스포츠/레저 > 자전거 > MTB/산악 > 
Image: https://media.bunjang.co.kr/product/369131397_1_1763652579_w{res}.jpg","{""weight"":14,""volume"":[80,25,140]}",2025-11-21 09:28:58
"Title: 남성 일자핏 팬츠 (DO42MFPTO4)
Category: 남성 > 팬츠 > 캐주얼팬츠 > 남성 일자핏 팬츠 (DO42MFPTO4) > 
Image: https://images.kolonmall.com/Prod_Img/60007747/2023/LM1/K1753326594215015GY01_LM1.jpg","{""weight"":0.6,""volume"":[4,28,35]}",2025-11-21 09:28:31
"Title: 스파오 소프트 터틀넥 스웨터 (SPKAC4VM05-T)
Category: 브랜드 캐주얼의류 > 니트/가디건 > 가디건/집업/베스트
Image: https://gdimg.gmarket.co.kr/4590977763/still/600?ver=1763666909","{""weight"":0.6,""volume"":[5,25,35]}",2025-11-21 09:28:28
"Title: [담곰이] 스파오 겨울이왔담곰 풀오버 SPKWE4TU01
Category: 패션의류>남성의류>니트/스웨터
Image: https://shop-phinf.pstatic.net/20251017_13/1760681305562UaPuq_JPEG/66387853573568793_449742408.jpg?type=m510","{""weight"":0.55,""volume"":[4,28,35]}",2025-11-21 09:28:26
"Title: 화장대 수납장 거실가구
Category: 가구/인테리어 > 가구 > 선반/수납 가구 > 
Image: https://media.bunjang.co.kr/product/369501624_1_1763209519_w{res}.jpg","{""weight"":65,""volume"":[80,40,180]}",2025-11-21 09:28:09
"Title: 화장품이 가득한 미미 화장가방 어린이화장품 꽃 과일추출물
Category: 장난감/완구 > 역할놀이완구 > 기타역할놀이완구
Image: https://gdimg.gmarket.co.kr/2248339451/still/600?ver=1761750907","{""weight"":1.2,""volume"":[15,30,35]}",2025-11-21 09:27:42
