order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
2505301B01848F	d015354c-b128-4251-9514-8da36a6a2223	8ac176b3-af77-4177-8555-abba59448ebb	48795add-8df1-40e8-b94b-54d14cca09d5	(무배)세븐틴 thunder 썬더 공방포카 양도	（無倍)セブンティーンサンダーサンダー工房ポッカ譲渡	스타굿즈 > 보이그룹 > 팬시/포토카드 > 	Photographs	bungae					4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/48795add-8df1-40e8-b94b-54d14cca09d5.jpg	2	350000.0	35911.0	https://m.bunjang.co.kr/products/336204011	0.16	17.7x13.0x12.5	17.7	13.0	12.5	17.7	13.0	12.5	0.00287625	2876.25	2.87625	0.479	0.1	10.0	0.5	5.0	10.0	5.0	0.5	2.5e-05	25.0	0.025			-0.375	-0.9913081269013472	-0.4350282485875706	-0.6153846153846154	-0.96	-0.670137621324062	2025-06-03 15:20:25	2025-07-19 14:15:19.494	0-0.5kg
25052611C43D5F	2dea59e8-5ce8-4f5f-9b67-c589bc587a02	8845af00-28d5-4e64-ae06-8fe3bb49dd06	3457beb9-3fc3-46c8-8aa6-f423d6ded76e	DAY6 데이식스 포에버영 피날레 앙콘 입장포카 입장기프트 3일차 첫막	DAY6デイシックスフォーエバーヤングフィナーレアンコン入場ポカ入場ギフト3日目初幕	스타굿즈 > 보이그룹 > 팬시/포토카드 > 	Poster	bungae					4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/3457beb9-3fc3-46c8-8aa6-f423d6ded76e.jpg	1	23000.0	2360.0	https://m.bunjang.co.kr/products/333180507	0.225	23.0x19.0x8.0	23.0	19.0	8.0	23.0	19.0	8.0	0.003496	3496.0	3.496	0.583	0.1	10.0	0.5	5.0	10.0	5.0	0.5	2.5e-05	25.0	0.025			-0.5555555555555556	-0.9928489702517164	-0.5652173913043478	-0.7368421052631579	-0.9375	-0.7465198321891685	2025-06-03 13:57:57	2025-07-10 08:03:08.797	0-0.5kg
2505242E7051E1	fabddd93-aaf3-4786-a2b6-d6393f823937	4e064b15-9be8-4823-a82f-32167b9ba845	3e9a4e6b-3c20-44a0-86db-031edbe92ab6	미개봉&2set&무료배송//세븐틴 잠수교 한정 포카 양도	未開封&2セット&無料配送//セブンティーン潜水橋限定ポカ譲渡	스타굿즈 > 보이그룹 > 팬시/포토카드 > 	Photographs	bungae					4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/3e9a4e6b-3c20-44a0-86db-031edbe92ab6.jpg	1	80000.0	8209.0	https://m.bunjang.co.kr/products/335375596	0.125	18.5x15.3x7.3	18.5	15.3	7.3	18.5	15.3	7.3	0.002066265	2066.265	2.066265	0.344	0.1	10.0	0.5	5.0	10.0	5.0	0.5	2.5e-05	25.0	0.025			-0.1999999999999999	-0.9879008742828244	-0.4594594594594595	-0.673202614379085	-0.9315068493150684	-0.6880563077178709	2025-06-03 13:57:57	2025-07-15 14:00:22.947	0-0.5kg
2505280A00926C	d2acf371-61e3-4cd7-af67-48ab8b85c1a9	fef70692-7ee0-433e-9502-4d5eec736957	815b584f-462e-4362-9432-e38517d27aea	세븐틴 정한 스탬프 포카 양도 잠수교 썬더 공방	セブンティーン決済​​スタンプポカ譲渡ダイビングサンダー工房	스타굿즈 > 보이그룹 > 팬시/포토카드 > 	Photographs	bungae					4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/815b584f-462e-4362-9432-e38517d27aea.jpg	1	13000.0	1334.0	https://m.bunjang.co.kr/products/336175056	0.05	12.0x11.0x5.5	12.0	11.0	5.5	12.0	11.0	5.5	0.000726	726.0	0.726	0.121	0.1	10.0	0.5	5.0	10.0	5.0	0.5	2.5e-05	25.0	0.025			1.0	-0.9655647382920112	-0.1666666666666666	-0.5454545454545454	-0.9090909090909092	-0.5404040404040403	2025-06-03 13:57:57	2025-07-25 05:00:51.003	0-0.5kg
250529D2914849	a8566348-d33d-44cd-b226-faf423e055ca	2648086c-b7c3-4a65-9cba-580e009a9323	bd8ba26f-d6f5-493e-bf67-f4b64fff0f3f	사운드웨이브 시온.유우시 .사쿠야	サウンドウェーブシオン。ゆうし 。桜屋	스타굿즈 > 보이그룹 > 팬시/포토카드 > 	Photographs	bungae					4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/bd8ba26f-d6f5-493e-bf67-f4b64fff0f3f.jpg	1	75000.0	7696.0	https://m.bunjang.co.kr/products/336269392?ref=%EC%83%81%EC%A0%90%EC%A0%84%EC%B2%B4%EC%83%81%ED%92%88	0.05	12.0x11.0x5.5	12.0	11.0	5.5	12.0	11.0	5.5	0.000726	726.0	0.726	0.121	0.1	12.0	0.5	8.0	12.0	8.0	0.5	4.8e-05	48.0	0.048			1.0	-0.9338842975206612	0.0	-0.2727272727272727	-0.9090909090909092	-0.3939393939393938	2025-06-03 13:57:57	2025-07-25 08:00:38.090	0-0.5kg
250526531D1DFA	26d65a5f-3268-4f60-a508-56983aac5fe9	51336703-d3a9-4ef0-9abd-13f9a4a43740	0c0c6110-6d2d-449b-8f2d-4c01a82a1088	세븐틴 10주년 포카 미개봉	セブンティーン10周年ポカ未開封	스타굿즈 > 보이그룹 > 팬시/포토카드 > 	Photographs	bungae					4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/0c0c6110-6d2d-449b-8f2d-4c01a82a1088.jpg	1	65000.0	6670.0	https://m.bunjang.co.kr/products/335576302	0.11	21.0x13.0x7.0	21.0	13.0	7.0	21.0	13.0	7.0	0.001911	1911.0	1.911	0.319	0.05	10.0	0.1	5.0	10.0	5.0	0.1	5e-06	5.0	0.005			-0.5454545454545454	-0.9973835688121402	-0.5238095238095238	-0.6153846153846154	-0.9857142857142858	-0.7083028083028083	2025-06-03 13:57:57	2025-07-15 14:00:25.829	0-0.5kg
250524333152E2	a09bbd95-327c-4777-afb9-e3963d89d2f9	5c951343-f133-4cf3-b46a-5eaad0631e85	8512a6bb-5aee-4fd3-ba60-e0dbfddf04d0	SEVENTEEN 세븐틴 잠수교 스탬프 투어 포카	セブンティーンセブンティーンダイビングスタンプツアーポカ	스타굿즈 > 보이그룹 > 팬시/포토카드 > 	Stationery	bungae					9609909000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8512a6bb-5aee-4fd3-ba60-e0dbfddf04d0.jpg	2	100000.0	10261.0	https://m.bunjang.co.kr/products/335232198	0.11	20.0x13.0x7.0	20.0	13.0	7.0	20.0	13.0	7.0	0.00182	1820.0	1.82	0.303	0.05	12.0	0.2	8.0	12.0	8.0	0.2	1.9200000000000003e-05	19.200000000000003	0.0192			-0.5454545454545454	-0.9894505494505494	-0.4	-0.3846153846153846	-0.9714285714285714	-0.5853479853479854	2025-06-03 13:57:57	2025-07-25 08:00:32.709	0-0.5kg
2505263D17D493	dd033ee4-2ceb-49d4-99d6-97c295ab40f8	bb25cdef-dade-4128-b5a9-7fb279c4d6c4	bb85f3ee-6811-4fe7-967e-5ddf59b6a5bf	세븐틴 아타카 attaca 공방 포카	セブンティーンアタカアタカ工房ポカ	스타굿즈 > 보이그룹 > 팬시/포토카드 > 	Photographs	bungae					4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/bb85f3ee-6811-4fe7-967e-5ddf59b6a5bf.jpg	1	19999.0	2052.0	https://m.bunjang.co.kr/products/328249782	0.13	18.8x22.0x9.8	18.8	22.0	9.8	22.0	18.8	9.8	0.00405328	4053.28	4.05328	0.676	0.05	12.0	0.2	8.0	12.0	8.0	0.2	1.9200000000000003e-05	19.200000000000003	0.0192			-0.6153846153846154	-0.995263095567047	-0.4545454545454545	-0.574468085106383	-0.979591836734694	-0.6695351254621772	2025-06-03 13:57:57	2025-07-25 08:00:34.986	0-0.5kg
2505220649A0CC	572c7eab-b874-43da-9807-85b650e5c760	915a8165-3db9-41d2-9b8f-eeb8e0547c00	f5040e00-a556-410f-82cc-f23e3ab2baf4	올아워즈 포카	オールアワーズポカ	스타굿즈 > 보이그룹 > 팬시/포토카드 > 	Stationery	bungae					9609909000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/f5040e00-a556-410f-82cc-f23e3ab2baf4.jpg	8	5200.0	534.0	https://m.bunjang.co.kr/products/334641720	0.16	21.0x16.0x9.0	21.0	16.0	9.0	21.0	16.0	9.0	0.003024	3024.0	3.024	0.504	0.1	12.0	0.5	8.0	12.0	8.0	0.5	4.8e-05	48.0	0.048			-0.375	-0.984126984126984	-0.4285714285714285	-0.5	-0.9444444444444444	-0.6243386243386243	2025-06-03 13:57:57	2025-07-25 08:00:32.604	0-0.5kg
25052871E7A056	535deeff-e004-4a94-a498-2258bff53630	afe74a6b-b87e-4462-aba0-0c976209e111	4b8a4346-d815-4299-bcb8-38e01bad1753	투어스 신유 라스트벨 특전포카	ツアーズ新湯ラストベル特典ポカ	스타굿즈 > 보이그룹 > 팬시/포토카드 > 	Photographs	bungae					4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/4b8a4346-d815-4299-bcb8-38e01bad1753.jpg	2	5500.0	565.0	https://m.bunjang.co.kr/products/325808514	0.155	21.0x13.0x7.0	21.0	13.0	7.0	21.0	13.0	7.0	0.001911	1911.0	1.911	0.319	0.02	10.0	0.1	5.0	10.0	5.0	0.1	5e-06	5.0	0.005			-0.870967741935484	-0.9973835688121402	-0.5238095238095238	-0.6153846153846154	-0.9857142857142858	-0.7083028083028083	2025-06-03 13:57:57	2025-07-26 14:00:07.862	0-0.5kg
