order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
251029E1DC50BF	e145d455-3dc0-49d4-a2d8-5bf64a5d5078	71124182-aeaa-4f62-b0cc-540bc72d0ec4	535a54ba-fd18-4c49-8e91-433275914477	최강공룡 미니특공대 그레이트 렉스카이저 D9 공룡 합체 변신로봇 장난감	最強恐竜ミニコマンドーグレートレックスカイザー D9 恐竜複合変身ロボットおもちゃ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/535a54ba-fd18-4c49-8e91-433275914477.jpg	9	339500.0	36852.0	https://smartstore.naver.com/main/products/11927093178	7.87	69.5x50.0x50.5	69.5	50.0	50.5	69.5	50.5	50.0	0.1754875	175487.5	175.48749999999998	29.248	5.0	45.0	55.0	20.0	55.0	45.0	20.0	0.0495	49500.0	49.5			-0.3646759847522236	-0.7179286273951136	-0.2086330935251798	-0.1089108910891089	-0.6	-0.3058479948714296	2025-11-18 00:00:00	2025-11-22 08:00:15.013	5-10kg
2510246F2907EA	fcbe8537-e80f-417e-8e63-90955bf024b2	71124182-aeaa-4f62-b0cc-540bc72d0ec4	535a54ba-fd18-4c49-8e91-433275914477	최강공룡 미니특공대 그레이트 렉스카이저 D9 공룡 합체 변신로봇 장난감	最強恐竜ミニコマンドーグレートレックスカイザー D9 恐竜複合変身ロボットおもちゃ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/535a54ba-fd18-4c49-8e91-433275914477.jpg	9	339500.0	36852.0	https://smartstore.naver.com/main/products/11927093178	7.59	70.0x38.0x51.5	70.0	38.0	51.5	70.0	51.5	38.0	0.13699	136990.0	136.99	22.832	5.0	45.0	55.0	20.0	55.0	45.0	20.0	0.0495	49500.0	49.5			-0.3412384716732543	-0.638659756186583	-0.2142857142857142	-0.1262135922330097	-0.4736842105263157	-0.2713945056816799	2025-10-30 13:02:58	2025-11-02 08:00:36.874	5-10kg
25102516877FB1	0c3e9fa9-499d-4fe9-85e7-053f09401ce5	e47afbec-daaa-43ba-bb6a-c340f1b0bbda	8107b41d-1b70-42f2-bff0-fb73eaed82bf	최강공룡 미니특공대 다이노엠페러 공룡 합체변신로봇 프테라 티라노 트리케라 브라키오 장난감	最強恐竜ミニコマンドーディノエンペラーダイナソー複合変身ロボットプテラティラノトリケラブラキオおもちゃ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8107b41d-1b70-42f2-bff0-fb73eaed82bf.jpg	9	159000.0	17145.0	https://smartstore.naver.com/main/products/12546189806	6.905	65.5x30.0x56.0	65.5	30.0	56.0	65.5	56.0	30.0	0.11004	110040.0	110.04	18.34	4.0	35.0	50.0	25.0	50.0	35.0	25.0	0.04375	43750.0	43.75			-0.4207096307023896	-0.6024173027989822	-0.2366412213740458	-0.375	-0.1666666666666666	-0.2594359626802375	2025-10-30 13:02:58	2025-11-03 08:00:15.084	5-10kg
25102516FC8F04	7e2cc930-13ac-42f5-9d6e-a812231b95a5	e47afbec-daaa-43ba-bb6a-c340f1b0bbda	8107b41d-1b70-42f2-bff0-fb73eaed82bf	최강공룡 미니특공대 다이노엠페러 공룡 합체변신로봇 프테라 티라노 트리케라 브라키오 장난감	最強恐竜ミニコマンドーディノエンペラーダイナソー複合変身ロボットプテラティラノトリケラブラキオおもちゃ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8107b41d-1b70-42f2-bff0-fb73eaed82bf.jpg	9	159000.0	17145.0	https://smartstore.naver.com/main/products/12546189806	7.005	65.5x30.0x56.0	65.5	30.0	56.0	65.5	56.0	30.0	0.11004	110040.0	110.04	18.34	12.0	35.0	50.0	25.0	50.0	35.0	25.0	0.04375	43750.0	43.75			0.7130620985010707	-0.6024173027989822	-0.2366412213740458	-0.375	-0.1666666666666666	-0.2594359626802375	2025-10-30 13:02:58	2025-11-02 08:00:35.486	5-10kg
2510265ECBA21C	39cebee7-ff0d-4d08-95db-87288a4e45fb	71124182-aeaa-4f62-b0cc-540bc72d0ec4	535a54ba-fd18-4c49-8e91-433275914477	최강공룡 미니특공대 그레이트 렉스카이저 D9 공룡 합체 변신로봇 장난감	最強恐竜ミニコマンドーグレートレックスカイザー D9 恐竜複合変身ロボットおもちゃ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/535a54ba-fd18-4c49-8e91-433275914477.jpg	9	339500.0	36852.0	https://smartstore.naver.com/main/products/11927093178	7.645	70.0x50.0x50.0	70.0	50.0	50.0	70.0	50.0	50.0	0.175	175000.0	175.0	29.167	5.0	45.0	55.0	20.0	55.0	45.0	20.0	0.0495	49500.0	49.5			-0.3459777632439502	-0.7171428571428572	-0.2142857142857142	-0.1	-0.6	-0.3047619047619047	2025-10-30 13:02:58	2025-11-03 05:00:19.266	5-10kg
251024466D783B	f0bcc28a-0291-45a8-ae3e-6aa67f9ad189	ae0e9189-4175-4ecd-ab03-a5ae5494f69f	fa54d98d-f43d-479e-8659-17065e359200	최강공룡 미니특공대 다이노엠페러 5단합체 변신로봇	最強恐竜ミニコマンドーディノエンペラー 5パック変身ロボット	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/fa54d98d-f43d-479e-8659-17065e359200.jpg	8	159000.0	17145.0	https://smartstore.naver.com/main/products/12539211255	5.82	64.0x26.0x52.0	64.0	26.0	52.0	64.0	52.0	26.0	0.086528	86528.0	86.52799999999999	14.421	2.5	38.0	48.0	14.0	48.0	38.0	14.0	0.025536	25536.0	25.536			-0.570446735395189	-0.7048816568047337	-0.25	-0.2692307692307692	-0.4615384615384615	-0.3269230769230769	2025-10-29 12:55:17	2025-11-03 08:00:14.866	5-10kg
25102631425208	a9949459-856d-4b04-857d-4a78da19dcb4	ae0e9189-4175-4ecd-ab03-a5ae5494f69f	fa54d98d-f43d-479e-8659-17065e359200	최강공룡 미니특공대 다이노엠페러 5단합체 변신로봇	最強恐竜ミニコマンドーディノエンペラー 5パック変身ロボット	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/fa54d98d-f43d-479e-8659-17065e359200.jpg	8	159000.0	17145.0	https://smartstore.naver.com/main/products/12539211255	5.82	64.0x26.0x50.0	64.0	26.0	50.0	64.0	50.0	26.0	0.0832	83200.0	83.2	13.867	2.5	38.0	48.0	14.0	48.0	38.0	14.0	0.025536	25536.0	25.536			-0.570446735395189	-0.693076923076923	-0.25	-0.24	-0.4615384615384615	-0.3171794871794872	2025-10-29 12:55:17	2025-11-02 08:00:32.546	5-10kg
25102358FEE5EA	fe006d31-a00b-4f9e-b130-cff27d3f1554	9ac5ef6e-8240-4936-9ae2-d0c30c4dbe60	c40f68d4-6322-40a7-bffe-e7de9b0e8407	최강공룡 미니특공대 그레이트 렉스카이저 D9 썬더티라 버닝케라 마그킬로 프로즌타이거 버스터기가 스톰테라 타이달샤크 다이노엠페러 공룡 합체 변신로봇 장난감	最強恐竜ミニコマンドーグレートレックスカイザー D9 サンダーティラバーニングケラマギロフローズンタイガーバスタージジストームテラタイダルシャークディノエンペラーダイナソー複合変身ロボットおもちゃ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/c40f68d4-6322-40a7-bffe-e7de9b0e8407.jpg	9	329500.0	35767.0	https://smartstore.naver.com/main/products/12410372700	7.665	69.5x38.0x52.0	69.5	38.0	52.0	69.5	52.0	38.0	0.137332	137332.0	137.33200000000002	22.889	4.5	50.0	55.0	25.0	55.0	50.0	25.0	0.06875	68750.0	68.75			-0.4129158512720156	-0.4993883435761512	-0.2086330935251798	-0.0384615384615384	-0.3421052631578947	-0.1963999650482043	2025-10-27 12:54:34	2025-10-30 08:00:29.218	5-10kg
251016DE2D7A64	f5a1ac51-07f3-4971-b7c7-8694de9ffd4c	ae0e9189-4175-4ecd-ab03-a5ae5494f69f	c7f3349f-86d1-459e-b655-223eb8f17900	최강공룡 미니특공대 다이노 엠페러 5단합체 변신로봇	最強恐竜ミニコマンドーディノエンペラー 5パック変身ロボット	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/c7f3349f-86d1-459e-b655-223eb8f17900.jpg	8	159000.0	17145.0	https://smartstore.naver.com/main/products/12539211255	6.105	69.0x26.0x52.5	69.0	26.0	52.5	69.0	52.5	26.0	0.094185	94185.0	94.185	15.698	2.5	34.0	48.0	14.0	48.0	34.0	14.0	0.022848	22848.0	22.848			-0.5904995904995906	-0.7574136008918617	-0.3043478260869565	-0.3523809523809524	-0.4615384615384615	-0.3727557466687902	2025-10-21 10:55:49	2025-10-24 08:00:22.073	5-10kg
251014C172E9D3	252a9441-b791-4eb4-a08e-0aad765c8357	71124182-aeaa-4f62-b0cc-540bc72d0ec4	535a54ba-fd18-4c49-8e91-433275914477	최강공룡 미니특공대 그레이트 렉스카이저 D9 공룡 합체 변신로봇 장난감	最強恐竜ミニコマンドーグレートレックスカイザー D9 恐竜複合変身ロボットおもちゃ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/535a54ba-fd18-4c49-8e91-433275914477.jpg	9	339500.0	36852.0	https://smartstore.naver.com/main/products/11927093178	7.925	70.0x38.5x50.5	70.0	38.5	50.5	70.0	50.5	38.5	0.1360975	136097.5	136.0975	22.683	5.0	45.0	55.0	20.0	55.0	45.0	20.0	0.0495	49500.0	49.5			-0.3690851735015772	-0.6362901596282077	-0.2142857142857142	-0.1089108910891089	-0.4805194805194805	-0.2679053619647679	2025-10-20 12:55:23	2025-10-25 08:00:15.443	5-10kg
