order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
251125A8D2EA59	496c08de-2778-4d57-824a-39141aee7b87	ca531a32-947a-4375-8c3c-82a2c177a266	70bc277c-50c0-4da2-883e-a851d796e4ff	프린세스 캐치티니핑 프린세스 팩트 티니핑 프린세스팩트	プリンセス・キャッチ・プリンセス・ファクト・ティニッピング・プリンセス・パクト	장난감>인형>코디북	Toy	eleventh		![](https://ex-cdn.011st.com/products/8789212494/view-desc/proxy/src/http://leojc.cafe24.com/img/004.jpg)<br>![](https://ex-cdn.011st.com/products/8789212494/view-desc/proxy/src/http://leojc.cafe24.com/samg/Princess Facts.jpg)<br>![](https://ex-cdn.011st.com/products/8789212494/view-desc/proxy/src/http://leojc.cafe24.com/img/003.jpg)<br>			9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/70bc277c-50c0-4da2-883e-a851d796e4ff.webp	3	106000.0	11528.0	https://www.11st.co.kr/products/8789212494	0.9	40.0x10.0x25.0	40.0	10.0	25.0	40.0	25.0	10.0	0.01	10000.0	10.0	1.667	0.6	22.0	28.0	7.0	28.0	22.0	7.0	0.004312	4312.0	4.312			-0.3333333333333333	-0.5688	-0.3	-0.12	-0.3	-0.24	2025-11-28 00:00:00	2025-12-05 02:00:34.742	0.5-1kg
25112429810652	e5efae86-d131-47b7-a87d-61dcdd86b262	9ac5ef6e-8240-4936-9ae2-d0c30c4dbe60	1ef9dc8b-dc4f-403c-8174-2dffd46d3697	최강공룡 미니특공대 그레이트 렉스카이저 D9 썬더티라 버닝케라	最強恐竜ミニコマンドーグレートレックスカイザー D9 サンダーティラバーニングケラ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/1ef9dc8b-dc4f-403c-8174-2dffd46d3697.jpg	9	329500.0	35834.0	https://smartstore.naver.com/main/products/12410372700	7.605	70.0x37.0x50.5	70.0	37.0	50.5	70.0	50.5	37.0	0.130795	130795.0	130.795	21.799	4.5	50.0	55.0	25.0	55.0	50.0	25.0	0.06875	68750.0	68.75			-0.4082840236686391	-0.4743682862494743	-0.2142857142857142	-0.0099009900990099	-0.3243243243243243	-0.1828370095696828	2025-11-27 00:00:00	2025-12-05 08:15:12.960	5-10kg
251119AB7E5166	4ff8b066-21a4-4eea-8ab2-cad8f9024339	4633d6a2-1cd0-445a-a256-af02110d1e88	bcfd13a5-9af1-444a-ae83-f902657b5a96	프린세스 캐치티니핑 프린세스 팩트 티니핑 프린세스팩트	プリンセス・キャッチ・プリンセス・ファクト・ティニッピング・プリンセス・パクト	출산/육아>완구/인형>역할놀이/소꿉놀이>기타역할놀이/소꿉놀이	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/bcfd13a5-9af1-444a-ae83-f902657b5a96.jpg	3	96500.0	10653.0	https://smartstore.naver.com/main/products/12595521044	0.86	38.0x12.0x28.0	38.0	12.0	28.0	38.0	28.0	12.0	0.012768	12768.0	12.768	2.128	0.7	9.0	30.0	25.0	30.0	25.0	9.0	0.00675	6750.0	6.75			-0.186046511627907	-0.4713345864661654	-0.2105263157894736	-0.1071428571428571	-0.25	-0.1892230576441103	2025-11-24 00:00:00	2025-11-28 14:00:35.770	0.5-1kg
2511189AA4BA51	5cfa926f-ef92-4872-9153-c46fc7b6029e	6cd15cef-024c-4d80-a602-38f7b5279ed4	a2e8d4b8-33c3-4539-b71f-de63fd0646e2	최강공룡 미니특공대 렉스카이저 D9 풀셋팝니다	最強恐竜ミニコマンドーレックスカイザー D9フルセット発売	유아동/출산 > 교구/완구/인형 > 캐릭터완구/로봇 > 	Toy	bungae		"最強恐竜ミニコマンドーレックスカイザー D9フルセットが販売されています。箱がかさばるので、直販が優先です。

최강공룡 미니특공대 렉스카이저 D9 풀셋팝니다
박스부피가 커서
직거래 우선입니다"			9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/a2e8d4b8-33c3-4539-b71f-de63fd0646e2.jpg	1	300000.0	33118.0	https://m.bunjang.co.kr/products/369335814	6.925	55.5x40.0x40.5	55.5	40.0	40.5	55.5	40.5	40.0	0.08991	89910.0	89.91000000000001	14.985	14.4	14.0	45.0	35.0	45.0	35.0	14.0	0.02205	22050.0	22.05			1.0794223826714802	-0.7547547547547547	-0.1891891891891892	-0.1358024691358024	-0.65	-0.3249972194416639	2025-11-24 00:00:00	2025-11-27 14:00:43.924	5-10kg
251116530B6260	f488af23-ab88-417e-b467-fc8b7983e501	d44acebf-2dad-4c28-ad13-b1ce93c13f8f	30b66a3d-33f1-45b4-beec-1d8f67dcd737	메탈카드봇W 블루캅W 헤비아이언 팬텀호넷 타이건 전제품 풀세트 자동차 변신로봇 장난감	メタルカードボットWブルーコップWヘビーアイアンファントムホーネットティガン全製品フルセット車変身ロボットおもちゃ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/30b66a3d-33f1-45b4-beec-1d8f67dcd737.jpg	6	237600.0	26230.0	https://smartstore.naver.com/main/products/12645924261	7.05	70.0x37.0x50.5	70.0	37.0	50.5	70.0	50.5	37.0	0.130795	130795.0	130.795	21.799	6.5	30.0	50.0	35.0	50.0	35.0	30.0	0.0525	52500.0	52.5			-0.0780141843971631	-0.5986085094995987	-0.2857142857142857	-0.3069306930693069	-0.1891891891891892	-0.2606113893242606	2025-11-21 00:00:00	2025-11-25 14:00:22.972	5-10kg
251102F8ACC9EF	a4bb5552-d2a5-4f89-a576-38b8dd875b02	71124182-aeaa-4f62-b0cc-540bc72d0ec4	0b21e8fc-dd55-49fa-9e3b-9145becdd588	최강공룡 미니특공대 그레이트 렉스카이저 D9 공룡 합체 변신로봇 장난감	最強恐竜ミニコマンドーグレートレックスカイザー D9 恐竜複合変身ロボットおもちゃ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/0b21e8fc-dd55-49fa-9e3b-9145becdd588.jpg	9	339500.0	37479.0	https://smartstore.naver.com/main/products/11927093178	7.715	62.0x37.0x58.0	62.0	37.0	58.0	62.0	58.0	37.0	0.133052	133052.0	133.052	22.175	5.0	45.0	55.0	20.0	55.0	45.0	20.0	0.0495	49500.0	49.5			-0.3519118600129617	-0.627965006163004	-0.1129032258064516	-0.2241379310344827	-0.4594594594594595	-0.2655002054334646	2025-11-19 00:00:00	2025-11-26 14:00:13.195	5-10kg
251111EB34590F	dec2a0b5-26c6-4ddc-a610-2d4cff58ff79	1afaa972-5191-4014-abdc-a1d1b65c318d	865c3bf1-90f7-4b65-85a4-823d1cce9c95	최강공룡 미니특공대  그레이트 렉스카이저 D9 전제품 풀세트 공룡 변신 로봇 장난감	最強恐竜ミニコマンドーグレートレックスカイザー D9 全製品フルセット恐竜変身ロボットおもちゃ	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/865c3bf1-90f7-4b65-85a4-823d1cce9c95.jpg	7	369000.0	40735.0	https://smartstore.naver.com/main/products/11924152910	7.95	72.0x42.0x54.0	72.0	42.0	54.0	72.0	54.0	42.0	0.163296	163296.0	163.296	27.216	5.0	60.0	40.0	50.0	60.0	50.0	40.0	0.12	120000.0	120.0			-0.3710691823899371	-0.2651381540270429	-0.1666666666666666	-0.074074074074074	-0.0476190476190476	-0.0961199294532628	2025-11-18 00:00:00	2025-11-21 08:00:37.337	5-10kg
2511099C542582	5ff1e142-b2be-4a7e-a1df-99c4ab44d41b	00de4847-8b78-466d-a30f-9ce1e5e5edb5	5d0ab8a8-1e48-4a2e-bcc0-f0d9c70e3bb2	메가비스트 썬더가디언	メガビストサンダーガーディアン	생활/건강>수집품>모형/프라모델/피규어>피규어	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/5d0ab8a8-1e48-4a2e-bcc0-f0d9c70e3bb2.jpg	1	230000.0	25391.0	https://smartstore.naver.com/main/products/9613397403	4.495	49.0x26.0x44.0	49.0	26.0	44.0	49.0	44.0	26.0	0.056056	56056.0	56.056	9.343	2.0	30.0	40.0	12.0	40.0	30.0	12.0	0.0144	14400.0	14.4			-0.5550611790878754	-0.7431140288283146	-0.1836734693877551	-0.3181818181818182	-0.5384615384615384	-0.3467722753437039	2025-11-14 00:00:00	2025-11-21 14:00:21.870	2-5kg
251029CB2EA937	fbbdfcd7-e82e-4b7c-85cc-c624223869f8	0e94c280-498d-48c0-bdac-8a2c14875df7	eeeb2192-9198-4242-abea-f6badbd2bd68	최강공룡 미니특공대 다이노엠페러	最強恐竜ミニコマンドーディノエンペラー	출산/육아>완구/인형>작동완구>로봇	Toy	naver					9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/eeeb2192-9198-4242-abea-f6badbd2bd68.jpg	1	153400.0	16542.0	https://smartstore.naver.com/main/products/12554276243	6.945	69.0x24.0x60.0	69.0	24.0	60.0	69.0	60.0	24.0	0.09936	99360.0	99.36	16.56	8.0	50.0	59.0	20.0	59.0	50.0	20.0	0.059	59000.0	59.0			0.1519078473722101	-0.4061996779388084	-0.144927536231884	-0.1666666666666666	-0.1666666666666666	-0.1594202898550724	2025-11-03 00:00:00	2025-11-06 14:00:16.662	5-10kg
25102296E849D3	f4ec2b69-8721-4305-b403-c1299639bfa0	7a2e673d-4499-4c07-adc1-b74507c5c8ef	52819b1d-484a-453d-b0e5-a0c5ac06917f	[대형 제품] 터닝메카드 갓 타나토스 매그넘 (블루랜드)	[大型製品] ターニング・メカード神タナトス・マグナム (ブルーランド)	키덜트 > 피규어/인형 > 	Toy	bungae		"開封したタナトスマグナムを売ります。 ベーシックリング4個とシークレットリング1個入り。 コンポーネントの中にカードはありません。。 属性はブルーランドです。。 価格は29ドルです。、000 ウォン (手数料 1、800 ウォンが追加されました) + 配送料は別途請求されます!

타나토스 매그넘 개봉품 판매합니다.

기본 링 4개 및 시크링 1개 포함 입니다.

구성품 중 카드는 없습이다.

속성은 블루랜드 입니다.

가격은 29,000원 (수수료 1,800원 추가)

+ 택배비 별도 받습니다!"			9503003919	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/52819b1d-484a-453d-b0e5-a0c5ac06917f.jpg	1	29000.0	3128.0	https://m.bunjang.co.kr/products/361096850	1.035	38.0x20.0x27.0	38.0	20.0	27.0	38.0	27.0	20.0	0.02052	20520.0	20.52	3.42	1.1	28.0	35.0	12.0	35.0	28.0	12.0	0.01176	11760.0	11.76			0.0628019323671499	-0.4269005847953216	-0.0789473684210526	0.037037037037037	-0.4	-0.1473034437946718	2025-10-31 13:03:04	2025-11-06 05:00:22.843	1-2kg
