order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
25112066ABABEF	f853cde9-51cf-4963-97cc-2deda40287af	a93f4a27-7329-42d9-bf1d-13f3d206e5ef	2b853fe4-5313-4996-9b79-7a5c054293e1	아이들 전시회 7주년 MD 미개봉 세트 맥세이프 카드지갑	キッズエキシビション 7周年記念 MD 未開封セット McSafe カードホルダー	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	Leather wallet	bungae		"こども展7周年記念 MD限定版料金抜き 7.5

아이들 전시회 7주년 MD 한정판
수수료제외 7.5"	PU Leather		4202311090	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/2b853fe4-5313-4996-9b79-7a5c054293e1.jpg	1	72800.0	7918.0	https://m.bunjang.co.kr/products/363895119	0.25	17.5x10.0x17.0	17.5	10.0	17.0	17.5	17.0	10.0	0.002975	2975.0	2.975	0.496	0.35	12.0	18.0	3.0	18.0	12.0	3.0	0.000648	648.0	0.648			0.3999999999999999	-0.7821848739495798	0.0285714285714285	-0.2941176470588235	-0.7	-0.3218487394957983	2025-11-27 00:00:00	2025-12-05 05:00:12.674	0-0.5kg
2505240504900E	b5aec870-fc1c-4b30-b69c-c69548e11172	9ac6954f-888b-4a07-bf19-96257973dd80	17947049-d2bf-4ba8-a834-6e9d1f4cc074	나이브 레이 레벨하트 엠파시 공방 포카	ナイブレイレベルハートエンパシー工房ポカ	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	Stationery	bungae					9609909000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/17947049-d2bf-4ba8-a834-6e9d1f4cc074.jpg	1	58030.0	5955.0	https://m.bunjang.co.kr/products/333482951	0.095	17.4x12.9x12.4	17.4	12.9	12.4	17.4	12.9	12.4	0.0027833039999999	2783.3039999999996	2.7833039999999993	0.464	0.1	10.0	0.5	5.0	10.0	5.0	0.5	2.5e-05	25.0	0.025			0.0526315789473684	-0.9910178694098812	-0.425287356321839	-0.6124031007751938	-0.9596774193548387	-0.6657892921506239	2025-06-03 15:20:25	2025-07-17 14:00:11.599	0-0.5kg
250518FA9C005B	bf417b96-f13f-4ece-bb7c-ed792393f265	4f748641-dd84-47ff-8905-5b1a672f8dd1	1aa7ca4d-21a5-4000-967d-dbc2cf423299	가격내림) 유니스 swicy 미공포 앨범 포카 판매 메이크스타	値下げ) ユニススウィーシーミホラーアルバムポカセールメイクスター	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	Stationery	bungae					9609909000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/1aa7ca4d-21a5-4000-967d-dbc2cf423299.jpg	1	17000.0	1745.0	https://m.bunjang.co.kr/products/329135671	0.1	20.0x10.0x10.0	20.0	10.0	10.0	20.0	10.0	10.0	0.002	2000.0	2.0	0.333	0.1	12.0	0.5	8.0	12.0	8.0	0.5	4.8e-05	48.0	0.048			0.0	-0.976	-0.4	-0.2	-0.95	-0.5166666666666667	2025-06-03 13:57:57	2025-07-10 02:15:15.244	0-0.5kg
250525B90423E9	4871fc42-e0aa-4b1d-93ca-bc0c6285d31a	00e9a987-151b-4d13-93c2-61e841da8d6d	35865ace-e4ad-4b20-8667-56bdc596c57a	케플러 Kep1er 서영은 낙서 싸인 폴라로이드	Kepler Kep1erソヨンは落書きサインポラロイド	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	Photographs	bungae		"最近のイベントで状態はとても良いです

최근 이벤트며 상태 매우 좋습니다"			4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/35865ace-e4ad-4b20-8667-56bdc596c57a.jpg	1	100000.0	10261.0	https://m.bunjang.co.kr/products/322111218	0.14	21.5x14.0x10.0	21.5	14.0	10.0	21.5	14.0	10.0	0.00301	3010.0	3.01	0.502	0.1	10.0	0.5	5.0	10.0	5.0	0.5	2.5e-05	25.0	0.025			-0.2857142857142857	-0.9916943521594684	-0.5348837209302325	-0.6428571428571429	-0.95	-0.7092469545957917	2025-05-30 17:27:29	2025-06-04 08:01:46.637	0-0.5kg
25051165508199	83cafaed-59de-4d96-b811-cb9c4b26e123	54886b28-6921-400b-be44-30d74cdf941a	1b067853-4b8d-4537-be9d-5423c46e4185	르세라핌 이즈위 2차 영통 포카 양도	ルセラフィム イズウィ 二次領通 ポカ譲渡	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	Photographs	bungae		"ルセラフィム イズウィ 1set 9。0 個別 3。0 一戸建て可能です 現物

르세라핌 이즈위 
1set 9.0
개별 3.0
일택 끼택 가능합니다

현물"			4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/1b067853-4b8d-4537-be9d-5423c46e4185.jpg	1	90000.0	9235.0	https://m.bunjang.co.kr/products/261922250	0.135	19.5x15.0x10.0	19.5	15.0	10.0	19.5	15.0	10.0	0.002925	2925.0	2.9250000000000003	0.488	0.1	10.0	0.5	5.0	10.0	5.0	0.5	2.5e-05	25.0	0.025			-0.2592592592592592	-0.9914529914529916	-0.4871794871794871	-0.6666666666666666	-0.95	-0.7012820512820511	2025-05-30 10:30:27	2025-06-05 14:03:06.212	0-0.5kg
2505118580AE12	c1d18552-163a-493e-b159-44c5bdc4fb7e	9ab01d70-6b39-453c-9ebe-7ac588d28d8e	8c417a60-6524-4217-9fe6-cfd96fadd91c	르세라핌 CRAZY 아이돌스테이지 미공포 세트 양도	ルセラフィム CRAZY アイドルステージ 未恐怖セット譲渡	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	Photographs	bungae		"ポカ1セット10です一宅着替え可能

포카 1세트 10입니다
일택 끼택 반택 가능"			4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8c417a60-6524-4217-9fe6-cfd96fadd91c.jpg	1	100000.0	10261.0	https://m.bunjang.co.kr/products/296511188	0.1	18.5x14.5x8.5	18.5	14.5	8.5	18.5	14.5	8.5	0.002280125	2280.125	2.280125	0.38	0.2	7.0	1.0	10.0	10.0	7.0	1.0	7e-05	70.0	0.07			1.0	-0.9692999287319776	-0.4594594594594595	-0.5172413793103449	-0.8823529411764706	-0.619684593315425	2025-05-30 10:30:27	2025-06-07 14:07:18.425	0-0.5kg
25052073D06C0B	9b12427e-60d4-4421-8caf-3bd979b14794	f0bf3f0f-84c5-4afe-8e1f-7dd040f2d821	4f5c90e1-d9c3-4dfc-95f4-a1122086e798	니쥬 영통 1회차 미공포 판매합니다	ニジュヨントン1回目未恐怖販売します	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	Photographs	bungae		"ニジュ MMT ヨントン パンサ 未恐怖 販売します セット 6。5メンバーの個人購入はチャットしてください

니쥬 MMT 영통팬싸 미공포 판매합니다
세트 6.5
맴버 개인구매는 채팅 주세요"			4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/4f5c90e1-d9c3-4dfc-95f4-a1122086e798.jpg	1	65000.0	6670.0	https://m.bunjang.co.kr/products/334166300	0.055	14.0x10.0x5.0	14.0	10.0	5.0	14.0	10.0	5.0	0.0007	700.0	0.7	0.117	0.1	10.0	0.5	5.0	10.0	5.0	0.5	2.5e-05	25.0	0.025			0.8181818181818182	-0.9642857142857144	-0.2857142857142857	-0.5	-0.9	-0.5619047619047619	2025-05-30 10:30:27	2025-06-02 08:01:25.237	0-0.5kg
250523EFBEC925	12ce8071-39b5-454a-b2b2-3ce2317a1809	bfa6a646-d775-450e-a41e-a487927765cc	0249be7f-e0e6-49d9-a608-adc04f8189a4	세이마이네임 어레이즈 특전 양도	セイマイネームアレイズ特典譲渡	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	Photographs	bungae		"セットで譲渡クールマクロアルバムポカをお届けします。

세트로 양도

쿨거시 앨범포카 챙겨드려요"			4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/0249be7f-e0e6-49d9-a608-adc04f8189a4.jpg	2	16000.0	1642.0	https://m.bunjang.co.kr/products/334973857	0.09	15.5x14.0x6.0	15.5	14.0	6.0	15.5	14.0	6.0	0.001302	1302.0	1.302	0.217	0.1	10.0	0.5	5.0	10.0	5.0	0.5	2.5e-05	25.0	0.025			0.1111111111111112	-0.9807987711213516	-0.3548387096774194	-0.6428571428571429	-0.9166666666666666	-0.6381208397337429	2025-05-29 14:06:06	2025-06-01 05:01:52.292	0-0.5kg
250525E61642BA	b3b607ea-efd1-47a3-90f7-d4a823e084b9	8aceab9b-5642-4ec8-9cdd-42c2a3467d9e	e68a5ba5-b05b-4b0e-bf63-00084dccef83	아이브 공방 포카 레이 판매	アイブ工房ポカレイ販売	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	Photographs	bungae		"レイ工房ポッカ販売！ しよう❌ 交換❌ 予約しない。 すぐに安全にお支払いください:) おまけの爆弾でお願いします
💛


레이 공방포카 판매합니다!
하자❌ 교환❌
예약 안받습니다. 바로 안전결제 해주세요:)
덤 폭탄으로 드려요💛"			4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/e68a5ba5-b05b-4b0e-bf63-00084dccef83.jpg	1	54000.0	5541.0	https://m.bunjang.co.kr/products/335447721	0.315	19.5x12.0x8.0	19.5	12.0	8.0	19.5	12.0	8.0	0.001872	1872.0	1.872	0.312	0.1	12.0	0.5	8.0	12.0	8.0	0.5	4.8e-05	48.0	0.048			-0.6825396825396826	-0.9743589743589745	-0.3846153846153846	-0.3333333333333333	-0.9375	-0.5518162393162394	2025-05-29 14:06:06	2025-06-01 05:01:52.290	0-0.5kg
250515FC162389	bac3138e-44c2-4833-a7bb-f35f0f01db41	d31cd581-f4d8-457d-9cda-f4404438e6c6	4cbbf945-93bb-4072-8652-0e8049a80fee	케플러 포카 일괄판매	ケプラーポカ一括販売	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	Photographs	bungae		"公開アルバム40枚、フォトカード（主にキム・ダヨン)100枚以上、 メッセージカード、はがき、2024カレンダーなどとてもたくさんあります安く10万ウォンになります！

개봉앨범 40장,포토카드(주로 김다연)100장 이상, 메세지카드,엽서,2024달력 등등 엄청 많습니다
싸게 10만원에 드려요!"			4911919000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/4cbbf945-93bb-4072-8652-0e8049a80fee.jpg	6	100000.0	10261.0	https://m.bunjang.co.kr/products/311297082	16.225	54.0x43.0x36.5	54.0	43.0	36.5	54.0	43.0	36.5	0.084753	84753.0	84.753	14.126	0.1	15.0	0.5	5.0	15.0	5.0	0.5	3.75e-05	37.5	0.0375			-0.9938366718027736	-0.9995575377862732	-0.7222222222222222	-0.8837209302325582	-0.9863013698630136	-0.8640815074392646	2025-05-29 14:06:06	2025-06-03 05:02:23.536	10kg+
