order_id,item_id,product_id,product_version_id,title_origin,title_target,category,custom_category,site_name,product_details,product_info_details,materials,clothing_materials,hscode,thumbnail_urls,thumbnail_count,price_origin,price_krw,product_url,actual_weight,actual_dimensions,actual_d1,actual_d2,actual_d3,actual_max,actual_mid,actual_min,actual_volume_m3,actual_volume_cm3,actual_volume_L,volumetric_weight,ai_weight_kg,ai_width_cm,ai_depth_cm,ai_height_cm,ai_max,ai_mid,ai_min,ai_volume_m3,ai_volume_cm3,ai_volume_L,ai_volume_str,ai_packed_volume_str,weight_error,volume_error,max_error,mid_error,min_error,avg_dim_error,shipping_date,order_created_at,weight_range,combined_error,dim_twist
251105FFA807B1,794243ae-6562-4cdd-8879-51940e7d0bc0,d269796e-6990-4107-946f-cdf63df0bdf8,c43b8b86-3a10-4beb-96eb-b79bb7d2eb8a,피스마이너스원 스티커 캐리어대형스티커 피마원2장,ピースマイナーズステッカー1枚、キャリア、ラージステッカー、ピマワン、2シート,홈 > 대형스티커 > ,Sticker,unknown,,"신고해주신 내용은 쇼핑몰 운영자의 검토 후 내부 운영 정책에 의해 처리가 진행됩니다.
배송 방법 : 택배
배송 지역 : 전국지역
배송 비용 : 3,000원
배송 기간 : 2일 ~ 3일
배송 안내 : 배송 안내
배송은 믿을 수 있는 우체국택배로 보내드리고 있습니다.택배사 물량에 따라 1~5일 정도 소요될 수 있습니다.
배송 출고에 대한 문의사항은 못난이상점 고객센터로 연락 주시거나 네이버 톡톡 또는 Q&A 남겨주시면 보다 신속하게 답변드리겠습니다.
상품명: 피스마이너스원 스티커 캐리어대형스티커 피마원2장
상품요약정보: 프리미엄 리무버블 스티커
판매가: 11,800원
국내·해외배송: 국내배송
배송방법: 택배
배송비: 3,000원 (30,000원 이상 구매 시 무료)
구매방법: 정기배송 할인 1회구매
배송 방법: 택배
배송 지역: 전국지역
배송 비용: 3,000원
배송 기간: 2일 ~ 3일
배송 안내: 배송 안내
결제 시: 할인
개월 / 월: 원
",,,4821100000,https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/c43b8b86-3a10-4beb-96eb-b79bb7d2eb8a.jpg,1,11800.0,1303.0,https://monnani.store/product/detail.html?product_no=383&cate_no=45&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open,0.145,17.0x12.0x13.0,17.0,12.0,13.0,17.0,13.0,12.0,0.002652,2652.0,2.6519999999999997,0.442,0.6,45.0,65.0,1.0,65.0,45.0,1.0,0.002925,2925.0,2.925,,,3.1379310344827585,0.1029411764705882,2.823529411764706,2.4615384615384617,-0.9166666666666666,1.4561337355455004,2025-11-10 00:00:00,2025-11-14 05:00:49.510,0-0.5kg,1.6204361054766734,twisted
251019D6743AEA,49c30af4-df11-44c2-9efb-d20d16d3d46c,31095e5b-2655-473e-a541-167aca919af9,9c1c5a2b-b149-4718-b41a-70d7cd8b1d7c,코지스토리 저상형범퍼침대 기본세트 하우스제외 / 코지XL(기본범퍼+매트리스),コージーストーリーローライズバンパーベッドベーシックセットハウスなし / コージー XL(ベーシックバンパー+マットレス),출산/육아>유아가구>유아침대,mattress,naver,,,,,9404290000,https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/9c1c5a2b-b149-4718-b41a-70d7cd8b1d7c.png,7,489000.0,53081.0,https://smartstore.naver.com/main/products/12020873715,16.9,186.0x50.0x52.0,186.0,50.0,52.0,186.0,52.0,50.0,0.4836,483600.0,483.6,80.6,20.0,95.0,150.0,25.0,150.0,95.0,25.0,0.35625,356250.0,356.25,,,0.183431952662722,-0.2633374689826303,-0.1935483870967742,0.8269230769230769,-0.5,0.0444582299421008,2025-10-31 13:03:04,2025-11-20 11:00:15.125,10kg+,0.22338471082267614,twisted
251003FD3724BD,c8490c67-ad22-499a-b221-0689d10814af,f423ec8f-0492-4d9f-a3b6-e6c29fa0a033,3e3c32b3-74d6-45d3-bdeb-c31b3741c4be,일리네어 레코즈 - 11:11 (디럭스에디션) - 미개봉,イリノイ・レコード - 11:11 (デラックスエディション) - 未開拓の,음반/악기 > CD/DVD/LP > ,Watch,bungae,,"イリノイ・レコード - 11:11 (デラックスエディション) - 未開拓の

일리네어 레코즈 - 11:11 (디럭스에디션) - 미개봉",,,9114900000,https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/3e3c32b3-74d6-45d3-bdeb-c31b3741c4be.jpg,1,100000.0,10783.0,https://m.bunjang.co.kr/products/326061796,0.255,22.0x9.0x19.0,22.0,9.0,19.0,22.0,19.0,9.0,0.003762,3762.0,3.762,0.627,1.2,31.0,31.0,3.0,31.0,31.0,3.0,0.002883,2883.0,2.883,,,3.705882352941176,-0.233652312599681,0.4090909090909091,0.631578947368421,-0.6666666666666666,0.1246677299308878,2025-10-14 10:37:03,2025-10-18 08:00:14.861,0-0.5kg,1.9697673327704286,twisted
25092961562723,d5ea62b7-842a-429c-99c3-75477d54f34e,d230b350-0e73-4b15-980f-8cad2032c65a,e00488d1-a307-4bda-ab06-2384fa0aa1ac,[원가이하 반값딜/품절임박] 편안존 5단 접이식매트리스 소파베드 9cm S D,[半額取引/まもなく完売予定] コンフォートゾーン 5段折りたたみマットレスソファベッド 9cm S D,홈 > 모든가구 > 접이식매트리스 > 접이식매트리스 > ,mattress,unknown,,"신고해주신 내용은 쇼핑몰 운영자의 검토 후 내부 운영 정책에 의해 처리가 진행됩니다.
배송 방법 : 택배
배송 지역 : 전국(도서산간제외)
배송 비용 : 5,000원
배송 기간 : 5일 ~ 15일
배송 안내 : - 산간벽지나 도서지방은 배송불가 또는 별도의 추가금액을 지불하셔야 하는 경우가 있습니다.
고객님께서 주문하신 제품은 입금 확인후 배송해 드립니다. 다만, 제품종류에 따라서 상품의 배송이 다소 지연될 수 있습니다.
상품명: [원가이하 반값딜/품절임박] 편안존 5단 접이식매트리스 소파베드 9cm S D
소비자가: 96,000원
판매가: 59,900원
상품요약정보: 소비자만족지수 1위 서광퍼니처
배송비: 1개 주문시 5,000원
배송 방법: 택배
배송 지역: 전국(도서산간제외)
배송 비용: 5,000원
배송 기간: 5일 ~ 15일
결제 시: 할인
배송 안내: - 산간벽지나 도서지방은 배송불가 또는 별도의 추가금액을 지불하셔야 하는 경우가 있습니다.
",,,9404290000,https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/e00488d1-a307-4bda-ab06-2384fa0aa1ac.jpg,1,59900.0,6502.0,https://sukwangmall.co.kr/product/%EC%9B%90%EA%B0%80%EC%9D%B4%ED%95%98-%EB%B0%98%EA%B0%92%EB%94%9C%ED%92%88%EC%A0%88%EC%9E%84%EB%B0%95-%ED%8E%B8%EC%95%88%EC%A1%B4-5%EB%8B%A8-%EC%A0%91%EC%9D%B4%EC%8B%9D%EB%A7%A4%ED%8A%B8%EB%A6%AC%EC%8A%A4-%EC%86%8C%ED%8C%8C%EB%B2%A0%EB%93%9C-9cm-s-d/209/,5.27,69.5x18.5x53.5,69.5,18.5,53.5,69.5,53.5,18.5,0.068787625,68787.625,68.787625,11.465,7.0,40.0,95.0,45.0,95.0,45.0,40.0,0.171,171000.0,171.0,,,0.3282732447817837,1.4859122552930124,0.3669064748201439,-0.1588785046728972,1.162162162162162,0.4567300441031363,2025-10-14 10:37:03,2025-10-17 14:00:20.707,5-10kg,0.9070927500373981,twisted
2508039DDEF28D,403ae931-1d7d-4a09-9f9f-353c3adc279c,d261c7d4-402f-4289-b2ae-1b3ccf0c9b75,5322459d-a246-42fc-a19d-fbbe53bb12e3,노르디스크 아스가르드 12.6 그라운드시트 146017,ノルディスク アスガルド 12。6グラウンドシート146017,스포츠 잡화>스포츠 액세서리 기타>액세서리 기타,Tent for camping,eleventh,,![undefined](https://image.cjonstyle.com/event_prd/2018/09/images/11st_top_banner.jpg)<br>![undefined](https://daom2017.speedgabia.com/daom/intro(3).jpg)<br>![undefined](https://daom2017.speedgabia.com/daom/146017.jpg)<br>![undefined](https://gi.esmplus.com/daom2017/outro.jpg)<br>![undefined](https://image.cjonstyle.com/event_prd/2018/09/images/11st_bot_banner.jpg)<br>,,,6306220000,https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/5322459d-a246-42fc-a19d-fbbe53bb12e3.jpg,1,252210.0,27868.0,https://www.11st.co.kr/products/6572769686,9.775,100.0x20.0x20.0,100.0,20.0,20.0,100.0,20.0,20.0,0.04,40000.0,40.0,6.667,0.8,150.0,1.0,150.0,150.0,150.0,1.0,0.0225,22500.0,22.5,,,-0.918158567774936,-0.4375,0.5,6.5,-0.95,2.0166666666666666,2025-08-07 10:21:06,2025-08-09 14:00:12.196,5-10kg,0.677829283887468,twisted
2508047C5063EE,9b828a7f-3b8e-466e-b579-5a6b8ca55926,a9e98865-70f0-4551-b48d-e929a7ecb475,c7fb986d-c974-4fce-bb59-7684a2bfb59e,"Flower garden, landscape rug",Flower garden、 landscape rug,,Other,unknown,,"고객님이 현금결제한 금액에 대해 우리은행과 채무지급보증 계약을 체결하여 안전거래를 보장하고 있습니다. 서비스가입사실확인

오늘의집 서비스 운영
2024. 09. 08 ~ 2027. 09. 07

(주)버킷플레이스는 통신판매중개자로 거래 당사자가 아니므로, 판매자가 등록한 상품정보 및 거래 등에 대해 책임을 지지 않습니다. 단, (주)버킷플레이스가 판매자로 등록 판매한 상품은 판매자로서 책임을 부담합니다.

Copyright 2014. bucketplace, Co., Ltd. All rights reserved.
",polyester,,5705000000,https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/c7fb986d-c974-4fce-bb59-7684a2bfb59e.png,1,75000.0,8288.0,https://ohou.se/productions/3209257/selling,5.81,178.0x20.0x20.0,178.0,20.0,20.0,178.0,20.0,20.0,0.0712,71200.0,71.2,11.867,2.5,210.0,5.0,140.0,210.0,140.0,5.0,0.147,147000.0,147.0,,,-0.5697074010327022,1.0646067415730338,0.1797752808988764,6.0,-0.75,1.809925093632959,2025-08-07 10:21:06,2025-08-09 05:00:25.186,5-10kg,0.817157071302868,twisted
250524367746B5,8b0a6b15-5eec-4439-8b95-23a0d5ddf6a0,c3a64f71-da7c-458d-b194-3b83abfb6217,aa78f47a-da6e-4db5-b9cb-75e605ece166,결제창,決済ウィンドウ,스타굿즈 > 보이그룹 > 포스터/화보 > ,Poster,bungae,,,Cotton,,4911919000,https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/aa78f47a-da6e-4db5-b9cb-75e605ece166.jpg,1,133000.0,13647.0,https://m.bunjang.co.kr/products/335216612?ref=%EC%83%81%EC%A0%90%EC%A0%84%EC%B2%B4%EC%83%81%ED%92%88,0.29,33.0x25.3x8.1,33.0,25.3,8.1,33.0,25.3,8.1,0.00676269,6762.69,6.76269,1.127,0.2,63.0,0.1,42.0,63.0,42.0,0.1,0.0002646,264.6,0.2646,,,-0.3103448275862068,-0.9608735577115024,0.9090909090909092,0.6600790513833992,-0.9876543209876544,0.1938385464955512,2025-06-03 13:57:57,2025-07-10 02:15:34.537,0-0.5kg,0.6356091926488546,twisted
2505282056B78B,df6dbeb5-b3c3-4d84-99c4-acbbb19e4a2c,7e11c3b7-9ac3-4cbd-bcda-a8838048e54e,6a10be95-8429-4507-bea0-e62f9dda0e83,[대원미디어] 러시듀얼 플레이매트 몽중의 실빅스,[デウォンメディア] ラッシュデュアルプレイマット夢中のシルビックス,출산/육아>완구/인형>캐릭터카드/딱지,Foot mat,naver,,,,,5705000000,https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/6a10be95-8429-4507-bea0-e62f9dda0e83.jpg,1,85000.0,8722.0,https://smartstore.naver.com/main/products/11807394010,0.825,31.7x42.1x9.8,31.7,42.1,9.8,42.1,31.7,9.8,0.013078786,13078.786,13.078786,2.18,1.5,70.0,1.0,70.0,70.0,70.0,1.0,0.0049,4900.0,4.9,,,0.8181818181818182,-0.6253474902028369,0.66270783847981,1.2082018927444795,-0.8979591836734694,0.3243168491836067,2025-06-03 13:57:57,2025-07-20 05:00:20.928,0.5-1kg,0.7217646541923275,twisted
25041637D87A9C,ca026030-30cc-4b2c-9b18-ea8c2240f31d,f0b75234-276f-4ddb-af20-1034b07f0ce0,87a6c3ed-e1a3-4d79-82fa-511cc4baf850,"(재오픈, 배송추후안내) [이디야x데못죽] 아크릴 세트",（再オープン、 配送後の案内) [イディヤxデモット] アクリルセット,생활/건강>수집품>모형/프라모델/피규어>피규어,Acrylic,naver,,,,,5509311000,https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/87a6c3ed-e1a3-4d79-82fa-511cc4baf850.jpg,3,38900.0,4107.0,https://m.smartstore.naver.com/ediyacoffee/products/11720717875,1.09,36.8x31.8x4.6,36.8,31.8,4.6,36.8,31.8,4.6,0.005383104,5383.103999999999,5.3831039999999994,0.897,0.5,10.0,15.0,10.0,15.0,10.0,10.0,0.0015,1500.0,1.5,,,-0.5412844036697249,-0.7213503584548988,-0.592391304347826,-0.6855345911949685,1.173913043478261,-0.0346709506881778,2025-06-03 13:57:57,2025-07-05 14:00:04.328,1-2kg,0.6313173810623118,twisted
25041553B832D0,5bc21491-9b2f-4805-90e4-2905fd11a1e5,f0b75234-276f-4ddb-af20-1034b07f0ce0,87a6c3ed-e1a3-4d79-82fa-511cc4baf850,"(재오픈, 배송추후안내) [이디야x데못죽] 아크릴 세트",（再オープン、 配送後の案内) [イディヤxデモット] アクリルセット,생활/건강>수집품>모형/프라모델/피규어>피규어,Acrylic,naver,,,,,5509311000,https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/87a6c3ed-e1a3-4d79-82fa-511cc4baf850.jpg,3,38900.0,4107.0,https://m.smartstore.naver.com/ediyacoffee/products/11720717875,1.09,36.8x32.3x4.6,36.8,32.3,4.6,36.8,32.3,4.6,0.0054677439999999,5467.743999999999,5.467743999999999,0.911,0.5,10.0,15.0,10.0,15.0,10.0,10.0,0.0015,1500.0,1.5,,,-0.5412844036697249,-0.7256638203983214,-0.592391304347826,-0.6904024767801857,1.173913043478261,-0.0362935792165836,2025-06-03 13:57:57,2025-07-03 05:00:06.269,1-2kg,0.6334741120340232,twisted
