order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
2505244146A327	(미개봉) 니케 디저트39 신데렐라 무드등 동D 포토카드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.4	25.9	19.8	10.5	5384.61	0.1	12.0	1.0	8.0	96.0	0.5	25.0	20.0	10.0	5000.0	-0.7500	0.2500	-0.9822	-0.0714	1	1	The product includes a photo card and a light, requiring a box that accommodates both items with padding. The weight accounts for the light's materials and packaging.
250529C04B62C4	이착헌 이세계착각헌터 정하성 멍하성 헌터증 아크릴스탠드 일괄 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.38	28.5	17.3	11.3	5571.465	0.3	10.0	5.0	15.0	750.0	0.6	30.0	25.0	10.0	7500.0	-0.2105	0.5789	-0.8654	0.3461	0	1	The set includes a plush doll, acrylic stand, and cards, requiring a box larger than the plush for protection. The combined weight of the items suggests a moderate shipping weight.
250525AC4A552E	[미개봉] 40cm 앙스타인형 카제하야 타츠미 앙스타 누이 타츠미 파샤	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	1.46	51.1	28.5	22.5	32767.875000000004	0.8	20.0	30.0	20.0	12000.0	0.6	45.0	30.0	25.0	33750.0	-0.4521	-0.5890	-0.6338	0.0300	0	1	The 40cm plush doll requires a larger box for protection and padding. Plush toys are typically light but need sufficient space to avoid compression.
250519565F3BDC	에이스테 에일리언 스테이지 루카 토끼 아크릴 이반 틸 미지 수아 루카	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.16	19.5	16.2	12.3	3885.57	0.3	10.0	10.0	15.0	1500.0	0.15	22.0	17.0	5.0	1870.0	0.8750	-0.0625	-0.6140	-0.5187	1	1	Acrylic figure is relatively flat and light, requiring minimal padding. Standard box size for protection.
250521EE7ADD74	맘스터치 스타레일 트리비 아글라이아 코롯토	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.305	20.6	15.6	6.3	2024.568	0.3	10.0	10.0	15.0	1500.0	0.25	20.0	15.0	5.0	1500.0	-0.0164	-0.1803	-0.2591	-0.2591	0	0	The product includes a figure and cards, requiring minimal padding. The size is compact, fitting within standard dimensions for small collectibles.
25051671E520DA	승리의여신 니케 아크릴스탠드 3종선택	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.345	24.0	17.0	5.5	2244.0	0.3	10.0	5.0	15.0	750.0	0.25	20.0	15.0	5.0	1500.0	-0.1304	-0.2754	-0.6658	-0.3316	0	1	Acrylic stand is relatively flat and lightweight. Minimal padding needed for protection.
2505164B0073EE	일괄 딸기 가나디 고냐니 키링	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.18	20.0	15.9	12.3	3911.4	0.1	5.0	5.0	10.0	250.0	0.25	20.0	15.0	10.0	3000.0	-0.4444	0.3889	-0.9361	-0.2330	1	1	The keyrings are small plush toys, requiring minimal padding. Estimated weight includes light plush material.
25042501728C0D	주술회전 애니메이트 카페 시부야 쵸소우 유지 아크릴 포토카드 특전 굿즈	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.08	16.0	12.0	10.0	1920.0	0.1	15.0	0.5	10.0	75.0	0.25	22.0	16.0	5.0	1760.0	0.2500	2.1250	-0.9609	-0.0833	0	1	The set includes acrylic photo cards and keychains, which are lightweight but require protective packaging. The dimensions account for the cards and their protective cases.
2504220F84D79A	가비지타임 피규어 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.24	21.7	19.1	9.5	3937.465	0.3	10.0	10.0	15.0	1500.0	0.5	25.0	15.0	10.0	3750.0	0.2500	1.0833	-0.6190	-0.0476	0	1	Two figurines likely around 10-15cm tall, requiring minimal padding. Light plastic material.
250502A2415DEA	오란고교 타마키 아크릴 +코스터	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.3	26.8	20.0	6.8	3644.8	0.3	10.0	10.0	10.0	1000.0	0.25	25.0	20.0	5.0	2500.0	0.0000	-0.1667	-0.7256	-0.3141	0	1	Acrylic figure and coaster set is relatively flat and lightweight. Standard box size accommodates protective packaging.
2504274FD17A02	명조 음림 아크릴 양도	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.19	21.4	15.4	13.7	4514.972	0.3	10.0	10.0	15.0	1500.0	0.3	25.0	20.0	5.0	2500.0	0.5789	0.5789	-0.6678	-0.4463	0	1	Acrylic figure typically requires minimal padding but needs a box to prevent damage. Estimated weight includes the figure and light packaging.
250430C97EB0EB	닌타마 케마 토메사부로 캔뱃지 5개	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	0.17	23.6	11.9	17.1	4802.364000000001	0.1	10.0	2.0	10.0	200.0	0.25	20.0	15.0	5.0	1500.0	-0.4118	0.4706	-0.9584	-0.6877	0	1	Set of 5 heart-shaped badges, requiring minimal padding. Light due to material, but needs a small box for protection.
