order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
250521ED195A60	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.935	27.0	20.0	18.0	9720.0	0.3	11.0	2.0	15.0	330.0	0.25	26.0	20.0	5.0	2600.0	-0.8450	-0.8708	-0.9660	-0.7325	0	1	A5 binder cover is relatively thin but requires a bit of extra space for padding. Lightweight acrylic material.
2505174351EEA1	눕시 패딩 다이어리커버 북커버 넓은ver	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.2	21.7	18.8	8.0	3263.68	0.4	15.0	2.0	20.0	600.0	0.25	25.0	20.0	8.0	4000.0	1.0000	0.2500	-0.8162	0.2256	1	1	Diary cover is a medium-sized item that requires some padding for protection. The lightweight fabric adds minimal weight.
2505138086CA60	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.22	27.4	19.9	18.4	10032.783999999998	0.3	11.0	2.0	15.0	330.0	0.25	26.0	20.0	5.0	2600.0	-0.7541	-0.7951	-0.9671	-0.7408	0	1	A5 binder cover is relatively thin but requires a bit of extra space for packaging. The weight includes the binder and minimal padding.
2505050AC94E30	다이어리 아크릴 바인더 커버 육공 A6 다이어리꾸미기 굿즈 다꾸용품	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.675	23.1	15.9	11.7	4297.293	0.3	15.0	2.0	10.0	300.0	0.25	22.0	16.0	5.0	1760.0	-0.8209	-0.8507	-0.9302	-0.5904	0	1	A6 acrylic binder covers are thin but require a larger box for protection. The weight is light due to the acrylic material.
2505038D43DAF3	[북커버] 시그니처 코듀로이 - 책 다이어리 패브릭 커버 국판 신국판 B6 북마크 바인더	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.155	25.3	14.2	4.5	1616.67	0.3	15.0	2.0	10.0	300.0	0.4	27.0	20.0	5.0	2700.0	0.9355	1.5806	-0.8144	0.6701	0	1	The fabric cover is relatively thin but requires a slightly larger box for protection. Estimated weight includes the cover and packaging.
2505012F3B9966	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.975	32.7	28.5	20.4	19011.78	0.3	11.0	2.0	15.0	330.0	0.25	26.0	20.0	5.0	2600.0	-0.8481	-0.8734	-0.9826	-0.8632	0	1	A5 binder cover is relatively thin but requires a bit of extra space for padding. Lightweight acrylic material.
250428ED67D822	미뉴잇 마카롱 포카바인더 6공 다이어리 커버 현금 A6 바인더	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.03	31.8	24.7	20.9	16416.114	0.3	2.0	21.0	15.0	630.0	0.35	22.0	16.0	4.0	1408.0	-0.7087	-0.6602	-0.9616	-0.9142	1	1	A6 binder cover is compact but requires minimal padding. Lightweight material keeps the weight low.
250417AE9511DE	물결 무광 아크릴바인더 현금다이어리 현금생활 아크릴다이어리 화이트	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.195	21.7	21.4	3.3	1532.4539999999995	0.4	18.0	4.0	21.0	1512.0	0.5	32.0	22.0	7.0	4928.0	1.0513	1.5641	-0.0133	2.2158	0	0	Acrylic binder is medium-sized and requires some padding for protection. The weight accounts for the acrylic material.
2504168A7E0C9C	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.895	27.7	18.2	21.4	10788.596	0.3	11.0	2.0	15.0	330.0	0.25	26.0	20.0	5.0	2600.0	-0.8417	-0.8681	-0.9694	-0.7590	0	1	A5 binder cover is relatively thin but requires a slightly larger box for protection. The weight includes the binder and minimal packaging.
2504080E328BCE	물결 무광 아크릴바인더 현금다이어리 현금생활 아크릴다이어리 화이트	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.31	22.0	19.5	9.0	3861.0	0.4	18.0	4.0	21.0	1512.0	0.5	30.0	23.0	8.0	5520.0	0.2903	0.6129	-0.6084	0.4297	0	1	Acrylic binder is a medium-sized stationery item. Requires additional padding for protection, resulting in a larger box.
