order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
250521ED195A60	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	24x18x3	26x20x5	0.25	26.0	20.0	5.0	A5 binder cover is relatively thin but requires a bit of extra space for padding. Lightweight acrylic material.
2505174351EEA1	눕시 패딩 다이어리커버 북커버 넓은ver	생활/건강>문구/사무용품>다이어리/플래너>바인더	25x20x5	25x20x8	0.25	25.0	20.0	8.0	Diary cover is a medium-sized item that requires some padding for protection. The lightweight fabric adds minimal weight.
2505138086CA60	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	24x18x3	26x20x5	0.25	26.0	20.0	5.0	A5 binder cover is relatively thin but requires a bit of extra space for packaging. The weight includes the binder and minimal padding.
2505050AC94E30	다이어리 아크릴 바인더 커버 육공 A6 다이어리꾸미기 굿즈 다꾸용품	생활/건강>문구/사무용품>다이어리/플래너>바인더	22x16x2	22x16x5	0.25	22.0	16.0	5.0	A6 acrylic binder covers are thin but require a larger box for protection. The weight is light due to the acrylic material.
2505038D43DAF3	[북커버] 시그니처 코듀로이 - 책 다이어리 패브릭 커버 국판 신국판 B6 북마크 바인더	생활/건강>문구/사무용품>다이어리/플래너>바인더	25x18x3	27x20x5	0.4	27.0	20.0	5.0	The fabric cover is relatively thin but requires a slightly larger box for protection. Estimated weight includes the cover and packaging.
2505012F3B9966	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	24x18x3	26x20x5	0.25	26.0	20.0	5.0	A5 binder cover is relatively thin but requires a bit of extra space for padding. Lightweight acrylic material.
250428ED67D822	미뉴잇 마카롱 포카바인더 6공 다이어리 커버 현금 A6 바인더	생활/건강>문구/사무용품>다이어리/플래너>바인더	22x16x4	22x16x4	0.35	22.0	16.0	4.0	A6 binder cover is compact but requires minimal padding. Lightweight material keeps the weight low.
250417AE9511DE	물결 무광 아크릴바인더 현금다이어리 현금생활 아크릴다이어리 화이트	생활/건강>문구/사무용품>다이어리/플래너>바인더	30x20x5	32x22x7	0.5	32.0	22.0	7.0	Acrylic binder is medium-sized and requires some padding for protection. The weight accounts for the acrylic material.
2504168A7E0C9C	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	24x18x3	26x20x5	0.25	26.0	20.0	5.0	A5 binder cover is relatively thin but requires a slightly larger box for protection. The weight includes the binder and minimal packaging.
2504080E328BCE	물결 무광 아크릴바인더 현금다이어리 현금생활 아크릴다이어리 화이트	생활/건강>문구/사무용품>다이어리/플래너>바인더	25x18x3	30x23x8	0.5	30.0	23.0	8.0	Acrylic binder is a medium-sized stationery item. Requires additional padding for protection, resulting in a larger box.
250327FDB4362C	나의 여름 북 커버	생활/건강>문구/사무용품>다이어리/플래너>바인더	25x18x3	25x18x5	0.25	25.0	18.0	5.0	The binder cover is likely around A5 size, requiring a slightly larger box for protection. It's lightweight fabric, so the total weight is minimal.
250308F6CA3EBB	뉴미니 3공 가죽 지갑 바인더 다이어리 기인돼지	생활/건강>문구/사무용품>다이어리/플래너>바인더	20x15x5	20x15x5	0.25	20.0	15.0	5.0	The wallet binder is small and compact, requiring minimal padding. Lightweight leather material keeps the weight low.
25031257FDEF3A	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	24x18x3	26x20x5	0.25	26.0	20.0	5.0	A5/A6 binder cover is relatively thin but requires a larger box for protection. The weight includes the binder and minimal packaging.
2503071DF23D9A	하이레나 A6 A5 6공 다이어리 투명 아크릴 바인더 현금생활	생활/건강>문구/사무용품>다이어리/플래너>바인더	24x18x3	26x20x5	0.4	26.0	20.0	5.0	A6/A5 binder is relatively thin but requires a larger box for protection. The acrylic material adds some weight, but it's still light overall.
2502165EA452E6	[흠냐냐] 다이어리 커버(다양한 사이즈 추가!)	생활/건강>문구/사무용품>다이어리/플래너>바인더	25x20x5	25x20x5	0.4	25.0	20.0	5.0	Diary covers are typically lightweight but require a standard box size for protection. The estimated weight accounts for the fabric material and additional padding.
250124055DC274	[흠냐냐] 오므라이스, 메론빵 북커버	생활/건강>문구/사무용품>다이어리/플래너>바인더	30x20x5	30x20x5	0.25	30.0	20.0	5.0	The product consists of two plush book covers, which are light but require a standard box size for protection. The soft materials add minimal weight.
250131A270C6E1	뉴A9 가죽 다이어리 3공 현금 바인더 기인돼지	생활/건강>문구/사무용품>다이어리/플래너>바인더	20x15x5	20x15x5	0.25	20.0	15.0	5.0	The A9 leather binder is compact and small, requiring minimal padding. It's lightweight due to its material.
25010276F997AD	뉴A9 가죽 다이어리 3공 현금 바인더 기인돼지	생활/건강>문구/사무용품>다이어리/플래너>바인더	20x15x5	20x15x5	0.25	20.0	15.0	5.0	The A9 leather binder is compact and small, requiring minimal padding. It's lightweight due to its material.
250111FD6456E1	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	24x18x3	26x20x5	0.25	26.0	20.0	5.0	A5/A6 binder cover is relatively thin but requires a larger box for protection. The weight includes the binder and minimal packaging.
24123008B5CC5B	미드나잇월렛다이어리	생활/건강>문구/사무용품>다이어리/플래너>바인더	20x15x5	28x20x10	0.4	28.0	20.0	10.0	The wallet diary is small but requires extra padding for protection. The estimated weight includes the product and packaging.
24120593B65A9D	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	24x18x3	26x20x5	0.25	26.0	20.0	5.0	A5/A6 binder cover is relatively thin but requires a larger box for protection. The weight includes the binder and minimal packaging.
2411215E3DAD4E	하이레나 A6 6공 다이어리 투명 아크릴 바인더 현금생활	생활/건강>문구/사무용품>다이어리/플래너>바인더	22x16x5	22x16x5	0.25	22.0	16.0	5.0	A6 binder is compact but requires a minimum box size for protection. Lightweight acrylic material keeps the weight low.
24112258C7E60A	[ Sleepsheep ] M5 미니 5공 실버 월렛 다이어리	생활/건강>문구/사무용품>다이어리/플래너>바인더	20x15x5	28x20x10	0.4	28.0	20.0	10.0	The mini wallet diary is compact but requires additional space for padding. The weight accounts for the material and size.
