order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
251112710A8604	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	7.0	45.0	35.0	30.0	Bowling bag designed to hold 3 balls, which adds significant weight. Each ball typically weighs around 3kg, plus the bag itself.
2511087A1815E1	스톰 롤링 썬더 시그니처 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	7.0	45.0	35.0	30.0	Bowling bag designed to hold 3 bowling balls, which adds significant weight. Each ball typically weighs around 3kg, plus the bag itself.
2511026AEFCC45	스톰 롤링 썬더 플러스 3볼 볼링가방 에나멜 (악세사리 파우치 포함) 화이트레드	스포츠/레저>볼링>볼링가방	50x35x30	50x35x30	8.0	50.0	35.0	30.0	Bowling bag designed for 3 balls, includes accessory pouch. The total weight accounts for the balls and the bag's structure.
2510268962FEFD	[ 볼링티 1볼도트 악세사리백 3종스티커 네임텍 선물 ] 햄머 빅 3볼롤러백 블랙실버	스포츠/레저>볼링>볼링가방	50x30x40	50x30x40	6.5	50.0	30.0	40.0	Bowling bag designed to hold multiple balls and accessories. Includes additional bags, making it heavier and requiring a larger box for protection.
250924A88D4EEA	뉴 브런스윅3볼롤러백 매트 차콜그레이 볼링가방 (악세사리백 신발케이스 키링 포함)	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	6.5	45.0	35.0	30.0	Bowling bag designed to hold 3 balls, includes accessories and shoe case. Heavier due to the inclusion of bowling balls and additional items.
251006615BAD09	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	7.0	45.0	35.0	30.0	Bowling bag designed to hold 3 balls, which adds significant weight. Each bowling ball typically weighs around 3kg, plus the bag itself.
251007FF5D509C	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	7.0	45.0	35.0	30.0	Bowling bag designed to hold 3 balls, typically weighs 5-8kg when including the balls. The dimensions account for the bag's structure and padding.
251007FCB9CB60	2024 뉴 햄머 2볼 롤러백 볼링가방	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	6.5	45.0	35.0	30.0	Bowling bag designed to hold 2 balls, typically weighs more due to the included balls and bag structure. Estimated weight includes the bag and two bowling balls.
250929E8172B0F	2025햄머 3볼 토트백/슈즈백포함 가방 쓰리덩키 Hammer	스포츠/레저>볼링>볼링가방	50x30x35	50x30x35	8.0	50.0	30.0	35.0	Bowling bag designed to hold 3 balls, which adds significant weight. The bag itself is sturdy and requires a larger box for protection.
250923DFCACD0C	스톰 롤링 썬더 시그니처 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	7.0	45.0	35.0	30.0	Bowling bag designed to hold 3 bowling balls, which adds significant weight. Each ball typically weighs around 3kg, plus the bag itself.
