order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
250530CF6C4A7A	셀바이셀 아줄렌 수딩 토너 1000ml / 약산성 촉촉한스킨 피부과토너	화장품/미용>스킨케어>스킨/토너	2.665	26.9	27.3	15.4	11309.298	1.0	7.0	20.0	7.0	980.0	1.2	30.0	15.0	15.0	6750.0	-0.6248	-0.5497	-0.9133	-0.4031	1	1	The toner bottle is 1000ml, requiring a larger box for protection. The weight includes the liquid and packaging.
250430FA21B48B	일리윤 세라마이드 아토 속보습 스킨 250ml	화장품/미용>스킨케어>스킨/토너	0.42	20.0	16.5	12.0	3960.0	0.25	6.0	20.0	6.0	720.0	0.35	22.0	12.0	12.0	3168.0	-0.4048	-0.1667	-0.8182	-0.2000	1	1	The 250ml skin softener bottle is medium-sized and requires additional padding for protection. The weight includes the product and packaging.
250428B87AB1C5	넘버즈인 1번 진정 맑게담은 청초토너 300ml	화장품/미용>스킨케어>스킨/토너	3.565	39.7	32.7	19.5	25314.705000000005	0.3	6.0	15.0	6.0	540.0	0.35	22.0	9.0	9.0	1782.0	-0.9158	-0.9018	-0.9787	-0.9296	1	1	The toner bottle is approximately 300ml, requiring a box slightly larger for padding. Skincare products typically need protective packaging.
2504192179B52F	아누아 어성초 77% 수딩 토너 저자극 토너 500ml   737015	화장품/미용>스킨케어>스킨/토너	5.315	38.4	19.5	25.9	19393.92	0.5	7.0	20.0	7.0	980.0	0.65	27.0	12.0	12.0	3888.0	-0.9059	-0.8777	-0.9495	-0.7995	1	1	500ml toner bottle with protective packaging. The box adds extra dimensions for cushioning.
250416A8C7E8C8	아누아 어성초 77% 토너 500ml 1개	화장품/미용>스킨케어>스킨/토너	5.37	35.5	28.1	23.6	23542.180000000004	0.5	7.0	20.0	7.0	980.0	0.65	22.0	12.0	12.0	3168.0	-0.9069	-0.8790	-0.9584	-0.8654	1	1	500ml toner bottle requires protective packaging. The weight includes the bottle and packaging materials.
2504086CB8E740	아누아 어성초 77% 수딩 토너 저자극 토너 500ml   737015	화장품/미용>스킨케어>스킨/토너	6.13	22.2	31.9	21.1	14942.598	0.5	7.0	20.0	7.0	980.0	0.65	22.0	10.0	10.0	2200.0	-0.9184	-0.8940	-0.9344	-0.8528	1	1	500ml toner bottle requires a box slightly larger than the product for protection. The liquid adds weight, making it heavier than typical lightweight items.
250330D9836B71	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.465	25.6	32.4	21.6	17915.904000000002	0.5	8.0	15.0	8.0	960.0	0.65	12.0	12.0	28.0	4032.0	-0.9330	-0.9129	-0.9464	-0.7749	1	1	500ml toner bottle is tall and slender, requiring a box slightly larger for padding. The weight includes the product and packaging.
2503242CD5B39C	[복수구매 행사]아누아 어성초 77% 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.4	22.1	29.3	24.2	15670.226000000002	0.5	8.0	20.0	8.0	1280.0	0.65	22.0	12.0	12.0	3168.0	-0.9324	-0.9122	-0.9183	-0.7978	1	1	500ml toner bottle is relatively tall and requires a box larger than the product for padding. The weight includes the product and packaging.
25032154AAFAFF	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.105	28.2	34.7	23.8	23289.252000000004	0.5	8.0	15.0	8.0	960.0	0.65	12.0	12.0	22.0	3168.0	-0.9296	-0.9085	-0.9588	-0.8640	1	1	500ml toner bottle is typically tall and slender, requiring a box slightly larger for padding. The weight includes the product and packaging.
250316906CDF26	브링그린 티트리 시카 수딩 토너 500ml	화장품/미용>스킨케어>스킨/토너	0.675	9.6	20.5	10.1	1987.68	0.5	5.0	18.0	5.0	450.0	0.65	22.0	12.0	12.0	3168.0	-0.2593	-0.0370	-0.7736	0.5938	1	1	500ml toner bottle requires a box larger than the product to accommodate padding. The weight includes the bottle and packaging.
2503076F4922EE	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.75	28.6	35.8	31.0	31740.279999999995	0.5	8.0	15.0	8.0	960.0	0.65	22.0	12.0	12.0	3168.0	-0.9355	-0.9161	-0.9698	-0.9002	1	1	500ml toner bottle is typically tall and narrow, requiring a slightly larger box for padding. The weight includes the product and packaging.
250303EC44960D	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	6.835	27.4	35.7	25.6	25041.408000000003	0.5	7.0	20.0	7.0	980.0	0.65	22.0	12.0	12.0	3168.0	-0.9268	-0.9049	-0.9609	-0.8735	1	1	500ml toner bottle is relatively tall and requires protective packaging. The weight includes the bottle and packaging materials.
25022159C48B70	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	6.77	22.1	33.5	23.7	17546.295	0.5	7.0	20.0	7.0	980.0	0.65	22.0	12.0	12.0	3168.0	-0.9261	-0.9040	-0.9441	-0.8194	1	1	500ml toner bottle is relatively lightweight but requires protective packaging. The box size accounts for padding around the glass bottle.
