order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
250530CF6C4A7A	셀바이셀 아줄렌 수딩 토너 1000ml / 약산성 촉촉한스킨 피부과토너	화장품/미용>스킨케어>스킨/토너	25x10x10	30x15x15	1.2	30.0	15.0	15.0	The toner bottle is 1000ml, requiring a larger box for protection. The weight includes the liquid and packaging.
250430FA21B48B	일리윤 세라마이드 아토 속보습 스킨 250ml	화장품/미용>스킨케어>스킨/토너	20x10x10	22x12x12	0.35	22.0	12.0	12.0	The 250ml skin softener bottle is medium-sized and requires additional padding for protection. The weight includes the product and packaging.
250428B87AB1C5	넘버즈인 1번 진정 맑게담은 청초토너 300ml	화장품/미용>스킨케어>스킨/토너	20x7x7	22x9x9	0.35	22.0	9.0	9.0	The toner bottle is approximately 300ml, requiring a box slightly larger for padding. Skincare products typically need protective packaging.
2504192179B52F	아누아 어성초 77% 수딩 토너 저자극 토너 500ml   737015	화장품/미용>스킨케어>스킨/토너	25x10x10	27x12x12	0.65	27.0	12.0	12.0	500ml toner bottle with protective packaging. The box adds extra dimensions for cushioning.
250416A8C7E8C8	아누아 어성초 77% 토너 500ml 1개	화장품/미용>스킨케어>스킨/토너	20x10x10	22x12x12	0.65	22.0	12.0	12.0	500ml toner bottle requires protective packaging. The weight includes the bottle and packaging materials.
2504086CB8E740	아누아 어성초 77% 수딩 토너 저자극 토너 500ml   737015	화장품/미용>스킨케어>스킨/토너	20x8x8	22x10x10	0.65	22.0	10.0	10.0	500ml toner bottle requires a box slightly larger than the product for protection. The liquid adds weight, making it heavier than typical lightweight items.
250330D9836B71	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	10x10x25	12x12x28	0.65	12.0	12.0	28.0	500ml toner bottle is tall and slender, requiring a box slightly larger for padding. The weight includes the product and packaging.
2503242CD5B39C	[복수구매 행사]아누아 어성초 77% 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	20x10x10	22x12x12	0.65	22.0	12.0	12.0	500ml toner bottle is relatively tall and requires a box larger than the product for padding. The weight includes the product and packaging.
25032154AAFAFF	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	10x10x20	12x12x22	0.65	12.0	12.0	22.0	500ml toner bottle is typically tall and slender, requiring a box slightly larger for padding. The weight includes the product and packaging.
250316906CDF26	브링그린 티트리 시카 수딩 토너 500ml	화장품/미용>스킨케어>스킨/토너	20x10x10	22x12x12	0.65	22.0	12.0	12.0	500ml toner bottle requires a box larger than the product to accommodate padding. The weight includes the bottle and packaging.
2503076F4922EE	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	20x10x10	22x12x12	0.65	22.0	12.0	12.0	500ml toner bottle is typically tall and narrow, requiring a slightly larger box for padding. The weight includes the product and packaging.
250303EC44960D	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	20x10x10	22x12x12	0.65	22.0	12.0	12.0	500ml toner bottle is relatively tall and requires protective packaging. The weight includes the bottle and packaging materials.
25022159C48B70	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	20x10x10	22x12x12	0.65	22.0	12.0	12.0	500ml toner bottle is relatively lightweight but requires protective packaging. The box size accounts for padding around the glass bottle.
250214F7AC8050	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	20x8x8	22x10x10	0.65	22.0	10.0	10.0	500ml toner bottle is relatively lightweight but requires protective packaging. The box size accounts for padding around the bottle.
250216AEBC0C37	이즈앤트리 초저분자 히아루론산 토너 300ml	화장품/미용>스킨케어>스킨/토너	20x10x10	22x12x12	0.45	22.0	12.0	12.0	The toner bottle is 300ml, requiring a box slightly larger for padding. The liquid and glass/plastic material adds weight.
250206C1168AAB	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	20x8x8	22x10x10	0.65	22.0	10.0	10.0	500ml toner bottle is relatively lightweight but requires protective packaging. The box size accounts for padding around the bottle.
250206084840A6	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	10x10x25	12x12x28	0.65	12.0	12.0	28.0	500ml toner bottle is tall and slender, requiring a box larger than the product for padding. The weight includes the bottle and packaging.
