order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
2505230B77882E	넘버즈인 글루타치온씨 흔적 앰플샷 30ml	화장품/미용>스킨케어>에센스	0.155	16.0	11.0	7.0	1232.0	0.1	5.0	10.0	5.0	250.0	0.15	15.0	10.0	5.0	750.0	-0.3548	-0.0323	-0.7971	-0.3912	1	1	The serum is a small 30ml bottle, requiring minimal packaging. Lightweight and compact.
250429B4F9FBD7	세포랩 세리포리아 락세라타 클렙스 바이오제닉 퍼스트 에센스 155ml 모공축소 탄력 주름	화장품/미용>스킨케어>에센스	1.365	24.9	15.7	16.0	6254.879999999999	0.2	5.0	10.0	5.0	250.0	0.35	12.0	12.0	18.0	2592.0	-0.8535	-0.7436	-0.9600	-0.5856	1	1	The essence bottle is approximately 155ml, requiring a box slightly larger for padding. Skincare products typically need protective packaging.
25042013F33CAD	1+1 메디큐브 PDRN 핑크 앰플 30ml+30ml	화장품/미용>스킨케어>에센스	3.73	33.1	30.1	16.0	15940.96	0.1	5.0	10.0	5.0	250.0	0.25	20.0	10.0	10.0	2000.0	-0.9732	-0.9330	-0.9843	-0.8745	1	1	Two 30ml serum bottles require minimal padding. The total volume is compact, and the weight is light due to the liquid content.
250502079F14AC	이자녹스 시카 콜라겐 리프팅 앰플 30ml	화장품/미용>스킨케어>에센스	0.71	20.8	13.0	8.6	2325.44	0.1	5.0	15.0	5.0	375.0	0.25	12.0	12.0	18.0	2592.0	-0.8592	-0.6479	-0.8387	0.1146	1	1	The ampoule is a small skincare product, requiring a box slightly larger than the product itself for padding. The weight includes the product and packaging.
250426AA0F73E8	브이티코스메틱 VT 리들샷 300 50ml	화장품/미용>스킨케어>에센스	0.18	21.2	9.7	7.0	1439.48	0.1	5.0	10.0	5.0	250.0	0.25	20.0	15.0	15.0	4500.0	-0.4444	0.3889	-0.8263	2.1261	1	0	The essence bottle is compact but requires protective packaging. Typical for cosmetics, the box size is slightly larger to accommodate padding.
250423806DF2F2	[정품] ANJO 앙쥬 24K 골드 래디언스 스킨 에센스150ml 기미 미백 2개	화장품/미용>스킨케어>에센스	0.925	21.5	14.5	9.3	2899.275	0.3	6.0	15.0	6.0	540.0	0.5	25.0	15.0	10.0	3750.0	-0.6757	-0.4595	-0.8137	0.2934	1	1	Two 150ml bottles of skin essence require protective packaging. The box size accommodates both bottles with padding.
2504189501920E	여드름 앰플 아누아 어성초 80 수분진정 앰플 30ml   737022	화장품/미용>스킨케어>에센스	1.55	25.3	14.9	10.4	3920.4880000000007	0.1	5.0	10.0	5.0	250.0	0.15	12.0	12.0	18.0	2592.0	-0.9355	-0.9032	-0.9362	-0.3389	1	1	The ampoule is small (30ml) and requires minimal padding. The box adds slight dimensions for protection.
250416075638E4	스킨푸드 로열허니 프로폴리스 인리치 에센스 50ml x 2개입	화장품/미용>스킨케어>에센스	1.21	19.5	14.8	11.1	3203.46	0.1	5.0	10.0	5.0	250.0	0.35	22.0	12.0	12.0	3168.0	-0.9174	-0.7107	-0.9220	-0.0111	1	1	Two 50ml essence bottles require protective packaging. The box size is slightly larger to accommodate padding.
250417509A80D8	스킨푸드 캐롯 카로틴 모이스트 이펙터 52ml	화장품/미용>스킨케어>에센스	1.08	24.4	14.8	11.7	4225.103999999999	0.1	5.0	10.0	5.0	250.0	0.25	12.0	12.0	18.0	2592.0	-0.9074	-0.7685	-0.9408	-0.3865	1	1	The essence bottle is small but requires protective packaging. Typical weight for cosmetic products with glass containers is around 0.2-0.3kg.
2504097A16658D	BRTC 멜라이트 C-20 앰플 15ml	화장품/미용>스킨케어>에센스	0.225	15.0	10.0	7.0	1050.0	0.05	5.0	15.0	5.0	375.0	0.15	20.0	10.0	10.0	2000.0	-0.7778	-0.3333	-0.6429	0.9048	1	0	The 15ml essence is small but requires a protective box. Light weight due to the plastic material.
250328FDDFE401	조선미녀 맑은쌀 꿀채운 마스크	화장품/미용>스킨케어>에센스	0.38	13.0	15.8	11.3	2321.0200000000004	0.2	4.0	4.0	8.0	128.0	0.35	15.0	15.0	10.0	2250.0	-0.4737	-0.0789	-0.9449	-0.0306	1	1	The essence mask is in a jar, requiring a box slightly larger than the product for padding. The weight includes the jar and packaging.
2503258BD1B9A5	니프니프 비타 PDRN 잡티 톤업 토닝 앰플 20ml, 3개	화장품/미용>스킨케어>에센스	2.0	24.6	37.6	16.1	14891.856000000002	0.15	4.0	4.0	8.0	128.0	0.45	25.0	15.0	10.0	3750.0	-0.9250	-0.7750	-0.9914	-0.7482	1	1	Set of three 20ml ampoules requires protective packaging. Skincare products typically need extra padding, and the total weight includes the glass bottles.
25031372651DBA	토리든 다이브인 저분자 히알루론산 세럼 50ml	화장품/미용>스킨케어>에센스	1.215	17.5	22.5	14.2	5591.25	0.1	5.0	10.0	5.0	250.0	0.25	12.0	12.0	18.0	2592.0	-0.9177	-0.7942	-0.9553	-0.5364	1	1	50ml serum bottle requires protective packaging. Light but needs a slightly larger box for padding.
250320652F92DC	토리든 밸런스풀 시카 진정 세럼 50ml	화장품/미용>스킨케어>에센스	1.36	20.1	23.6	19.2	9107.712	0.1	5.0	10.0	5.0	250.0	0.25	12.0	12.0	18.0	2592.0	-0.9265	-0.8162	-0.9726	-0.7154	1	1	50ml serum bottle requires protective packaging. Standard box size with slight padding for fragility.
