order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
251029048F3E76	켈로그 운빨존많겜 기획팩 820g (N4)	식품>과자/베이커리>시리얼>기타시리얼	8.355	70.0	50.0	50.0	175000.0	0.9	22.0	10.0	30.0	6600.0	1.0	25.0	20.0	15.0	7500.0	-0.8923	-0.8803	-0.9623	-0.9571	1	1	Cereal box weighs 820g and requires protective packaging. Standard box size for food items is used.
250521B60FA339	농심 켈로그 담백한 현미 후레이크 550g+오곡푸레이크 570g	식품>과자/베이커리>시리얼>기타시리얼	7.015	61.0	36.5	29.0	64568.5	1.12	15.0	10.0	25.0	3750.0	1.2	30.0	20.0	10.0	6000.0	-0.8403	-0.8289	-0.9419	-0.9071	1	1	Two cereal packages totaling 1,120g. The box needs to accommodate both bags with some padding for protection.
2505125A1FC7CA	동서식품 포스트 오레오 오즈 시리얼 500g	식품>과자/베이커리>시리얼>기타시리얼	1.86	39.1	28.9	17.0	19209.83	0.5	15.0	10.0	25.0	3750.0	0.65	30.0	20.0	10.0	6000.0	-0.7312	-0.6505	-0.8048	-0.6877	1	1	500g cereal bag requires minimal padding but needs a box to protect the contents. Weight includes the product and packaging.
250426EF0F7BD7	하이델 초코룹스 초코 씨리얼 450g 밀크초콜릿	식품>과자/베이커리>시리얼>기타시리얼	1.725	34.3	26.0	19.5	17390.1	0.45	10.0	5.0	20.0	1000.0	0.65	20.0	20.0	15.0	6000.0	-0.7391	-0.6232	-0.9425	-0.6550	1	1	The product is a 450g container of chocolate cereal, which requires a sturdy box for protection. The weight includes the container and packaging.
25032422225FE0	포스트 컵시리얼 오레오오즈 30g	식품>과자/베이커리>시리얼>기타시리얼	1.045	35.7	30.2	23.2	25012.848	0.03	7.0	5.0	7.0	245.0	0.1	12.0	12.0	10.0	1440.0	-0.9713	-0.9043	-0.9902	-0.9424	1	1	The product is a small cup of cereal weighing 30g. Minimal packaging is needed, and the overall weight is light.
2504198BCD31C3	포스트 오레오오즈 800g 대용량 시리얼 외 켈로그	식품>과자/베이커리>시리얼>기타시리얼	1.04	29.4	18.9	18.6	10335.276	0.8	14.0	7.0	21.0	2058.0	0.85	30.0	20.0	10.0	6000.0	-0.2308	-0.1827	-0.8009	-0.4195	1	1	800g cereal package requires a box for protection. Bulk food items typically weigh more due to packaging.
250410766AD45D	동서식품 포스트 오레오 오즈 시리얼 500g	식품>과자/베이커리>시리얼>기타시리얼	0.76	34.7	26.6	8.5	7845.670000000001	0.5	15.0	10.0	25.0	3750.0	0.65	25.0	20.0	10.0	5000.0	-0.3421	-0.1447	-0.5220	-0.3627	1	1	500g cereal bag requires a standard box size for protection. The weight includes the product and minimal packaging.
2504069A278A33	켈로그 호시 기획팩 콘푸로스트 300g 책스초코 340g 콘푸로스바 2개+ 드로잉카드	식품>과자/베이커리>시리얼>기타시리얼	1.3	20.0	40.8	26.5	21624.0	0.64	15.0	8.0	20.0	2400.0	1.1	30.0	30.0	20.0	18000.0	-0.5077	-0.1538	-0.8890	-0.1676	1	1	The product includes multiple cereal items and drawing cards, requiring a box size that accommodates the bulk. The total weight is higher due to the combined weight of the cereals and packaging.
250405F6D9739B	포스트 컵시리얼 오레오오즈 30g	식품>과자/베이커리>시리얼>기타시리얼	0.77	30.6	40.2	10.4	12793.248	0.03	7.0	5.0	7.0	245.0	0.15	12.0	12.0	15.0	2160.0	-0.9610	-0.8052	-0.9808	-0.8312	1	1	Cereal cup is small but requires extra space for packaging. Light weight due to the small size and material.
25032933B8918A	오레오오즈 오레오 오즈 시리얼 500g	식품>과자/베이커리>시리얼>기타시리얼	2.59	24.9	48.3	22.4	26939.807999999994	0.5	10.0	10.0	20.0	2000.0	0.65	25.0	20.0	10.0	5000.0	-0.8069	-0.7490	-0.9258	-0.8144	1	1	Cereal box typically requires a standard box size for protection. The weight includes the product and packaging.
250331C4B2549A	동서식품 포스트 오레오 오즈 시리얼 500g	식품>과자/베이커리>시리얼>기타시리얼	1.275	21.8	32.0	17.1	11928.96	0.5	15.0	10.0	25.0	3750.0	0.65	25.0	20.0	10.0	5000.0	-0.6078	-0.4902	-0.6856	-0.5809	1	1	500g cereal bag requires a standard box size for protection during shipping. The weight includes the product and minimal packaging.
250401B36F9F99	켈로그호시 콜라보 기획팩 드로잉카드 1+1	식품>과자/베이커리>시리얼>기타시리얼	2.6	33.3	39.5	31.2	41038.92	0.3	7.0	5.0	10.0	350.0	1.2	30.0	25.0	15.0	11250.0	-0.8846	-0.5385	-0.9915	-0.7259	1	1	The product includes multiple cereal items and a box for packaging. Bulk snack boxes typically weigh 1-2kg, considering the contents and packaging.
25032459C8F7BD	포스트 오레오오즈 800g 대용량 시리얼 외 켈로그	식품>과자/베이커리>시리얼>기타시리얼	9.68	29.4	62.6	42.2	77666.56800000001	0.8	14.0	7.0	21.0	2058.0	0.85	32.0	22.0	12.0	8448.0	-0.9174	-0.9122	-0.9735	-0.8912	1	1	800g cereal package requires a larger box for protection and padding. Bulk food items typically weigh more due to packaging.
250323A37A89DC	위트빅스 오리지널 1.2kg 1개 + 1개	식품>과자/베이커리>시리얼>기타시리얼	11.155	37.0	43.0	28.0	44548.0	1.2	10.0	30.0	20.0	6000.0	2.6	30.0	25.0	10.0	7500.0	-0.8924	-0.7669	-0.8653	-0.8316	1	1	Two 1.2kg boxes of Weet-Bix cereal. The packaging is sturdy and requires a box size that accommodates both packs with some padding.
2503212E5C2634	동서식품 포스트 오레오 오즈 시리얼 500g	식품>과자/베이커리>시리얼>기타시리얼	0.695	18.4	26.3	15.7	7597.543999999999	0.5	15.0	10.0	25.0	3750.0	0.65	25.0	20.0	10.0	5000.0	-0.2806	-0.0647	-0.5064	-0.3419	1	1	500g cereal bag requires a standard box size for protection during shipping. The weight includes the product and minimal packaging.
2503139B6E99C8	세븐틴 호시 번들팩 콘푸로스트300g 첵스340g	식품>과자/베이커리>시리얼>기타시리얼	2.79	38.0	39.0	27.6	40903.2	0.64	12.0	8.0	20.0	1920.0	1.1	30.0	30.0	20.0	18000.0	-0.7706	-0.6057	-0.9531	-0.5599	1	1	Bundle pack of cereals weighing 710g. Box size accommodates both products and additional packaging for protection.
2503138F4BB52E	켈로그 신상 세븐틴 호시 기획팩 호시가 직접그린 순토니 드로잉카드 증정 포함 랜덤발송 맛있는 시리얼	식품>과자/베이커리>시리얼>기타시리얼	1.325	27.9	35.7	19.2	19123.776	0.5	15.0	10.0	25.0	3750.0	1.1	30.0	30.0	20.0	18000.0	-0.6226	-0.1698	-0.8039	-0.0588	1	1	Cereal box with additional promotional items. The total weight includes the cereal and packaging, which is typically heavier due to the bulk.
250218759FD5C4	제너럴밀스 시나몬 토스트 크런치 시리얼 702g x 2	식품>과자/베이커리>시리얼>기타시리얼	9.455	60.0	45.5	31.5	85995.0	1.4	14.0	7.0	21.0	2058.0	1.5	30.0	20.0	10.0	6000.0	-0.8519	-0.8414	-0.9761	-0.9302	1	1	Two bags of cereal totaling 1.4kg. The box requires additional space for padding, typical for food items.
250213727FF756	노브랜드 초코링 시리얼 570g	식품>과자/베이커리>시리얼>기타시리얼	0.985	36.0	26.5	16.0	15264.0	0.57	15.0	10.0	25.0	3750.0	0.65	30.0	20.0	10.0	6000.0	-0.4213	-0.3401	-0.7543	-0.6069	1	1	Cereal bag weighs 570g and requires a standard box size for protection. The lightweight nature of the cereal allows for a moderate box size.
2502138FC175CE	포스트 오레오오즈 800g 대용량 시리얼 외 켈로그	식품>과자/베이커리>시리얼>기타시리얼	1.09	39.0	19.0	19.5	14449.5	0.8	14.0	7.0	21.0	2058.0	0.85	30.0	20.0	10.0	6000.0	-0.2661	-0.2202	-0.8576	-0.5848	1	1	800g cereal package requires minimal padding. The box size accommodates the bag while ensuring protection.
2501262DB889B9	오레오오즈 오레오 오즈 시리얼 500g	식품>과자/베이커리>시리얼>기타시리얼	1.865	41.0	20.0	25.0	20500.0	0.5	10.0	10.0	20.0	2000.0	0.65	25.0	20.0	10.0	5000.0	-0.7319	-0.6515	-0.9024	-0.7561	1	1	Cereal box typically requires a standard box size for protection. The weight includes the product and packaging.
250204A9E4F657	오레오 오즈 250g	식품>과자/베이커리>시리얼>기타시리얼	0.425	25.0	16.0	15.0	6000.0	0.25	10.0	8.0	14.0	1120.0	0.35	25.0	20.0	10.0	5000.0	-0.4118	-0.1765	-0.8133	-0.1667	1	1	Cereal box typically requires a standard box size for protection. The weight includes the product and packaging.
2502032F59631D	포스트 오레오오즈 컵 30g	식품>과자/베이커리>시리얼>기타시리얼	1.21	45.0	32.5	30.0	43875.0	0.03	10.0	10.0	10.0	1000.0	0.15	15.0	15.0	12.0	2700.0	-0.9752	-0.8760	-0.9772	-0.9385	1	1	The product is a 30g cup of cereal, requiring minimal padding. The box size accounts for the cup's shape and protective packaging.
25013166EB049F	포스트 오레오오즈 컵 30g	식품>과자/베이커리>시리얼>기타시리얼	0.215	21.0	17.5	11.0	4042.5	0.03	10.0	10.0	10.0	1000.0	0.15	12.0	12.0	15.0	2160.0	-0.8605	-0.3023	-0.7526	-0.4657	1	1	Cereal cup is small but requires extra padding for protection. The total weight includes the product and packaging.
250201D802E243	포스트 오레오오즈 컵 30g	식품>과자/베이커리>시리얼>기타시리얼	2.195	36.0	32.5	32.0	37440.0	0.03	10.0	10.0	10.0	1000.0	0.15	15.0	15.0	12.0	2700.0	-0.9863	-0.9317	-0.9733	-0.9279	1	1	The product is a 30g cup of cereal, requiring minimal padding. The box size is slightly larger to accommodate the cup and protect it during shipping.
250122FAD1C205	동서식품 포스트 오레오 오즈 850g 시리얼 대용량+랜덤	식품>과자/베이커리>시리얼>기타시리얼	3.26	34.0	34.0	27.5	31790.0	0.85	20.0	10.0	30.0	6000.0	0.95	30.0	20.0	10.0	6000.0	-0.7393	-0.7086	-0.8113	-0.8113	1	0	850g cereal package requires a box for protection. The weight includes the product and minimal packaging.
