order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
25112429810652	최강공룡 미니특공대 그레이트 렉스카이저 D9 썬더티라 버닝케라	출산/육아>완구/인형>작동완구>로봇	7.605	70.0	37.0	50.5	130795.0	4.5	50.0	55.0	25.0	68750.0	7.5	55.0	40.0	35.0	77000.0	-0.4083	-0.0138	-0.4744	-0.4113	1	1	D9 indicates a large combining robot with multiple components. The image shows a complex structure with several parts, suggesting a heavy set. Estimated weight includes multiple units combined.
251116530B6260	메탈카드봇W 블루캅W 헤비아이언 팬텀호넷 타이건 전제품 풀세트 자동차 변신로봇 장난감	출산/육아>완구/인형>작동완구>로봇	7.05	70.0	37.0	50.5	130795.0	6.5	30.0	50.0	35.0	52500.0	6.5	55.0	40.0	30.0	66000.0	-0.0780	-0.0780	-0.5986	-0.4954	0	1	The title indicates a '풀세트' (complete set) of transforming robots, suggesting multiple units. The image shows several large robots, indicating a significant size and weight. Estimated weight includes the complexity and materials of the robots.
251102F8ACC9EF	최강공룡 미니특공대 그레이트 렉스카이저 D9 공룡 합체 변신로봇 장난감	출산/육아>완구/인형>작동완구>로봇	7.715	62.0	37.0	58.0	133052.0	5.0	45.0	55.0	20.0	49500.0	7.5	55.0	40.0	35.0	77000.0	-0.3519	-0.0279	-0.6280	-0.4213	1	1	D9 합체 indicates a large combining dinosaur robot with multiple components. The image shows a complex structure with several parts, suggesting a heavy and large box for shipping.
251111EB34590F	최강공룡 미니특공대  그레이트 렉스카이저 D9 전제품 풀세트 공룡 변신 로봇 장난감	출산/육아>완구/인형>작동완구>로봇	7.95	72.0	42.0	54.0	163296.0	5.0	60.0	40.0	50.0	120000.0	7.5	55.0	40.0	35.0	77000.0	-0.3711	-0.0566	-0.2651	-0.5285	1	0	D9 전제품 풀세트 indicates a complete collection of large combining robots. The image shows a complex and sizable robot, suggesting a large box is needed. Estimated weight accounts for multiple components and materials.
251029E1DC50BF	최강공룡 미니특공대 그레이트 렉스카이저 D9 공룡 합체 변신로봇 장난감	출산/육아>완구/인형>작동완구>로봇	7.87	69.5	50.0	50.5	175487.5	5.0	45.0	55.0	20.0	49500.0	7.5	55.0	40.0	35.0	77000.0	-0.3647	-0.0470	-0.7179	-0.5612	1	1	D9 합체 indicates a large combining dinosaur robot with multiple components. The image shows a complex structure with several parts, suggesting a heavy and large box for shipping.
251029CB2EA937	최강공룡 미니특공대 다이노엠페러	출산/육아>완구/인형>작동완구>로봇	6.945	69.0	24.0	60.0	99360.0	8.0	50.0	59.0	20.0	59000.0	3.0	40.0	30.0	25.0	30000.0	0.1519	-0.5680	-0.4062	-0.6981	0	0	The title indicates a combining robot, likely with multiple components. The image shows a large robot, suggesting a substantial size. Estimated weight accounts for multiple parts and materials.
2510246F2907EA	최강공룡 미니특공대 그레이트 렉스카이저 D9 공룡 합체 변신로봇 장난감	출산/육아>완구/인형>작동완구>로봇	7.59	70.0	38.0	51.5	136990.0	5.0	45.0	55.0	20.0	49500.0	7.5	55.0	40.0	35.0	77000.0	-0.3412	-0.0119	-0.6387	-0.4379	1	1	D9 합체 indicates a large combining dinosaur robot with multiple components. The image shows a complex structure and multiple units, suggesting a heavy and large box.
25102516877FB1	최강공룡 미니특공대 다이노엠페러 공룡 합체변신로봇 프테라 티라노 트리케라 브라키오 장난감	출산/육아>완구/인형>작동완구>로봇	6.905	65.5	30.0	56.0	110040.0	4.0	35.0	50.0	25.0	43750.0	5.5	50.0	40.0	30.0	60000.0	-0.4207	-0.2035	-0.6024	-0.4547	1	1	The title indicates a combining robot with multiple dinosaur figures. The presence of several components suggests a heavier weight. The image shows a large box with multiple detailed figures, indicating a substantial size and weight.
25102516FC8F04	최강공룡 미니특공대 다이노엠페러 공룡 합체변신로봇 프테라 티라노 트리케라 브라키오 장난감	출산/육아>완구/인형>작동완구>로봇	7.005	65.5	30.0	56.0	110040.0	12.0	35.0	50.0	25.0	43750.0	5.5	50.0	40.0	30.0	60000.0	0.7131	-0.2148	-0.6024	-0.4547	1	1	The title indicates a combining robot with multiple dinosaur figures. The presence of several components suggests a heavier weight, and the size of the box in the image indicates a larger volume.
2510265ECBA21C	최강공룡 미니특공대 그레이트 렉스카이저 D9 공룡 합체 변신로봇 장난감	출산/육아>완구/인형>작동완구>로봇	7.645	70.0	50.0	50.0	175000.0	5.0	45.0	55.0	20.0	49500.0	6.5	55.0	40.0	30.0	66000.0	-0.3460	-0.1498	-0.7171	-0.6229	1	1	D9 합체 indicates a combining robot with multiple components. The image shows a large robot made from several smaller units, suggesting a significant size and weight. Estimated weight includes multiple parts and packaging.
