order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
251022DC343D70	스키주 마그넷 플러시 세트 도미 팝업 스키즈	스타굿즈 > 보이그룹 > 인형/피규어 >	0.33	31.0	8.0	21.0	5208.0	0.5	20.0	25.0	15.0	0.0	0.25	30.0	20.0	15.0	9000.0	0.5152	-0.2424	-1.0000	0.7281	1	1	Set of plush toys, soft material is light. Estimated packed size based on typical plush dimensions.
25090612A6BD63	방탄소년단 x 스타벅스 곰돌이 무드등	스타굿즈 > 보이그룹 > 인형/피규어 >	0.155	17.0	12.0	13.0	2652.0	0.2	8.0	8.0	10.0	0.0	0.25	15.0	10.0	10.0	1500.0	0.2903	0.6129	-1.0000	-0.4344	0	1	Two small figurines in protective packaging. Light material with minimal padding.
2505231BFB22E7	냥고니 지드래곤 지디 인형 빅뱅 비공굿	스타굿즈 > 보이그룹 > 인형/피규어 >	0.12	21.0	13.0	7.0	1911.0	0.3	10.0	10.0	15.0	0.0	0.15	25.0	20.0	10.0	5000.0	1.5000	0.2500	-1.0000	1.6164	1	0	Plush doll with soft material, light weight, and minimal packaging.
250524D439A2C5	미니위츄	스타굿즈 > 보이그룹 > 인형/피규어 >	0.28	25.1	18.9	6.1	2893.779	0.3	10.0	15.0	10.0	0.0	0.25	22.0	17.0	12.0	4488.0	0.0714	-0.1071	-1.0000	0.5509	0	1	Mini plush toy set. Soft material is light, with minimal padding for the box.
25052340E74193	스트레이키즈 스키주 10cm	스타굿즈 > 보이그룹 > 인형/피규어 >	0.11	20.3	14.3	7.3	2119.117	0.2	10.0	10.0	10.0	0.0	0.15	12.0	10.0	10.0	1200.0	0.8182	0.3636	-1.0000	-0.4337	1	1	10cm plush figures are soft and light, packaged in minimal plastic wrapping.
250515A11A32B8	몬뭉치엑스 냥균 미니미니 냥균 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	0.075	14.5	10.0	7.0	1015.0	0.1	4.0	4.0	4.0	0.0	0.1	15.0	10.0	5.0	750.0	0.3333	0.3333	-1.0000	-0.2611	0	1	Mini plush keychain and accessory are lightweight and compact, requiring minimal packaging.
2505237B941C45	세븐틴 정한 쫑티쥬 인형 양도합니다	스타굿즈 > 보이그룹 > 인형/피규어 >	0.12	16.0	11.0	10.0	1760.0	0.4	15.0	20.0	15.0	0.0	0.15	20.0	15.0	10.0	3000.0	2.3333	0.2500	-1.0000	0.7045	1	1	Plush toy is soft and light, with minimal packaging.
250520AD5F9D15	데이식스 앙콘 MD 데니멀즈 페이스 시크릿 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	0.11	15.0	12.0	8.0	1440.0	0.1	7.0	5.0	7.0	0.0	0.05	12.0	12.0	6.0	864.0	-0.0909	-0.5455	-1.0000	-0.4000	0	1	Keyring plush toy is small and light, with minimal packaging needed.
250522EC5B31F5	미개봉)거니니 gunini 왕자인형 키링양도 zb1 제로니 zeroni	스타굿즈 > 보이그룹 > 인형/피규어 >	0.125	19.0	12.0	9.0	2052.0	0.1	4.0	4.0	8.0	0.0	0.1	15.0	10.0	5.0	750.0	-0.2000	-0.2000	-1.0000	-0.6345	0	1	Plush keychain figure is light and small, with minimal packaging needed.
250522CBF3A7C9	미개봉)유니니 yunini 왕자인형 키링양도 zb1 제로니 zeroni	스타굿즈 > 보이그룹 > 인형/피규어 >	0.125	19.0	12.0	9.0	2052.0	0.1	5.0	5.0	10.0	0.0	0.1	12.0	8.0	5.0	480.0	-0.2000	-0.2000	-1.0000	-0.7661	0	1	Plush keychain figure is small and lightweight, minimal packaging required.
