order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
251022DC343D70	스키주 마그넷 플러시 세트 도미 팝업 스키즈	스타굿즈 > 보이그룹 > 인형/피규어 >	30x20x15	30x20x15	0.25	30.0	20.0	15.0	Set of plush toys, soft material is light. Estimated packed size based on typical plush dimensions.
25090612A6BD63	방탄소년단 x 스타벅스 곰돌이 무드등	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x10	15x10x10	0.25	15.0	10.0	10.0	Two small figurines in protective packaging. Light material with minimal padding.
2505231BFB22E7	냥고니 지드래곤 지디 인형 빅뱅 비공굿	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.15	25.0	20.0	10.0	Plush doll with soft material, light weight, and minimal packaging.
250524D439A2C5	미니위츄	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	22x17x12	0.25	22.0	17.0	12.0	Mini plush toy set. Soft material is light, with minimal padding for the box.
25052340E74193	스트레이키즈 스키주 10cm	스타굿즈 > 보이그룹 > 인형/피규어 >	12x10x10	12x10x10	0.15	12.0	10.0	10.0	10cm plush figures are soft and light, packaged in minimal plastic wrapping.
250515A11A32B8	몬뭉치엑스 냥균 미니미니 냥균 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x5	15x10x5	0.1	15.0	10.0	5.0	Mini plush keychain and accessory are lightweight and compact, requiring minimal packaging.
2505237B941C45	세븐틴 정한 쫑티쥬 인형 양도합니다	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Plush toy is soft and light, with minimal packaging.
250520AD5F9D15	데이식스 앙콘 MD 데니멀즈 페이스 시크릿 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x5	12x12x6	0.05	12.0	12.0	6.0	Keyring plush toy is small and light, with minimal packaging needed.
250522EC5B31F5	미개봉)거니니 gunini 왕자인형 키링양도 zb1 제로니 zeroni	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x5	15x10x5	0.1	15.0	10.0	5.0	Plush keychain figure is light and small, with minimal packaging needed.
250522CBF3A7C9	미개봉)유니니 yunini 왕자인형 키링양도 zb1 제로니 zeroni	스타굿즈 > 보이그룹 > 인형/피규어 >	12x8x5	12x8x5	0.1	12.0	8.0	5.0	Plush keychain figure is small and lightweight, minimal packaging required.
25051704394E4D	데이식스 포에버영 앙콘엠디 라이트밴드 커스텀 커버	스타굿즈 > 보이그룹 > 인형/피규어 >	15x15x5	15x15x5	0.15	15.0	15.0	5.0	Set of four light band custom covers in small boxes. Minimal packaging required.
2505155421FA60	엔시티 위시 위시돌 쿠리 리쿠 인형 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.25	25.0	20.0	10.0	Plush doll with soft material, slightly larger than the product size for minimal padding.
250509A5E91792	엔시티 위시 인형 팝니다	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.15	25.0	20.0	10.0	Plush doll is soft and light, packaged in a thin bag with minimal padding.
25051482E1C711	미개봉 버블냥 엔시티위시 유우시 인형 포카 앨범 nctwish yushi	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.25	25.0	20.0	10.0	Plush doll is soft and light, packaged in a thin bag with minimal padding.
2505156EF798D5	SF9 인성 공식인형 쏭쏭이 15cm 인형 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.15	20.0	15.0	10.0	15cm plush doll. Soft material is light and requires minimal packaging.
250512D092E222	데이식스 데니멀즈 필 쁘띠멀즈 필 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x5	10x10x5	0.05	10.0	10.0	5.0	Mini plush keyring, very light and compact, minimal packaging.
2505041B0F9411	엔시티위시 위시돌 쿠리	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Plush doll is soft and light, with minimal packaging needed.
250507C0644A7D	장하오 하니니 메시지 키링 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x5	15x10x5	0.15	15.0	10.0	5.0	Keyring plush toy is small and light, with minimal packaging needed.
250512F686F8AC	엔시티위시 위츄	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x5	15x10x5	0.1	15.0	10.0	5.0	Plush keychain is light and small, with minimal packaging needed.
25051171405BB1	NCT WISH nct wish 엔시티 위시 위츄 양도 wichu 유우시	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.25	25.0	20.0	10.0	Plush toy in a retail box. Soft material is light, with minimal padding.
25050240CBFB73	미개봉 시오닝 인형	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x10	15x10x10	0.15	15.0	10.0	10.0	Plush doll is small and light, packaged in minimal plastic. Soft material adds little weight.
25042804D59F74	위츄 미개봉 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	25x15x10	25x15x10	0.25	25.0	15.0	10.0	Plush figure in a retail box. Soft material is light, with minimal padding.
2505118CA99F0C	더보이즈 제너레이션2 인형 엠디 현재 주연 선우	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.25	20.0	15.0	10.0	Plush doll with minimal packaging. Soft material is light.
2505084F55AEFA	빅스 켄 굿즈 쟌뭉오리 쟌뭉덕 그립톡 이재환 VIXX KEN	스타굿즈 > 보이그룹 > 인형/피규어 >	10x8x2	10x8x2	0.05	10.0	8.0	2.0	Grip talk accessory is light and thin, ships in minimal packaging.
250426881C46E7	크래비티 랑모 강모 인형 일괄 판매	스타굿즈 > 보이그룹 > 인형/피규어 >	40x30x15	40x30x15	0.6	40.0	30.0	15.0	Set of plush dolls, soft material is light. Box size accommodates multiple figures.
250506141C411D	엔시티 위시 위츄 쿠리 일괄 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	30x25x10	30x25x10	0.5	30.0	25.0	10.0	Includes plush toys and various light accessories. Soft materials keep the weight low.
25050115BCADDF	데헷이 천러인형 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	22x17x12	0.15	22.0	17.0	12.0	Plush doll with soft material, slightly larger box for minimal padding.
250504822EAEBD	엔시티 위시 위시돌 유우시 버블냥 사쿠야 팡이	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Two plush dolls in minimal packaging. Soft material is light.
25050393636EBC	라이즈 토냥덕 말랑키링	스타굿즈 > 보이그룹 > 인형/피규어 >	10x7x1	10x7x1	0.03	10.0	7.0	1.0	Small keychain figure, very light and ships with minimal packaging.
2505017532ACBB	위츄	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.25	25.0	20.0	10.0	Plush figure in a box. Soft material is light, with minimal padding.
2504295B9DE651	하트 펜던트 키링 장하오 제베원 팝업 제로베이스원 더현대	스타굿즈 > 보이그룹 > 인형/피규어 >	10x7x2	10x7x2	0.05	10.0	7.0	2.0	Keyring with photo card and sticker. Very light and minimal packaging.
250430E5DF66C6	옹성우 인형 옹아리 물개옹 옹냐냥 솜인형	스타굿즈 > 보이그룹 > 인형/피규어 >	30x20x15	30x20x15	0.25	30.0	20.0	15.0	Plush dolls are soft and light. Estimated packed size includes minimal padding.
250428BACFAF2C	데이식스 쁘띠멀즈 미니 영케이 미개봉 쁘띠케	스타굿즈 > 보이그룹 > 인형/피규어 >	6x6x6	8x8x8	0.1	8.0	8.0	8.0	Mini plush toy, soft material is very light. Slightly larger box for minimal padding.
2504275F48E0ED	(미개봉)워너원 15CM 인형/옹성우 (옹아리)+옷세트 / 김재환(짼구)	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.25	20.0	15.0	10.0	15cm plush doll with clothing set. Soft material is light, and the box is slightly larger for minimal padding.
250428992C1AB0	몬스타엑스 아이엠 융균 인형 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	30x25x10	30x25x10	0.25	30.0	25.0	10.0	Plush doll with soft material, slightly larger box for protection.
250425CF8A4562	엔시티위시 료 인형 톤톤이	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Plush doll is soft and light, packaged in a thin plastic bag.
250420CB43B21C	엔하이픈 정원 인형 대왕양꼬미 양꼬미 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	30x25x20	30x25x20	0.35	30.0	25.0	20.0	Plush toy with soft material. Estimated size and weight based on typical plush dimensions.
25042119058E45	엔시티 마크 맠가사리 불가사리 인형 키링 양도 엔시티127 mark	스타굿즈 > 보이그룹 > 인형/피규어 >	12x12x5	12x12x5	0.08	12.0	12.0	5.0	Plush keychain in star shape. Soft material is light and compact.
2504236EF5A51C	위츄 풀구성양도	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Plush figure in a box. Soft material is light, and the box adds minimal size.
2504214809793B	엔시티드림 지성 인형 포켓찌	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.15	25.0	20.0	10.0	Plush doll with soft material, light weight, and minimal packaging needed.
25042405714EA9	위츄 단순개봉	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.25	25.0	20.0	10.0	Plush figure in a retail box. Soft material is light, with minimal padding.
2504253E8F5BC4	엔시티 해찬 인형 왕효기 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	30x25x20	32x27x22	0.35	32.0	27.0	22.0	Plush doll with soft material. Slightly larger box for minimal padding.
250421CAF538C5	엔시티위시 리쿠 쿠리 인형	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.25	25.0	20.0	10.0	Plush doll with soft material, slightly larger than typical plush size. Very light.
250422B4117B11	플레이브 7cm인형 별이브+힐이브+똥글이브 포카홀더 세트판매	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.25	20.0	15.0	10.0	Set includes three small plush figures and a card holder. Soft materials are light, and the packaging is minimal.
25041943C4A5EC	미개봉)데이식스 데니멀즈 자이언트필끼 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	30x20x15	32x22x17	0.25	32.0	22.0	17.0	Giant plush figure, soft material is light. Box slightly larger for minimal padding.
250419C54F89F1	쿠리 버블냥 시오닝 팡이 엔시티위시 인형 리쿠 시온 유우시 사쿠야	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.25	20.0	15.0	10.0	Set of plush dolls, soft material is light. Box size accommodates multiple small plushies.
250416503AA24E	엔시티 NCT 해찬 10cm 인형 곰효기 미개봉 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	12x10x10	12x10x10	0.1	12.0	10.0	10.0	10cm plush doll in minimal packaging. Very light material.
250420E87FBE00	플레이브 므메미무 몌무 인형, 모자, 케이크 일괄	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x15	20x15x15	0.25	20.0	15.0	15.0	Plush figure and accessories are light and compact, packaged in a box with minimal padding.
25041548B4871E	[미개봉] 말랑방앗간 눕쫑 눕슈 정한 조슈아	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.25	20.0	15.0	10.0	Plush figures are soft and light, packaged in minimal wrapping.
25041587B64C60	방탄 인형 5cm Minini 태형 석진 양도 뷔	스타굿즈 > 보이그룹 > 인형/피규어 >	10x8x8	12x10x10	0.1	12.0	10.0	10.0	5cm plush doll, very light material. Minimal packaging needed.
2504137E942177	엔시티 위시 위츄 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.25	25.0	20.0	10.0	Plush figure with soft material, slightly larger than the product size for minimal padding.
250414DF99B4B0	엔시티드림 재민 캔디 단지키링	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x10	12x12x12	0.08	12.0	12.0	12.0	Plush keyring is soft and light, with minimal packaging needed.
250411ED47ADB3	세븐틴 디노 인형 당찬뭉이	스타굿즈 > 보이그룹 > 인형/피규어 >	15x15x10	15x15x10	0.15	15.0	15.0	10.0	Plush toy is soft and light, with minimal packaging needed.
250412FF24E5FF	제로니 거니니 기본인형 제베원 박건욱 프린스 윈터 메시지 13cm	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.25	20.0	15.0	10.0	13cm plush toy in a small box. Soft material is light, with minimal padding.
250407F104DC1A	데이식스 쁘띠 데니멀즈 방케필돈 인형	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x5	15x10x5	0.1	15.0	10.0	5.0	Mini plush toys are light and compact, with minimal packaging.
250409D8BBC7ED	미개봉) 엔시티 위시 리쿠 인형 쿠리 쿠리냥	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x5	25x20x5	0.15	25.0	20.0	5.0	Plush doll is soft and light, packaged in a thin bag with minimal padding.
250410657C8F33	쿠리 미개봉 엔시티 위시 리쿠 공식 인형	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Plush doll is soft and light, packaged in minimal plastic. Size estimated based on typical plush dimensions.
25041053CC34A0	보넥도 명재현 인형 명꼬미	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x15	25x20x15	0.25	25.0	20.0	15.0	Plush doll with soft material, slightly larger than the product size for minimal padding.
