order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
25102296E849D3	[대형 제품] 터닝메카드 갓 타나토스 매그넘 (블루랜드)	키덜트 > 피규어/인형 >	1.035	38.0	20.0	27.0	20520.0	1.1	28.0	35.0	12.0	0.0	0.8	30.0	20.0	10.0	6000.0	0.0628	-0.2271	-1.0000	-0.7076	0	1	Transforming robot toy with motors and plastic parts. Box size reflects the packed state.
2510014F4FAE45	포켓몬스터 레진 피규어 스케일월드 - forest 흉터 니드킹 복각	키덜트 > 피규어/인형 >	1.4	45.0	20.0	39.0	35100.0	2.0	23.0	28.0	22.0	0.0	0.8	30.0	25.0	20.0	15000.0	0.4286	-0.4286	-1.0000	-0.5726	1	1	Large resin figure with detailed features. Slightly larger box needed for protection.
25092106FEC2C3	팝마트 지모모 판매합니다. 미개봉 새상품	키덜트 > 피규어/인형 >	5.285	68.0	30.0	35.0	71400.0	0.35	12.0	12.0	15.0	0.0	0.4	22.0	17.0	12.0	4488.0	-0.9338	-0.9243	-1.0000	-0.9371	1	1	Figure is likely around 15-20cm tall, with minimal padding needed for packaging.
250524E267DB16	드래곤볼 그란디스타.msp망가디멘션(투디멘션) 손오공 베지터 팝니다.	키덜트 > 피규어/인형 >	3.295	44.9	43.8	24.8	48772.176	0.3	10.0	10.0	15.0	0.0	0.6	25.0	15.0	10.0	3750.0	-0.9090	-0.8179	-1.0000	-0.9231	1	1	Figures are typically around 15-25cm tall, packed in retail boxes with minimal padding.
250529A5E374E4	무속성 솜인형 10cm 인형옷	키덜트 > 피규어/인형 >	0.1	11.6	18.1	8.4	1763.664	0.2	7.0	7.0	7.0	0.0	0.15	15.0	10.0	10.0	1500.0	1.0000	0.5000	-1.0000	-0.1495	1	1	10cm plush doll with soft material. Box size is slightly larger than the product.
25052630668F0E	무속성 10cm인형 미니파이 양도	키덜트 > 피규어/인형 >	0.17	18.7	15.1	12.0	3388.44	0.2	10.0	10.0	10.0	0.0	0.15	15.0	10.0	10.0	1500.0	0.1765	-0.1176	-1.0000	-0.5573	1	1	10cm plush doll in minimal packaging. Soft material is very light.
2505262B855887	드래곤볼 피규어	키덜트 > 피규어/인형 >	1.005	43.5	28.0	19.5	23751.0	0.3	10.0	10.0	15.0	0.0	0.5	22.0	17.0	12.0	4488.0	-0.7015	-0.5025	-1.0000	-0.8110	1	1	Medium-sized figure from Dragon Ball series. Boxed with minimal padding.
2505259FD9C184	드래곤볼 손오공 망가 디멘션 피규어	키덜트 > 피규어/인형 >	2.04	42.0	30.5	26.5	33946.5	0.8	10.0	25.0	15.0	0.0	0.5	22.0	17.0	12.0	4488.0	-0.6078	-0.7549	-1.0000	-0.8678	0	1	Medium-sized collectible figure in a retail box. Slightly larger box for padding.
2505243C9A6CE2	무속성 옷 10cm우블플르슈 민트 겨울코트 호그와트망토 토끼 우주복 판매	키덜트 > 피규어/인형 >	0.23	16.5	13.0	12.0	2574.0	0.5	20.0	10.0	15.0	0.0	0.15	25.0	20.0	5.0	2500.0	1.1739	-0.3478	-1.0000	-0.0287	1	1	Assorted clothing items for dolls, lightweight and packed in thin plastic. Minimal padding needed.
250521B8E7D101	롯데월드 포켓몬 어트랙션 가챠 미개봉품 피카츄 스핀바스켓	키덜트 > 피규어/인형 >	0.21	24.5	13.5	11.5	3803.625	0.3	10.0	10.0	15.0	0.0	0.15	20.0	15.0	5.0	1500.0	0.4286	-0.2857	-1.0000	-0.6056	1	1	Figure set is lightweight and ships in minimal packaging. Dimensions account for the base and figures.
250523945CF00A	드래곤볼 bwfc 손오공 피규어	키덜트 > 피규어/인형 >	0.68	27.5	23.5	12.5	8078.125	0.5	10.0	20.0	15.0	0.0	0.6	22.0	17.0	27.0	10098.0	-0.2647	-0.1176	-1.0000	0.2500	1	1	Medium-sized figure with a base. Slightly larger box for padding.
2505216C3634CF	드래곤볼 msp 베지트 피규어	키덜트 > 피규어/인형 >	1.025	37.0	27.5	16.0	16280.0	0.3	10.0	10.0	15.0	0.0	0.5	22.0	17.0	12.0	4488.0	-0.7073	-0.5122	-1.0000	-0.7243	1	1	Medium-sized figure with some packaging. Slightly larger box for protection.
2505136D2AE033	망가디 멘션 드래곤볼(2개) +원피스(1개)	키덜트 > 피규어/인형 >	4.94	61.0	42.0	32.0	81984.0	0.8	14.0	10.0	21.0	0.0	1.2	20.0	15.0	30.0	9000.0	-0.8381	-0.7571	-1.0000	-0.8902	1	1	Two figures from Dragon Ball Z and one from One Piece. Each figure is medium-sized and comes in a box with minimal padding.
250518D6C773C9	드래곤볼 bwfc 유년기 우유배달 손오공 피규어	키덜트 > 피규어/인형 >	0.48	25.1	21.0	12.5	6588.75	0.3	10.0	10.0	15.0	0.0	0.5	22.0	18.0	18.0	7128.0	-0.3750	0.0417	-1.0000	0.0818	1	1	Medium-sized figure with some packaging. Slightly larger box for protection.
2505170761E488	어나니머스 사이버펑크 엣지러너 레베카 레진 피규어	키덜트 > 피규어/인형 >	1.64	41.0	29.4	21.6	26036.64	0.3	10.0	10.0	15.0	0.0	0.8	30.0	25.0	20.0	15000.0	-0.8171	-0.5122	-1.0000	-0.4239	1	1	Resin figure with a complex pose. Slightly larger box needed for protection.
25051686C5E008	티니핑 쥬얼하트윙폰/티니하트윙	키덜트 > 피규어/인형 >	0.535	26.0	19.9	15.2	7864.48	0.3	7.0	7.0	10.0	0.0	0.25	22.0	17.0	7.0	2618.0	-0.4393	-0.5327	-1.0000	-0.6671	0	1	Includes small electronic toys and accessories. Light materials with minimal packaging.
250515717640F1	드래곤볼 점프 애니버서리 피규어 손오공(새제품)	키덜트 > 피규어/인형 >	0.62	22.6	17.1	14.3	5526.378	0.3	10.0	10.0	15.0	0.0	0.5	22.0	17.0	12.0	4488.0	-0.5161	-0.1935	-1.0000	-0.1879	1	1	Medium-sized figure with some packaging. Slightly larger box for protection.
250513152A4C7F	드래곤볼 Z 매치 메이커스 프리저 . 배지터.손오공 피규어 일괄 핫토이x	키덜트 > 피규어/인형 >	1.46	43.5	26.0	14.0	15834.0	0.3	10.0	10.0	15.0	0.0	1.2	30.0	25.0	25.0	18750.0	-0.7945	-0.1781	-1.0000	0.1842	1	1	Medium-sized collectible figure set with multiple characters and detailed base. Slightly larger box needed for protection.
2505194E9829A2	시나모롤카페 모카 인형 마스코트 단순전시 일괄	키덜트 > 피규어/인형 >	0.785	38.1	27.1	16.4	16933.164	0.3	10.0	10.0	15.0	0.0	0.5	40.0	30.0	20.0	24000.0	-0.6178	-0.3631	-1.0000	0.4173	1	1	Two plush dolls, soft material is light. Box size accommodates both figures.
250516BBF54097	판매) 에프렘클로젯 옷장 퐁드림 블루 10cm 무속성 솜 인형 옷	키덜트 > 피규어/인형 >	0.115	25.0	12.7	6.5	2063.75	0.3	8.0	8.0	8.0	0.0	0.15	15.0	10.0	10.0	1500.0	1.6087	0.3043	-1.0000	-0.2732	1	1	10cm plush doll with soft materials. Box size is slightly larger for minimal padding.
25051564DE62E3	D3 디쓰리 번개드라몬 디지몬 02 레진 피규어	키덜트 > 피규어/인형 >	1.37	36.6	27.8	26.2	26657.976	0.3	10.0	10.0	15.0	0.0	0.6	27.0	22.0	17.0	10098.0	-0.7810	-0.5620	-1.0000	-0.6212	1	1	Resin figure likely around 20-25cm tall. Box size includes minimal padding.
25051055C96E8E	마지막 할인~ 티니핑 해핑 피규어 미개봉	키덜트 > 피규어/인형 >	0.355	28.0	25.2	18.4	12983.04	0.3	10.0	15.0	10.0	0.0	0.25	20.0	15.0	5.0	1500.0	-0.1549	-0.2958	-1.0000	-0.8845	0	1	Figure in retail packaging. Light plastic material with minimal padding.
250508FBDDB7C0	블레이드앤소울 피규어 전세트	키덜트 > 피규어/인형 >	2.49	49.8	38.6	35.2	67664.256	0.8	20.0	15.0	30.0	0.0	1.2	32.0	32.0	12.0	12288.0	-0.6787	-0.5181	-1.0000	-0.8184	1	1	Set of figures likely includes multiple pieces, packed in a slightly larger box with minimal padding.
250504723B13AF	드래곤볼 글리터&글래머러스 부루마 피규어 판매 (정품)	키덜트 > 피규어/인형 >	0.42	24.0	20.0	12.0	5760.0	0.3	10.0	10.0	15.0	0.0	0.6	30.0	25.0	20.0	15000.0	-0.2857	0.4286	-1.0000	1.6042	0	0	Figures are medium-sized collectibles, requiring some padding for protection in packaging.
25050769CF742D	스위치 구관SD 시호 B타입 미백헤드+ 안구 일괄 (급처!)	키덜트 > 피규어/인형 >	0.375	28.0	18.5	12.0	6216.0	0.3	10.0	10.0	15.0	0.0	0.5	32.0	17.0	12.0	6528.0	-0.2000	0.3333	-1.0000	0.0502	0	1	Figure with head and eyes included. Slightly larger box for protection and padding.
25050872097198	토잠토선 망무 마도조사	키덜트 > 피규어/인형 >	0.165	21.5	19.0	9.0	3676.5	0.3	10.0	10.0	15.0	0.0	0.15	20.0	15.0	10.0	3000.0	0.8182	-0.0909	-1.0000	-0.1840	1	1	Two small plush figures. Soft material is light, and they fit in a compact box.
25050262071752	메타몽 워터볼 피규어	키덜트 > 피규어/인형 >	1.735	32.1	22.2	15.5	11045.61	0.3	10.0	10.0	10.0	0.0	0.5	22.0	22.0	18.0	8712.0	-0.8271	-0.7118	-1.0000	-0.2113	1	1	Figure is likely medium-sized with some padding. Box adds minimal size.
250503A47AEE91	포켓몬 라프라스 피카츄 워터볼 피규어 잠실 메타몽 팝업	키덜트 > 피규어/인형 >	1.865	40.2	32.1	20.7	26711.694	0.3	10.0	15.0	10.0	0.0	0.5	22.0	17.0	12.0	4488.0	-0.8391	-0.7319	-1.0000	-0.8320	1	1	Figure likely includes a base and is packed with minimal padding. Estimated size and weight based on typical collectible figures.
25050688D38E14	드래곤볼z kakarot 디오라마 피규어 미개봉	키덜트 > 피규어/인형 >	3.615	57.1	33.7	47.9	92172.533	0.3	10.0	10.0	15.0	0.0	0.6	27.0	22.0	17.0	10098.0	-0.9170	-0.8340	-1.0000	-0.8904	1	1	Diorama figure likely has a box size slightly larger than the figure itself, with minimal padding.
25050700FB8DA1	노박스 SMSP 초사이어인4 손오공 도색 망가디멘션 버전 드래곤볼 피규어	키덜트 > 피규어/인형 >	1.37	28.5	25.1	15.4	11016.39	0.5	10.0	20.0	15.0	0.0	0.8	30.0	25.0	35.0	26250.0	-0.6350	-0.4161	-1.0000	1.3828	1	0	Medium-sized collectible figure with detailed features. Box size includes padding for protection.
250503BD292F4E	우이님 인형 강아지 양도합니다	키덜트 > 피규어/인형 >	0.345	24.6	17.8	17.9	7838.052	0.3	15.0	10.0	20.0	0.0	0.25	25.0	20.0	15.0	7500.0	-0.1304	-0.2754	-1.0000	-0.0431	0	1	Plush dog figure in a box. Soft material is light, with minimal padding.
