order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
25102296E849D3	[대형 제품] 터닝메카드 갓 타나토스 매그넘 (블루랜드)	키덜트 > 피규어/인형 >	30x20x10	30x20x10	0.8	30.0	20.0	10.0	Transforming robot toy with motors and plastic parts. Box size reflects the packed state.
2510014F4FAE45	포켓몬스터 레진 피규어 스케일월드 - forest 흉터 니드킹 복각	키덜트 > 피규어/인형 >	25x20x15	30x25x20	0.8	30.0	25.0	20.0	Large resin figure with detailed features. Slightly larger box needed for protection.
25092106FEC2C3	팝마트 지모모 판매합니다. 미개봉 새상품	키덜트 > 피규어/인형 >	20x15x10	22x17x12	0.4	22.0	17.0	12.0	Figure is likely around 15-20cm tall, with minimal padding needed for packaging.
250524E267DB16	드래곤볼 그란디스타.msp망가디멘션(투디멘션) 손오공 베지터 팝니다.	키덜트 > 피규어/인형 >	25x15x10	25x15x10	0.6	25.0	15.0	10.0	Figures are typically around 15-25cm tall, packed in retail boxes with minimal padding.
250529A5E374E4	무속성 솜인형 10cm 인형옷	키덜트 > 피규어/인형 >	15x10x10	15x10x10	0.15	15.0	10.0	10.0	10cm plush doll with soft material. Box size is slightly larger than the product.
25052630668F0E	무속성 10cm인형 미니파이 양도	키덜트 > 피규어/인형 >	15x10x10	15x10x10	0.15	15.0	10.0	10.0	10cm plush doll in minimal packaging. Soft material is very light.
2505262B855887	드래곤볼 피규어	키덜트 > 피규어/인형 >	20x15x10	22x17x12	0.5	22.0	17.0	12.0	Medium-sized figure from Dragon Ball series. Boxed with minimal padding.
2505259FD9C184	드래곤볼 손오공 망가 디멘션 피규어	키덜트 > 피규어/인형 >	20x15x10	22x17x12	0.5	22.0	17.0	12.0	Medium-sized collectible figure in a retail box. Slightly larger box for padding.
2505243C9A6CE2	무속성 옷 10cm우블플르슈 민트 겨울코트 호그와트망토 토끼 우주복 판매	키덜트 > 피규어/인형 >	25x20x5	25x20x5	0.15	25.0	20.0	5.0	Assorted clothing items for dolls, lightweight and packed in thin plastic. Minimal padding needed.
250521B8E7D101	롯데월드 포켓몬 어트랙션 가챠 미개봉품 피카츄 스핀바스켓	키덜트 > 피규어/인형 >	20x15x5	20x15x5	0.15	20.0	15.0	5.0	Figure set is lightweight and ships in minimal packaging. Dimensions account for the base and figures.
250523945CF00A	드래곤볼 bwfc 손오공 피규어	키덜트 > 피규어/인형 >	20x15x25	22x17x27	0.6	22.0	17.0	27.0	Medium-sized figure with a base. Slightly larger box for padding.
