order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
25093078A2350E	마지셔우드 벨티드 호보	가방/지갑 > 여성가방 > 토트백 >	35x15x25	35x15x25	0.6	35.0	15.0	25.0	Medium-sized hobo bag made of soft material. Minimal padding needed for shipping.
250526D730770E	마지막 가격 투티에 로케백 브라운 스몰 크로커	가방/지갑 > 여성가방 > 토트백 >	30x15x20	32x17x22	0.6	32.0	17.0	22.0	Small tote bag with structured shape. Slightly larger box needed for minimal padding.
2505220F06D951	[정품] 마지셔우드 소프트 토트백 푸시아 핑크 누벅	가방/지갑 > 여성가방 > 토트백 >	30x15x20	32x17x22	0.5	32.0	17.0	22.0	Soft tote bag made of nubuck material. Estimated size includes minimal padding for shipping.
250516EA870375	구찌 토트백	가방/지갑 > 여성가방 > 토트백 >	35x25x15	35x25x15	0.6	35.0	25.0	15.0	Tote bag made of fabric and leather, estimated size based on typical dimensions for similar bags.
25051527DA3C32	투티에 파라렐토드&숄더백.실물이 더~멋짐	가방/지갑 > 여성가방 > 토트백 >	40x15x25	42x17x27	0.8	42.0	17.0	27.0	Tote bag with minimal padding in a box. Estimated size includes slight extra for packaging.
2505182EBAA41A	사르투 타이 토트백 토프컬러 더스트백 포함	가방/지갑 > 여성가방 > 토트백 >	35x25x15	37x27x17	0.8	37.0	27.0	17.0	Tote bag with a dust bag included. Slightly larger box for minimal padding.
250517879545F0	(정품)펜디 가방 바게트백 맘마백 주카백	가방/지갑 > 여성가방 > 토트백 >	30x10x15	32x12x17	0.4	32.0	12.0	17.0	Tote bag with a compact design. Minimal padding needed for shipping.
2505111BD4D138	(새제품 커버 및 박스포함/ 정가329,000)오소이 폴더브로트백 데님	가방/지갑 > 여성가방 > 토트백 >	30x10x20	32x12x22	0.4	32.0	12.0	22.0	Denim tote bag with minimal padding. Estimated packed size includes slight extra for box.
250516B5A71412	펜디 미니 쇼퍼백	가방/지갑 > 여성가방 > 토트백 >	30x15x25	32x17x27	0.5	32.0	17.0	27.0	Mini tote bag with a structured shape. Slightly larger box needed for minimal padding.
250512E942093A	[29EDITION] mini box bag (navy dot)	여성가방 > 토트백	30x25x15	32x27x18	0.6	32.0	27.0	18.0	Mini box bag with a structured shape. Slightly larger box for minimal padding.
250508757F1899	펜디 패브릭 미니 보스턴백	가방/지갑 > 여성가방 > 토트백 >	30x20x15	32x22x17	0.6	32.0	22.0	17.0	Mini Boston bag with soft fabric and leather components. Slightly larger box for minimal padding.
25050915DEA594	mfnt엠에프엔티 플레이 볼드 스몰백 중고 팝니다	가방/지갑 > 여성가방 > 토트백 >	30x25x15	32x27x17	0.6	32.0	27.0	17.0	Small tote bag with minimal padding. Estimated dimensions based on typical small bag size.
250503D5D9139C	로사케이 카바스 모노그램 토트 S	가방/지갑 > 여성가방 > 토트백 >	30x25x10	32x27x12	0.5	32.0	27.0	12.0	Small tote bag with minimal padding. Lightweight material.
250424FA3A598F	정품)구찌가방	가방/지갑 > 여성가방 > 토트백 >	35x25x15	37x27x17	0.8	37.0	27.0	17.0	Tote bag with structured design. Slightly larger box needed for minimal padding.
250422C07C7415	린도 오똔백 스몰 브라운	가방/지갑 > 여성가방 > 토트백 >	25x20x10	27x22x12	0.5	27.0	22.0	12.0	Small tote bag made of leather. Slightly larger box for minimal padding.
2504224C1F05FC	Stereo Bag 스테레오백 / 레드 와인	여성가방 > 토트백	25x15x10	25x15x10	0.4	25.0	15.0	10.0	Tote bag with a compact design. Light material with minimal padding.
250414FB39DA2E	펜디 피카부 토트백	가방/지갑 > 여성가방 > 토트백 >	30x25x10	32x27x12	0.5	32.0	27.0	12.0	Tote bag with soft material. Slightly larger box needed for minimal padding.
250409F03567C6	새상품) 분크 필굿 토트 스몰 라벤더	가방/지갑 > 여성가방 > 토트백 >	30x20x15	32x22x17	0.6	32.0	22.0	17.0	Small tote bag made of soft material. Slightly larger box for minimal padding.
2504100183B9A5	구찌 토트백 숄더백	가방/지갑 > 여성가방 > 토트백 >	40x30x15	40x30x15	0.6	40.0	30.0	15.0	Tote bag made of soft material, estimated size and weight based on typical dimensions for similar bags.
25040918149F0D	펜디 브라운 미니 토트백	가방/지갑 > 여성가방 > 토트백 >	30x20x15	32x22x17	0.5	32.0	22.0	17.0	Mini tote bag with soft material. Slightly larger box for minimal padding.
250409FDC0E63C	펜디 맘마백 데님	가방/지갑 > 여성가방 > 토트백 >	30x25x10	32x27x12	0.5	32.0	27.0	12.0	Tote bag made of denim material, estimated size includes minimal padding for protection.
2504094D963F1C	프라다 나일론 토트백 블랙	가방/지갑 > 여성가방 > 토트백 >	40x20x25	42x22x27	0.6	42.0	22.0	27.0	Tote bag made of nylon, lightweight material. Slightly larger box for minimal padding.
25040800A24AC5	분크 토크 토트 Bebe Pink	가방/지갑 > 여성가방 > 토트백 >	30x20x15	32x22x17	0.6	32.0	22.0	17.0	Tote bag with a structured design. Slightly larger box needed for minimal padding.
25040828561E52	펜디 FENDI 토트백 (무료배송)	가방/지갑 > 여성가방 > 토트백 >	35x25x15	37x27x17	0.8	37.0	27.0	17.0	Tote bag is made of leather, estimated packed size includes minimal padding.
2504036DAE6680	분크 토크 토트 스몰 블랙 (악세사리 포함)	가방/지갑 > 여성가방 > 토트백 >	30x20x15	32x22x17	0.6	32.0	22.0	17.0	Small tote bag with accessories. Slightly larger box for minimal padding.
