order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
251112710A8604	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	7.55	78.5	37.5	40.0	117750.0	5.0	80.0	35.0	40.0	0.0	8.0	45.0	35.0	30.0	47250.0	-0.3377	0.0596	-1.0000	-0.5987	1	1	Bowling bag designed to hold 3 balls. Includes additional storage for accessories, making it heavier.
2511087A1815E1	스톰 롤링 썬더 시그니처 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	7.96	80.0	40.0	41.0	131200.0	2.5	48.0	35.0	77.0	0.0	8.0	45.0	35.0	30.0	47250.0	-0.6859	0.0050	-1.0000	-0.6399	1	1	Bowling bag designed to hold 3 balls, includes additional compartments for accessories. Each ball adds significant weight.
2511026AEFCC45	스톰 롤링 썬더 플러스 3볼 볼링가방 에나멜 (악세사리 파우치 포함) 화이트레드	스포츠/레저>볼링>볼링가방	7.88	82.0	33.0	34.0	92004.0	1.5	35.0	77.0	48.0	0.0	8.5	45.0	35.0	30.0	47250.0	-0.8096	0.0787	-1.0000	-0.4864	1	1	Bowling bag designed to hold 3 balls and includes an accessory pouch. Estimated weight includes the balls.
2510268962FEFD	[ 볼링티 1볼도트 악세사리백 3종스티커 네임텍 선물 ] 햄머 빅 3볼롤러백 블랙실버	스포츠/레저>볼링>볼링가방	8.525	78.0	38.0	40.0	118560.0	6.0	40.0	80.0	40.0	0.0	6.5	45.0	35.0	30.0	47250.0	-0.2962	-0.2375	-1.0000	-0.6015	1	1	Bowling bag designed to hold 3 balls, includes additional accessories. Estimated weight includes the bag and accessories.
251015F49B28CF	스톰 롤링썬더 3볼롤러백+악세서리백 / 볼링가방	구기/라켓 > 볼링용품 > 볼링가방	7.18	81.0	35.0	36.0	102060.0	7.0	42.0	82.0	52.0	0.0	6.5	45.0	30.0	30.0	40500.0	-0.0251	-0.0947	-1.0000	-0.6032	0	1	Bowling bag designed to carry 3 balls plus accessories. Includes additional padding and compartments, making it heavier.
251001D435FC8A	스톰 2024 롤링썬더 시그니처 플러스 3볼 롤러백	구기/라켓 > 볼링용품 > 볼링가방	8.065	90.0	35.5	40.0	127800.0	6.5	38.0	75.0	50.0	0.0	5.5	40.0	30.0	70.0	84000.0	-0.1940	-0.3180	-1.0000	-0.3427	0	1	Bowling bag designed to hold 3 balls, includes wheels and additional compartments. Estimated weight includes the bag and its structure.
250924A88D4EEA	뉴 브런스윅3볼롤러백 매트 차콜그레이 볼링가방 (악세사리백 신발케이스 키링 포함)	스포츠/레저>볼링>볼링가방	8.325	77.5	33.0	45.0	115087.5	7.0	70.0	48.0	45.0	0.0	6.5	45.0	35.0	30.0	47250.0	-0.1592	-0.2192	-1.0000	-0.5894	0	1	Bowling bag designed to hold 3 balls, includes accessory bag and shoe case. Estimated weight includes the bag and accessories.
251006615BAD09	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	7.535	78.0	38.0	41.0	121524.0	26.0	21.0	14.0	28.0	0.0	8.0	45.0	35.0	30.0	47250.0	2.4506	0.0617	-1.0000	-0.6112	1	1	Bowling bag designed to hold 3 balls. Includes additional storage for accessories, making it heavier.
251007FF5D509C	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	7.58	81.0	32.5	44.5	117146.25	7.0	80.0	40.0	35.0	0.0	8.0	45.0	35.0	30.0	47250.0	-0.0765	0.0554	-1.0000	-0.5967	1	1	Bowling bag designed to hold 3 balls. Includes additional storage for accessories, making it heavier.
251007FCB9CB60	2024 뉴 햄머 2볼 롤러백 볼링가방	스포츠/레저>볼링>볼링가방	5.505	59.0	35.5	41.0	85874.5	6.3	21.0	14.0	28.0	0.0	8.0	45.0	35.0	30.0	47250.0	0.1444	0.4532	-1.0000	-0.4498	0	1	Bowling bag designed to hold 2 balls. Includes additional compartments for accessories, making it heavier.
