order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
2505230B77882E	넘버즈인 글루타치온씨 흔적 앰플샷 30ml	화장품/미용>스킨케어>에센스	10x5x15	10x5x15	0.15	10.0	5.0	15.0	30ml serum in a small box. Light weight with minimal packaging.
250429B4F9FBD7	세포랩 세리포리아 락세라타 클렙스 바이오제닉 퍼스트 에센스 155ml 모공축소 탄력 주름	화장품/미용>스킨케어>에센스	7x7x15	8x8x16	0.25	8.0	8.0	16.0	Essence bottle is rigid and slightly larger for packaging. Light weight due to glass material.
25042013F33CAD	1+1 메디큐브 PDRN 핑크 앰플 30ml+30ml	화장품/미용>스킨케어>에센스	12x8x15	12x8x15	0.25	12.0	8.0	15.0	Two 30ml serum bottles. Minimal packaging needed for lightweight cosmetic products.
250513776AACFA	[수분 충전]아벤느 이드랑스 에센스 인 로션 200ml 2입기획	뷰티 > 더모 코스메틱 > 스킨케어 > 에센스/세럼	15x6x20	15x6x20	0.5	15.0	6.0	20.0	Two 200ml bottles of essence in minimal packaging. Light weight due to liquid content.
250502079F14AC	이자녹스 시카 콜라겐 리프팅 앰플 30ml	화장품/미용>스킨케어>에센스	10x5x15	12x7x17	0.15	12.0	7.0	17.0	30ml essence in a glass bottle with minimal packaging. Light weight.
250504D7EFD8C6	에스트라 리제덤 365 모공탄력 캡슐세럼 30ml 기획 (+세럼15ml+크림 10ml+아이세럼 3ml)	뷰티 > 더모 코스메틱 > 스킨케어 > 에센스/세럼	15x10x5	15x10x5	0.15	15.0	10.0	5.0	The product includes a 30ml serum and additional smaller items, all of which are light and can be packaged compactly.
250426AA0F73E8	브이티코스메틱 VT 리들샷 300 50ml	화장품/미용>스킨케어>에센스	6x6x15	8x8x18	0.15	8.0	8.0	18.0	50ml essence in a rigid bottle. Minimal padding added for shipping.
250423806DF2F2	[정품] ANJO 앙쥬 24K 골드 래디언스 스킨 에센스150ml 기미 미백 2개	화장품/미용>스킨케어>에센스	20x10x5	22x12x7	0.35	22.0	12.0	7.0	Two 150ml essence bottles. Light weight with minimal packaging.
2504189501920E	여드름 앰플 아누아 어성초 80 수분진정 앰플 30ml 737022	화장품/미용>스킨케어>에센스	6x6x15	8x8x18	0.15	8.0	8.0	18.0	30ml essence in a glass bottle with minimal packaging. Light weight.
250416075638E4	스킨푸드 로열허니 프로폴리스 인리치 에센스 50ml x 2개입	화장품/미용>스킨케어>에센스	12x8x15	12x8x15	0.15	12.0	8.0	15.0	Two 50ml essence bottles. Compact size with minimal packaging.
250417509A80D8	스킨푸드 캐롯 카로틴 모이스트 이펙터 52ml	화장품/미용>스킨케어>에센스	6x6x12	8x8x14	0.15	8.0	8.0	14.0	Essence bottle is small and lightweight, with minimal packaging needed.
250413CB6BF08C	하움 헤어 향 좋은 에센스 노워시 트리트먼트	화장품/미용>헤어케어>헤어에센스	15x5x5	15x5x5	0.15	15.0	5.0	5.0	Hair essence in a tube, minimal packaging needed. Light weight.
2504097A16658D	BRTC 멜라이트 C-20 앰플 15ml	화장품/미용>스킨케어>에센스	5x5x15	6x6x16	0.1	6.0	6.0	16.0	15ml essence in a small bottle. Minimal packaging needed.
250328FDDFE401	조선미녀 맑은쌀 꿀채운 마스크	화장품/미용>스킨케어>에센스	10x10x8	12x12x10	0.25	12.0	12.0	10.0	Essence mask in a rigid jar. Minimal padding added for shipping.
25032959B393EA	글루타치온 토닝 부스팅 앰플	홈 > 화장품 > 에센스·앰플·세럼 >	6x6x15	8x8x18	0.15	8.0	8.0	18.0	Ampoule is a small, rigid container. Minimal padding added for shipping.
25032603B88FA0	아도르 퍼퓸 헤어 오일 에센스 30ml 4종 택 1	화장품/미용>헤어케어>헤어에센스	6x6x12	8x8x14	0.1	8.0	8.0	14.0	30ml hair oil in a glass bottle. Minimal packaging needed for a small cosmetic item.
2503173D6B92C3	미쟝센 퍼펙트 코코워터 헤어 세럼 오일 80ml	화장품/미용>헤어케어>헤어에센스	6x6x15	8x8x18	0.15	8.0	8.0	18.0	Hair serum in a glass bottle. Minimal packaging needed for protection.
2503258BD1B9A5	니프니프 비타 PDRN 잡티 톤업 토닝 앰플 20ml, 3개	화장품/미용>스킨케어>에센스	20x10x10	22x12x12	0.25	22.0	12.0	12.0	Three 20ml essence bottles. Minimal packaging with slight padding.
2503231746EE18	[NEW/더블기획] 씨퓨리 닥터33 탈모앰플 20ml+20ml	뷰티 > 헤어케어 > 헤어에센스 > 헤어워터	15x5x5	15x5x5	0.1	15.0	5.0	5.0	Two 20ml ampoules in minimal packaging. Very light and compact.
25031372651DBA	토리든 다이브인 저분자 히알루론산 세럼 50ml	화장품/미용>스킨케어>에센스	6x6x15	8x8x18	0.15	8.0	8.0	18.0	50ml serum in a glass bottle. Minimal packaging needed for protection.
250320652F92DC	토리든 밸런스풀 시카 진정 세럼 50ml	화장품/미용>스킨케어>에센스	5x5x15	7x7x17	0.15	7.0	7.0	17.0	50ml serum in a glass bottle. Minimal packaging needed for protection.
250320D3F5CBE5	마녀공장 비피다 바이옴 앰플 패드 70매	화장품/미용>스킨케어>에센스	10x10x10	12x12x12	0.25	12.0	12.0	12.0	Ampoule pad container is compact and lightweight, with minimal packaging.
