order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
250521ED195A60	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.935	27.0	20.0	18.0	9720.0	0.3	11.0	2.0	15.0	0.0	0.15	22.0	16.0	2.0	704.0	-0.8450	-0.9225	-1.0000	-0.9276	0	1	A5/A6 acrylic binder cover, lightweight and minimal packaging.
2505174351EEA1	눕시 패딩 다이어리커버 북커버 넓은ver	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.2	21.7	18.8	8.0	3263.68	0.4	15.0	2.0	20.0	0.0	0.25	25.0	18.0	3.0	1350.0	1.0000	0.2500	-1.0000	-0.5864	1	1	Wide padded diary cover, lightweight and compact.
2505138086CA60	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.22	27.4	19.9	18.4	10032.784	0.3	11.0	2.0	15.0	0.0	0.15	22.0	16.0	2.0	704.0	-0.7541	-0.8770	-1.0000	-0.9298	0	1	A5 binder cover, lightweight acrylic material, minimal packaging.
2505050AC94E30	다이어리 아크릴 바인더 커버 육공 A6 다이어리꾸미기 굿즈 다꾸용품	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.675	23.1	15.9	11.7	4297.293	0.3	15.0	2.0	10.0	0.0	0.15	16.0	11.0	1.0	176.0	-0.8209	-0.9104	-1.0000	-0.9590	0	1	A6 acrylic binder cover is thin and lightweight, suitable for stationery.
2505038D43DAF3	[북커버] 시그니처 코듀로이 - 책 다이어리 패브릭 커버 국판 신국판 B6 북마크 바인더	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.155	25.3	14.2	4.5	1616.67	0.3	15.0	2.0	10.0	0.0	0.25	18.0	12.0	3.0	648.0	0.9355	0.6129	-1.0000	-0.5992	1	1	B6 fabric cover for a binder, lightweight and compact.
2505012F3B9966	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.975	32.7	28.5	20.4	19011.78	0.3	11.0	2.0	15.0	0.0	0.15	22.0	16.0	2.0	704.0	-0.8481	-0.9241	-1.0000	-0.9630	0	1	A5/A6 acrylic binder cover, lightweight and minimal packaging.
250428ED67D822	미뉴잇 마카롱 포카바인더 6공 다이어리 커버 현금 A6 바인더	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.03	31.8	24.7	20.9	16416.114	0.3	2.0	21.0	15.0	0.0	0.25	16.0	11.0	3.0	528.0	-0.7087	-0.7573	-1.0000	-0.9678	0	1	A6 binder cover with minimal padding, lightweight material.
250417AE9511DE	물결 무광 아크릴바인더 현금다이어리 현금생활 아크릴다이어리 화이트	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.195	21.7	21.4	3.3	1532.454	0.4	18.0	4.0	21.0	0.0	0.25	25.0	15.0	3.0	1125.0	1.0513	0.2821	-1.0000	-0.2659	1	1	Acrylic binder with a compact design, lightweight material.
2504168A7E0C9C	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.895	27.7	18.2	21.4	10788.596	0.3	11.0	2.0	15.0	0.0	0.15	22.0	16.0	2.0	704.0	-0.8417	-0.9208	-1.0000	-0.9347	0	1	A5/A6 acrylic binder cover, lightweight and minimal packaging.
2504080E328BCE	물결 무광 아크릴바인더 현금다이어리 현금생활 아크릴다이어리 화이트	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.31	22.0	19.5	9.0	3861.0	0.4	18.0	4.0	21.0	0.0	0.25	25.0	15.0	3.0	1125.0	0.2903	-0.1935	-1.0000	-0.7086	1	1	Acrylic binder with a compact design, lightweight material.
250327FDB4362C	나의 여름 북 커버	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.365	15.2	25.4	20.5	7914.64	0.3	25.0	2.0	20.0	0.0	0.15	22.0	16.0	3.0	1056.0	-0.1781	-0.5890	-1.0000	-0.8666	0	1	Binder cover made of soft material, lightweight and compact.
250308F6CA3EBB	뉴미니 3공 가죽 지갑 바인더 다이어리 기인돼지	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.165	10.6	15.9	7.5	1264.05	0.4	15.0	3.0	10.0	0.0	0.25	15.0	12.0	4.0	720.0	1.4242	0.5152	-1.0000	-0.4304	1	1	Compact leather binder wallet. Lightweight despite its material.
25031257FDEF3A	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	1.815	20.0	27.5	18.5	10175.0	0.3	11.0	2.0	15.0	0.0	0.15	22.0	16.0	2.0	704.0	-0.8347	-0.9174	-1.0000	-0.9308	0	1	A5 binder cover, lightweight acrylic material with minimal packaging.
2503071DF23D9A	하이레나 A6 A5 6공 다이어리 투명 아크릴 바인더 현금생활	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.465	15.6	21.7	8.8	2978.976	0.4	15.0	5.0	20.0	0.0	0.25	22.0	16.0	4.0	1408.0	-0.1398	-0.4624	-1.0000	-0.5274	0	1	A6/A5 binder made of acrylic, lightweight and compact design.
2502165EA452E6	[흠냐냐] 다이어리 커버(다양한 사이즈 추가!)	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.22	16.1	26.0	15.8	6613.88	0.3	10.0	2.0	12.5	0.0	0.15	20.0	15.0	3.0	900.0	0.3636	-0.3182	-1.0000	-0.8639	1	1	Diary covers are typically lightweight and compact, with minimal padding.
250124055DC274	[흠냐냐] 오므라이스, 메론빵 북커버	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.195	20.5	17.5	11.0	3946.25	0.3	22.0	1.0	15.0	0.0	0.25	30.0	22.0	5.0	3300.0	0.5385	0.2821	-1.0000	-0.1638	1	1	Two plush book covers with soft material, lightweight despite size.
250125E67F3FE7	아크릴 경첩 바인더	생활/건강>문구/사무용품>파일/바인더>바인더	1.32	27.0	20.0	18.0	9720.0	0.8	18.0	4.0	21.0	0.0	0.25	25.0	20.0	5.0	2500.0	-0.3939	-0.8106	-1.0000	-0.7428	0	1	Acrylic binder with a compact design, lightweight despite its size.
250127CE8758B2	하이하바 3공 A4 D링 투명 포카바인더 1개 (속지, 콜렉트북, 포켓커버, 포토카드)	생활/건강>문구/사무용품>파일/바인더>바인더	0.89	35.0	30.0	8.0	8400.0	0.4	25.0	4.0	20.0	0.0	0.25	25.0	20.0	5.0	2500.0	-0.5506	-0.7191	-1.0000	-0.7024	0	1	A4 D-ring binder with pockets and covers, lightweight and compact.
250131A270C6E1	뉴A9 가죽 다이어리 3공 현금 바인더 기인돼지	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.19	16.0	11.0	7.0	1232.0	0.8	25.0	5.0	20.0	0.0	0.25	15.0	15.0	4.0	900.0	3.2105	0.3158	-1.0000	-0.2695	1	1	Compact leather binder with minimal padding. Lightweight and small.
25010276F997AD	뉴A9 가죽 다이어리 3공 현금 바인더 기인돼지	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.22	17.0	12.0	13.0	2652.0	0.8	25.0	4.0	20.0	0.0	0.25	15.0	12.0	5.0	900.0	2.6364	0.1364	-1.0000	-0.6606	1	1	Compact leather binder with minimal padding. Lightweight despite material.
250111FD6456E1	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	2.105	39.0	33.5	22.0	28743.0	0.3	11.0	2.0	15.0	0.0	0.15	22.0	16.0	2.0	704.0	-0.8575	-0.9287	-1.0000	-0.9755	0	1	A5/A6 acrylic binder cover, lightweight and minimal packaging.
24123008B5CC5B	미드나잇월렛다이어리	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.305	30.0	17.0	6.0	3060.0	0.4	15.0	3.0	20.0	0.0	0.25	15.0	10.0	4.0	600.0	0.3115	-0.1803	-1.0000	-0.8039	1	1	Compact wallet diary, lightweight and small size.
241230BD8F066C	오타코 A5 와이드 바인더 5포켓 6포켓 깔끔한 디자인 포토카드 정리 3공 포카	생활/건강>문구/사무용품>파일/바인더>바인더	0.745	36.0	26.5	8.5	8109.0	0.4	25.0	4.0	20.0	0.0	0.25	25.0	20.0	5.0	2500.0	-0.4631	-0.6644	-1.0000	-0.6917	0	1	A5 wide binder designed for photo cards, lightweight with minimal padding.
24120593B65A9D	보노 A5 A6 아크릴 6공 경첩 바인더 커버 단품 현금생활 포토카드	생활/건강>문구/사무용품>다이어리/플래너>바인더	2.0	35.0	27.0	18.0	17010.0	0.3	11.0	2.0	15.0	0.0	0.15	22.0	16.0	2.0	704.0	-0.8500	-0.9250	-1.0000	-0.9586	0	1	A5/A6 acrylic binder cover, lightweight and minimal packaging.
2411215E3DAD4E	하이레나 A6 6공 다이어리 투명 아크릴 바인더 현금생활	생활/건강>문구/사무용품>다이어리/플래너>바인더	4.805	44.0	28.5	18.0	22572.0	0.4	15.0	5.0	20.0	0.0	0.25	16.0	12.0	3.0	576.0	-0.9168	-0.9480	-1.0000	-0.9745	0	1	A6 binder with transparent acrylic material. Lightweight and compact.
24112258C7E60A	[ Sleepsheep ] M5 미니 5공 실버 월렛 다이어리	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.24	18.0	15.0	12.0	3240.0	0.3	15.0	2.0	10.0	0.0	0.25	15.0	11.0	4.0	660.0	0.2500	0.0417	-1.0000	-0.7963	1	1	Mini wallet diary with a compact design. Lightweight material.
2411134EA53BC2	[ Sleepsheep ] M5 미니 5공 실버 월렛 다이어리	생활/건강>문구/사무용품>다이어리/플래너>바인더	0.25	19.5	18.0	8.0	2808.0	0.3	15.0	2.0	10.0	0.0	0.25	15.0	11.0	4.0	660.0	0.2000	0.0000	-1.0000	-0.7650	1	1	Mini wallet diary with a compact design. Lightweight and includes minimal padding.
