order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
25102296E849D3	[대형 제품] 터닝메카드 갓 타나토스 매그넘 (블루랜드)	키덜트 > 피규어/인형 >	30x20x15	30x20x15	0.75	30.0	20.0	15.0	Large transforming robot toy with packaging. Estimated size and weight based on typical dimensions for similar products.
2510014F4FAE45	포켓몬스터 레진 피규어 스케일월드 - forest 흉터 니드킹 복각	키덜트 > 피규어/인형 >	30x25x20	32x27x22	1.2	32.0	27.0	22.0	Large resin figure with significant detail. Estimated size and weight based on similar collectible figures.
25092106FEC2C3	팝마트 지모모 판매합니다. 미개봉 새상품	키덜트 > 피규어/인형 >	20x15x10	22x17x12	0.25	22.0	17.0	12.0	Medium-sized collectible figure with soft material, packed with minimal padding.
250524E267DB16	드래곤볼 그란디스타.msp망가디멘션(투디멘션) 손오공 베지터 팝니다.	키덜트 > 피규어/인형 >	25x20x35	25x20x35	1.2	25.0	20.0	35.0	Two medium-sized figures (Goku and Vegeta) in packaging. Estimated weight includes box and padding.
250529A5E374E4	무속성 솜인형 10cm 인형옷	키덜트 > 피규어/인형 >	15x12x10	15x12x10	0.12	15.0	12.0	10.0	10cm plush doll with soft material, light despite size.
25052630668F0E	무속성 10cm인형 미니파이 양도	키덜트 > 피규어/인형 >	15x12x10	15x12x10	0.12	15.0	12.0	10.0	10cm plush doll, soft material is light despite size.
2505262B855887	드래곤볼 피규어	키덜트 > 피규어/인형 >	20x15x30	20x15x30	0.65	20.0	15.0	30.0	Medium-sized Dragon Ball figure, typical weight for collectible figures.
2505259FD9C184	드래곤볼 손오공 망가 디멘션 피규어	키덜트 > 피규어/인형 >	20x15x30	20x15x30	0.65	20.0	15.0	30.0	Medium-sized collectible figure with packaging. Estimated weight includes the figure and box.
2505243C9A6CE2	무속성 옷 10cm우블플르슈 민트 겨울코트 호그와트망토 토끼 우주복 판매	키덜트 > 피규어/인형 >	25x20x5	25x20x5	0.25	25.0	20.0	5.0	Assorted clothing items for a 10cm plush figure, lightweight and packed in minimal packaging.
250521B8E7D101	롯데월드 포켓몬 어트랙션 가챠 미개봉품 피카츄 스핀바스켓	키덜트 > 피규어/인형 >	20x15x10	20x15x10	0.25	20.0	15.0	10.0	Small collectible figure set with light plastic material.
250523945CF00A	드래곤볼 bwfc 손오공 피규어	키덜트 > 피규어/인형 >	25x20x15	25x20x15	0.45	25.0	20.0	15.0	Medium-sized figurine with base. Estimated weight includes packaging.
2505216C3634CF	드래곤볼 msp 베지트 피규어	키덜트 > 피규어/인형 >	20x15x25	20x15x25	0.55	20.0	15.0	25.0	Medium-sized figure from the Dragon Ball series, packed in a box with minimal padding.
2505136D2AE033	망가디 멘션 드래곤볼(2개) +원피스(1개)	키덜트 > 피규어/인형 >	25x20x15	25x20x15	0.75	25.0	20.0	15.0	Two Dragon Ball figures and one One Piece figure, estimated based on typical medium-sized collectible figures.
250518D6C773C9	드래곤볼 bwfc 유년기 우유배달 손오공 피규어	키덜트 > 피규어/인형 >	20x15x25	20x15x25	0.45	20.0	15.0	25.0	Medium-sized figure of Son Goku with packaging. Estimated weight includes figure and box.
2505170761E488	어나니머스 사이버펑크 엣지러너 레베카 레진 피규어	키덜트 > 피규어/인형 >	30x20x25	32x22x27	1.2	32.0	22.0	27.0	Medium-sized resin figure with detailed base. Estimated weight includes packaging.
25051686C5E008	티니핑 쥬얼하트윙폰/티니하트윙	키덜트 > 피규어/인형 >	20x15x5	22x17x7	0.25	22.0	17.0	7.0	Includes a small electronic toy and accessories, estimated packed size with minimal padding.
250515717640F1	드래곤볼 점프 애니버서리 피규어 손오공(새제품)	키덜트 > 피규어/인형 >	25x15x15	25x15x15	0.45	25.0	15.0	15.0	Medium-sized collectible figure with packaging. Estimated weight includes figure and box.
250513152A4C7F	드래곤볼 Z 매치 메이커스 프리저 . 배지터.손오공 피규어 일괄 핫토이x	키덜트 > 피규어/인형 >	30x25x20	32x27x22	1.2	32.0	27.0	22.0	Large collectible figure set with multiple characters and detailed base. Heavier due to materials.
2505194E9829A2	시나모롤카페 모카 인형 마스코트 단순전시 일괄	키덜트 > 피규어/인형 >	30x25x20	30x25x20	0.55	30.0	25.0	20.0	Two plush figures, one larger and one smaller, soft material keeps weight light despite size.
250516BBF54097	판매) 에프렘클로젯 옷장 퐁드림 블루 10cm 무속성 솜 인형 옷	키덜트 > 피규어/인형 >	15x10x10	15x10x10	0.12	15.0	10.0	10.0	10cm plush doll with soft materials, light despite size.
25051564DE62E3	D3 디쓰리 번개드라몬 디지몬 02 레진 피규어	키덜트 > 피규어/인형 >	30x20x15	32x22x18	0.75	32.0	22.0	18.0	Medium-sized resin figure with detailed features. Estimated packed size includes padding.
