order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
25093078A2350E	마지셔우드 벨티드 호보	가방/지갑 > 여성가방 > 토트백 >	0.78	37.0	12.5	28.5	13181.25	1.1	25.0	40.0	15.0	0.0	0.65	40.0	15.0	30.0	18000.0	0.4103	-0.1667	-1.0000	0.3656	1	1	Medium-sized hobo bag, estimated weight includes soft material and minimal padding.
250526D730770E	마지막 가격 투티에 로케백 브라운 스몰 크로커	가방/지갑 > 여성가방 > 토트백 >	0.765	31.7	23.7	14.0	10518.06	0.8	15.0	10.0	20.0	0.0	0.65	30.0	15.0	20.0	9000.0	0.0458	-0.1503	-1.0000	-0.1443	0	1	Small tote bag with structured design. Estimated weight includes material and minimal padding.
2505220F06D951	[정품] 마지셔우드 소프트 토트백 푸시아 핑크 누벅	가방/지갑 > 여성가방 > 토트백 >	1.005	39.5	25.5	16.0	16116.0	0.8	20.0	10.0	15.0	0.0	0.6	30.0	20.0	15.0	9000.0	-0.2040	-0.4030	-1.0000	-0.4415	0	1	Soft tote bag, estimated size and weight based on typical dimensions for similar bags.
250516EA870375	구찌 토트백	가방/지갑 > 여성가방 > 토트백 >	1.075	37.7	24.6	16.1	14931.462	0.8	30.0	10.0	25.0	0.0	0.75	35.0	25.0	15.0	13125.0	-0.2558	-0.3023	-1.0000	-0.1210	0	1	Tote bag with soft material, estimated weight based on typical medium-sized bags.
25051527DA3C32	투티에 파라렐토드&숄더백.실물이 더~멋짐	가방/지갑 > 여성가방 > 토트백 >	2.005	43.3	29.3	21.6	27403.704	0.8	20.0	10.0	15.0	0.0	0.75	40.0	15.0	25.0	15000.0	-0.6010	-0.6259	-1.0000	-0.4526	0	1	Tote bag with a structured design, estimated weight includes the bag and packaging.
2505182EBAA41A	사르투 타이 토트백 토프컬러 더스트백 포함	가방/지갑 > 여성가방 > 토트백 >	1.0	39.9	30.1	10.6	12730.494	0.8	20.0	10.0	15.0	0.0	0.75	35.0	25.0	15.0	13125.0	-0.2000	-0.2500	-1.0000	0.0310	0	1	Medium-sized tote bag with dust bag included. Estimate based on typical dimensions and weight for similar bags.
250517879545F0	(정품)펜디 가방 바게트백 맘마백 주카백	가방/지갑 > 여성가방 > 토트백 >	0.565	38.1	20.8	13.1	10381.488	0.8	28.0	10.0	21.0	0.0	0.45	32.0	12.0	17.0	6528.0	0.4159	-0.2035	-1.0000	-0.3712	1	1	Tote bag with a compact design. Estimated weight includes the bag and packaging.
2505111BD4D138	(새제품 커버 및 박스포함/ 정가329,000)오소이 폴더브로트백 데님	가방/지갑 > 여성가방 > 토트백 >	2.005	47.9	38.3	30.3	55587.471	0.8	20.0	10.0	15.0	0.0	0.45	32.0	12.0	22.0	8448.0	-0.6010	-0.7756	-1.0000	-0.8480	0	1	Denim tote bag with a compact design. Estimated weight includes bag and packaging.
250516B5A71412	펜디 미니 쇼퍼백	가방/지갑 > 여성가방 > 토트백 >	0.61	35.2	24.4	18.6	15975.168	0.4	18.0	8.0	21.0	0.0	0.45	30.0	15.0	25.0	11250.0	-0.3443	-0.2623	-1.0000	-0.2958	1	1	Mini tote bag, lightweight material, estimated dimensions based on typical small handbag size.
250512E942093A	[29EDITION] mini box bag (navy dot)	여성가방 > 토트백	0.845	39.5	32.1	13.5	17117.325	0.4	18.0	8.0	21.0	0.0	0.6	30.0	25.0	15.0	11250.0	-0.5266	-0.2899	-1.0000	-0.3428	1	1	Mini box bag with a compact design. Estimated weight includes the bag material and minimal packaging.
250508757F1899	펜디 패브릭 미니 보스턴백	가방/지갑 > 여성가방 > 토트백 >	0.94	32.0	25.9	20.6	17073.28	0.8	20.0	10.0	15.0	0.0	0.65	30.0	20.0	15.0	9000.0	-0.1489	-0.3085	-1.0000	-0.4729	0	1	Mini Boston bag, compact size with soft fabric and leather, estimated weight based on similar bags.
