order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
2505220BC1F5D1	버즈3프로 갤럭시 버즈3 프로 전용 이어팁 변환캡 디비누스 어뎁터 S1	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.08	21.5	12.0	7.0	1806.0	0.02	5.0	5.0	5.0	0.0	0.05	12.0	10.0	6.0	720.0	-0.7500	-0.3750	-1.0000	-0.6013	1	1	Adapter for earbuds, small and lightweight with minimal packaging.
250520ADCBA875	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.07	21.0	10.0	3.5	735.0	0.02	5.0	2.0	5.0	0.0	0.02	10.0	10.0	5.0	500.0	-0.7143	-0.7143	-1.0000	-0.3197	0	1	Ear tips are small and lightweight, packaged in a minimal box.
25043062FDBFE8	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.11	15.6	12.5	13.7	2671.5	0.02	4.0	2.0	4.0	0.0	0.02	10.0	10.0	5.0	500.0	-0.8182	-0.8182	-1.0000	-0.8128	0	1	Ear tips are small and lightweight, packaged in a minimal box.
250504CBCEEFDB	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.095	18.9	11.8	9.6	2140.992	0.02	5.0	2.0	5.0	0.0	0.02	10.0	10.0	5.0	500.0	-0.7895	-0.7895	-1.0000	-0.7665	0	1	Ear tips are small and lightweight, packaged in a minimal box.
2504292A93822F	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.09	20.2	10.2	10.3	2122.212	0.02	5.0	2.0	5.0	0.0	0.02	10.0	10.0	5.0	500.0	-0.7778	-0.7778	-1.0000	-0.7644	0	1	Ear tips are small and lightweight, packaged in a minimal box.
2504291D692242	아즈라 맥스 버즈3프로 이어팁 삼성 SMAPP 정품 호환 독일 프리미엄 LSR 이어캡	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.09	15.8	12.1	9.2	1758.856	0.02	4.0	2.0	4.0	0.0	0.05	12.0	12.0	6.0	864.0	-0.7778	-0.4444	-1.0000	-0.5088	1	1	Ear tips are small and lightweight, packed in a minimal box.
250419F464E0FD	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.08	20.7	10.0	6.6	1366.2	0.02	5.0	2.0	5.0	0.0	0.02	10.0	10.0	5.0	500.0	-0.7500	-0.7500	-1.0000	-0.6340	0	1	Ear tips are small and lightweight, packaged in a minimal box.
25042020143EE2	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.06	15.9	10.3	3.9	638.703	0.02	5.0	2.0	5.0	0.0	0.02	10.0	10.0	5.0	500.0	-0.6667	-0.6667	-1.0000	-0.2172	0	1	Ear tips are small and lightweight, packaged in a minimal box.
250416AB32A32C	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.085	17.6	12.0	8.2	1731.84	0.02	5.0	2.0	5.0	0.0	0.02	10.0	10.0	5.0	500.0	-0.7647	-0.7647	-1.0000	-0.7113	0	1	Ear tips are small and lightweight, packaged in a minimal box.
250414014480FB	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.09	15.0	13.0	11.0	2145.0	0.02	5.0	2.0	5.0	0.0	0.02	10.0	10.0	5.0	500.0	-0.7778	-0.7778	-1.0000	-0.7669	0	1	Ear tips are small and lightweight, packaged in a minimal box.
