order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
251112710A8604	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	40x30x80	40x30x80	3.5	40.0	30.0	80.0	Bowling bag designed to hold 3 balls, estimated weight includes bag and minimal padding.
2511087A1815E1	스톰 롤링 썬더 시그니처 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	9.0	45.0	35.0	30.0	Bowling bag designed to hold 3 balls, includes additional compartments for accessories. Estimated weight includes bag and balls.
2511026AEFCC45	스톰 롤링 썬더 플러스 3볼 볼링가방 에나멜 (악세사리 파우치 포함) 화이트레드	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	9.0	45.0	35.0	30.0	Bowling bag designed for 3 balls plus accessory pouch. Estimated weight includes bag and accessories.
2510268962FEFD	[ 볼링티 1볼도트 악세사리백 3종스티커 네임텍 선물 ] 햄머 빅 3볼롤러백 블랙실버	스포츠/레저>볼링>볼링가방	80x40x30	80x40x30	5.5	80.0	40.0	30.0	Bowling bag designed to hold 3 balls with additional accessories. Estimated weight includes bag and accessories.
251015F49B28CF	스톰 롤링썬더 3볼롤러백+악세서리백 / 볼링가방	구기/라켓 > 볼링용품 > 볼링가방	80x40x30	80x40x30	3.5	80.0	40.0	30.0	Bowling bag designed to hold 3 balls plus an accessory bag. Estimated weight includes the bag and accessories.
251001D435FC8A	스톰 2024 롤링썬더 시그니처 플러스 3볼 롤러백	구기/라켓 > 볼링용품 > 볼링가방	80x40x30	80x40x30	3.5	80.0	40.0	30.0	Bowling roller bag designed to hold 3 balls, includes additional compartments for accessories. Estimated weight includes the bag and its contents.
250924A88D4EEA	뉴 브런스윅3볼롤러백 매트 차콜그레이 볼링가방 (악세사리백 신발케이스 키링 포함)	스포츠/레저>볼링>볼링가방	80x40x35	80x40x35	3.5	80.0	40.0	35.0	Bowling bag designed for 3 balls, includes accessory bag and shoe case. Estimated weight includes bag and accessories.
251006615BAD09	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	40x30x80	40x30x80	3.5	40.0	30.0	80.0	Bowling bag designed to hold 3 balls, estimated weight includes bag and minimal padding.
251007FF5D509C	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	40x30x80	40x30x80	3.5	40.0	30.0	80.0	Bowling bag designed to hold 3 balls, estimated weight includes bag and minimal padding.
251007FCB9CB60	2024 뉴 햄머 2볼 롤러백 볼링가방	스포츠/레저>볼링>볼링가방	40x30x70	40x30x70	3.5	40.0	30.0	70.0	Bowling roller bag designed for 2 balls, includes additional storage. Estimated weight includes bag and minimal padding.
250929E8172B0F	2025햄머 3볼 토트백/슈즈백포함 가방 쓰리덩키 Hammer	스포츠/레저>볼링>볼링가방	130x35x30	130x35x30	6.5	130.0	35.0	30.0	Bowling bag designed to hold 3 balls, includes additional shoe compartment. Estimated weight includes bag and equipment.
250923DFCACD0C	스톰 롤링 썬더 시그니처 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	9.0	45.0	35.0	30.0	Bowling bag designed to hold 3 balls, includes additional storage for accessories. Estimated weight includes bag and balls.
250919B4E49D7A	해피볼 브런스윅 뉴 3볼 매트 롤러백 볼링가방 (악세사리파우치, 볼링화 주머니, 키링, 볼링용품 3종 포함)	스포츠/레저>볼링>볼링가방	80x40x30	80x40x30	5.5	80.0	40.0	30.0	Bowling bag designed for 3 balls with additional accessories. Estimated weight includes bag and accessories.
250906BDE20320	해피볼 브런스윅 뉴 3볼 매트 롤러백 볼링가방 (악세사리파우치, 볼링화 주머니, 키링, 볼링용품 3종 포함)	스포츠/레저>볼링>볼링가방	130x40x35	130x40x35	7.5	130.0	40.0	35.0	Bowling bag designed to hold 3 balls plus accessories. Estimated weight includes bag and accessories.
25091485BF4E02	[ 프리미엄 선물 ] 스톰 2024 NEW 볼트 3볼 롤러백 볼링백 볼링가방	스포츠/레저>볼링>볼링가방	40x30x80	40x30x80	3.5	40.0	30.0	80.0	Bowling bag designed to hold 3 balls, includes wheels and compartments, estimated weight for bag alone.
