order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
250530CF6C4A7A	셀바이셀 아줄렌 수딩 토너 1000ml / 약산성 촉촉한스킨 피부과토너	화장품/미용>스킨케어>스킨/토너	2.665	26.9	27.3	15.4	11309.298	1.0	7.0	20.0	7.0	0.0	1.05	10.0	10.0	25.0	2500.0	-0.6248	-0.6060	-1.0000	-0.7789	1	1	1000ml toner bottle with pump. Estimated weight includes packaging.
25052037C0E4E4	[미연x포토카드 A set 증정] 병풀 추출물 토너 300ml	뷰티 > 스킨케어 > 스킨/토너/패드	0.145	20.7	15.5	10.2	3272.67	0.3	6.0	15.0	6.0	0.0	0.35	12.0	6.0	6.0	432.0	1.0690	1.4138	-1.0000	-0.8680	0	1	300ml toner bottle with minimal packaging weight.
250430FA21B48B	일리윤 세라마이드 아토 속보습 스킨 250ml	화장품/미용>스킨케어>스킨/토너	0.42	20.0	16.5	12.0	3960.0	0.25	6.0	20.0	6.0	0.0	0.25	10.0	6.0	6.0	360.0	-0.4048	-0.4048	-1.0000	-0.9091	0	1	250ml skin softener bottle with minimal packaging.
250428B87AB1C5	넘버즈인 1번 진정 맑게담은 청초토너 300ml	화장품/미용>스킨케어>스킨/토너	3.565	39.7	32.7	19.5	25314.705	0.3	6.0	15.0	6.0	0.0	0.35	18.0	6.0	6.0	648.0	-0.9158	-0.9018	-1.0000	-0.9744	1	1	300ml toner bottle with minimal packaging.
2504192179B52F	아누아 어성초 77% 수딩 토너 저자극 토너 500ml 737015	화장품/미용>스킨케어>스킨/토너	5.315	38.4	19.5	25.9	19393.92	0.5	7.0	20.0	7.0	0.0	0.55	12.0	6.0	6.0	432.0	-0.9059	-0.8965	-1.0000	-0.9777	1	1	500ml toner bottle with box packaging. Weight includes the bottle and packaging.
250416A8C7E8C8	아누아 어성초 77% 토너 500ml 1개	화장품/미용>스킨케어>스킨/토너	5.37	35.5	28.1	23.6	23542.18	0.5	7.0	20.0	7.0	0.0	0.35	7.0	7.0	18.0	882.0	-0.9069	-0.9348	-1.0000	-0.9625	0	1	500ml toner bottle with minimal packaging.
25041488175506	넘버즈인 1번 진정 맑게담은 청초토너 300ml	화장품/미용>스킨케어>스킨/토너	3.095	23.8	20.3	12.8	6184.192	0.3	6.0	15.0	6.0	0.0	0.35	18.0	6.0	6.0	648.0	-0.9031	-0.8869	-1.0000	-0.8952	1	1	300ml toner bottle with minimal packaging.
2504086CB8E740	아누아 어성초 77% 수딩 토너 저자극 토너 500ml 737015	화장품/미용>스킨케어>스킨/토너	6.13	22.2	31.9	21.1	14942.598	0.5	7.0	20.0	7.0	0.0	0.55	12.0	6.0	6.0	432.0	-0.9184	-0.9103	-1.0000	-0.9711	1	1	500ml toner bottle with box packaging. Weight includes the bottle and packaging.
250330D9836B71	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.465	25.6	32.4	21.6	17915.904	0.5	8.0	15.0	8.0	0.0	0.35	10.0	10.0	20.0	2000.0	-0.9330	-0.9531	-1.0000	-0.8884	0	1	500ml toner bottle with box packaging. Medium size and weight.
2503242CD5B39C	[복수구매 행사]아누아 어성초 77% 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.4	22.1	29.3	24.2	15670.226	0.5	8.0	20.0	8.0	0.0	0.55	12.0	8.0	20.0	1920.0	-0.9324	-0.9257	-1.0000	-0.8775	1	1	500ml toner bottle with box packaging. Medium size and weight.
25032154AAFAFF	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.105	28.2	34.7	23.8	23289.252	0.5	8.0	15.0	8.0	0.0	0.35	10.0	10.0	20.0	2000.0	-0.9296	-0.9507	-1.0000	-0.9141	0	1	500ml toner bottle with box packaging. Medium weight for a skincare product.
250324E7D2526F	플레이브 메디힐 세트 양도 (세안 밴드 + 쇼핑백 포함)	뷰티/미용 > 스킨케어 > 스킨/토너/미스트 >	1.59	25.3	34.6	21.8	19083.284	0.3	7.0	5.0	12.0	0.0	0.45	25.0	20.0	10.0	5000.0	-0.8113	-0.7170	-1.0000	-0.7380	1	1	Set includes skincare products and a headband, estimated weight based on typical packaging for similar items.
250318A8BEF9FE	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.125	24.2	33.8	31.6	25847.536	0.5	8.0	15.0	8.0	0.0	0.35	7.0	7.0	20.0	980.0	-0.9298	-0.9509	-1.0000	-0.9621	0	1	500ml toner bottle with box packaging. Medium size and weight.
250316906CDF26	브링그린 티트리 시카 수딩 토너 500ml	화장품/미용>스킨케어>스킨/토너	0.675	9.6	20.5	10.1	1987.68	0.5	5.0	18.0	5.0	0.0	0.35	10.0	10.0	18.0	1800.0	-0.2593	-0.4815	-1.0000	-0.0944	0	1	500ml toner bottle with minimal packaging. Standard size for skincare products.
2503101D4652AF	아누아(Anua) 어성초 77 수딩 토너 500ml 1개	스킨케어>스킨/토너>스킨/토너	0.735	18.7	22.9	10.5	4496.415	0.5	7.0	20.0	7.0	0.0	0.55	7.0	7.0	20.0	980.0	-0.3197	-0.2517	-1.0000	-0.7820	1	1	500ml toner bottle with minimal packaging. Standard size for skincare products.
2503076F4922EE	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.75	28.6	35.8	31.0	31740.28	0.5	8.0	15.0	8.0	0.0	0.35	7.0	7.0	20.0	980.0	-0.9355	-0.9548	-1.0000	-0.9691	0	1	500ml toner bottle with box packaging. Medium size and weight.
250303EC44960D	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	6.835	27.4	35.7	25.6	25041.408	0.5	7.0	20.0	7.0	0.0	0.55	10.0	10.0	22.0	2200.0	-0.9268	-0.9195	-1.0000	-0.9121	1	1	500ml toner bottle with minimal packaging. Estimated weight includes bottle and packaging.
25030337F58ACD	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	6.985	27.6	34.9	24.1	23214.084	0.5	7.0	20.0	7.0	0.0	0.55	10.0	10.0	20.0	2000.0	-0.9284	-0.9213	-1.0000	-0.9138	1	1	500ml toner bottle with minimal packaging weight.
2503030FD2628C	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.595	27.8	35.1	24.0	23418.72	0.5	8.0	15.0	8.0	0.0	0.35	10.0	10.0	20.0	2000.0	-0.9342	-0.9539	-1.0000	-0.9146	0	1	500ml toner bottle with box packaging. Medium size and weight.
2503044B0E94F6	아누아(Anua) 어성초 77 수딩 토너 500ml 1개	스킨케어>스킨/토너>스킨/토너	0.705	29.5	15.0	11.0	4867.5	0.5	7.0	20.0	7.0	0.0	0.55	10.0	10.0	22.0	2200.0	-0.2908	-0.2199	-1.0000	-0.5480	1	1	500ml toner bottle with minimal packaging. Slightly heavier due to liquid content.
25022159C48B70	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	6.77	22.1	33.5	23.7	17546.295	0.5	7.0	20.0	7.0	0.0	0.15	12.0	6.0	6.0	432.0	-0.9261	-0.9778	-1.0000	-0.9754	0	1	500ml toner bottle with minimal packaging.
250220503D65D5	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	6.805	32.5	22.0	23.0	16445.0	0.5	7.0	20.0	7.0	0.0	0.55	7.0	7.0	18.0	882.0	-0.9265	-0.9192	-1.0000	-0.9464	1	1	500ml toner bottle with minimal packaging weight.
250219A1D23378	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	6.995	27.9	34.4	23.8	22842.288	0.5	7.0	20.0	7.0	0.0	0.15	12.0	6.0	6.0	432.0	-0.9285	-0.9786	-1.0000	-0.9811	0	1	500ml toner bottle with minimal packaging.
250214F7AC8050	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	6.75	32.5	21.5	33.5	23408.125	0.5	7.0	20.0	7.0	0.0	0.15	12.0	6.0	6.0	432.0	-0.9259	-0.9778	-1.0000	-0.9815	0	1	500ml toner bottle with minimal packaging.
250216AEBC0C37	이즈앤트리 초저분자 히아루론산 토너 300ml	화장품/미용>스킨케어>스킨/토너	0.43	11.6	18.0	8.4	1753.92	0.3	6.0	15.0	6.0	0.0	0.35	10.0	10.0	15.0	1500.0	-0.3023	-0.1860	-1.0000	-0.1448	1	1	300ml toner bottle with minimal packaging weight.
250211DE9A3251	VT 시카 마일드 클렌징 티슈 1+1	스킨케어>스킨/토너>스킨/토너	2.3	33.0	19.0	12.0	7524.0	0.3	10.0	5.0	14.0	0.0	0.25	20.0	12.0	5.0	1200.0	-0.8696	-0.8913	-1.0000	-0.8405	0	1	Two packs of cleansing tissues, compact and lightweight.
250206C1168AAB	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	6.06	35.0	28.0	23.0	22540.0	0.5	7.0	20.0	7.0	0.0	0.35	12.0	6.0	6.0	432.0	-0.9175	-0.9422	-1.0000	-0.9808	0	1	500ml toner bottle with minimal packaging.
250206084840A6	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	6.73	30.0	21.0	23.0	14490.0	0.5	8.0	15.0	8.0	0.0	0.35	10.0	10.0	20.0	2000.0	-0.9257	-0.9480	-1.0000	-0.8620	0	1	500ml toner bottle with box packaging. Medium weight for a liquid product.
25013127187302	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	7.505	34.0	28.5	23.0	22287.0	0.5	7.0	20.0	7.0	0.0	0.35	12.0	6.0	6.0	432.0	-0.9334	-0.9534	-1.0000	-0.9806	0	1	500ml toner bottle with minimal packaging weight.
2501314A341E6E	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	7.08	44.0	33.0	31.5	45738.0	0.5	7.0	20.0	7.0	0.0	0.15	12.0	6.0	6.0	432.0	-0.9294	-0.9788	-1.0000	-0.9906	0	1	500ml toner bottle with minimal packaging.
250201BC1B4A67	아누아 어성초 77% 토너 500ml	화장품/미용>스킨케어>스킨/토너	6.69	35.0	27.0	18.0	17010.0	0.5	7.0	20.0	7.0	0.0	0.15	12.0	6.0	6.0	432.0	-0.9253	-0.9776	-1.0000	-0.9746	0	1	500ml toner bottle with minimal packaging.
