order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
250530CF6C4A7A	셀바이셀 아줄렌 수딩 토너 1000ml / 약산성 촉촉한스킨 피부과토너	화장품/미용>스킨케어>스킨/토너	10x10x25	10x10x25	1.05	10.0	10.0	25.0	1000ml toner bottle with pump. Estimated weight includes packaging.
25052037C0E4E4	[미연x포토카드 A set 증정] 병풀 추출물 토너 300ml	뷰티 > 스킨케어 > 스킨/토너/패드	12x6x6	12x6x6	0.35	12.0	6.0	6.0	300ml toner bottle with minimal packaging weight.
250430FA21B48B	일리윤 세라마이드 아토 속보습 스킨 250ml	화장품/미용>스킨케어>스킨/토너	10x6x6	10x6x6	0.25	10.0	6.0	6.0	250ml skin softener bottle with minimal packaging.
250428B87AB1C5	넘버즈인 1번 진정 맑게담은 청초토너 300ml	화장품/미용>스킨케어>스킨/토너	18x6x6	18x6x6	0.35	18.0	6.0	6.0	300ml toner bottle with minimal packaging.
2504192179B52F	아누아 어성초 77% 수딩 토너 저자극 토너 500ml 737015	화장품/미용>스킨케어>스킨/토너	12x6x6	12x6x6	0.55	12.0	6.0	6.0	500ml toner bottle with box packaging. Weight includes the bottle and packaging.
250416A8C7E8C8	아누아 어성초 77% 토너 500ml 1개	화장품/미용>스킨케어>스킨/토너	7x7x18	7x7x18	0.35	7.0	7.0	18.0	500ml toner bottle with minimal packaging.
25041488175506	넘버즈인 1번 진정 맑게담은 청초토너 300ml	화장품/미용>스킨케어>스킨/토너	18x6x6	18x6x6	0.35	18.0	6.0	6.0	300ml toner bottle with minimal packaging.
2504086CB8E740	아누아 어성초 77% 수딩 토너 저자극 토너 500ml 737015	화장품/미용>스킨케어>스킨/토너	12x6x6	12x6x6	0.55	12.0	6.0	6.0	500ml toner bottle with box packaging. Weight includes the bottle and packaging.
250330D9836B71	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	10x10x20	10x10x20	0.35	10.0	10.0	20.0	500ml toner bottle with box packaging. Medium size and weight.
2503242CD5B39C	[복수구매 행사]아누아 어성초 77% 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	12x8x20	12x8x20	0.55	12.0	8.0	20.0	500ml toner bottle with box packaging. Medium size and weight.
25032154AAFAFF	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	10x10x20	10x10x20	0.35	10.0	10.0	20.0	500ml toner bottle with box packaging. Medium weight for a skincare product.
250324E7D2526F	플레이브 메디힐 세트 양도 (세안 밴드 + 쇼핑백 포함)	뷰티/미용 > 스킨케어 > 스킨/토너/미스트 >	25x20x10	25x20x10	0.45	25.0	20.0	10.0	Set includes skincare products and a headband, estimated weight based on typical packaging for similar items.
250318A8BEF9FE	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7x7x20	7x7x20	0.35	7.0	7.0	20.0	500ml toner bottle with box packaging. Medium size and weight.
250316906CDF26	브링그린 티트리 시카 수딩 토너 500ml	화장품/미용>스킨케어>스킨/토너	10x10x18	10x10x18	0.35	10.0	10.0	18.0	500ml toner bottle with minimal packaging. Standard size for skincare products.
2503101D4652AF	아누아(Anua) 어성초 77 수딩 토너 500ml 1개	스킨케어>스킨/토너>스킨/토너	7x7x20	7x7x20	0.55	7.0	7.0	20.0	500ml toner bottle with minimal packaging. Standard size for skincare products.
