order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
251029048F3E76	켈로그 운빨존많겜 기획팩 820g (N4)	식품>과자/베이커리>시리얼>기타시리얼	8.355	70.0	50.0	50.0	175000.0	0.9	22.0	10.0	30.0	0.0	0.95	30.0	20.0	10.0	6000.0	-0.8923	-0.8863	-1.0000	-0.9657	1	1	820g cereal box with packaging weight included.
251027C230E9BA	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	7.55	70.0	38.0	51.5	136990.0	0.82	9.0	25.0	28.0	0.0	0.85	30.0	20.0	15.0	9000.0	-0.8914	-0.8874	-1.0000	-0.9343	1	1	820g cereal box with packaging weight included.
2510193D7061E9	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	7.49	70.0	30.0	51.0	107100.0	0.82	9.0	25.0	28.0	0.0	0.85	30.0	20.0	15.0	9000.0	-0.8905	-0.8865	-1.0000	-0.9160	1	1	820g cereal box with packaging weight included.
251018A7463648	메가마트 농심 켈로그 운빨존많겜 번들팩 820g	가공식품 > 과자/간식 > 시리얼	6.815	54.0	40.0	44.0	95040.0	3.35	26.0	38.0	9.0	0.0	0.85	30.0	20.0	10.0	6000.0	-0.5084	-0.8753	-1.0000	-0.9369	0	1	820g cereal bundle pack with additional packaging weight.
251021F6AD08AB	메가마트 농심 켈로그 운빨존많겜 번들팩 820g	가공식품 > 과자/간식 > 시리얼	7.625	70.0	33.0	50.0	115500.0	3.35	26.0	38.0	9.0	0.0	0.85	30.0	20.0	10.0	6000.0	-0.5607	-0.8885	-1.0000	-0.9481	0	1	820g cereal bundle pack with additional packaging weight.
251020537CAFCC	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	6.735	55.5	40.0	44.0	97680.0	0.82	9.0	25.0	28.0	0.0	0.85	30.0	20.0	15.0	9000.0	-0.8782	-0.8738	-1.0000	-0.9079	1	1	820g cereal box with packaging weight included.
251017796274E8	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	7.8	56.0	39.5	44.5	98434.0	0.82	9.0	25.0	28.0	0.0	0.85	30.0	20.0	15.0	9000.0	-0.8949	-0.8910	-1.0000	-0.9086	1	1	820g cereal box with packaging weight included.
250524467EC378	오리온 눈을감자 칠리치즈 프라이즈맛 96g	과자/간식>스낵/시리얼>과자쿠키/비스킷/크래커>쿠키과자	2.56	51.3	34.5	18.9	33450.165	0.096	7.0	5.0	10.0	0.0	0.1	20.0	12.0	5.0	1200.0	-0.9625	-0.9609	-1.0000	-0.9641	1	1	96g snack in a flexible pouch. Lightweight and compact packaging.
250521B60FA339	농심 켈로그 담백한 현미 후레이크 550g+오곡푸레이크 570g	식품>과자/베이커리>시리얼>기타시리얼	7.015	61.0	36.5	29.0	64568.5	1.12	15.0	10.0	25.0	0.0	1.15	30.0	20.0	10.0	6000.0	-0.8403	-0.8361	-1.0000	-0.9071	1	1	Total weight of 550g + 570g plus packaging weight. Estimated volume based on typical cereal packaging.
2505125A1FC7CA	동서식품 포스트 오레오 오즈 시리얼 500g	식품>과자/베이커리>시리얼>기타시리얼	1.86	39.1	28.9	17.0	19209.83	0.5	15.0	10.0	25.0	0.0	0.55	25.0	15.0	10.0	3750.0	-0.7312	-0.7043	-1.0000	-0.8048	1	1	500g cereal bag with minimal packaging weight.
