order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
2511195CC263DC	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Set of 4 mini plush battery holders. Soft material is light.
251121E6091590	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Set of 4 mini plush battery holders. Very light and compact.
2511189AA4BA51	최강공룡 미니특공대 렉스카이저 D9 풀셋팝니다	유아동/출산 > 교구/완구/인형 > 캐릭터완구/로봇 >	40x30x25	40x30x25	1.2	40.0	30.0	25.0	Full set of mini robot figures in boxes. Weight includes packaging.
251029A5E812F4	SVT 맥세이프 카드지갑 2차판매		10x7x1	10x7x1	0.05	10.0	7.0	1.0	Card wallet is lightweight and compact, likely just a few cards in a thin case.
25111874D7A795	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Set of 4 mini plush battery holders. Very light and compact.
25111833589F8F	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Set of 4 mini plush battery holders. Very light and compact.
25111633CACB80	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	30x20x10	25x15x8	0.25	25.0	15.0	8.0	Set of 4 mini plush battery holders. Soft material is light and they can be compressed for shipping.
251117E370AE42	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	30x20x10	25x15x10	0.15	25.0	15.0	10.0	Set of 4 mini plush battery holders. Soft material is light and compact.
251118F508C55E	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Set of 4 mini plush battery holders. Very light and compact.
2510114706CCB8	MOOD FRAGRANCE SET		20x15x5	20x15x5	0.25	20.0	15.0	5.0	Fragrance set includes a bottle and minimal packaging. Light weight.
