order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
251029048F3E76	켈로그 운빨존많겜 기획팩 820g (N4)	식품>과자/베이커리>시리얼>기타시리얼	20x15x10	20x15x10	0.82	20.0	15.0	10.0	Cereal box weighs 820g with minimal packaging.
251027C230E9BA	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	20x15x15	20x15x15	0.82	20.0	15.0	15.0	Cereal box weighs 820g and has minimal packaging.
2510193D7061E9	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	20x15x10	20x15x10	0.82	20.0	15.0	10.0	Cereal box weighs 820g with minimal packaging.
251018A7463648	메가마트 농심 켈로그 운빨존많겜 번들팩 820g	가공식품 > 과자/간식 > 시리얼	20x15x10	20x15x10	0.82	20.0	15.0	10.0	Bundle pack of cereal snacks weighing 820g. Minimal packaging weight.
251021F6AD08AB	메가마트 농심 켈로그 운빨존많겜 번들팩 820g	가공식품 > 과자/간식 > 시리얼	20x15x10	20x15x10	0.82	20.0	15.0	10.0	Bundle pack of cereal snacks weighing 820g. Minimal packaging weight.
251020537CAFCC	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	20x15x10	20x15x10	0.82	20.0	15.0	10.0	Cereal box with 820g total weight. Minimal packaging.
251017796274E8	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	20x15x15	20x15x15	0.82	20.0	15.0	15.0	820g cereal pack in a box. Minimal packaging weight.
250524467EC378	오리온 눈을감자 칠리치즈 프라이즈맛 96g	과자/간식>스낵/시리얼>과자쿠키/비스킷/크래커>쿠키과자	15x10x5	15x10x5	0.1	15.0	10.0	5.0	96g snack in a flexible bag. Minimal packaging weight.
250521B60FA339	농심 켈로그 담백한 현미 후레이크 550g+오곡푸레이크 570g	식품>과자/베이커리>시리얼>기타시리얼	25x18x5	25x18x5	1.12	25.0	18.0	5.0	Two cereal bags (550g + 570g) with minimal packaging.
2505125A1FC7CA	동서식품 포스트 오레오 오즈 시리얼 500g	식품>과자/베이커리>시리얼>기타시리얼	25x15x10	25x15x10	0.5	25.0	15.0	10.0	500g cereal bag with minimal packaging.
