order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
251022DC343D70	스키주 마그넷 플러시 세트 도미 팝업 스키즈	스타굿즈 > 보이그룹 > 인형/피규어 >	30x20x15	30x20x10	0.25	30.0	20.0	10.0	Set of plush toys, soft materials are light and can be compressed for shipping.
25090612A6BD63	방탄소년단 x 스타벅스 곰돌이 무드등	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x15	10x10x15	0.15	10.0	10.0	15.0	Two small figurines in protective cases. Lightweight and compact.
2505231BFB22E7	냥고니 지드래곤 지디 인형 빅뱅 비공굿	스타굿즈 > 보이그룹 > 인형/피규어 >	25x15x10	25x15x10	0.12	25.0	15.0	10.0	Plush doll, soft material is light. Minimal packaging expected.
250524D439A2C5	미니위츄	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.15	20.0	15.0	10.0	Mini plush toy set. Soft material is light, minimal packaging.
25052340E74193	스트레이키즈 스키주 10cm	스타굿즈 > 보이그룹 > 인형/피규어 >	30x20x10	25x15x10	0.25	25.0	15.0	10.0	Set of 8 small plush figures, soft material is light and they can be compressed for shipping.
250515A11A32B8	몬뭉치엑스 냥균 미니미니 냥균 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x5	15x10x5	0.1	15.0	10.0	5.0	Mini plush keychain and accessory. Soft materials are light.
2505237B941C45	세븐틴 정한 쫑티쥬 인형 양도합니다	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x10	15x10x10	0.12	15.0	10.0	10.0	Plush doll is soft and light, minimal packaging.
250520AD5F9D15	데이식스 앙콘 MD 데니멀즈 페이스 시크릿 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x5	10x10x5	0.05	10.0	10.0	5.0	Small plush keyring. Very light and compact.
250522EC5B31F5	미개봉)거니니 gunini 왕자인형 키링양도 zb1 제로니 zeroni	스타굿즈 > 보이그룹 > 인형/피규어 >	10x8x15	10x8x15	0.1	10.0	8.0	15.0	Plush keychain figure. Soft material is light and compact.
250522CBF3A7C9	미개봉)유니니 yunini 왕자인형 키링양도 zb1 제로니 zeroni	스타굿즈 > 보이그룹 > 인형/피규어 >	10x8x5	10x8x5	0.05	10.0	8.0	5.0	Small plush keychain figure. Very light and compact.
25051704394E4D	데이식스 포에버영 앙콘엠디 라이트밴드 커스텀 커버	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x3	10x10x3	0.12	10.0	10.0	3.0	Set of 4 light band custom covers in small boxes. Very light.
2505155421FA60	엔시티 위시 위시돌 쿠리 리쿠 인형 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x10	25x20x10	0.15	25.0	20.0	10.0	Plush doll with soft materials, light weight.
