order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
2505244146A327	(미개봉) 니케 디저트39 신데렐라 무드등 동D 포토카드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.4	25.9	19.8	10.5	5384.61	0.1	12.0	1.0	8.0	0.0	0.15	20.0	15.0	5.0	1500.0	-0.7500	-0.6250	-1.0000	-0.7214	1	1	Photo card set with minimal packaging. Very light.
250529C04B62C4	이착헌 이세계착각헌터 정하성 멍하성 헌터증 아크릴스탠드 일괄 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.38	28.5	17.3	11.3	5571.465	0.3	10.0	5.0	15.0	0.0	0.25	30.0	20.0	5.0	3000.0	-0.2105	-0.3421	-1.0000	-0.4615	0	1	Includes plush toy and several flat items (cards and acrylic stand). Minimal packaging.
250525AC4A552E	[미개봉] 40cm 앙스타인형 카제하야 타츠미 앙스타 누이 타츠미 파샤	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	1.46	51.1	28.5	22.5	32767.875	0.8	20.0	30.0	20.0	0.0	0.25	30.0	20.0	15.0	9000.0	-0.4521	-0.8288	-1.0000	-0.7253	0	1	40cm plush doll. Soft material is light, minimal packaging.
250519565F3BDC	에이스테 에일리언 스테이지 루카 토끼 아크릴 이반 틸 미지 수아 루카	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.16	19.5	16.2	12.3	3885.57	0.3	10.0	10.0	15.0	0.0	0.05	15.0	10.0	1.0	150.0	0.8750	-0.6875	-1.0000	-0.9614	1	1	Acrylic figure and base are lightweight and flat, minimal packaging.
250521EE7ADD74	맘스터치 스타레일 트리비 아글라이아 코롯토	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.305	20.6	15.6	6.3	2024.568	0.3	10.0	10.0	15.0	0.0	0.15	15.0	15.0	3.0	675.0	-0.0164	-0.5082	-1.0000	-0.6666	0	1	Includes a box and two cards. Very light items.
25051671E520DA	승리의여신 니케 아크릴스탠드 3종선택	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.345	24.0	17.0	5.5	2244.0	0.3	10.0	5.0	15.0	0.0	0.1	20.0	15.0	2.0	600.0	-0.1304	-0.7101	-1.0000	-0.7326	0	1	Acrylic stand is lightweight and flat, minimal packaging.
2505164B0073EE	일괄 딸기 가나디 고냐니 키링	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.18	20.0	15.9	12.3	3911.4	0.1	5.0	5.0	10.0	0.0	0.1	15.0	10.0	5.0	750.0	-0.4444	-0.4444	-1.0000	-0.8083	0	1	Two small plush keychains. Soft material is light and compact.
25042501728C0D	주술회전 애니메이트 카페 시부야 쵸소우 유지 아크릴 포토카드 특전 굿즈	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.08	16.0	12.0	10.0	1920.0	0.1	15.0	0.5	10.0	0.0	0.05	15.0	10.0	1.0	150.0	0.2500	-0.3750	-1.0000	-0.9219	0	1	Acrylic photo cards and keychains are very light and compact.
2504220F84D79A	가비지타임 피규어 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.24	21.7	19.1	9.5	3937.465	0.3	10.0	10.0	15.0	0.0	0.15	15.0	10.0	8.0	1200.0	0.2500	-0.3750	-1.0000	-0.6952	0	1	Two small figurines. Lightweight plastic material.
250502A2415DEA	오란고교 타마키 아크릴 +코스터	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.3	26.8	20.0	6.8	3644.8	0.3	10.0	10.0	10.0	0.0	0.05	20.0	15.0	1.0	300.0	0.0000	-0.8333	-1.0000	-0.9177	0	1	Acrylic stand and coaster set. Very light and flat packaging.
2504274FD17A02	명조 음림 아크릴 양도	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.19	21.4	15.4	13.7	4514.972	0.3	10.0	10.0	15.0	0.0	0.05	20.0	15.0	1.0	300.0	0.5789	-0.7368	-1.0000	-0.9336	0	1	Acrylic figure is lightweight and flat, minimal packaging.
250430C97EB0EB	닌타마 케마 토메사부로 캔뱃지 5개	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.17	23.6	11.9	17.1	4802.364	0.1	10.0	2.0	10.0	0.0	0.1	10.0	10.0	1.0	100.0	-0.4118	-0.4118	-1.0000	-0.9792	0	1	5 heart-shaped badges, very light and thin, minimal packaging.
2505044CC73DD0	급처] 닌타마 (닌자보이 란타로) 굿즈 일괄 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	2.945	38.0	29.1	28.1	31072.98	0.8	20.0	15.0	30.0	0.0	0.8	35.0	25.0	10.0	8750.0	-0.7284	-0.7284	-1.0000	-0.7184	0	1	Multiple plush figures bundled together. Soft materials are light, and they can be compressed for shipping.
250429B2E4FD0D	챠라란란 도리벤 하이타니 란 속성솜 누이 인형	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.485	36.6	24.6	13.8	12424.968	0.4	15.0	20.0	15.0	0.0	0.25	30.0	20.0	15.0	9000.0	-0.1753	-0.4845	-1.0000	-0.2757	0	1	Plush doll with soft materials. Size is moderate, weight is light.
250426920B59E7	닌타마 오하마 칸에몽 만쥬, 누이	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.155	20.1	11.8	8.5	2016.03	0.3	10.0	10.0	15.0	0.0	0.15	20.0	15.0	10.0	3000.0	0.9355	-0.0323	-1.0000	0.4881	1	1	Two small plush figures, soft material is light.
250420165864D8	밀키하트님 마지막 피크닉 동화림 팝업 한정 아크릴 스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.155	24.9	12.4	12.6	3890.376	0.3	10.0	5.0	15.0	0.0	0.05	15.0	10.0	1.0	150.0	0.9355	-0.6774	-1.0000	-0.9614	1	1	Acrylic stand is lightweight and flat, minimal packaging.
25042322143B84	[저주토라] 도리벤 속성 비공식 솜인형 카즈토라 10cm	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.2	21.3	20.9	10.3	4585.251	0.2	8.0	8.0	8.0	0.0	0.12	15.0	10.0	10.0	1500.0	0.0000	-0.4000	-1.0000	-0.6729	0	1	10cm plush doll. Soft material is light.
2504200921ABE1	블루아카이브 데빌24 세이아 나기사 등 아크릴 스탠드 일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.315	24.4	17.8	11.6	5038.112	0.3	7.0	5.0	10.0	0.0	0.1	20.0	15.0	1.0	300.0	-0.0476	-0.6825	-1.0000	-0.9405	0	1	Acrylic stands are lightweight and flat, minimal packaging.
250419E3546405	블루아카이브 나기사,미카,세이야 아크릴스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.19	20.2	16.5	12.2	4066.26	0.3	10.0	15.0	10.0	0.0	0.15	30.0	20.0	2.0	1200.0	0.5789	-0.2105	-1.0000	-0.7049	1	1	Set of acrylic stands, very light and flat packaging.
250420A39BB88E	10cm 솜인형 에필 라떼	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.145	17.7	14.6	7.4	1912.308	0.2	8.0	8.0	8.0	0.0	0.12	15.0	10.0	10.0	1500.0	0.3793	-0.1724	-1.0000	-0.2156	1	1	10cm plush doll. Soft material is light.
250411813CA1B6	디스러브 모펀 아크릴스탠드 원가 이하 양도해요!	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.135	20.3	10.2	9.2	1904.952	0.3	10.0	5.0	15.0	0.0	0.1	20.0	15.0	1.0	300.0	1.2222	-0.2593	-1.0000	-0.8425	1	1	Acrylic stand is flat and lightweight, minimal packaging.
25041341FC4A04	사용 후 반품불가 미갱 비온 카페 메이드 아크릴 스탠드 1차비엘 비엘	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.33	23.0	20.0	12.0	5520.0	0.3	10.0	10.0	15.0	0.0	0.05	20.0	15.0	1.0	300.0	-0.0909	-0.8485	-1.0000	-0.9457	0	1	Acrylic stand is lightweight and flat, minimal packaging.
2504010584D37F	가비지타임 최종수 굿즈 일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	1.145	27.1	38.7	11.2	11746.224	0.5	15.0	14.0	15.0	0.0	0.45	30.0	25.0	8.0	6000.0	-0.5633	-0.6070	-1.0000	-0.4892	0	1	Multiple small plush toys, a figure, and accessories. Items are lightweight and can be packed compactly.
2503293C249E28	꿈빛파티시엘 꿈파 팝업 원가온 아크릴 스탠드+ 안도하 색지일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.185	13.7	20.3	7.6	2113.636	0.3	10.0	5.0	15.0	0.0	0.05	15.0	10.0	1.0	150.0	0.6216	-0.7297	-1.0000	-0.9290	0	1	Acrylic stand and backing card are lightweight and flat.
2503224D6AAB1D	햄팡 라오루 글로리아 아크릴 일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.235	14.0	23.6	13.5	4460.4	0.3	10.0	10.0	15.0	0.0	0.05	15.0	10.0	1.0	150.0	0.2766	-0.7872	-1.0000	-0.9664	0	1	Acrylic figures are lightweight and typically ship flat with minimal packaging.
250317DDC15060	우블 레브리 올인	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.19	24.0	17.0	5.0	2040.0	0.3	10.0	10.0	15.0	0.0	0.25	30.0	20.0	15.0	9000.0	0.5789	0.3158	-1.0000	3.4118	1	0	Three plush dolls, soft material is light. Minimal packaging expected.
2503036A16EF13	케리아 keria 선수 생일 엽서 키링 미개봉 원가양도 합니다	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.185	21.5	25.1	6.7	3615.655	0.1	12.0	1.0	8.0	0.0	0.05	15.0	10.0	1.0	150.0	-0.4595	-0.7297	-1.0000	-0.9585	0	1	Includes a postcard and keyring, very light items in a plastic sleeve.
2503102A500D16	슬램덩크 락태웅 10깅 뼈깅 양도	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.22	19.0	21.8	10.0	4142.0	0.3	10.0	10.0	15.0	0.0	0.15	20.0	15.0	10.0	3000.0	0.3636	-0.3182	-1.0000	-0.2757	1	1	Plush figure with clothing accessories. Light weight and minimal packaging.
2501096FEF41CB	하이큐 카게야마 점페 한정 아크릴	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.145	19.0	21.9	9.8	4077.78	0.3	10.0	15.0	10.0	0.0	0.05	10.0	10.0	1.0	100.0	1.0690	-0.6552	-1.0000	-0.9755	1	1	Acrylic figure is lightweight and comes in minimal packaging.
25030177281EE5	데못죽 김래빈 래빈 공식 인형 솜인형 아크릴 스탠드 로판 대만판 포카	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	1.08	26.9	33.8	20.1	18275.322	0.3	10.0	10.0	15.0	0.0	0.25	30.0	20.0	10.0	6000.0	-0.7222	-0.7685	-1.0000	-0.6717	0	1	Includes a plush doll and several light accessories. The plush is soft and light, while the other items add minimal weight.
2503064DFB557F	블루아카이브(비공식) 사오리 수영복 아크릴스탠드 팝니다.	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.18	22.0	14.0	12.5	3850.0	0.3	10.0	5.0	15.0	0.0	0.15	10.0	5.0	20.0	1000.0	0.6667	-0.1667	-1.0000	-0.7403	1	1	Acrylic stand figure. Lightweight and compact packaging.
250303204F3D4B	(AR카드,부채증정)푸바오 동생 루이후이 유치원 인형[바오패밀리]	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	1.12	44.0	29.0	24.5	31262.0	0.3	10.0	10.0	15.0	0.0	0.35	30.0	20.0	15.0	9000.0	-0.7321	-0.6875	-1.0000	-0.7121	1	1	Set includes two plush panda dolls in a box. Soft material is light.
250224CB79D1E1	DJMAX 하이츠 버전 엘 클리어 아크릴 스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.38	22.0	19.0	9.0	3762.0	0.3	10.0	20.0	15.0	0.0	0.15	15.0	10.0	2.0	300.0	-0.2105	-0.6053	-1.0000	-0.9203	0	1	Acrylic stand is lightweight and flat, minimal packaging.
250219B7989E4E	팀레진 백라이트 뽀시래기 인형	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.18	23.0	16.0	7.0	2576.0	0.3	10.0	10.0	15.0	0.0	0.12	20.0	15.0	10.0	3000.0	0.6667	-0.3333	-1.0000	0.1646	1	1	Two small plush dolls in minimal packaging. Soft material is light.
250217723FD53C	슬램덩크 멍냥찌코 정우성, 서태웅	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.15	16.5	23.3	10.5	4036.725	0.3	10.0	15.0	10.0	0.0	0.15	20.0	15.0	10.0	3000.0	1.0000	0.0000	-1.0000	-0.2568	1	1	Two small plush figures. Soft material is light.
25021306AA72D7	플레이브 밤비 인형 와슴이 10cm	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.14	13.4	15.2	11.8	2403.424	0.2	10.0	10.0	10.0	0.0	0.1	15.0	10.0	8.0	1200.0	0.4286	-0.2857	-1.0000	-0.5007	1	1	10cm plush doll. Soft material is light and minimal packaging.
2502100FEEA66E	슬램덩크 중국한정 토에이샵 공식 아크릴 스탠드 서태웅 루카와 카에데	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.22	21.5	19.0	9.0	3676.5	0.3	10.0	15.0	10.0	0.0	0.1	20.0	15.0	2.0	600.0	0.3636	-0.5455	-1.0000	-0.8368	0	1	Acrylic stand is lightweight and flat, minimal packaging.
2501316A59BDDC	기물들의세계 투니크 아크릴 굿즈 일괄 (특전포함)	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	1.325	34.0	20.0	17.0	11560.0	0.8	10.0	15.0	10.0	0.0	0.15	30.0	20.0	3.0	1800.0	-0.3962	-0.8868	-1.0000	-0.8443	0	1	Assorted acrylic goods and cards. Lightweight packaging with minimal bulk.
2501275A12011C	미개봉 봄시네마 역지사지 박주연 아크릴 스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.175	25.0	17.0	6.5	2762.5	0.3	15.0	2.0	10.0	0.0	0.05	15.0	10.0	1.0	150.0	0.7143	-0.7143	-1.0000	-0.9457	0	1	Acrylic stand is lightweight and comes in minimal packaging.
25011899B14118	팀레진 뽀시래기 인형 뿌리 없는 나무 권희서 차태경 일괄 미개봉	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.21	24.0	17.0	7.0	2856.0	0.3	10.0	10.0	15.0	0.0	0.15	20.0	15.0	10.0	3000.0	0.4286	-0.2857	-1.0000	0.0504	1	1	Two plush dolls in packaging. Soft material is light.
250113E5E6D32C	로보토미 코퍼레이션 롭톰 환상체 아크릴 - 백야(후광)	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.125	18.0	13.0	6.5	1521.0	0.3	10.0	10.0	15.0	0.0	0.05	20.0	15.0	1.0	300.0	1.4000	-0.6000	-1.0000	-0.8028	1	1	Acrylic figure and stickers are lightweight and flat, minimal packaging.
250108F9A79AF8	하이큐 게임 이벤트 아크릴 카게야마 히나타 카라스노 미개봉품	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.235	24.0	17.0	7.5	3060.0	0.3	10.0	15.0	10.0	0.0	0.05	20.0	15.0	1.0	300.0	0.2766	-0.7872	-1.0000	-0.9020	0	1	Acrylic figures are lightweight and flat, minimal packaging.
250104D03C7556	김독자 10cm 인형	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.175	19.5	15.5	15.0	4533.75	0.2	10.0	10.0	10.0	0.0	0.12	20.0	15.0	10.0	3000.0	0.1429	-0.3143	-1.0000	-0.3383	0	1	10cm plush doll. Soft material is light with minimal packaging.
241211725E859C	주술회전 최강레삣솜즈 솜인형깅 10cn고죠게토고죠 아크릴스탠드룩업	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.13	17.0	12.0	9.0	1836.0	0.3	10.0	15.0	10.0	0.0	0.12	20.0	15.0	10.0	3000.0	1.3077	-0.0769	-1.0000	0.6340	1	1	Two plush dolls, soft material is light.
241112CE4F36B7	데뷔못하면죽는병걸림 데못죽 팝업 로판 아크릴스탠드 아크릴키링 테스타 청려	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.805	23.5	20.0	12.0	5640.0	0.3	10.0	10.0	10.0	0.0	0.1	135.0	200.0	5.0	135000.0	-0.6273	-0.8758	-1.0000	22.9362	0	0	Acrylic stand and keyring are lightweight items. Minimal packaging.
241113CDDF56E9	블루아카이브 카린 미니 아크릴스탠드 판매합니다	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	0.1	15.5	13.0	11.0	2216.5	0.3	10.0	15.0	10.0	0.0	0.05	10.0	7.0	1.0	70.0	2.0000	-0.5000	-1.0000	-0.9684	1	1	Mini acrylic stand in a thin package. Very light.
