order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
25102296E849D3	[대형 제품] 터닝메카드 갓 타나토스 매그넘 (블루랜드)	키덜트 > 피규어/인형 >	1.035	38.0	20.0	27.0	20520.0	1.1	28.0	35.0	12.0	0.0	0.25	25.0	20.0	10.0	5000.0	0.0628	-0.7585	-1.0000	-0.7563	0	1	Figure in box. Typical weight for a collectible figure.
2510014F4FAE45	포켓몬스터 레진 피규어 스케일월드 - forest 흉터 니드킹 복각	키덜트 > 피규어/인형 >	1.4	45.0	20.0	39.0	35100.0	2.0	23.0	28.0	22.0	0.0	0.45	25.0	20.0	15.0	7500.0	0.4286	-0.6786	-1.0000	-0.7863	0	1	Resin figure of moderate size. Weight includes minimal packaging.
25092106FEC2C3	팝마트 지모모 판매합니다. 미개봉 새상품	키덜트 > 피규어/인형 >	5.285	68.0	30.0	35.0	71400.0	0.35	12.0	12.0	15.0	0.0	0.25	20.0	15.0	10.0	3000.0	-0.9338	-0.9527	-1.0000	-0.9580	0	1	Figurine is a collectible, likely made of plastic. Minimal packaging expected.
250524E267DB16	드래곤볼 그란디스타.msp망가디멘션(투디멘션) 손오공 베지터 팝니다.	키덜트 > 피규어/인형 >	3.295	44.9	43.8	24.8	48772.176	0.3	10.0	10.0	15.0	0.0	0.75	20.0	15.0	30.0	9000.0	-0.9090	-0.7724	-1.0000	-0.8155	1	1	Two figures in boxes. Standard packaging for collectibles.
250529A5E374E4	무속성 솜인형 10cm 인형옷	키덜트 > 피규어/인형 >	0.1	11.6	18.1	8.4	1763.664	0.2	7.0	7.0	7.0	0.0	0.12	12.0	10.0	10.0	1200.0	1.0000	0.2000	-1.0000	-0.3196	1	1	10cm plush dolls. Soft material is light, minimal packaging.
25052630668F0E	무속성 10cm인형 미니파이 양도	키덜트 > 피규어/인형 >	0.17	18.7	15.1	12.0	3388.44	0.2	10.0	10.0	10.0	0.0	0.12	15.0	10.0	10.0	1500.0	0.1765	-0.2941	-1.0000	-0.5573	0	1	10cm plush doll in minimal packaging. Soft material is light.
2505262B855887	드래곤볼 피규어	키덜트 > 피규어/인형 >	1.005	43.5	28.0	19.5	23751.0	0.3	10.0	10.0	15.0	0.0	0.25	20.0	15.0	10.0	3000.0	-0.7015	-0.7512	-1.0000	-0.8737	0	1	Figurine of Bulma from Dragon Ball. Standard size for collectible figures, minimal packaging.
2505259FD9C184	드래곤볼 손오공 망가 디멘션 피규어	키덜트 > 피규어/인형 >	2.04	42.0	30.5	26.5	33946.5	0.8	10.0	25.0	15.0	0.0	0.25	20.0	15.0	30.0	9000.0	-0.6078	-0.8775	-1.0000	-0.7349	0	1	Figurine in box. Standard packaging for collectibles.
2505243C9A6CE2	무속성 옷 10cm우블플르슈 민트 겨울코트 호그와트망토 토끼 우주복 판매	키덜트 > 피규어/인형 >	0.23	16.5	13.0	12.0	2574.0	0.5	20.0	10.0	15.0	0.0	0.15	30.0	20.0	5.0	3000.0	1.1739	-0.3478	-1.0000	0.1655	1	1	Assorted clothing items for dolls, lightweight materials with minimal packaging.
250521B8E7D101	롯데월드 포켓몬 어트랙션 가챠 미개봉품 피카츄 스핀바스켓	키덜트 > 피규어/인형 >	0.21	24.5	13.5	11.5	3803.625	0.3	10.0	10.0	15.0	0.0	0.12	15.0	10.0	5.0	750.0	0.4286	-0.4286	-1.0000	-0.8028	0	1	Figurine set with minimal packaging. Lightweight plastic components.
250523945CF00A	드래곤볼 bwfc 손오공 피규어	키덜트 > 피규어/인형 >	0.68	27.5	23.5	12.5	8078.125	0.5	10.0	20.0	15.0	0.0	0.35	22.0	17.0	27.0	10098.0	-0.2647	-0.4853	-1.0000	0.2500	0	1	Figurine with base. Compact size and light weight.
2505216C3634CF	드래곤볼 msp 베지트 피규어	키덜트 > 피규어/인형 >	1.025	37.0	27.5	16.0	16280.0	0.3	10.0	10.0	15.0	0.0	0.25	20.0	15.0	10.0	3000.0	-0.7073	-0.7561	-1.0000	-0.8157	0	1	Figurine is likely a solid piece, with minimal packaging.
2505136D2AE033	망가디 멘션 드래곤볼(2개) +원피스(1개)	키덜트 > 피규어/인형 >	4.94	61.0	42.0	32.0	81984.0	0.8	14.0	10.0	21.0	0.0	0.75	20.0	15.0	30.0	9000.0	-0.8381	-0.8482	-1.0000	-0.8902	0	1	Two Dragon Ball figures in packaging. Standard size for collectible figures.
250518D6C773C9	드래곤볼 bwfc 유년기 우유배달 손오공 피규어	키덜트 > 피규어/인형 >	0.48	25.1	21.0	12.5	6588.75	0.3	10.0	10.0	15.0	0.0	0.25	20.0	15.0	15.0	4500.0	-0.3750	-0.4792	-1.0000	-0.3170	0	1	Figure is likely in a box with minimal padding. Typical weight for a collectible figure.
2505170761E488	어나니머스 사이버펑크 엣지러너 레베카 레진 피규어	키덜트 > 피규어/인형 >	1.64	41.0	29.4	21.6	26036.64	0.3	10.0	10.0	15.0	0.0	0.35	20.0	15.0	15.0	4500.0	-0.8171	-0.7866	-1.0000	-0.8272	1	1	Resin figure, compact size with minimal packaging.
25051686C5E008	티니핑 쥬얼하트윙폰/티니하트윙	키덜트 > 피규어/인형 >	0.535	26.0	19.9	15.2	7864.48	0.3	7.0	7.0	10.0	0.0	0.15	15.0	10.0	5.0	750.0	-0.4393	-0.7196	-1.0000	-0.9046	0	1	Includes small electronic toys and accessories. Lightweight and compact.
250515717640F1	드래곤볼 점프 애니버서리 피규어 손오공(새제품)	키덜트 > 피규어/인형 >	0.62	22.6	17.1	14.3	5526.378	0.3	10.0	10.0	15.0	0.0	0.35	22.0	17.0	32.0	11968.0	-0.5161	-0.4355	-1.0000	1.1656	1	0	Full figure with packaging. Estimated dimensions and weight based on typical collectible figures.
250513152A4C7F	드래곤볼 Z 매치 메이커스 프리저 . 배지터.손오공 피규어 일괄 핫토이x	키덜트 > 피규어/인형 >	1.46	43.5	26.0	14.0	15834.0	0.3	10.0	10.0	15.0	0.0	0.75	25.0	20.0	20.0	10000.0	-0.7945	-0.4863	-1.0000	-0.3684	1	1	Full figure set with multiple characters. Rigid material, weight reflects solid construction.
