order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
2511195CC263DC	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	0.4	25.0	15.0	20.5	7687.5	1.0	16.0	22.0	12.0	0.0	0.15	20.0	15.0	10.0	3000.0	1.5000	-0.6250	-1.0000	-0.6098	1	1	Set of 4 mini plush battery holders. Soft material is light.
251121E6091590	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	0.425	25.5	16.0	21.0	8568.0	1.0	16.0	22.0	12.0	0.0	0.15	20.0	15.0	10.0	3000.0	1.3529	-0.6471	-1.0000	-0.6499	1	1	Set of 4 mini plush battery holders. Soft material is light.
2511189AA4BA51	최강공룡 미니특공대 렉스카이저 D9 풀셋팝니다	유아동/출산 > 교구/완구/인형 > 캐릭터완구/로봇 >	6.925	55.5	40.0	40.5	89910.0	14.4	14.0	45.0	35.0	0.0	1.2	40.0	30.0	25.0	30000.0	1.0794	-0.8267	-1.0000	-0.6663	1	1	Full set of mini robot figures in boxes. Weight includes packaging.
251029A5E812F4	SVT 맥세이프 카드지갑 2차판매		0.125	12.0	5.5	11.0	726.0	0.4	15.0	30.0	10.0	0.0	0.05	10.0	7.0	1.0	70.0	2.2000	-0.6000	-1.0000	-0.9036	1	1	Card wallet is lightweight and compact, minimal packaging.
25111874D7A795	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	0.34	25.0	15.5	17.5	6781.25	1.0	16.0	22.0	12.0	0.0	0.15	20.0	15.0	10.0	3000.0	1.9412	-0.5588	-1.0000	-0.5576	1	1	Set of 4 mini plush battery chargers. Soft material is light.
25111833589F8F	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	0.365	25.0	15.5	17.5	6781.25	1.0	16.0	22.0	12.0	0.0	0.15	20.0	15.0	10.0	3000.0	1.7397	-0.5890	-1.0000	-0.5576	1	1	Set of 4 mini plush battery holders. Very light and compact.
25111633CACB80	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	0.355	24.5	15.5	17.5	6645.625	1.0	16.0	22.0	12.0	0.0	0.15	20.0	15.0	10.0	3000.0	1.8169	-0.5775	-1.0000	-0.5486	1	1	Set of 4 mini plush battery chargers. Soft materials are light.
251117E370AE42	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	0.39	25.0	16.0	20.5	8200.0	1.0	16.0	22.0	12.0	0.0	0.15	20.0	15.0	10.0	3000.0	1.5641	-0.6154	-1.0000	-0.6341	1	1	Set of 4 mini plush battery holders. Soft material is light.
251118F508C55E	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	0.385	25.0	16.0	20.5	8200.0	1.0	16.0	22.0	12.0	0.0	0.15	20.0	15.0	10.0	3000.0	1.5974	-0.6104	-1.0000	-0.6341	1	1	Set of 4 mini plush battery holders. Very light and compact.
2510114706CCB8	MOOD FRAGRANCE SET		0.465	23.0	10.0	17.0	3910.0	1.0	15.0	25.0	10.0	0.0	0.25	20.0	15.0	5.0	1500.0	1.1505	-0.4624	-1.0000	-0.6164	1	1	Fragrance set includes a bottle and card, lightweight packaging.
