order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
2505230B77882E	넘버즈인 글루타치온씨 흔적 앰플샷 30ml	화장품/미용>스킨케어>에센스	0.155	16.0	11.0	7.0	1232.0	0.1	5.0	10.0	5.0	0.0	0.1	12.0	6.0	6.0	432.0	-0.3548	-0.3548	-1.0000	-0.6494	0	1	30ml serum bottle with minimal packaging.
250429B4F9FBD7	세포랩 세리포리아 락세라타 클렙스 바이오제닉 퍼스트 에센스 155ml 모공축소 탄력 주름	화장품/미용>스킨케어>에센스	1.365	24.9	15.7	16.0	6254.88	0.2	5.0	10.0	5.0	0.0	0.16	8.0	8.0	16.0	1024.0	-0.8535	-0.8828	-1.0000	-0.8363	0	1	155ml essence bottle with minimal packaging.
25042013F33CAD	1+1 메디큐브 PDRN 핑크 앰플 30ml+30ml	화장품/미용>스킨케어>에센스	3.73	33.1	30.1	16.0	15940.96	0.1	5.0	10.0	5.0	0.0	0.2	12.0	6.0	6.0	432.0	-0.9732	-0.9464	-1.0000	-0.9729	1	1	Two 30ml serum bottles. Minimal extra weight for packaging.
250513776AACFA	[수분 충전]아벤느 이드랑스 에센스 인 로션 200ml 2입기획	뷰티 > 더모 코스메틱 > 스킨케어 > 에센스/세럼	1.205	25.7	15.7	15.1	6092.699	0.25	6.0	15.0	6.0	0.0	0.4	15.0	5.0	5.0	375.0	-0.7925	-0.6680	-1.0000	-0.9385	1	1	Two 200ml bottles of essence in minimal packaging. Weight includes both bottles.
250502079F14AC	이자녹스 시카 콜라겐 리프팅 앰플 30ml	화장품/미용>스킨케어>에센스	0.71	20.8	13.0	8.6	2325.44	0.1	5.0	15.0	5.0	0.0	0.12	10.0	5.0	5.0	250.0	-0.8592	-0.8310	-1.0000	-0.8925	1	1	30ml serum bottle with minimal packaging.
250504D7EFD8C6	에스트라 리제덤 365 모공탄력 캡슐세럼 30ml 기획 (+세럼15ml+크림 10ml+아이세럼 3ml)	뷰티 > 더모 코스메틱 > 스킨케어 > 에센스/세럼	0.325	25.8	15.1	16.6	6467.028	0.2	8.0	10.0	8.0	0.0	0.12	15.0	5.0	5.0	375.0	-0.3846	-0.6308	-1.0000	-0.9420	0	1	Includes 30ml serum and additional small items. Minimal packaging.
250426AA0F73E8	브이티코스메틱 VT 리들샷 300 50ml	화장품/미용>스킨케어>에센스	0.18	21.2	9.7	7.0	1439.48	0.1	5.0	10.0	5.0	0.0	0.12	15.0	5.0	5.0	375.0	-0.4444	-0.3333	-1.0000	-0.7395	1	1	50ml essence bottle with minimal packaging.
250423806DF2F2	[정품] ANJO 앙쥬 24K 골드 래디언스 스킨 에센스150ml 기미 미백 2개	화장품/미용>스킨케어>에센스	0.925	21.5	14.5	9.3	2899.275	0.3	6.0	15.0	6.0	0.0	0.3	15.0	10.0	5.0	750.0	-0.6757	-0.6757	-1.0000	-0.7413	0	1	Two 150ml essence bottles. Minimal packaging for shipping.
2504189501920E	여드름 앰플 아누아 어성초 80 수분진정 앰플 30ml 737022	화장품/미용>스킨케어>에센스	1.55	25.3	14.9	10.4	3920.488	0.1	5.0	10.0	5.0	0.0	0.12	10.0	5.0	15.0	750.0	-0.9355	-0.9226	-1.0000	-0.8087	1	1	30ml serum bottle with minimal packaging.
250416075638E4	스킨푸드 로열허니 프로폴리스 인리치 에센스 50ml x 2개입	화장품/미용>스킨케어>에센스	1.21	19.5	14.8	11.1	3203.46	0.1	5.0	10.0	5.0	0.0	0.12	12.0	6.0	12.0	864.0	-0.9174	-0.9008	-1.0000	-0.7303	1	1	Two 50ml essence bottles. Minimal packaging for shipping.
250417509A80D8	스킨푸드 캐롯 카로틴 모이스트 이펙터 52ml	화장품/미용>스킨케어>에센스	1.08	24.4	14.8	11.7	4225.104	0.1	5.0	10.0	5.0	0.0	0.07	10.0	5.0	5.0	250.0	-0.9074	-0.9352	-1.0000	-0.9408	0	1	52ml serum bottle with minimal packaging.
250413CB6BF08C	하움 헤어 향 좋은 에센스 노워시 트리트먼트	화장품/미용>헤어케어>헤어에센스	0.285	20.1	15.9	14.1	4506.219	0.2	5.0	10.0	5.0	0.0	0.15	15.0	5.0	5.0	375.0	-0.2982	-0.4737	-1.0000	-0.9168	0	1	Hair essence in a tube, minimal packaging adds little weight.
2504097A16658D	BRTC 멜라이트 C-20 앰플 15ml	화장품/미용>스킨케어>에센스	0.225	15.0	10.0	7.0	1050.0	0.05	5.0	15.0	5.0	0.0	0.05	15.0	4.0	4.0	240.0	-0.7778	-0.7778	-1.0000	-0.7714	0	1	15ml serum bottle with minimal packaging.
250328FDDFE401	조선미녀 맑은쌀 꿀채운 마스크	화장품/미용>스킨케어>에센스	0.38	13.0	15.8	11.3	2321.02	0.2	4.0	4.0	8.0	0.0	0.25	10.0	10.0	8.0	800.0	-0.4737	-0.3421	-1.0000	-0.6553	1	1	Essence mask in a jar. Weight includes product and minimal packaging.
25032959B393EA	글루타치온 토닝 부스팅 앰플	홈 > 화장품 > 에센스·앰플·세럼 >	0.19	11.8	15.9	8.3	1557.246	0.1	5.0	15.0	5.0	0.0	0.12	10.0	5.0	5.0	250.0	-0.4737	-0.3684	-1.0000	-0.8395	1	1	50ml ampoule bottle with minimal packaging.
25032603B88FA0	아도르 퍼퓸 헤어 오일 에센스 30ml 4종 택 1	화장품/미용>헤어케어>헤어에센스	0.31	15.1	24.6	10.4	3863.184	0.1	5.0	10.0	5.0	0.0	0.1	6.0	6.0	12.0	432.0	-0.6774	-0.6774	-1.0000	-0.8882	0	1	30ml hair oil bottle with minimal packaging.
