order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
2505230B77882E	넘버즈인 글루타치온씨 흔적 앰플샷 30ml	화장품/미용>스킨케어>에센스	12x6x6	12x6x6	0.1	12.0	6.0	6.0	30ml serum bottle with minimal packaging.
250429B4F9FBD7	세포랩 세리포리아 락세라타 클렙스 바이오제닉 퍼스트 에센스 155ml 모공축소 탄력 주름	화장품/미용>스킨케어>에센스	7x7x15	8x8x18	0.18	8.0	8.0	18.0	155ml essence bottle with minimal packaging.
25042013F33CAD	1+1 메디큐브 PDRN 핑크 앰플 30ml+30ml	화장품/미용>스킨케어>에센스	12x6x6	12x6x6	0.2	12.0	6.0	6.0	Two 30ml serum bottles. Minimal packaging adds slight weight.
250513776AACFA	[수분 충전]아벤느 이드랑스 에센스 인 로션 200ml 2입기획	뷰티 > 더모 코스메틱 > 스킨케어 > 에센스/세럼	15x5x5	15x10x5	0.4	15.0	10.0	5.0	Two 200ml bottles of essence. Minimal packaging adds slight weight.
250502079F14AC	이자녹스 시카 콜라겐 리프팅 앰플 30ml	화장품/미용>스킨케어>에센스	10x5x5	10x5x5	0.12	10.0	5.0	5.0	30ml serum bottle with minimal packaging.
250504D7EFD8C6	에스트라 리제덤 365 모공탄력 캡슐세럼 30ml 기획 (+세럼15ml+크림 10ml+아이세럼 3ml)	뷰티 > 더모 코스메틱 > 스킨케어 > 에센스/세럼	15x5x5	15x5x5	0.12	15.0	5.0	5.0	Includes 30ml serum and additional small items. Minimal packaging.
250426AA0F73E8	브이티코스메틱 VT 리들샷 300 50ml	화장품/미용>스킨케어>에센스	15x5x5	15x5x5	0.12	15.0	5.0	5.0	50ml essence bottle with minimal packaging.
250423806DF2F2	[정품] ANJO 앙쥬 24K 골드 래디언스 스킨 에센스150ml 기미 미백 2개	화장품/미용>스킨케어>에센스	15x5x5	15x10x5	0.3	15.0	10.0	5.0	Two 150ml essence bottles. Minimal packaging for shipping.
2504189501920E	여드름 앰플 아누아 어성초 80 수분진정 앰플 30ml 737022	화장품/미용>스킨케어>에센스	10x5x15	10x5x15	0.12	10.0	5.0	15.0	30ml serum bottle with minimal packaging.
250416075638E4	스킨푸드 로열허니 프로폴리스 인리치 에센스 50ml x 2개입	화장품/미용>스킨케어>에센스	12x6x6	12x6x6	0.12	12.0	6.0	6.0	Two 50ml essence bottles. Minimal packaging weight.
