order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
241202BBB68684	치유 퍼퓸 핸드크림 피스인더레인 50ml	화장품/미용>바디케어>핸드케어	15x5x5	15x5x5	0.12	15.0	5.0	5.0	50ml hand cream tube with minimal packaging.
250424981B4ACC	뉴트로지나 데일리 립 밤 4g x5개	화장품/미용>색조메이크업>립케어	15x10x10	15x10x10	0.25	15.0	10.0	10.0	5 lip balm tubes (4g each) in a compact box. Lightweight packaging.
2504153D54DE8C	디올 옴므 D-Ring 벨트 85	패션 액세서리 > 벨트 > 남성 벨트 >	85x5x3	90x10x5	0.25	90.0	10.0	5.0	85cm leather belt with a metal buckle. Estimated packed size includes some padding.
250429AACD7884	최강공룡 미니특공대 렉스카이저 2단합체 변신로봇		30x20x15	30x20x15	1.2	30.0	20.0	15.0	Medium-large transforming robot toy with multiple components, packed in a sturdy box.
25031648F5CD55	오뚜기 오쉐프 닭강정소스, 2kg, 5개	소스류	30x20x25	30x20x25	10.5	30.0	20.0	25.0	5 packs of 2kg sauce, total weight 10kg plus packaging weight.
250121D14EAC2B	스톰-2022 3볼 롤러볼트 블랙.골드 (엑셀테이프 4각)	스포츠/레저>볼링>볼링가방	40x30x60	40x30x60	2.5	40.0	30.0	60.0	Bowling bag designed to hold 3 balls, estimated weight includes bag and minimal padding.
250203D3658F09	바이오힐보 프로바이오덤 3D 리프팅 스킨케어 2종세트 (에센셜 토너 150ml + 에멀전 150ml + 리프팅 크림 15ml)	화장품/미용>스킨케어>화장품세트	20x15x8	20x15x8	0.55	20.0	15.0	8.0	Set includes two 150ml bottles and one 15ml cream, with minimal packaging.
250105E28960D1	스키즈 팝업 리얼터치 포카 판매합니다!	스타굿즈 > 보이그룹 > 팬시/포토카드 >	15x11x2	15x11x2	0.05	15.0	11.0	2.0	Single photo card in minimal packaging. Very light.
25051569274BEE	The 1st Album [ODYSSEY] (PACKAGE Ver.) SET		30x30x3	30x30x3	0.8	30.0	30.0	3.0	Set of two albums, typical size for K-pop albums. Light packaging.
250529EE028402	상수리 나무 아래 2부 미개봉 판매합니다	도서/티켓/문구 > 도서 > 시/소설 >	25x18x6	25x18x6	1.2	25.0	18.0	6.0	Set of two hardcover books, estimated weight includes packaging.
250328AFEA20A6	메탈카드봇S 스카이갤럽 비행기 변신 로봇 장난감 윈드러너 장착 켄타우로스 변신 로보트	출산/육아>완구/인형>작동완구>로봇	40x30x10	40x30x10	1.5	40.0	30.0	10.0	Medium-large transforming robot toy with additional components. Estimated weight includes packaging.
24121087846DDA	Katey Eco Shearling Jacket [12월 말 순차 배송]		50x40x10	50x40x10	0.75	50.0	40.0	10.0	Shearling jacket is a medium-weight clothing item, estimated packed size for compression.
25032574D5CEC3	JC902 TABLE	shop > story > sale > business > showroom > about >	80x80x40	85x85x45	25.0	85.0	85.0	45.0	Round glass table with wooden legs. Estimated packed size includes padding for fragile glass.
24122503F28E8E	세이마이네임 미공포 인사이드레코드3차	스타굿즈 > 걸그룹 > 팬시/포토카드 >	18x14x3	18x14x3	0.15	18.0	14.0	3.0	Set of 6 photo cards, light and packed in minimal envelope.
2412013B0A9349	magliano 브로큰 하트 목걸이	남자 > 주얼리 >	10x10x2	10x10x2	0.05	10.0	10.0	2.0	Necklace in a small box, lightweight and compact.
2504043AE69080	페레로 포켓커피 18개입 에스프레소 초콜릿 (국내배송)	식품>과자/베이커리>초콜릿	20x12x8	20x12x8	0.45	20.0	12.0	8.0	18 pieces of chocolate espresso, estimated box size and weight based on typical packaging for similar products.
250203ECF81CA0	장미와 샴페인 카이사르&이원 향수	생활/건강>수집품>이색수집품	20x15x10	20x15x10	0.45	20.0	15.0	10.0	Two perfume bottles with packaging. Estimated weight includes bottles and box.
25022266BF125A	EUDORA wool cardigan_2colors	여성의류	40x30x2	40x30x2	0.35	40.0	30.0	2.0	Wool cardigan is a light clothing item, estimated in a folded state.
25092600DD20EE	지니스램프 IGIN 아이긴 버던트 글림 멀티퍼퓸	생활/건강>생활용품>제습/방향/탈취>섬유탈취스프레이	8x8x15	8x8x15	0.15	8.0	8.0	15.0	Spray bottle for fabric deodorizer, typical size for 100-200ml liquid.
241224C0139434	1978AUS 호주 양털 3웨이 2종 밴딩 탈부착 어그 슬리퍼	해외직구>패션잡화>여성화>샌들/웨지힐	30x25x12	32x27x15	0.85	32.0	27.0	15.0	Two pairs of slippers with soft material. Estimated packed size includes padding for protection.
2504275E669ECC	켈로그 X 호시 기획팩 (710G)		30x30x15	30x30x15	0.85	30.0	30.0	15.0	710g cereal box with additional packaging for promotional items. Estimated box dimensions based on typical cereal packaging.
241121301943CF	비앤프롬 미니 원피스	여성의류 > 원피스 > 미니 원피스 >	30x20x2	30x20x2	0.25	30.0	20.0	2.0	Mini dress made of light fabric, folded for shipping.
250127F1B92E25	삼양 까르보 불닭소스 200g x 24개	식품>소스/드레싱>기타소스/드레싱	40x30x20	40x30x20	5.0	40.0	30.0	20.0	24 bottles of 200g sauce each, totaling 4.8kg plus packaging weight.
2504211F07B239	토투 배달통 자석 파티션 칸막이 1세트+밑판 32x22cm 탑박스 배달가방 오토바이용품	스포츠/레저>오토바이/스쿠터>오토바이용품>기타오토바이용품	34x24x4	34x24x4	0.5	34.0	24.0	4.0	Set includes a partition and base, estimated weight based on materials and dimensions.
