order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
251022DC343D70	스키주 마그넷 플러시 세트 도미 팝업 스키즈	스타굿즈 > 보이그룹 > 인형/피규어 >	0.33	31.0	8.0	21.0	5208.0	0.5	20.0	25.0	15.0	0.0	0.8	20.0	15.0	10.0	3000.0	0.5152	1.4242	-1.0000	-0.4240	0	1	Based on the plush nature of the items and their potential for compression.
25090612A6BD63	방탄소년단 x 스타벅스 곰돌이 무드등	스타굿즈 > 보이그룹 > 인형/피규어 >	0.155	17.0	12.0	13.0	2652.0	0.2	8.0	8.0	10.0	0.0	0.3	10.0	10.0	15.0	1500.0	0.2903	0.9355	-1.0000	-0.4344	0	1	Non-foldable item with estimated dimensions based on typical figurine size.
2505231BFB22E7	냥고니 지드래곤 지디 인형 빅뱅 비공굿	스타굿즈 > 보이그룹 > 인형/피규어 >	0.12	21.0	13.0	7.0	1911.0	0.3	10.0	10.0	15.0	0.0	0.3	10.0	7.0	5.0	350.0	1.5000	1.5000	-1.0000	-0.8168	0	1	Based on the plush nature and compressibility of the item.
250524D439A2C5	미니위츄	스타굿즈 > 보이그룹 > 인형/피규어 >	0.28	25.1	18.9	6.1	2893.779	0.3	10.0	15.0	10.0	0.0	0.3	10.0	10.0	10.0	1000.0	0.0714	0.0714	-1.0000	-0.6544	0	1	Based on the plush nature of the item and its potential for compression.
25052340E74193	스트레이키즈 스키주 10cm	스타굿즈 > 보이그룹 > 인형/피규어 >	0.11	20.3	14.3	7.3	2119.117	0.2	10.0	10.0	10.0	0.0	1.0	15.0	15.0	10.0	2250.0	0.8182	8.0909	-1.0000	0.0618	0	1	Based on the compressibility of plush figures and typical packing practices.
250515A11A32B8	몬뭉치엑스 냥균 미니미니 냥균 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	0.075	14.5	10.0	7.0	1015.0	0.1	4.0	4.0	4.0	0.0	0.1	8.0	8.0	4.0	256.0	0.3333	0.3333	-1.0000	-0.7478	0	1	Based on the compact size and soft material of the keychain and plush figure.
2505237B941C45	세븐틴 정한 쫑티쥬 인형 양도합니다	스타굿즈 > 보이그룹 > 인형/피규어 >	0.12	16.0	11.0	10.0	1760.0	0.4	15.0	20.0	15.0	0.0	0.3	10.0	10.0	10.0	1000.0	2.3333	1.5000	-1.0000	-0.4318	1	1	Based on the plush nature of the item, which allows for compression in packing.
250520AD5F9D15	데이식스 앙콘 MD 데니멀즈 페이스 시크릿 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	0.11	15.0	12.0	8.0	1440.0	0.1	7.0	5.0	7.0	0.0	0.1	10.0	10.0	5.0	500.0	-0.0909	-0.0909	-1.0000	-0.6528	0	1	Non-foldable item with estimated dimensions based on typical keychain size.
250522EC5B31F5	미개봉)거니니 gunini 왕자인형 키링양도 zb1 제로니 zeroni	스타굿즈 > 보이그룹 > 인형/피규어 >	0.125	19.0	12.0	9.0	2052.0	0.1	4.0	4.0	8.0	0.0	0.2	10.0	10.0	15.0	1500.0	-0.2000	0.6000	-1.0000	-0.2690	0	1	Non-foldable plush keychain with standard dimensions.
250522CBF3A7C9	미개봉)유니니 yunini 왕자인형 키링양도 zb1 제로니 zeroni	스타굿즈 > 보이그룹 > 인형/피규어 >	0.125	19.0	12.0	9.0	2052.0	0.1	5.0	5.0	10.0	0.0	0.1	10.0	10.0	15.0	1500.0	-0.2000	-0.2000	-1.0000	-0.2690	0	1	Non-foldable item with small dimensions.
25051704394E4D	데이식스 포에버영 앙콘엠디 라이트밴드 커스텀 커버	스타굿즈 > 보이그룹 > 인형/피규어 >	0.09	15.5	11.9	8.1	1494.045	0.3	15.0	5.0	15.0	0.0	0.3	7.0	7.0	5.0	245.0	2.3333	2.3333	-1.0000	-0.8360	0	1	Estimated based on the compact size and stackability of the custom covers.
2505155421FA60	엔시티 위시 위시돌 쿠리 리쿠 인형 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	0.245	22.0	9.0	19.9	3940.2	0.3	10.0	10.0	15.0	0.0	0.3	15.0	15.0	10.0	2250.0	0.2245	0.2245	-1.0000	-0.4290	0	1	Based on the plush nature of the item and its potential for compression.
250509A5E91792	엔시티 위시 인형 팝니다	스타굿즈 > 보이그룹 > 인형/피규어 >	0.19	21.7	18.5	9.6	3853.92	0.4	15.0	20.0	15.0	0.0	0.3	10.0	10.0	10.0	1000.0	1.1053	0.5789	-1.0000	-0.7405	1	1	Based on the plush nature of the doll and its potential for compression.
