order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
25102296E849D3	[대형 제품] 터닝메카드 갓 타나토스 매그넘 (블루랜드)	키덜트 > 피규어/인형 >	1.035	38.0	20.0	27.0	20520.0	1.1	28.0	35.0	12.0	0.0	0.8	25.0	20.0	10.0	5000.0	0.0628	-0.2271	-1.0000	-0.7563	0	1	Non-foldable item with actual dimensions used for volume estimation.
2510014F4FAE45	포켓몬스터 레진 피규어 스케일월드 - forest 흉터 니드킹 복각	키덜트 > 피규어/인형 >	1.4	45.0	20.0	39.0	35100.0	2.0	23.0	28.0	22.0	0.0	1.0	20.0	15.0	25.0	7500.0	0.4286	-0.2857	-1.0000	-0.7863	1	1	Non-foldable and non-compressible item, using actual dimensions for volume estimation.
25092106FEC2C3	팝마트 지모모 판매합니다. 미개봉 새상품	키덜트 > 피규어/인형 >	5.285	68.0	30.0	35.0	71400.0	0.35	12.0	12.0	15.0	0.0	0.3	15.0	10.0	10.0	1500.0	-0.9338	-0.9432	-1.0000	-0.9790	0	1	Non-foldable item with standard dimensions for figurines.
250524E267DB16	드래곤볼 그란디스타.msp망가디멘션(투디멘션) 손오공 베지터 팝니다.	키덜트 > 피규어/인형 >	3.295	44.9	43.8	24.8	48772.176	0.3	10.0	10.0	15.0	0.0	1.5	20.0	15.0	30.0	9000.0	-0.9090	-0.5448	-1.0000	-0.8155	1	1	Non-foldable and non-compressible figures with standard packaging dimensions.
250529A5E374E4	무속성 솜인형 10cm 인형옷	키덜트 > 피규어/인형 >	0.1	11.6	18.1	8.4	1763.664	0.2	7.0	7.0	7.0	0.0	0.2	8.0	8.0	8.0	512.0	1.0000	1.0000	-1.0000	-0.7097	0	1	Based on the size and compressibility of the plush dolls.
25052630668F0E	무속성 10cm인형 미니파이 양도	키덜트 > 피규어/인형 >	0.17	18.7	15.1	12.0	3388.44	0.2	10.0	10.0	10.0	0.0	0.2	8.0	8.0	8.0	512.0	0.1765	0.1765	-1.0000	-0.8489	0	1	Based on the size of the plush figure and its compressibility.
2505262B855887	드래곤볼 피규어	키덜트 > 피규어/인형 >	1.005	43.5	28.0	19.5	23751.0	0.3	10.0	10.0	15.0	0.0	0.5	20.0	15.0	10.0	3000.0	-0.7015	-0.5025	-1.0000	-0.8737	1	1	Non-foldable item with standard dimensions for figurines.
2505259FD9C184	드래곤볼 손오공 망가 디멘션 피규어	키덜트 > 피규어/인형 >	2.04	42.0	30.5	26.5	33946.5	0.8	10.0	25.0	15.0	0.0	0.8	15.0	10.0	25.0	3750.0	-0.6078	-0.6078	-1.0000	-0.8895	0	1	Non-foldable item with actual dimensions used for volume estimation.
2505243C9A6CE2	무속성 옷 10cm우블플르슈 민트 겨울코트 호그와트망토 토끼 우주복 판매	키덜트 > 피규어/인형 >	0.23	16.5	13.0	12.0	2574.0	0.5	20.0	10.0	15.0	0.0	0.3	10.0	15.0	5.0	750.0	1.1739	0.3043	-1.0000	-0.7086	1	1	Based on the foldability of clothing items and typical packing practices.
250521B8E7D101	롯데월드 포켓몬 어트랙션 가챠 미개봉품 피카츄 스핀바스켓	키덜트 > 피규어/인형 >	0.21	24.5	13.5	11.5	3803.625	0.3	10.0	10.0	15.0	0.0	0.3	15.0	10.0	20.0	3000.0	0.4286	0.4286	-1.0000	-0.2113	0	1	Non-foldable item with estimated dimensions based on typical figurine size.
250523945CF00A	드래곤볼 bwfc 손오공 피규어	키덜트 > 피규어/인형 >	0.68	27.5	23.5	12.5	8078.125	0.5	10.0	20.0	15.0	0.0	0.8	15.0	15.0	25.0	5625.0	-0.2647	0.1765	-1.0000	-0.3037	1	1	Non-foldable item with estimated dimensions based on typical figure size.
2505216C3634CF	드래곤볼 msp 베지트 피규어	키덜트 > 피규어/인형 >	1.025	37.0	27.5	16.0	16280.0	0.3	10.0	10.0	15.0	0.0	0.5	15.0	10.0	25.0	3750.0	-0.7073	-0.5122	-1.0000	-0.7697	1	1	Non-foldable item with standard dimensions for figurines.
2505136D2AE033	망가디 멘션 드래곤볼(2개) +원피스(1개)	키덜트 > 피규어/인형 >	4.94	61.0	42.0	32.0	81984.0	0.8	14.0	10.0	21.0	0.0	1.0	20.0	15.0	10.0	3000.0	-0.8381	-0.7976	-1.0000	-0.9634	1	1	Non-foldable item with actual dimensions used for volume estimation.
250518D6C773C9	드래곤볼 bwfc 유년기 우유배달 손오공 피규어	키덜트 > 피규어/인형 >	0.48	25.1	21.0	12.5	6588.75	0.3	10.0	10.0	15.0	0.0	0.5	20.0	15.0	10.0	3000.0	-0.3750	0.0417	-1.0000	-0.5447	1	1	Non-foldable item with standard dimensions for packaging.
2505170761E488	어나니머스 사이버펑크 엣지러너 레베카 레진 피규어	키덜트 > 피규어/인형 >	1.64	41.0	29.4	21.6	26036.64	0.3	10.0	10.0	15.0	0.0	1.0	20.0	15.0	25.0	7500.0	-0.8171	-0.3902	-1.0000	-0.7119	1	1	Non-foldable item with estimated dimensions based on typical figure sizes.
25051686C5E008	티니핑 쥬얼하트윙폰/티니하트윙	키덜트 > 피규어/인형 >	0.535	26.0	19.9	15.2	7864.48	0.3	7.0	7.0	10.0	0.0	0.3	10.0	7.0	5.0	350.0	-0.4393	-0.4393	-1.0000	-0.9555	0	1	Based on the compact size and potential for stacking of small figurines.
250515717640F1	드래곤볼 점프 애니버서리 피규어 손오공(새제품)	키덜트 > 피규어/인형 >	0.62	22.6	17.1	14.3	5526.378	0.3	10.0	10.0	15.0	0.0	0.8	15.0	10.0	25.0	3750.0	-0.5161	0.2903	-1.0000	-0.3214	1	1	Non-foldable item with standard dimensions for a figure.
250513152A4C7F	드래곤볼 Z 매치 메이커스 프리저 . 배지터.손오공 피규어 일괄 핫토이x	키덜트 > 피규어/인형 >	1.46	43.5	26.0	14.0	15834.0	0.3	10.0	10.0	15.0	0.0	1.5	25.0	20.0	30.0	15000.0	-0.7945	0.0274	-1.0000	-0.0527	1	1	Non-foldable and non-compressible item with actual dimensions used for volume estimation.
2505194E9829A2	시나모롤카페 모카 인형 마스코트 단순전시 일괄	키덜트 > 피규어/인형 >	0.785	38.1	27.1	16.4	16933.164	0.3	10.0	10.0	15.0	0.0	0.8	25.0	20.0	15.0	7500.0	-0.6178	0.0191	-1.0000	-0.5571	1	1	Estimated based on the plush nature and potential for compression.
250516BBF54097	판매) 에프렘클로젯 옷장 퐁드림 블루 10cm 무속성 솜 인형 옷	키덜트 > 피규어/인형 >	0.115	25.0	12.7	6.5	2063.75	0.3	8.0	8.0	8.0	0.0	0.2	10.0	10.0	10.0	1000.0	1.6087	0.7391	-1.0000	-0.5154	1	1	Non-foldable item with a compact size.
25051564DE62E3	D3 디쓰리 번개드라몬 디지몬 02 레진 피규어	키덜트 > 피규어/인형 >	1.37	36.6	27.8	26.2	26657.976	0.3	10.0	10.0	15.0	0.0	0.8	25.0	15.0	20.0	7500.0	-0.7810	-0.4161	-1.0000	-0.7187	1	1	Non-foldable and non-compressible item, using actual dimensions for volume estimation.
25051055C96E8E	마지막 할인~ 티니핑 해핑 피규어 미개봉	키덜트 > 피규어/인형 >	0.355	28.0	25.2	18.4	12983.04	0.3	10.0	15.0	10.0	0.0	0.3	15.0	20.0	5.0	1500.0	-0.1549	-0.1549	-1.0000	-0.8845	0	1	Non-foldable item with standard dimensions for packaging.
250508FBDDB7C0	블레이드앤소울 피규어 전세트	키덜트 > 피규어/인형 >	2.49	49.8	38.6	35.2	67664.256	0.8	20.0	15.0	30.0	0.0	1.5	30.0	30.0	10.0	9000.0	-0.6787	-0.3976	-1.0000	-0.8670	1	1	Non-foldable item with estimated dimensions based on typical packaging for figures.
250504723B13AF	드래곤볼 글리터&글래머러스 부루마 피규어 판매 (정품)	키덜트 > 피규어/인형 >	0.42	24.0	20.0	12.0	5760.0	0.3	10.0	10.0	15.0	0.0	1.5	20.0	15.0	10.0	3000.0	-0.2857	2.5714	-1.0000	-0.4792	0	1	Non-foldable and non-compressible item, estimated based on typical dimensions for collectible figures.
25050769CF742D	스위치 구관SD 시호 B타입 미백헤드+ 안구 일괄 (급처!)	키덜트 > 피규어/인형 >	0.375	28.0	18.5	12.0	6216.0	0.3	10.0	10.0	15.0	0.0	0.4	18.0	8.0	4.0	576.0	-0.2000	0.0667	-1.0000	-0.9073	1	1	Estimated based on the typical size and weight of collectible figures, with slight reduction for packed volume.
25050872097198	토잠토선 망무 마도조사	키덜트 > 피규어/인형 >	0.165	21.5	19.0	9.0	3676.5	0.3	10.0	10.0	15.0	0.0	0.3	10.0	10.0	5.0	500.0	0.8182	0.8182	-1.0000	-0.8640	0	1	Based on the plush nature and compressibility of the figures.
25050262071752	메타몽 워터볼 피규어	키덜트 > 피규어/인형 >	1.735	32.1	22.2	15.5	11045.61	0.3	10.0	10.0	10.0	0.0	0.8	20.0	20.0	20.0	8000.0	-0.8271	-0.5389	-1.0000	-0.2757	1	1	Non-foldable item with standard dimensions for figurines.
250503A47AEE91	포켓몬 라프라스 피카츄 워터볼 피규어 잠실 메타몽 팝업	키덜트 > 피규어/인형 >	1.865	40.2	32.1	20.7	26711.694	0.3	10.0	15.0	10.0	0.0	0.5	15.0	15.0	8.0	1800.0	-0.8391	-0.7319	-1.0000	-0.9326	1	1	Estimated based on typical dimensions for collectible figures and compressibility of packaging.
25050688D38E14	드래곤볼z kakarot 디오라마 피규어 미개봉	키덜트 > 피규어/인형 >	3.615	57.1	33.7	47.9	92172.533	0.3	10.0	10.0	15.0	0.0	1.0	30.0	30.0	10.0	9000.0	-0.9170	-0.7234	-1.0000	-0.9024	1	1	Non-foldable item with standard dimensions for packaging.
25050700FB8DA1	노박스 SMSP 초사이어인4 손오공 도색 망가디멘션 버전 드래곤볼 피규어	키덜트 > 피규어/인형 >	1.37	28.5	25.1	15.4	11016.39	0.5	10.0	20.0	15.0	0.0	1.0	20.0	15.0	30.0	9000.0	-0.6350	-0.2701	-1.0000	-0.1830	1	1	Non-foldable item with estimated dimensions based on typical figure size.
250503BD292F4E	우이님 인형 강아지 양도합니다	키덜트 > 피규어/인형 >	0.345	24.6	17.8	17.9	7838.052	0.3	15.0	10.0	20.0	0.0	0.4	18.0	18.0	18.0	5832.0	-0.1304	0.1594	-1.0000	-0.2559	0	1	Estimated based on the plush toy's dimensions and compressibility.
250503F07787A9	우이님 인형	키덜트 > 피규어/인형 >	0.205	22.7	15.9	15.2	5486.136	0.3	10.0	10.0	15.0	0.0	0.3	15.0	15.0	10.0	2250.0	0.4634	0.4634	-1.0000	-0.5899	0	1	Estimated based on the compact nature of the plush figure and packaging.
250426EBBED92A	드래곤볼 피규어 원가 15	키덜트 > 피규어/인형 >	0.72	26.3	17.8	14.6	6834.844	0.3	10.0	10.0	15.0	0.0	1.0	20.0	15.0	15.0	4500.0	-0.5833	0.3889	-1.0000	-0.3416	1	1	Non-foldable and non-compressible figures with standard dimensions.
2504297E285456	급처) 핀터레스트 yukiya 유키야 인형	키덜트 > 피규어/인형 >	0.23	20.5	15.1	15.3	4736.115	0.3	10.0	10.0	15.0	0.0	0.4	20.0	15.0	10.0	3000.0	0.3043	0.7391	-1.0000	-0.3666	0	1	Based on the plush nature and compressibility of the item.
25042812A33C32	잠실 포켓몬 메타몽 프로모카드 미개봉 7장 판매합니다	키덜트 > 피규어/인형 >	0.215	22.2	19.0	9.6	4049.28	0.1	12.0	1.0	8.0	0.0	0.1	10.0	15.0	0.5	75.0	-0.5349	-0.5349	-1.0000	-0.9815	0	1	Estimated based on the size and quantity of trading cards, with no reduction for packing.
