order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
25102296E849D3	[대형 제품] 터닝메카드 갓 타나토스 매그넘 (블루랜드)	키덜트 > 피규어/인형 >	25x20x10	25x20x10	0.8	25.0	20.0	10.0	Non-foldable item with actual dimensions used for volume estimation.
2510014F4FAE45	포켓몬스터 레진 피규어 스케일월드 - forest 흉터 니드킹 복각	키덜트 > 피규어/인형 >	20x15x25	20x15x25	1.0	20.0	15.0	25.0	Non-foldable and non-compressible item, using actual dimensions for volume estimation.
25092106FEC2C3	팝마트 지모모 판매합니다. 미개봉 새상품	키덜트 > 피규어/인형 >	15x10x10	15x10x10	0.3	15.0	10.0	10.0	Non-foldable item with standard dimensions for figurines.
250524E267DB16	드래곤볼 그란디스타.msp망가디멘션(투디멘션) 손오공 베지터 팝니다.	키덜트 > 피규어/인형 >	20x15x30	20x15x30	1.5	20.0	15.0	30.0	Non-foldable and non-compressible figures with standard packaging dimensions.
250529A5E374E4	무속성 솜인형 10cm 인형옷	키덜트 > 피규어/인형 >	10x10x10	8x8x8	0.2	8.0	8.0	8.0	Based on the size and compressibility of the plush dolls.
25052630668F0E	무속성 10cm인형 미니파이 양도	키덜트 > 피규어/인형 >	10x10x10	8x8x8	0.2	8.0	8.0	8.0	Based on the size of the plush figure and its compressibility.
2505262B855887	드래곤볼 피규어	키덜트 > 피규어/인형 >	20x15x10	20x15x10	0.5	20.0	15.0	10.0	Non-foldable item with standard dimensions for figurines.
2505259FD9C184	드래곤볼 손오공 망가 디멘션 피규어	키덜트 > 피규어/인형 >	15x10x25	15x10x25	0.8	15.0	10.0	25.0	Non-foldable item with actual dimensions used for volume estimation.
2505243C9A6CE2	무속성 옷 10cm우블플르슈 민트 겨울코트 호그와트망토 토끼 우주복 판매	키덜트 > 피규어/인형 >	15x20x5	10x15x5	0.3	10.0	15.0	5.0	Based on the foldability of clothing items and typical packing practices.
250521B8E7D101	롯데월드 포켓몬 어트랙션 가챠 미개봉품 피카츄 스핀바스켓	키덜트 > 피규어/인형 >	15x10x20	15x10x20	0.3	15.0	10.0	20.0	Non-foldable item with estimated dimensions based on typical figurine size.
250523945CF00A	드래곤볼 bwfc 손오공 피규어	키덜트 > 피규어/인형 >	15x15x25	15x15x25	0.8	15.0	15.0	25.0	Non-foldable item with estimated dimensions based on typical figure size.
2505216C3634CF	드래곤볼 msp 베지트 피규어	키덜트 > 피규어/인형 >	15x10x25	15x10x25	0.5	15.0	10.0	25.0	Non-foldable item with standard dimensions for figurines.
2505136D2AE033	망가디 멘션 드래곤볼(2개) +원피스(1개)	키덜트 > 피규어/인형 >	20x15x10	20x15x10	1.0	20.0	15.0	10.0	Non-foldable item with actual dimensions used for volume estimation.
250518D6C773C9	드래곤볼 bwfc 유년기 우유배달 손오공 피규어	키덜트 > 피규어/인형 >	20x15x10	20x15x10	0.5	20.0	15.0	10.0	Non-foldable item with standard dimensions for packaging.
2505170761E488	어나니머스 사이버펑크 엣지러너 레베카 레진 피규어	키덜트 > 피규어/인형 >	20x15x25	20x15x25	1.0	20.0	15.0	25.0	Non-foldable item with estimated dimensions based on typical figure sizes.
25051686C5E008	티니핑 쥬얼하트윙폰/티니하트윙	키덜트 > 피규어/인형 >	15x10x5	10x7x5	0.3	10.0	7.0	5.0	Based on the compact size and potential for stacking of small figurines.
250515717640F1	드래곤볼 점프 애니버서리 피규어 손오공(새제품)	키덜트 > 피규어/인형 >	15x10x25	15x10x25	0.8	15.0	10.0	25.0	Non-foldable item with standard dimensions for a figure.
