order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
25093078A2350E	마지셔우드 벨티드 호보	가방/지갑 > 여성가방 > 토트백 >	0.78	37.0	12.5	28.5	13181.25	1.1	25.0	40.0	15.0	0.0	0.8	25.0	35.0	8.0	7000.0	0.4103	0.0256	-1.0000	-0.4689	1	1	Estimated based on the bag's foldability and typical packing practices for handbags.
250526D730770E	마지막 가격 투티에 로케백 브라운 스몰 크로커	가방/지갑 > 여성가방 > 토트백 >	0.765	31.7	23.7	14.0	10518.06	0.8	15.0	10.0	20.0	0.0	0.8	30.0	20.0	10.0	6000.0	0.0458	0.0458	-1.0000	-0.4296	0	1	Non-foldable item with standard dimensions used for packed volume estimation.
2505220F06D951	[정품] 마지셔우드 소프트 토트백 푸시아 핑크 누벅	가방/지갑 > 여성가방 > 토트백 >	1.005	39.5	25.5	16.0	16116.0	0.8	20.0	10.0	15.0	0.0	0.8	25.0	20.0	10.0	5000.0	-0.2040	-0.2040	-1.0000	-0.6897	0	1	Based on the bag's foldability and typical packing practices.
250516EA870375	구찌 토트백	가방/지갑 > 여성가방 > 토트백 >	1.075	37.7	24.6	16.1	14931.462	0.8	30.0	10.0	25.0	0.0	0.8	30.0	40.0	10.0	12000.0	-0.2558	-0.2558	-1.0000	-0.1963	0	1	Estimated based on the bag's foldability and typical packing practices.
25051527DA3C32	투티에 파라렐토드&숄더백.실물이 더~멋짐	가방/지갑 > 여성가방 > 토트백 >	2.005	43.3	29.3	21.6	27403.704	0.8	20.0	10.0	15.0	0.0	0.8	30.0	40.0	10.0	12000.0	-0.6010	-0.6010	-1.0000	-0.5621	0	1	Non-foldable item with standard dimensions for a tote bag.
2505182EBAA41A	사르투 타이 토트백 토프컬러 더스트백 포함	가방/지갑 > 여성가방 > 토트백 >	1.0	39.9	30.1	10.6	12730.494	0.8	20.0	10.0	15.0	0.0	0.8	30.0	40.0	10.0	12000.0	-0.2000	-0.2000	-1.0000	-0.0574	0	1	Estimated packed volume considering the bag's structure and potential for compression.
250517879545F0	(정품)펜디 가방 바게트백 맘마백 주카백	가방/지갑 > 여성가방 > 토트백 >	0.565	38.1	20.8	13.1	10381.488	0.8	28.0	10.0	21.0	0.0	0.4	30.0	20.0	5.0	3000.0	0.4159	-0.2920	-1.0000	-0.7110	1	1	Non-foldable item with standard dimensions for a handbag.
2505111BD4D138	(새제품 커버 및 박스포함/ 정가329,000)오소이 폴더브로트백 데님	가방/지갑 > 여성가방 > 토트백 >	2.005	47.9	38.3	30.3	55587.471	0.8	20.0	10.0	15.0	0.0	0.4	15.0	10.0	5.0	750.0	-0.6010	-0.8005	-1.0000	-0.9865	0	1	The bag is foldable, allowing for a reduced packed volume.
250516B5A71412	펜디 미니 쇼퍼백	가방/지갑 > 여성가방 > 토트백 >	0.61	35.2	24.4	18.6	15975.168	0.4	18.0	8.0	21.0	0.0	0.8	30.0	25.0	10.0	7500.0	-0.3443	0.3115	-1.0000	-0.5305	1	1	Non-foldable item with standard dimensions for a tote bag.
250512E942093A	[29EDITION] mini box bag (navy dot)	여성가방 > 토트백	0.845	39.5	32.1	13.5	17117.325	0.4	18.0	8.0	21.0	0.0	0.8	30.0	25.0	15.0	11250.0	-0.5266	-0.0533	-1.0000	-0.3428	1	1	Non-foldable item with standard dimensions used for estimation.
250508757F1899	펜디 패브릭 미니 보스턴백	가방/지갑 > 여성가방 > 토트백 >	0.94	32.0	25.9	20.6	17073.28	0.8	20.0	10.0	15.0	0.0	0.8	25.0	35.0	12.0	10500.0	-0.1489	-0.1489	-1.0000	-0.3850	0	1	Based on the bag's structure and foldability for packed volume estimation.
