order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
25093078A2350E	마지셔우드 벨티드 호보	가방/지갑 > 여성가방 > 토트백 >	30x40x10	25x35x8	0.8	25.0	35.0	8.0	Estimated based on the bag's foldability and typical packing practices for handbags.
250526D730770E	마지막 가격 투티에 로케백 브라운 스몰 크로커	가방/지갑 > 여성가방 > 토트백 >	30x20x10	30x20x10	0.8	30.0	20.0	10.0	Non-foldable item with standard dimensions used for packed volume estimation.
2505220F06D951	[정품] 마지셔우드 소프트 토트백 푸시아 핑크 누벅	가방/지갑 > 여성가방 > 토트백 >	30x25x10	25x20x10	0.8	25.0	20.0	10.0	Based on the bag's foldability and typical packing practices.
250516EA870375	구찌 토트백	가방/지갑 > 여성가방 > 토트백 >	30x40x15	30x40x10	0.8	30.0	40.0	10.0	Estimated based on the bag's foldability and typical packing practices.
25051527DA3C32	투티에 파라렐토드&숄더백.실물이 더~멋짐	가방/지갑 > 여성가방 > 토트백 >	30x40x10	30x40x10	0.8	30.0	40.0	10.0	Non-foldable item with standard dimensions for a tote bag.
2505182EBAA41A	사르투 타이 토트백 토프컬러 더스트백 포함	가방/지갑 > 여성가방 > 토트백 >	30x40x15	30x40x10	0.8	30.0	40.0	10.0	Estimated packed volume considering the bag's structure and potential for compression.
250517879545F0	(정품)펜디 가방 바게트백 맘마백 주카백	가방/지갑 > 여성가방 > 토트백 >	30x20x5	30x20x5	0.4	30.0	20.0	5.0	Non-foldable item with standard dimensions for a handbag.
2505111BD4D138	(새제품 커버 및 박스포함/ 정가329,000)오소이 폴더브로트백 데님	가방/지갑 > 여성가방 > 토트백 >	30x20x5	15x10x5	0.4	15.0	10.0	5.0	The bag is foldable, allowing for a reduced packed volume.
250516B5A71412	펜디 미니 쇼퍼백	가방/지갑 > 여성가방 > 토트백 >	30x25x10	30x25x10	0.8	30.0	25.0	10.0	Non-foldable item with standard dimensions for a tote bag.
250512E942093A	[29EDITION] mini box bag (navy dot)	여성가방 > 토트백	30x25x15	30x25x15	0.8	30.0	25.0	15.0	Non-foldable item with standard dimensions used for estimation.
250508757F1899	펜디 패브릭 미니 보스턴백	가방/지갑 > 여성가방 > 토트백 >	30x40x15	25x35x12	0.8	25.0	35.0	12.0	Based on the bag's structure and foldability for packed volume estimation.
25050915DEA594	mfnt엠에프엔티 플레이 볼드 스몰백 중고 팝니다	가방/지갑 > 여성가방 > 토트백 >	25x30x15	20x25x10	0.8	20.0	25.0	10.0	Based on the bag's foldability and typical packing practices.
250503D5D9139C	로사케이 카바스 모노그램 토트 S	가방/지갑 > 여성가방 > 토트백 >	25x20x10	25x20x10	0.8	25.0	20.0	10.0	Non-foldable item with standard dimensions for a tote bag.
250424FA3A598F	정품)구찌가방	가방/지갑 > 여성가방 > 토트백 >	30x40x15	30x40x10	0.8	30.0	40.0	10.0	Estimated based on the bag's structure and foldability.
250422C07C7415	린도 오똔백 스몰 브라운	가방/지갑 > 여성가방 > 토트백 >	20x25x10	15x20x8	0.4	15.0	20.0	8.0	Based on the bag's foldability and typical packing practices.
2504224C1F05FC	Stereo Bag 스테레오백 / 레드 와인	여성가방 > 토트백	25x20x10	25x20x10	0.8	25.0	20.0	10.0	Non-foldable item with standard dimensions for a tote bag.
250414FB39DA2E	펜디 피카부 토트백	가방/지갑 > 여성가방 > 토트백 >	30x25x10	30x25x10	0.8	30.0	25.0	10.0	Non-foldable item with estimated dimensions based on typical tote bag size.
250409F03567C6	새상품) 분크 필굿 토트 스몰 라벤더	가방/지갑 > 여성가방 > 토트백 >	30x20x15	30x20x15	0.8	30.0	20.0	15.0	Non-foldable item with standard dimensions for a tote bag.
2504100183B9A5	구찌 토트백 숄더백	가방/지갑 > 여성가방 > 토트백 >	30x40x10	15x20x10	0.8	15.0	20.0	10.0	Based on the foldability of the tote bag and typical packing practices.
25040918149F0D	펜디 브라운 미니 토트백	가방/지갑 > 여성가방 > 토트백 >	25x20x10	25x20x10	0.4	25.0	20.0	10.0	Non-foldable item with standard dimensions for a mini tote bag.
250409FDC0E63C	펜디 맘마백 데님	가방/지갑 > 여성가방 > 토트백 >	30x25x10	30x25x10	0.8	30.0	25.0	10.0	Non-foldable item with standard dimensions for a tote bag.
2504094D963F1C	프라다 나일론 토트백 블랙	가방/지갑 > 여성가방 > 토트백 >	40x25x15	20x12x10	0.8	20.0	12.0	10.0	Based on the foldable nature of the tote bag and typical packing practices.
25040800A24AC5	분크 토크 토트 Bebe Pink	가방/지갑 > 여성가방 > 토트백 >	30x25x15	25x20x10	0.8	25.0	20.0	10.0	Estimated based on the bag's structure and foldability.
25040828561E52	펜디 FENDI 토트백 (무료배송)	가방/지갑 > 여성가방 > 토트백 >	30x40x15	30x40x10	0.8	30.0	40.0	10.0	Estimated based on the typical dimensions of a tote bag and its compressibility.
2504036DAE6680	분크 토크 토트 스몰 블랙 (악세사리 포함)	가방/지갑 > 여성가방 > 토트백 >	30x25x15	30x25x15	0.8	30.0	25.0	15.0	Non-foldable item with standard dimensions for a tote bag.
2504027028C31E	구찌 빈티지 핑크 파우치 가방	가방/지갑 > 여성가방 > 토트백 >	25x15x5	20x12x5	0.3	20.0	12.0	5.0	Based on the foldability and compact nature of the pouch.
250327766FCEE4	펜디 주카 보스턴백	가방/지갑 > 여성가방 > 토트백 >	30x20x15	30x20x15	1.0	30.0	20.0	15.0	Non-foldable item with standard dimensions for a handbag.
2503120E204361	PAIRS MINI TOTE BAG LEOPARD	여성가방 > 토트백	30x20x10	15x10x5	0.4	15.0	10.0	5.0	Based on the foldability of the tote bag and typical packing practices.
250322618E3723	포켓몬 스토어 Lucky for you 니팅토트백 (핑크)	패션잡화>여성가방>토트백	30x25x10	15x12.5x10	0.4	15.0	12.5	10.0	Based on the foldable nature of the tote bag and typical packing practices.
