order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
2505220BC1F5D1	버즈3프로 갤럭시 버즈3 프로 전용 이어팁 변환캡 디비누스 어뎁터 S1	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	5x5x5	0.02	5.0	5.0	5.0	Non-foldable item with small dimensions.
250520ADCBA875	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	3x5x5	0.02	3.0	5.0	5.0	Estimated based on the small size and compressibility of ear tips.
25043062FDBFE8	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	3x5x5	0.02	3.0	5.0	5.0	Estimated based on the small size and compressibility of ear tips.
250504CBCEEFDB	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	3x5x5	0.02	3.0	5.0	5.0	Estimated based on the small size and compressibility of ear tips.
2504292A93822F	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	3x5x5	0.02	3.0	5.0	5.0	Estimated based on the small size and compressibility of ear tips.
2504291D692242	아즈라 맥스 버즈3프로 이어팁 삼성 SMAPP 정품 호환 독일 프리미엄 LSR 이어캡	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	4x4x4	0.02	4.0	4.0	4.0	Estimated based on the small size and lightweight nature of ear tips.
250419F464E0FD	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	3x5x5	0.02	3.0	5.0	5.0	Estimated based on the small size and compressibility of ear tips.
25042020143EE2	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	3x5x5	0.02	3.0	5.0	5.0	Estimated based on the small size and compressibility of ear tips.
250416AB32A32C	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	3x5x5	0.02	3.0	5.0	5.0	Estimated based on the small size and compressibility of ear tips.
250414014480FB	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	3x5x5	0.02	3.0	5.0	5.0	Estimated based on the small size and compressibility of ear tips.
2504079F066F12	14 나인어클락 미니동물 하드 에어팟 프로 2 케이스+미니동물 키링 세트	디지털/가전>음향가전>이어폰/헤드폰액세서리>케이스/파우치	10x8x4	8x6x4	0.1	8.0	6.0	4.0	Estimated based on the compact size and foldability of the case and keychain.
2504085BB0002E	아즈라 맥스 버즈3프로 이어팁 삼성 SMAPP 정품 호환 독일 프리미엄 LSR 이어캡	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	5x5x5	4x4x4	0.02	4.0	4.0	4.0	Estimated based on the small size and lightweight nature of ear tips.
