order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
251112710A8604	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	30x40x80	30x40x60	2.5	30.0	40.0	60.0	Estimated based on the size and structure of the bowling bag, with a reduction for packed volume.
2511087A1815E1	스톰 롤링 썬더 시그니처 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	30x40x80	30x40x60	3.5	30.0	40.0	60.0	Estimated based on the size and structure of the bowling bag, with a reduction for packed volume due to its design.
2511026AEFCC45	스톰 롤링 썬더 플러스 3볼 볼링가방 에나멜 (악세사리 파우치 포함) 화이트레드	스포츠/레저>볼링>볼링가방	35x25x60	30x20x50	2.5	30.0	20.0	50.0	Estimated based on the size and structure of the bowling bag, considering its foldable components.
2510268962FEFD	[ 볼링티 1볼도트 악세사리백 3종스티커 네임텍 선물 ] 햄머 빅 3볼롤러백 블랙실버	스포츠/레저>볼링>볼링가방	35x40x80	30x35x70	3.5	30.0	35.0	70.0	Estimated based on the size and structure of the bowling bag, considering its stackability and foldable components.
251015F49B28CF	스톰 롤링썬더 3볼롤러백+악세서리백 / 볼링가방	구기/라켓 > 볼링용품 > 볼링가방	30x40x20	21x28x15	2.5	21.0	28.0	15.0	Estimated based on the size and stackability of the bowling bag.
251001D435FC8A	스톰 2024 롤링썬더 시그니처 플러스 3볼 롤러백	구기/라켓 > 볼링용품 > 볼링가방	35x40x80	30x35x70	3.5	30.0	35.0	70.0	Estimated based on the size and structure of the rolling bag, considering its stackability and foldability.
250924A88D4EEA	뉴 브런스윅3볼롤러백 매트 차콜그레이 볼링가방 (악세사리백 신발케이스 키링 포함)	스포츠/레저>볼링>볼링가방	40x30x70	28x21x49	3.5	28.0	21.0	49.0	Estimated based on the size and stackability of the bowling bag.
251006615BAD09	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	30x40x80	30x40x60	2.5	30.0	40.0	60.0	Estimated based on the size and structure of the bowling bag, with a reduction for packed volume.
251007FF5D509C	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	30x40x20	30x40x20	2.5	30.0	40.0	20.0	Non-foldable item with actual dimensions used for volume estimation.
251007FCB9CB60	2024 뉴 햄머 2볼 롤러백 볼링가방	스포츠/레저>볼링>볼링가방	30x40x20	30x40x20	2.5	30.0	40.0	20.0	Non-foldable item with actual dimensions used for volume estimation.
250929E8172B0F	2025햄머 3볼 토트백/슈즈백포함 가방 쓰리덩키 Hammer	스포츠/레저>볼링>볼링가방	30x15x75	21x10x50	2.5	21.0	10.0	50.0	Based on the size and stackability of the bowling bag, with a reduction for packed volume.
250923DFCACD0C	스톰 롤링 썬더 시그니처 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	35x40x80	30x35x70	3.5	30.0	35.0	70.0	Estimated based on the size and structure of the bowling bag, considering its stackability and potential for compression.
250919B4E49D7A	해피볼 브런스윅 뉴 3볼 매트 롤러백 볼링가방 (악세사리파우치, 볼링화 주머니, 키링, 볼링용품 3종 포함)	스포츠/레저>볼링>볼링가방	30x40x80	30x40x60	2.5	30.0	40.0	60.0	Estimated based on the size and structure of the bowling bag, with a reduction for packed volume due to potential compressibility.
250906BDE20320	해피볼 브런스윅 뉴 3볼 매트 롤러백 볼링가방 (악세사리파우치, 볼링화 주머니, 키링, 볼링용품 3종 포함)	스포츠/레저>볼링>볼링가방	30x40x80	30x40x60	2.5	30.0	40.0	60.0	Estimated based on the size and structure of the bowling bag, with a reduction for packed volume due to potential compressibility.
25091485BF4E02	[ 프리미엄 선물 ] 스톰 2024 NEW 볼트 3볼 롤러백 볼링백 볼링가방	스포츠/레저>볼링>볼링가방	30x40x20	30x40x20	2.5	30.0	40.0	20.0	Non-foldable item with actual dimensions used for volume estimation.
2505268B5E9857	[ 3종 증정품 ] 2024 롤링 썬더 플러스 3볼 인라인 3볼도트롤러백	스포츠/레저>볼링>볼링가방	30x40x20	30x40x20	2.5	30.0	40.0	20.0	Non-foldable item with actual dimensions used for volume estimation.
250517B2DF6ADB	[모티브 정품] 3볼 롤러백 (화이트) 3-BALL Roller Bag (white)	스포츠/레저>볼링>볼링가방	40x30x60	40x30x45	3.5	40.0	30.0	45.0	Estimated based on the dimensions of the roller bag and its stackable nature.
250512142FE40E	(햄머 볼타올 증정) 볼링가방 햄머 2볼 볼링백 에나멜 롤러 홀로그램 블랙위도우	스포츠/레저>볼링>볼링가방	35x25x50	30x20x40	2.5	30.0	20.0	40.0	Estimated based on the size and structure of the bowling bag, considering its ability to be packed efficiently.
250512E59334CA	(햄머 볼타올 증정) 볼링가방 햄머 2볼 볼링백 에나멜 롤러 홀로그램 블랙위도우	스포츠/레저>볼링>볼링가방	30x40x20	30x30x15	2.5	30.0	30.0	15.0	Estimated based on the size and structure of the bowling bag, considering its stackability and potential for compression.
250504D30243AB	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	30x40x20	30x40x20	2.5	30.0	40.0	20.0	Non-foldable item with actual dimensions used for volume estimation.
25050558C8626E	햄머 레인보우 홀로그램 볼링 3볼백 롤러백	스포츠/레저>볼링>볼링가방	30x40x20	21x28x14	2.5	21.0	28.0	14.0	Based on the item's structure and stackability for packed volume estimation.
2505013EF66D01	브런스윅 4볼 에나멜 볼링가방 롤러백	스포츠/레저>볼링>볼링가방	35x40x20	35x40x20	2.5	35.0	40.0	20.0	Non-foldable item with actual dimensions used for volume estimation.
250501B06189E5	해피볼-신상 2025 에보나이트 3볼 슬림 그레이 롤러백 볼링가방 + 만능크리너, 시소백	스포츠/레저>볼링>볼링가방	30x40x15	30x40x15	3.5	30.0	40.0	15.0	Non-foldable item with actual dimensions used for volume estimation.
2504288F20BD5F	스톰 뉴 볼트 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	30x40x20	21x28x14	2.5	21.0	28.0	14.0	Estimated based on the size and structure of the bowling bag, considering its stackability and potential for compression.
2504241BD4CA3F	(3종 용품 함께) 브런스윅 애나멜 4롤러백 4볼백	스포츠/레저>볼링>볼링가방	35x25x60	35x25x45	3.5	35.0	25.0	45.0	Estimated based on the size and structure of the bowling bag, with a reduction for packed volume.
250417B5BF3D9E	[수입] DV8 디바 슬림 3볼토트백(핑크) / 볼링가방	스포츠/레저>볼링>볼링가방	30x40x15	30x40x15	1.5	30.0	40.0	15.0	Non-foldable item with actual dimensions used for volume estimation.
2504203B27F2B3	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	스포츠/레저>볼링>볼링가방	30x40x20	30x40x20	2.5	30.0	40.0	20.0	Non-foldable item with actual dimensions used for volume estimation.
2504184345039D	해피볼-신상 2025 에보나이트 3볼 슬림 그레이 롤러백 볼링가방 + 만능크리너, 시소백	스포츠/레저>볼링>볼링가방	30x40x15	30x40x15	3.5	30.0	40.0	15.0	Non-foldable item with actual dimensions used for volume estimation.
250415FA96479B	[모티브 정품] 2볼 롤러백 화이트(2-ball Roller Bag WHITE)	스포츠/레저>볼링>볼링가방	30x40x25	30x40x25	2.5	30.0	40.0	25.0	Non-foldable item with actual dimensions used for volume estimation.
25041528E78B15	햄머 레인보우 볼링 3볼백 롤러백	스포츠/레저>볼링>볼링가방	40x30x60	40x30x50	3.5	40.0	30.0	50.0	Estimated based on the size and structure of the bowling bag, with a slight reduction for packed volume.
250413DBAD0F7F	햄머 레인보우3볼 빅 홀로그램 롤러백 블랙 볼링가방 +원볼백	스포츠/레저>볼링>볼링가방	40x30x70	28x21x49	2.5	28.0	21.0	49.0	Estimated based on the size and compressibility of the bowling bag.
