order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
250530CF6C4A7A	셀바이셀 아줄렌 수딩 토너 1000ml / 약산성 촉촉한스킨 피부과토너	화장품/미용>스킨케어>스킨/토너	2.665	26.9	27.3	15.4	11309.298	1.0	7.0	20.0	7.0	0.0	1.1	10.0	10.0	30.0	3000.0	-0.6248	-0.5872	-1.0000	-0.7347	1	1	Estimated based on the actual dimensions of the liquid container.
25052037C0E4E4	[미연x포토카드 A set 증정] 병풀 추출물 토너 300ml	뷰티 > 스킨케어 > 스킨/토너/패드	0.145	20.7	15.5	10.2	3272.67	0.3	6.0	15.0	6.0	0.0	0.35	8.0	8.0	20.0	1280.0	1.0690	1.4138	-1.0000	-0.6089	0	1	Non-foldable item with actual dimensions used for volume estimation.
250430FA21B48B	일리윤 세라마이드 아토 속보습 스킨 250ml	화장품/미용>스킨케어>스킨/토너	0.42	20.0	16.5	12.0	3960.0	0.25	6.0	20.0	6.0	0.0	0.25	7.0	7.0	20.0	980.0	-0.4048	-0.4048	-1.0000	-0.7525	0	1	Non-foldable item with actual dimensions used for volume estimation.
250428B87AB1C5	넘버즈인 1번 진정 맑게담은 청초토너 300ml	화장품/미용>스킨케어>스킨/토너	3.565	39.7	32.7	19.5	25314.705	0.3	6.0	15.0	6.0	0.0	0.3	6.0	6.0	20.0	720.0	-0.9158	-0.9158	-1.0000	-0.9716	0	1	Non-foldable liquid container with actual dimensions used for volume estimation.
2504192179B52F	아누아 어성초 77% 수딩 토너 저자극 토너 500ml 737015	화장품/미용>스킨케어>스킨/토너	5.315	38.4	19.5	25.9	19393.92	0.5	7.0	20.0	7.0	0.0	0.5	7.0	7.0	25.0	1225.0	-0.9059	-0.9059	-1.0000	-0.9368	0	1	Non-foldable item with actual dimensions used for volume estimation.
250416A8C7E8C8	아누아 어성초 77% 토너 500ml 1개	화장품/미용>스킨케어>스킨/토너	5.37	35.5	28.1	23.6	23542.18	0.5	7.0	20.0	7.0	0.0	0.5	8.0	8.0	25.0	1600.0	-0.9069	-0.9069	-1.0000	-0.9320	0	1	Non-foldable liquid container with actual dimensions used for volume estimation.
25041488175506	넘버즈인 1번 진정 맑게담은 청초토너 300ml	화장품/미용>스킨케어>스킨/토너	3.095	23.8	20.3	12.8	6184.192	0.3	6.0	15.0	6.0	0.0	0.3	6.0	6.0	20.0	720.0	-0.9031	-0.9031	-1.0000	-0.8836	0	1	Non-foldable item with actual dimensions based on typical bottle size.
2504086CB8E740	아누아 어성초 77% 수딩 토너 저자극 토너 500ml 737015	화장품/미용>스킨케어>스킨/토너	6.13	22.2	31.9	21.1	14942.598	0.5	7.0	20.0	7.0	0.0	0.5	7.0	7.0	20.0	980.0	-0.9184	-0.9184	-1.0000	-0.9344	0	1	Non-foldable item with actual dimensions used for volume estimation.
250330D9836B71	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.465	25.6	32.4	21.6	17915.904	0.5	8.0	15.0	8.0	0.0	0.5	8.0	8.0	20.0	1280.0	-0.9330	-0.9330	-1.0000	-0.9286	0	1	Non-foldable item with actual dimensions used for volume estimation.
2503242CD5B39C	[복수구매 행사]아누아 어성초 77% 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.4	22.1	29.3	24.2	15670.226	0.5	8.0	20.0	8.0	0.0	0.5	7.0	7.0	25.0	1225.0	-0.9324	-0.9324	-1.0000	-0.9218	0	1	Non-foldable item with actual dimensions used for volume estimation.
25032154AAFAFF	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.105	28.2	34.7	23.8	23289.252	0.5	8.0	15.0	8.0	0.0	0.5	8.0	8.0	20.0	1280.0	-0.9296	-0.9296	-1.0000	-0.9450	0	1	Non-foldable item with actual dimensions used for volume estimation.
250324E7D2526F	플레이브 메디힐 세트 양도 (세안 밴드 + 쇼핑백 포함)	뷰티/미용 > 스킨케어 > 스킨/토너/미스트 >	1.59	25.3	34.6	21.8	19083.284	0.3	7.0	5.0	12.0	0.0	0.8	20.0	15.0	8.0	2400.0	-0.8113	-0.4969	-1.0000	-0.8742	1	1	Estimated based on the combination of skincare products and accessories, considering their compact nature.
250318A8BEF9FE	아누아 어성초 77% 수딩 토너 500ml 대용량	화장품/미용>스킨케어>스킨/토너	7.125	24.2	33.8	31.6	25847.536	0.5	8.0	15.0	8.0	0.0	0.5	8.0	8.0	20.0	1280.0	-0.9298	-0.9298	-1.0000	-0.9505	0	1	Non-foldable item with actual dimensions used for volume estimation.
