order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
251029048F3E76	켈로그 운빨존많겜 기획팩 820g (N4)	식품>과자/베이커리>시리얼>기타시리얼	20x20x30	20x20x30	0.82	20.0	20.0	30.0	Non-foldable item with actual dimensions used for volume estimation.
251027C230E9BA	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	20x20x30	20x20x30	0.82	20.0	20.0	30.0	Non-foldable item with actual dimensions used for volume estimation.
2510193D7061E9	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	20x20x30	20x20x30	0.82	20.0	20.0	30.0	Non-foldable item with actual dimensions used for volume estimation.
251018A7463648	메가마트 농심 켈로그 운빨존많겜 번들팩 820g	가공식품 > 과자/간식 > 시리얼	20x15x10	20x15x10	0.82	20.0	15.0	10.0	Non-foldable item with actual dimensions based on product packaging.
251021F6AD08AB	메가마트 농심 켈로그 운빨존많겜 번들팩 820g	가공식품 > 과자/간식 > 시리얼	20x15x10	20x15x10	0.82	20.0	15.0	10.0	Estimated based on the total weight of the product and typical packaging dimensions for cereal bundles.
251020537CAFCC	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	20x20x30	20x20x30	0.82	20.0	20.0	30.0	Non-foldable item with actual dimensions used for volume estimation.
251017796274E8	켈로그 운빨존많겜 기획팩 820g	가공식품 > 대용식 > 시리얼 > 시리얼	20x20x30	20x20x30	0.82	20.0	20.0	30.0	Non-foldable item with actual dimensions used for volume estimation.
250524467EC378	오리온 눈을감자 칠리치즈 프라이즈맛 96g	과자/간식>스낵/시리얼>과자쿠키/비스킷/크래커>쿠키과자	15x10x5	15x10x5	0.096	15.0	10.0	5.0	Non-foldable snack packaging with actual dimensions used for volume estimation.
250521B60FA339	농심 켈로그 담백한 현미 후레이크 550g+오곡푸레이크 570g	식품>과자/베이커리>시리얼>기타시리얼	25x20x10	25x20x10	1.12	25.0	20.0	10.0	Total weight from both packages combined, with no reduction in volume as they are non-compressible.
2505125A1FC7CA	동서식품 포스트 오레오 오즈 시리얼 500g	식품>과자/베이커리>시리얼>기타시리얼	20x10x30	20x10x30	0.5	20.0	10.0	30.0	Standard volume and weight for a 500g cereal package.
