order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
251022DC343D70	스키주 마그넷 플러시 세트 도미 팝업 스키즈	스타굿즈 > 보이그룹 > 인형/피규어 >	25x20x15	20x15x10	0.8	20.0	15.0	10.0	Based on the plush nature of the items and their potential for compression.
25090612A6BD63	방탄소년단 x 스타벅스 곰돌이 무드등	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x15	10x10x15	0.3	10.0	10.0	15.0	Non-foldable item with estimated dimensions based on typical figurine size.
2505231BFB22E7	냥고니 지드래곤 지디 인형 빅뱅 비공굿	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x5	10x7x5	0.3	10.0	7.0	5.0	Based on the plush nature and compressibility of the item.
250524D439A2C5	미니위츄	스타굿즈 > 보이그룹 > 인형/피규어 >	15x15x10	10x10x10	0.3	10.0	10.0	10.0	Based on the plush nature of the item and its potential for compression.
25052340E74193	스트레이키즈 스키주 10cm	스타굿즈 > 보이그룹 > 인형/피규어 >	20x20x10	15x15x10	1.0	15.0	15.0	10.0	Based on the compressibility of plush figures and typical packing practices.
250515A11A32B8	몬뭉치엑스 냥균 미니미니 냥균 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x5	8x8x4	0.1	8.0	8.0	4.0	Based on the compact size and soft material of the keychain and plush figure.
2505237B941C45	세븐틴 정한 쫑티쥬 인형 양도합니다	스타굿즈 > 보이그룹 > 인형/피규어 >	15x15x15	10x10x10	0.3	10.0	10.0	10.0	Based on the plush nature of the item, which allows for compression in packing.
250520AD5F9D15	데이식스 앙콘 MD 데니멀즈 페이스 시크릿 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x5	10x10x5	0.1	10.0	10.0	5.0	Non-foldable item with estimated dimensions based on typical keychain size.
250522EC5B31F5	미개봉)거니니 gunini 왕자인형 키링양도 zb1 제로니 zeroni	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x15	10x10x15	0.2	10.0	10.0	15.0	Non-foldable plush keychain with standard dimensions.
250522CBF3A7C9	미개봉)유니니 yunini 왕자인형 키링양도 zb1 제로니 zeroni	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x15	10x10x15	0.1	10.0	10.0	15.0	Non-foldable item with small dimensions.
25051704394E4D	데이식스 포에버영 앙콘엠디 라이트밴드 커스텀 커버	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x5	7x7x5	0.3	7.0	7.0	5.0	Estimated based on the compact size and stackability of the custom covers.
2505155421FA60	엔시티 위시 위시돌 쿠리 리쿠 인형 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	20x20x10	15x15x10	0.3	15.0	15.0	10.0	Based on the plush nature of the item and its potential for compression.
250509A5E91792	엔시티 위시 인형 팝니다	스타굿즈 > 보이그룹 > 인형/피규어 >	15x15x10	10x10x10	0.3	10.0	10.0	10.0	Based on the plush nature of the doll and its potential for compression.
25051482E1C711	미개봉 버블냥 엔시티위시 유우시 인형 포카 앨범 nctwish yushi	스타굿즈 > 보이그룹 > 인형/피규어 >	20x20x10	15x15x10	0.3	15.0	15.0	10.0	Based on the plush nature of the item and its potential for compression.
2505156EF798D5	SF9 인성 공식인형 쏭쏭이 15cm 인형 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x15	10x10x15	0.3	10.0	10.0	15.0	Non-foldable plush toy with standard dimensions.
250512D092E222	데이식스 데니멀즈 필 쁘띠멀즈 필 키링	스타굿즈 > 보이그룹 > 인형/피규어 >	8x8x3	6x6x3	0.1	6.0	6.0	3.0	Based on the small size and lightweight nature of keyrings.
2505041B0F9411	엔시티위시 위시돌 쿠리	스타굿즈 > 보이그룹 > 인형/피규어 >	15x15x10	10x10x10	0.3	10.0	10.0	10.0	Based on the plush nature of the doll and its potential for compression.
250507C0644A7D	장하오 하니니 메시지 키링 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x5	8x8x4	0.1	8.0	8.0	4.0	Based on the small size and lightweight nature of the keychain figure.
250512F686F8AC	엔시티위시 위츄	스타굿즈 > 보이그룹 > 인형/피규어 >	15x15x5	10x10x5	0.2	10.0	10.0	5.0	Based on the plush nature and compact size of the item, with a reduction for packed volume.
25051171405BB1	NCT WISH nct wish 엔시티 위시 위츄 양도 wichu 유우시	스타굿즈 > 보이그룹 > 인형/피규어 >	20x20x10	18x18x8	0.3	18.0	18.0	8.0	Based on the plush toy's dimensions and packaging, with a reduction for packed volume.
25050240CBFB73	미개봉 시오닝 인형	스타굿즈 > 보이그룹 > 인형/피규어 >	15x15x10	10x10x10	0.2	10.0	10.0	10.0	Based on the plush nature of the doll and its potential for compression.
25042804D59F74	위츄 미개봉 양도	스타굿즈 > 보이그룹 > 인형/피규어 >	20x15x10	20x15x10	0.4	20.0	15.0	10.0	Non-foldable item with actual dimensions used for volume estimation.
2505118CA99F0C	더보이즈 제너레이션2 인형 엠디 현재 주연 선우	스타굿즈 > 보이그룹 > 인형/피규어 >	15x10x5	10x7x5	0.3	10.0	7.0	5.0	Estimated based on the compact nature of the plush toy and accessories, with a reduction for packed volume.
2505084F55AEFA	빅스 켄 굿즈 쟌뭉오리 쟌뭉덕 그립톡 이재환 VIXX KEN	스타굿즈 > 보이그룹 > 인형/피규어 >	10x10x2	10x10x2	0.1	10.0	10.0	2.0	Non-foldable item with standard dimensions for a grip talk.
