order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
2505244146A327	(미개봉) 니케 디저트39 신데렐라 무드등 동D 포토카드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	20x15x5	20x15x5	0.3	20.0	15.0	5.0	Non-foldable item with actual dimensions used for volume estimation.
250529C04B62C4	이착헌 이세계착각헌터 정하성 멍하성 헌터증 아크릴스탠드 일괄 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	25x20x10	20x15x8	0.5	20.0	15.0	8.0	Estimated based on the combination of plush and acrylic stand items, considering their compactness and potential for stacking.
250525AC4A552E	[미개봉] 40cm 앙스타인형 카제하야 타츠미 앙스타 누이 타츠미 파샤	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	20x20x40	20x20x30	0.8	20.0	20.0	30.0	Based on the plush nature of the item and its dimensions, with a reduction for packed volume.
250519565F3BDC	에이스테 에일리언 스테이지 루카 토끼 아크릴 이반 틸 미지 수아 루카	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x0.5	15x10x0.5	0.1	15.0	10.0	0.5	Non-foldable acrylic figure with minimal thickness.
250521EE7ADD74	맘스터치 스타레일 트리비 아글라이아 코롯토	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x15x5	10x10x5	0.3	10.0	10.0	5.0	Estimated based on the compact nature of the items and their potential for stacking.
25051671E520DA	승리의여신 니케 아크릴스탠드 3종선택	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	20x15x2	20x15x2	0.3	20.0	15.0	2.0	Non-foldable acrylic stand with standard dimensions.
2505164B0073EE	일괄 딸기 가나디 고냐니 키링	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x5	10x7x5	0.2	10.0	7.0	5.0	Based on the size and compressibility of plush keychains.
25042501728C0D	주술회전 애니메이트 카페 시부야 쵸소우 유지 아크릴 포토카드 특전 굿즈	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x15x1	10x15x1	0.1	10.0	15.0	1.0	Non-foldable items with minimal thickness.
2504220F84D79A	가비지타임 피규어 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x10x15	10x10x15	0.4	10.0	10.0	15.0	Non-foldable item with standard dimensions for figurines.
250502A2415DEA	오란고교 타마키 아크릴 +코스터	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	20x30x1	20x30x1	0.2	20.0	30.0	1.0	Non-foldable acrylic figure and coaster with minimal packing volume.
2504274FD17A02	명조 음림 아크릴 양도	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x1	15x10x1	0.2	15.0	10.0	1.0	Non-foldable item with standard dimensions for a figure.
250430C97EB0EB	닌타마 케마 토메사부로 캔뱃지 5개	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x10x0.5	10x10x1.5	0.15	10.0	10.0	1.5	Estimated based on the size and quantity of the badges, considering they can be stacked.
2505044CC73DD0	급처] 닌타마 (닌자보이 란타로) 굿즈 일괄 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	30x40x20	21x28x14	1.5	21.0	28.0	14.0	Estimated based on the size and quantity of plush figures, with compression applied for packed volume.
250429B2E4FD0D	챠라란란 도리벤 하이타니 란 속성솜 누이 인형	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	20x15x10	20x15x10	0.4	20.0	15.0	10.0	Non-foldable plush toy with standard dimensions.
250426920B59E7	닌타마 오하마 칸에몽 만쥬, 누이	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x15x10	10x10x10	0.3	10.0	10.0	10.0	Based on the compressibility of plush figures and typical packing practices.
250420165864D8	밀키하트님 마지막 피크닉 동화림 팝업 한정 아크릴 스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x1	15x10x1	0.2	15.0	10.0	1.0	Non-foldable acrylic stand with actual dimensions used for volume estimation.
25042322143B84	[저주토라] 도리벤 속성 비공식 솜인형 카즈토라 10cm	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x10x10	8x8x8	0.15	8.0	8.0	8.0	Based on the plush nature and size of the item, with a reduction for packed volume.
2504200921ABE1	블루아카이브 데빌24 세이아 나기사 등 아크릴 스탠드 일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x1	15x10x1	0.2	15.0	10.0	1.0	Non-foldable acrylic stands with minimal packing volume.
250419E3546405	블루아카이브 나기사,미카,세이야 아크릴스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	20x15x1	20x15x1	0.3	20.0	15.0	1.0	Non-foldable acrylic stands with minimal packed volume.
250420A39BB88E	10cm 솜인형 에필 라떼	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x10x10	8x8x8	0.2	8.0	8.0	8.0	Based on the size and typical packing for plush toys.
250411813CA1B6	디스러브 모펀 아크릴스탠드 원가 이하 양도해요!	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	20x15x1	20x15x1	0.3	20.0	15.0	1.0	Non-foldable acrylic stand with standard dimensions.
25041341FC4A04	사용 후 반품불가 미갱 비온 카페 메이드 아크릴 스탠드 1차비엘 비엘	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	20x15x1	20x15x1	0.1	20.0	15.0	1.0	Non-foldable acrylic stand with minimal thickness.
2504010584D37F	가비지타임 최종수 굿즈 일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	30x40x10	25x35x8	1.5	25.0	35.0	8.0	Estimated based on the variety of items including plush toys and figures, with a reduction for packed volume due to potential stacking.
2503293C249E28	꿈빛파티시엘 꿈파 팝업 원가온 아크릴 스탠드+ 안도하 색지일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x1	15x10x1	0.1	15.0	10.0	1.0	Non-foldable item with standard dimensions for packaging.
2503224D6AAB1D	햄팡 라오루 글로리아 아크릴 일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x20x2	15x20x2	0.3	15.0	20.0	2.0	Non-foldable item with standard dimensions for figurines.
250317DDC15060	우블 레브리 올인	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x5	15x10x5	0.3	15.0	10.0	5.0	Non-foldable plush figures with standard dimensions.
2503036A16EF13	케리아 keria 선수 생일 엽서 키링 미개봉 원가양도 합니다	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x15x1	8x12x1	0.1	8.0	12.0	1.0	Estimated based on the compact nature of the keyring and postcard, with a reduction for packed volume.
2503102A500D16	슬램덩크 락태웅 10깅 뼈깅 양도	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x15x20	10x10x15	0.3	10.0	10.0	15.0	Estimated based on the size and foldability of the clothing items and plush figure.
2501096FEF41CB	하이큐 카게야마 점페 한정 아크릴	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x10x1	10x10x1	0.1	10.0	10.0	1.0	Non-foldable item with standard dimensions for acrylic figures.
25030177281EE5	데못죽 김래빈 래빈 공식 인형 솜인형 아크릴 스탠드 로판 대만판 포카	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	30x20x15	25x15x10	0.8	25.0	15.0	10.0	Includes a plush doll and various small items, estimated packed volume due to potential stacking and compactness.
2503064DFB557F	블루아카이브(비공식) 사오리 수영복 아크릴스탠드 팝니다.	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x15x1	10x15x1	0.2	10.0	15.0	1.0	Non-foldable acrylic stand with standard dimensions.
250303204F3D4B	(AR카드,부채증정)푸바오 동생 루이후이 유치원 인형[바오패밀리]	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	25x20x15	20x15x10	0.8	20.0	15.0	10.0	Estimated based on the dimensions of the packaging and the plush nature of the items, allowing for some compression.
250224CB79D1E1	DJMAX 하이츠 버전 엘 클리어 아크릴 스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x1	15x10x1	0.3	15.0	10.0	1.0	Non-foldable acrylic stand with minimal packed volume.
250219B7989E4E	팀레진 백라이트 뽀시래기 인형	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x5	10x10x5	0.3	10.0	10.0	5.0	Based on the size and compressibility of plush dolls.
250217723FD53C	슬램덩크 멍냥찌코 정우성, 서태웅	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x5	15x10x5	0.3	15.0	10.0	5.0	Non-foldable plush figures with standard dimensions.
25021306AA72D7	플레이브 밤비 인형 와슴이 10cm	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x10x10	8x8x10	0.15	8.0	8.0	10.0	Based on the plush toy's dimensions and compressibility.
2502100FEEA66E	슬램덩크 중국한정 토에이샵 공식 아크릴 스탠드 서태웅 루카와 카에데	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x1	15x10x1	0.2	15.0	10.0	1.0	Non-foldable item with standard dimensions for acrylic stands.
2501316A59BDDC	기물들의세계 투니크 아크릴 굿즈 일괄 (특전포함)	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	30x25x5	25x20x3	0.4	25.0	20.0	3.0	Items are likely flat and can be stacked or compressed for packing.
2501275A12011C	미개봉 봄시네마 역지사지 박주연 아크릴 스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x1	15x10x1	0.2	15.0	10.0	1.0	Non-foldable item with actual dimensions used for volume estimation.
25011899B14118	팀레진 뽀시래기 인형 뿌리 없는 나무 권희서 차태경 일괄 미개봉	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x10x5	10x10x5	0.4	10.0	10.0	5.0	Based on the size and compressibility of plush dolls.
250113E5E6D32C	로보토미 코퍼레이션 롭톰 환상체 아크릴 - 백야(후광)	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x20x1	15x20x1	0.1	15.0	20.0	1.0	Estimated based on the flat nature of the items and typical dimensions for similar products.
250108F9A79AF8	하이큐 게임 이벤트 아크릴 카게야마 히나타 카라스노 미개봉품	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	15x20x1	15x20x1	0.2	15.0	20.0	1.0	Non-foldable acrylic figures with minimal packing volume.
250104D03C7556	김독자 10cm 인형	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x10x10	10x10x10	0.2	10.0	10.0	10.0	Non-foldable plush toy with standard dimensions.
241211725E859C	주술회전 최강레삣솜즈 솜인형깅 10cn고죠게토고죠 아크릴스탠드룩업	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x10x10	8x8x8	0.3	8.0	8.0	8.0	Based on the plush nature and size of the item, with a reduction for packed volume.
241112CE4F36B7	데뷔못하면죽는병걸림 데못죽 팝업 로판 아크릴스탠드 아크릴키링 테스타 청려	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	14x20x0.5	14x20x0.5	0.1	14.0	20.0	0.5	Non-foldable acrylic stand with specified dimensions.
241113CDDF56E9	블루아카이브 카린 미니 아크릴스탠드 판매합니다	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 >	10x15x1	8x12x1	0.1	8.0	12.0	1.0	Based on the compact size and packaging of the acrylic stand.
