order_id	title_origin	category	actual_weight	actual_d1	actual_d2	actual_d3	actual_volume_cm3	old_weight_kg	old_width_cm	old_depth_cm	old_height_cm	old_volume_cm3	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_volume_cm3	old_weight_error	new_weight_error	old_volume_error	new_volume_error	weight_improved	volume_improved	new_reason
2505220BC1F5D1	버즈3프로 갤럭시 버즈3 프로 전용 이어팁 변환캡 디비누스 어뎁터 S1	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.08	21.5	12.0	7.0	1806.0	0.02	5.0	5.0	5.0	0.0	0.02	5.0	5.0	5.0	125.0	-0.7500	-0.7500	-1.0000	-0.9308	0	1	Non-foldable item with small dimensions.
250520ADCBA875	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.07	21.0	10.0	3.5	735.0	0.02	5.0	2.0	5.0	0.0	0.02	3.0	5.0	5.0	75.0	-0.7143	-0.7143	-1.0000	-0.8980	0	1	Estimated based on the small size and compressibility of ear tips.
25043062FDBFE8	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.11	15.6	12.5	13.7	2671.5	0.02	4.0	2.0	4.0	0.0	0.02	3.0	5.0	5.0	75.0	-0.8182	-0.8182	-1.0000	-0.9719	0	1	Estimated based on the small size and compressibility of ear tips.
250504CBCEEFDB	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.095	18.9	11.8	9.6	2140.992	0.02	5.0	2.0	5.0	0.0	0.02	3.0	5.0	5.0	75.0	-0.7895	-0.7895	-1.0000	-0.9650	0	1	Estimated based on the small size and compressibility of ear tips.
2504292A93822F	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.09	20.2	10.2	10.3	2122.212	0.02	5.0	2.0	5.0	0.0	0.02	3.0	5.0	5.0	75.0	-0.7778	-0.7778	-1.0000	-0.9647	0	1	Estimated based on the small size and compressibility of ear tips.
2504291D692242	아즈라 맥스 버즈3프로 이어팁 삼성 SMAPP 정품 호환 독일 프리미엄 LSR 이어캡	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.09	15.8	12.1	9.2	1758.856	0.02	4.0	2.0	4.0	0.0	0.02	4.0	4.0	4.0	64.0	-0.7778	-0.7778	-1.0000	-0.9636	0	1	Estimated based on the small size and lightweight nature of ear tips.
250419F464E0FD	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.08	20.7	10.0	6.6	1366.2	0.02	5.0	2.0	5.0	0.0	0.02	3.0	5.0	5.0	75.0	-0.7500	-0.7500	-1.0000	-0.9451	0	1	Estimated based on the small size and compressibility of ear tips.
25042020143EE2	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.06	15.9	10.3	3.9	638.703	0.02	5.0	2.0	5.0	0.0	0.02	3.0	5.0	5.0	75.0	-0.6667	-0.6667	-1.0000	-0.8826	0	1	Estimated based on the small size and compressibility of ear tips.
250416AB32A32C	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.085	17.6	12.0	8.2	1731.84	0.02	5.0	2.0	5.0	0.0	0.02	3.0	5.0	5.0	75.0	-0.7647	-0.7647	-1.0000	-0.9567	0	1	Estimated based on the small size and compressibility of ear tips.
250414014480FB	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	0.09	15.0	13.0	11.0	2145.0	0.02	5.0	2.0	5.0	0.0	0.02	3.0	5.0	5.0	75.0	-0.7778	-0.7778	-1.0000	-0.9650	0	1	Estimated based on the small size and compressibility of ear tips.
2504079F066F12	14 나인어클락 미니동물 하드 에어팟 프로 2 케이스+미니동물 키링 세트	디지털/가전>음향가전>이어폰/헤드폰액세서리>케이스/파우치	0.15	23.0	12.0	11.0	3036.0	0.2	8.0	4.0	8.0	0.0	0.1	8.0	6.0	4.0	192.0	0.3333	-0.3333	-1.0000	-0.9368	1	1	Estimated based on the compact size and foldability of the case and keychain.
