order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
2505230B77882E	넘버즈인 글루타치온씨 흔적 앰플샷 30ml	화장품/미용>스킨케어>에센스	5x10x15	5x10x15	0.1	5.0	10.0	15.0	Non-foldable item with actual dimensions used for volume estimation.
250429B4F9FBD7	세포랩 세리포리아 락세라타 클렙스 바이오제닉 퍼스트 에센스 155ml 모공축소 탄력 주름	화장품/미용>스킨케어>에센스	6x6x15	6x6x15	0.2	6.0	6.0	15.0	Non-foldable liquid item with actual dimensions used for volume estimation.
25042013F33CAD	1+1 메디큐브 PDRN 핑크 앰플 30ml+30ml	화장품/미용>스킨케어>에센스	10x10x15	10x10x15	0.2	10.0	10.0	15.0	Estimated based on the size of the bottles and total volume of two 30ml ampoules.
250502079F14AC	이자녹스 시카 콜라겐 리프팅 앰플 30ml	화장품/미용>스킨케어>에센스	5x5x15	5x5x15	0.1	5.0	5.0	15.0	Non-foldable item with actual dimensions used for volume estimation.
250426AA0F73E8	브이티코스메틱 VT 리들샷 300 50ml	화장품/미용>스킨케어>에센스	5x5x15	5x5x15	0.1	5.0	5.0	15.0	Non-foldable item with standard dimensions for a cosmetic product.
250423806DF2F2	[정품] ANJO 앙쥬 24K 골드 래디언스 스킨 에센스150ml 기미 미백 2개	화장품/미용>스킨케어>에센스	10x10x20	10x10x20	0.3	10.0	10.0	20.0	Estimated based on the dimensions of the bottles and the total volume for two units.
2504189501920E	여드름 앰플 아누아 어성초 80 수분진정 앰플 30ml 737022	화장품/미용>스킨케어>에센스	5x5x15	5x5x15	0.1	5.0	5.0	15.0	Non-foldable item with standard dimensions for a 30ml bottle.
250416075638E4	스킨푸드 로열허니 프로폴리스 인리치 에센스 50ml x 2개입	화장품/미용>스킨케어>에센스	10x10x15	10x10x15	0.2	10.0	10.0	15.0	Estimated based on the size and quantity of the essence bottles.
250417509A80D8	스킨푸드 캐롯 카로틴 모이스트 이펙터 52ml	화장품/미용>스킨케어>에센스	5x5x15	5x5x15	0.1	5.0	5.0	15.0	Non-foldable item with standard dimensions for liquid skincare products.
250413CB6BF08C	하움 헤어 향 좋은 에센스 노워시 트리트먼트	화장품/미용>헤어케어>헤어에센스	6x6x15	6x6x15	0.2	6.0	6.0	15.0	Non-foldable item with standard dimensions for a hair essence tube.
2504097A16658D	BRTC 멜라이트 C-20 앰플 15ml	화장품/미용>스킨케어>에센스	5x5x15	5x5x15	0.05	5.0	5.0	15.0	Non-foldable item with standard dimensions for a cosmetic ampoule.
250328FDDFE401	조선미녀 맑은쌀 꿀채운 마스크	화장품/미용>스킨케어>에센스	10x10x8	10x10x8	0.5	10.0	10.0	8.0	Non-foldable item with standard dimensions for skincare products.
25032959B393EA	글루타치온 토닝 부스팅 앰플	홈 > 화장품 > 에센스·앰플·세럼 >	5x5x15	5x5x15	0.1	5.0	5.0	15.0	Non-foldable item with standard dimensions for a serum bottle.
25032603B88FA0	아도르 퍼퓸 헤어 오일 에센스 30ml 4종 택 1	화장품/미용>헤어케어>헤어에센스	5x5x12	5x5x12	0.1	5.0	5.0	12.0	Non-foldable item with actual dimensions used for volume estimation.
