id	order_item_order_id	product_title_origin	product_category	hscode	thumbnail_urls	actual_weight_kg	actual_width_cm	actual_length_cm	actual_height_cm	actual_volume_m3	ai_estimated_weight_kg	ai_estimated_width_cm	ai_estimated_length_cm	ai_estimated_height_cm	ai_calculated_volume_m3	shipping_date	order_created_at
59	25111034D832F9	우타프리 미카제 아이 굿즈 일괄	스타굿즈 > 방송/예능/캐릭터 > 팬시/포토카드 >	4911990000	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2Faaa064fa-8ed5-41d8-b036-cec5994d398f?alt=media&token=aff5b2ed-37cc-4a79-b535-ed73674cb11c|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2F68b71531-42d7-4eac-a1cb-0152cd29c167?alt=media&token=a6bb4e58-4076-49a1-9d89-a641de40cd5b|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2F4495d5cd-5eb8-48ea-bdfa-4ec311313126?alt=media&token=18d4cbe5-4b4e-4858-87f4-d36f55d07d8d|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2F1500a0d2-76d8-4a23-b0cf-2d430eff21fb?alt=media&token=11f4af30-7d84-419e-a2b5-e9ae70868fdc|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2F3c4bb925-cb9c-4107-bd4b-564b2927c79d?alt=media&token=a535846c-1649-4545-bfbf-bf4fc91f5361|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2F228c19b3-518a-4b3d-b9f0-88b3d201d556?alt=media&token=a8aac271-dd9c-49b5-80cf-095d996ae416|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2F57cf3537-6a49-495d-9ff3-e4e1e7a5e1e5?alt=media&token=8befeac6-6d02-4134-b814-a6544403e890|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2F9616e45a-cacb-4d07-a425-61c98acf2969?alt=media&token=3153afdc-294f-4242-a62a-1cbb91f49e9a|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2F9b6e4770-fd5c-451f-a902-ba1f12790406?alt=media&token=1a84b41f-1689-465b-9dea-ac12676aba7b|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2F895f9339-9d2b-45eb-b7ee-6dd6312aedc6?alt=media&token=867d0ea0-159a-4423-8270-95aebcf4a76f|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F11%2F098752d0-e49c-4c19-922c-ee23b6650f70?alt=media&token=a20cae11-c077-41c9-b76a-16068f223f5e	1.275	37.5	20	27	0.02025	1	25	30	18	0.0135	2025-11-19 0:00:00	2025-12-12 5:00:27
14	251121DC9D8EDC	다트비트 DBH100 스마트 홈다트 전자다트	생활/건강>수집품>게임>다트	9504902000	https://shop-phinf.pstatic.net/20251114_259/1763083687562HUScJ_PNG/11789248321259113_1910568805.png?type=m510|https://shop-phinf.pstatic.net/20231115_191/1700035070586baxE6_PNG/24707955591654471_961840920.png?type=m510|https://shop-phinf.pstatic.net/20231115_20/1700035075905jLc72_PNG/23561265903274613_1200621381.png?type=m510|https://shop-phinf.pstatic.net/20231115_81/1700035081239Tp6bN_PNG/3689163190772288_379184200.png?type=m510|https://shop-phinf.pstatic.net/20231115_146/17000350878149jao0_PNG/12584754590758792_25170092.png?type=m510	8.875	65.5	19	65	0.0808925	5.5	60	60	10	0.036	2025-11-27 0:00:00	2025-12-07 8:00:22
1	2511217692B250	G-DRAGON Ubermensch Official Mini Light Keyring Red - China Exclusive	accessories	9503003919	https://search.pstatic.net/sunny?src=https%3A%2F%2Fkream-phinf.pstatic.net%2FMjAyNTA3MzFfMjc1%2FMDAxNzUzODk3NTc1MDQ0.qK0bn-sVgwlbeJNm2WtexkeXboUUi5EnbiM7xPB3Vnwg.bGDwp6Zn_jz2zltbGLkhk7QNJrXxoi4F994KUUf6tE0g.PNG%2Fa_13dc274ff4c844479f2d39f23d01d4dc.png|https://search.pstatic.net/sunny?src=https%3A%2F%2Fkream-phinf.pstatic.net%2FMjAyNTA3MzFfMTg3%2FMDAxNzUzODk3NTc1MTQ3.fXNl1i-dRFj3zQL-LUuTwV5cBoy0HaE8HUD4Jx6pj0og.LHJ7TO0Lkjsb3HAshik04yhTZPF79vzsGRFJ0SitZKog.PNG%2Fa_af2b24980b0645eaa8ffaa6a3962a2d7.png	0.235	25	15	17.5	0.0065625	0.1	10	15	5	0.00075	2025-11-28 0:00:00	2025-12-06 8:00:22
7	251125D2BE82C7	프리즘 크레모아 3페이스 네오 10 CLF-1000 /빠른발송/ ib	스포츠/레저>캠핑>랜턴>실내/실외등	9405990000	https://shop-phinf.pstatic.net/20251017_24/1760676555970lszW5_JPEG/6633629772387463_383179833.jpg?type=m510	1.005	37	12.5	28	0.01295						2025-11-28 0:00:00	2025-12-05 14:00:16
32	251119B2CC7D59	블루아카이브 아리스 에디션 판매합니다(정가)	디지털 > 게임/타이틀 > PC게임 >	9503003411	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F20%2F73d80b49-a85c-45e1-9ad5-dc5c5cffee97?alt=media&token=f75cd8fc-9e3a-4a1f-9cb9-4b7afa4779c5	1.44	28	22	22.5	0.01386	1.2	25	35	15	0.013125	2025-11-24 0:00:00	2025-12-05 14:00:13
12	25112429810652	최강공룡 미니특공대 그레이트 렉스카이저 D9 썬더티라 버닝케라	출산/육아>완구/인형>작동완구>로봇	9503003919	https://shop-phinf.pstatic.net/20250605_195/1749088533636bryfP_JPEG/21596760557845463_1000540967.jpg?type=m510|https://shop-phinf.pstatic.net/20250325_193/1742885979434E0jF2_JPEG/77018840535891042_661622951.jpg?type=m510|https://shop-phinf.pstatic.net/20250604_273/1748962804614l8FRe_JPEG/12462345469057215_1340887674.jpg?type=m510|https://shop-phinf.pstatic.net/20250604_199/1748963151687y6mCR_JPEG/18269181685327886_1801194992.jpg?type=m510|https://shop-phinf.pstatic.net/20250604_189/17489634525127kv4H_JPEG/19337873636754798_1824661518.jpg?type=m510|https://shop-phinf.pstatic.net/20250311_213/1741682282871BxcqT_JPEG/28539135970045422_1328647219.jpg?type=m510|https://shop-phinf.pstatic.net/20250311_227/1741682303526nkIie_JPEG/92886147495324692_707667865.jpg?type=m510|https://shop-phinf.pstatic.net/20250310_174/1741616969213iOrdf_JPEG/6678291318363205_528247164.jpg?type=m510|https://shop-phinf.pstatic.net/20250310_235/1741618276809EAU1y_JPEG/75751098920082326_791105653.jpg?type=m510	7.605	70	37	50.5	0.130795	4.5	50	55	25	0.06875	2025-11-27 0:00:00	2025-12-05 8:15:13
18	2511244987E0C3	밀워키 C12 RT 12V 충전 로터리툴 미니 전동 드릴 드라이버 만능툴 베어툴	생활/건강>공구>전동공구>충전드릴	8467115000	https://shop-phinf.pstatic.net/20250108_106/1736314392396hf6lB_JPEG/19321994028608999_577971664.jpg?type=m510|https://shop-phinf.pstatic.net/20200214_155/15816552366968feN1_JPEG/19018625223386064_720647833.jpg?type=m510|https://shop-phinf.pstatic.net/20200214_288/1581655238109nxk3y_PNG/19018626634565445_488267007.png?type=m510|https://shop-phinf.pstatic.net/20200214_96/15816552371121HKPf_PNG/19018625632059555_1588400415.png?type=m510|https://shop-phinf.pstatic.net/20200214_223/1581655237324s7i1s_PNG/19018625843927457_1393625830.png?type=m510|https://shop-phinf.pstatic.net/20200214_77/1581655237488STJ6Q_PNG/19018626001757959_1646422762.png?type=m510|https://shop-phinf.pstatic.net/20200214_254/1581655237761ogDVr_PNG/19018626280364079_447047592.png?type=m510	0.885	38	12.5	28	0.0133	0.8	12	28	10	0.00336	2025-11-27 0:00:00	2025-12-05 5:01:25
8	251124C9A34411	버디즈 보조배터리 멍몽이 카몽이 위시 세트 강아지 인형 키링 미니 4500mAh 귀여운 선물	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	8507609000	https://st.kakaocdn.net/product/gift/product/20251104152030_a0249a48dbe44993b91c9ca46c5ac2c0.png|https://st.kakaocdn.net/product/gift/product/20251104152033_83359c5855c44ff18ac81ef4e8df9dbf.png|https://st.kakaocdn.net/product/gift/product/20251104152036_8ef112f246b34a26827bba82d510625d.png|https://st.kakaocdn.net/product/gift/product/20251104152040_cf4505e9a59f4563924c3ff5d92e02c8.png	0.36	25	15	18	0.00675	0.6	15	20	10	0.003	2025-11-27 0:00:00	2025-12-05 5:00:23
10	2511224831DDA0	지디 피스마이너스원(PMO) 한정판 인이어	디지털 > 오디오/영상/관련기기 > 헤드폰 >	8518309000	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F23%2F68ec4dd4-4081-4b23-ad97-aea25a3c7da9?alt=media&token=00712744-ea1c-4daf-953d-40fb525d8cfe|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F23%2F81457af8-aaa1-43b3-92cf-9d8ac323bafb?alt=media&token=aaddca0a-adc8-42b2-b964-7d8fe8c4fcd8|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F23%2F962f7f6a-a253-47f2-9aeb-681b7319c355?alt=media&token=4d0da9e0-6601-47a7-9ae0-ca9f81c6bbb7|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F23%2F0ac3ceac-cfbf-45fd-a78b-9b14d21304cf?alt=media&token=463bf53a-2c6e-4297-9866-48680c26d63c|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F23%2F351c85f0-1236-449f-8a97-5844d0d20ad1?alt=media&token=0a96cdae-0d2d-43d0-9563-2aba79eedd07	2.235	37.5	20	27	0.02025	0.8	15	25	6	0.00225	2025-11-27 0:00:00	2025-12-05 5:00:15
11	25112066ABABEF	아이들 전시회 7주년 MD 미개봉 세트 맥세이프 카드지갑	스타굿즈 > 걸그룹 > 팬시/포토카드 >	4202311090	https://media.bunjang.co.kr/product/363895119_1_1762342371_w{res}.jpg	0.25	17.5	10	17	0.002975	0.35	12	18	3	0.000648	2025-11-27 0:00:00	2025-12-05 5:00:13
