order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
25102296E849D3	f4ec2b69-8721-4305-b403-c1299639bfa0	7a2e673d-4499-4c07-adc1-b74507c5c8ef	52819b1d-484a-453d-b0e5-a0c5ac06917f	[대형 제품] 터닝메카드 갓 타나토스 매그넘 (블루랜드)	[大型製品] ターニング・メカード神タナトス・マグナム (ブルーランド)	키덜트 > 피규어/인형 >	Toy	bungae		開封したタナトスマグナムを売ります。 ベーシックリング4個とシークレットリング1個入り。 コンポーネントの中にカードはありません。。 属性はブルーランドです。。 価格は29ドルです。、000 ウォン (手数料 1、800 ウォンが追加されました) + 配送料は別途請求されます! 타나토스 매그넘 개봉품 판매합니다. 기본 링 4개 및 시크링 1개 포함 입니다. 구성품 중 카드는 없습이다. 속성은 블루랜드 입니다. 가격은 29,000원 (수수료 1,800원 추가) + 택배비 별도 받습니다!			9503003919	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F10%2F23%2F2d2bc4b1-65b5-40dd-a9c1-e39c301fdff6?alt=media&token=ff9a5674-6876-4363-8e02-26d2172f0e0b	1	29000.0	3128.0	https://m.bunjang.co.kr/products/361096850	1.035	38.0x20.0x27.0	38.0	20.0	27.0	38.0	27.0	20.0	0.02052	20520.0	20.52	3.42	1.1	28.0	35.0	12.0	35.0	28.0	12.0						0.0628019324		-0.0789473684	0.037037037	-0.4	-0.1473034438	2025-10-31T13:03:04.000	2025-11-06T05:00:22.843	1-2kg
2510014F4FAE45	3357f3b1-bc73-4740-bcaa-3ef0b903f880	1d965a42-e6a2-4495-9794-27857948d164	94f598ae-9ab5-4ffa-9ff9-726322992668	포켓몬스터 레진 피규어 스케일월드 - forest 흉터 니드킹 복각	ポケモンレジンフィギュアスケールワールド - 森の傷跡にはキングの復刻が必要	키덜트 > 피규어/인형 >	Toy figure	bungae		ポケモンレジンフィギュアスケールワールドフォレストニードキング (再版) 欠陥 x 内部フォーム o *また、回収の観点からも細心の注意を払い、梱包後に郵便局に送ります。樹脂の特性上、配送中の破損については責任を負いかねますのでご了承ください。 *すべての価格には手数料が含まれています 포켓몬스터 레진 피규어 스케일월드 forest 니드킹 (복각) 하자 x 내부폼 o *저도 모으는 입장에서 최대한 신경써서 포장 후 우체국 발송해드리고 있습니다 레진특성으로 인한 배송중 파손은 책임지지 않고 있으니 양해부탁드립니다 감사합니다 *모든 가격은 수수료가 포함된 가격입니다			9503003499	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F10%2F02%2Fc14073e2-aceb-4c88-9e08-aac60d36f9a1?alt=media&token=7920bbf9-3ee3-4680-8fa2-0586a2f19192|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F10%2F02%2F75a8b2ce-9d61-4961-a167-3fc3439e6659?alt=media&token=dc34b4a3-aa20-460d-b4c1-c1a1843ffa44|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F10%2F02%2F8057c3c2-352b-491f-9c7e-139c1fe9f3cd?alt=media&token=ad0d231d-3d7d-49bf-8264-edae8bebd9c5|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F10%2F02%2F5e62374c-853a-49cd-b9a1-43ad9b2f64e5?alt=media&token=ab630a4e-e363-4de0-b256-0d002bb0ac9f	4	70000.0	7549.0	https://m.bunjang.co.kr/products/359870710	1.4	45.0x20.0x39.0	45.0	20.0	39.0	45.0	39.0	20.0	0.0351	35100.0	35.1	5.85	2.0	23.0	28.0	22.0	28.0	23.0	22.0						0.4285714286		-0.3777777778	-0.4102564103	0.1	-0.2293447293	2025-10-15T12:53:38.000	2025-10-19T14:00:12.290	1-2kg
25092106FEC2C3	610ed285-8eb3-4ac0-bc81-4ec2fe8c0c0b	f80ba392-131c-44b6-b985-017ec3ef20e8	b6c380f9-88b7-406f-9fb7-2975af8ff700	팝마트 지모모 판매합니다. 미개봉 새상품	ポップマートがジモモを売る。 新品、未開封	키덜트 > 피규어/인형 >	Doll	bungae		ポップマートは新品の未開封のJimomo製品を販売しています。 森に住むジモモはとてもかわいいです。 問い合わせがなければ、すぐに安全な支払いができます。! 팝마트 지모모 미개봉 새상품 판매합니다. 숲속에 사는 털뭉치 지모모 너무 귀엽습니다. 문의 없으시면 바로 안전결제해주시면 됩니다!			9503003411	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F09%2F22%2Fab76b890-8e73-4db4-a072-6d51eee63f64?alt=media&token=e1849f20-5ca6-464b-9dea-1cbe49532384|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F09%2F22%2Fc7d76cb5-cbcf-46fe-bf76-40dce98acb0e?alt=media&token=ea958248-7721-4925-b578-1eabea236164|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F09%2F22%2Ff20428a5-dbcb-4afc-a572-5762b7cc15f0?alt=media&token=b646979f-5d88-4de7-85e2-3a3a9f2ce74d	3	220000.0	23881.0	https://m.bunjang.co.kr/products/356777964	5.285	68.0x30.0x35.0	68.0	30.0	35.0	68.0	35.0	30.0	0.0714	71400.0	71.4	11.9	0.35	12.0	12.0	15.0	15.0	12.0	12.0						-0.9337748344		-0.7794117647	-0.6571428571	-0.6	-0.6788515406	2025-09-30T11:21:22.000	2025-10-04T05:00:29.685	5-10kg
250524E267DB16	93dd9273-bcb4-46bc-90b0-ddde13114042	4728f117-ee22-4ae3-b869-d2bf34f3eb97	c54df6ef-d8d0-4a0a-a94a-1b8e18f5a183	드래곤볼 그란디스타.msp망가디멘션(투디멘션) 손오공 베지터 팝니다.	ドラゴンボールグランディスタ。mspマンガディメンション（ツーディメンション) 孫悟空のベジタポップ。	키덜트 > 피규어/인형 >	Toy figure	bungae					9503003499	https://media.bunjang.co.kr/product/333254699_1_1747057867_w{res}.jpg	1	300000.0	30781.0	https://m.bunjang.co.kr/products/333254699	3.295	44.9x43.8x24.8	44.9	43.8	24.8	44.9	43.8	24.8	0.048772176	48772.176	48.772176	8.129	0.3	10.0	10.0	15.0	15.0	10.0	10.0						-0.908952959		-0.6659242762	-0.7716894977	-0.5967741935	-0.6781293225	2025-06-03T13:57:57.000	2025-07-03T14:00:15.721	2-5kg
250529A5E374E4	d0f9415f-be4e-41b6-bd8e-e885db6b776f	a5bd4de1-f06b-4aff-b30a-589a81134177	ced8f3dc-5892-4246-a3a6-94ebb3af6cd3	무속성 솜인형 10cm 인형옷	無属性綿人形10cm人形服	키덜트 > 피규어/인형 >	Doll	bungae					9503003411	https://media.bunjang.co.kr/product/335676936_1_1748226770_w{res}.jpg|https://media.bunjang.co.kr/product/335676936_2_1748226770_w{res}.jpg	2	12500.0	1283.0	https://m.bunjang.co.kr/products/335676936	0.1	11.6x18.1x8.4	11.6	18.1	8.4	18.1	11.6	8.4	0.001763664	1763.664	1.763664	0.294	0.2	7.0	7.0	7.0	7.0	7.0	7.0						1.0		-0.6132596685	-0.3965517241	-0.1666666667	-0.3921593531	2025-06-03T13:57:57.000	2025-07-17T05:00:13.027	0-0.5kg
25052630668F0E	58b17fe1-5d5a-477e-97dc-ab55a6338df4	50213bbb-37ee-4773-b6a0-55b65b39eaf4	0643de46-4c09-4960-b72a-4c05549a680a	무속성 10cm인형 미니파이 양도	無属性10cm人形ミニパイ譲渡	키덜트 > 피규어/인형 >	Doll	bungae					9503003411	https://media.bunjang.co.kr/product/335608480_1_1748178498_w{res}.jpg	1	27000.0	2771.0	https://m.bunjang.co.kr/products/335608480	0.17	18.7x15.1x12.0	18.7	15.1	12.0	18.7	15.1	12.0	0.00338844	3388.44	3.38844	0.565	0.2	10.0	10.0	10.0	10.0	10.0	10.0						0.1764705882		-0.4652406417	-0.3377483444	-0.1666666667	-0.3232185509	2025-06-03T13:57:57.000	2025-07-10T05:05:36.703	0-0.5kg
2505262B855887	40d6942a-a66b-4362-a1a6-3df577233354	825bc856-ee66-42d6-833f-80bb3a3d090c	dc256727-aaaf-4d89-8819-36043a99ce4b	드래곤볼 피규어	ドラゴンボールフィギュア	키덜트 > 피규어/인형 >	Toy figure	bungae		未開封状態良い交換払い戻しが難しい。 미개봉 상태좋음 교환 환불 어렵습니다.			9503003499	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F27%2Fea5a78d1-2fa0-4400-8247-94339073917b?alt=media&token=fdae0b01-6e33-4a2d-91e0-c35305a42add|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F27%2Fbaf01568-2489-4421-bf9f-7fdcbf4ee1e5?alt=media&token=eeb7e6f9-69bd-48bb-b14c-c3eda58560b1|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F27%2Ff778500b-6db2-4c8a-8876-575f0a744596?alt=media&token=e37e7ff2-5109-4db0-97e9-cb5ffc0d84c2	3	90000.0	9235.0	https://m.bunjang.co.kr/products/335692122	1.005	43.5x28.0x19.5	43.5	28.0	19.5	43.5	28.0	19.5	0.023751	23751.0	23.751	3.959	0.3	10.0	10.0	15.0	15.0	10.0	10.0						-0.7014925373		-0.6551724138	-0.6428571429	-0.4871794872	-0.5950696813	2025-05-30T10:30:27.000	2025-06-01T05:02:06.493	1-2kg
2505259FD9C184	de3c2eea-a0ba-4ca0-bd79-e21864119b34	8bf0e9fa-7a55-4a37-b13f-53fca9c82044	95185395-2b51-4a43-a854-39f1559b9582	드래곤볼 손오공 망가 디멘션 피규어	ドラゴンボール孫悟空マンガディメンションフィギュア	키덜트 > 피규어/인형 >	Toy figure	bungae		未開封ですが、前面のビニールは少し開けました。（写真があります。) 大型だから直取引すればいいですよ 富平洞です 近所はお持ち帰りできます 미개봉인데 앞면 비닐은 조금 뜯어졌네요(사진 있어요) 대형이라 직거래 하면 좋겟어요 부평동입니다 가까운 곳은 가져다 드릴수 있습니다			9503003499	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F25%2F53ebf081-72ec-4d69-934c-138d52a3e84e?alt=media&token=92eba17e-1955-4515-9988-5a48d9b8fe1f|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F25%2Faedeb054-07fc-4ab4-b50d-2b08d3bd8291?alt=media&token=8456c302-4537-40a0-86f7-2ecc9be17809|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F25%2Fa7ebe05f-df56-45e0-8219-f0ba7b35a301?alt=media&token=f43fcbcf-f923-4dd4-8fd7-9d40458677ad|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F25%2F31f728ef-24a9-4f2e-bda3-c393b346d470?alt=media&token=d4bbf369-1b62-4caf-9edb-3b418e3d81c9|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F25%2Fb662f634-20b3-4706-819c-aeb4ac24aad4?alt=media&token=0e59cce1-f54d-4720-8ab0-a877803b8b58|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F25%2Fccd6fc1c-589c-4123-bfef-acad0ffa72e8?alt=media&token=c3c16cbb-b66a-4e2d-addc-62ab32bbc9e8	6	130000.0	13339.0	https://m.bunjang.co.kr/products/334355488	2.04	42.0x30.5x26.5	42.0	30.5	26.5	42.0	30.5	26.5	0.0339465	33946.5	33.9465	5.658	0.8	10.0	25.0	15.0	25.0	15.0	10.0						-0.6078431373		-0.4047619048	-0.5081967213	-0.6226415094	-0.5118667118	2025-05-29T14:06:06.000	2025-05-31T05:01:44.436	2-5kg
2505243C9A6CE2	d29ed408-49b6-4eda-af5e-b9f23fd32d20	2cc77cbc-3299-4593-a76a-05e175485e7f	c47def1d-67b2-4a49-a383-a72e770bfa25	무속성 옷 10cm우블플르슈 민트 겨울코트 호그와트망토 토끼 우주복 판매	無属性服10cmウブルフルシューミントウィンターコートホグワーツマントウサギ宇宙服販売	키덜트 > 피규어/인형 >	Doll	bungae		無属性服10cmウブルフルシューミントウィンターコートホグワーツマントウサギスペースウェア。 무속성 옷 10cm우블플르슈 민트 겨울코트 호그와트망토 토끼 우주복 팝니 우블플르슈민트는 자석 브로치가 떨어져서 접착제로 자석에 붙이셔야합니다.		Polyester 100%	9503003411	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F25%2Fa2a7f55c-6c33-4999-aa27-4595b16c95a1?alt=media&token=e887b9eb-47f1-4fb8-9c8f-8c7e43c5b078	1	60000.0	6157.0	https://m.bunjang.co.kr/products/335374577	0.23	16.5x13.0x12.0	16.5	13.0	12.0	16.5	13.0	12.0	0.002574	2574.0	2.574	0.429	0.5	20.0	10.0	15.0	20.0	15.0	10.0						1.1739130435		0.2121212121	0.1538461538	-0.1666666667	0.0664335664	2025-05-29T14:06:06.000	2025-06-01T05:01:49.311	0-0.5kg
250521B8E7D101	c4127a8e-95c9-4b76-95ed-d887debab1a5	eba680cc-4317-4c6c-8e22-745df435e5b2	e56008aa-31ef-468d-8a15-1b1e19ded441	롯데월드 포켓몬 어트랙션 가챠 미개봉품 피카츄 스핀바스켓	ロッテワールドポケモンアトラクションガチャ未開封ピカチュウスピンバスケット	키덜트 > 피규어/인형 >	Acrylic	bungae		ピカチュウスピンバスケット2個保有中です。 2つのように購入したい場合は、まず最初にしてくださいホットポケモンドロップと交換も可能です！ 配送はなるべくGS返信を願っています。 피카츄 스핀바스켓 2개 보유중입니다. 두개 같이 구매를 원할 시 번톡 먼저 주세요 뜨아거 포켓몬드롭과 교환도 가능합니다 교환하실분 마찬가지로 번톡 먼저 주세요! 배송은 가급적 GS반택 희망합니다.			5509311000	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F22%2Fd16c9e80-9076-4168-8f7d-f83b98ba3ec6?alt=media&token=80cfd7a9-0f09-4485-b01f-11d2d7881d1a|https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F05%2F22%2Fd82d8476-2717-4453-b5c6-42edd9bf5084?alt=media&token=a70a549e-3665-40b3-93ae-797365921156	2	8300.0	852.0	https://m.bunjang.co.kr/products/333753262	0.21	24.5x13.5x11.5	24.5	13.5	11.5	24.5	13.5	11.5	0.003803625	3803.625	3.803625	0.634	0.3	10.0	10.0	15.0	15.0	10.0	10.0						0.4285714286		-0.387755102	-0.2592592593	-0.1304347826	-0.2591497146	2025-05-28T08:23:26.000	2025-06-01T05:02:11.809	0-0.5kg
