order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
2511195CC263DC	37515712-4ecf-4920-a234-302d5124877d	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Smartphone battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)			8507609000	https://st.kakaocdn.net/product/gift/product/20250922145628_8653138b30ed41e39093e09697b832ac.png|https://st.kakaocdn.net/product/gift/product/20251022142814_474739581d904daba01a5e7be3667ab1.png|https://st.kakaocdn.net/product/gift/product/20251022142843_0fb57178062c4518b36ff527cb7f1afd.jpg	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.4	25.0x15.0x20.5	25.0	15.0	20.5	25.0	20.5	15.0	0.0076875	7687.5	7.6875	1.281	1.0	16.0	22.0	12.0	22.0	16.0	12.0						1.5		-0.12	-0.2195121951	-0.2	-0.1798373984	2025-11-24T00:00:00.000	2025-11-29T14:00:19.165	0-0.5kg
251121E6091590	80c3516b-62d6-4618-90ed-5b7ef359bd4f	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)			8506809000	https://st.kakaocdn.net/product/gift/product/20250922145628_8653138b30ed41e39093e09697b832ac.png|https://st.kakaocdn.net/product/gift/product/20251022142814_474739581d904daba01a5e7be3667ab1.png|https://st.kakaocdn.net/product/gift/product/20251022142843_0fb57178062c4518b36ff527cb7f1afd.jpg	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.425	25.5x16.0x21.0	25.5	16.0	21.0	25.5	21.0	16.0	0.008568	8568.0	8.568	1.428	1.0	16.0	22.0	12.0	22.0	16.0	12.0						1.3529411765		-0.137254902	-0.2380952381	-0.25	-0.2084500467	2025-11-24T00:00:00.000	2025-12-01T05:00:14.394	0-0.5kg
2511189AA4BA51	5cfa926f-ef92-4872-9153-c46fc7b6029e	6cd15cef-024c-4d80-a602-38f7b5279ed4	a2e8d4b8-33c3-4539-b71f-de63fd0646e2	최강공룡 미니특공대 렉스카이저 D9 풀셋팝니다	最強恐竜ミニコマンドーレックスカイザー D9フルセット発売	유아동/출산 > 교구/완구/인형 > 캐릭터완구/로봇 >	Toy	bungae		最強恐竜ミニコマンドーレックスカイザー D9フルセットが販売されています。箱がかさばるので、直販が優先です。 최강공룡 미니특공대 렉스카이저 D9 풀셋팝니다 박스부피가 커서 직거래 우선입니다			9503003919	https://firebasestorage.googleapis.com/v0/b/sazoshop.appspot.com/o/images%2F2025%2F11%2F17%2Ffee50f19-c237-498a-b55c-8b26e9d366dc?alt=media&token=f9b492dd-925e-4558-9179-fc76df421bee	1	300000.0	33118.0	https://m.bunjang.co.kr/products/369335814	6.925	55.5x40.0x40.5	55.5	40.0	40.5	55.5	40.5	40.0	0.08991	89910.0	89.91	14.985	14.4	14.0	45.0	35.0	45.0	35.0	14.0						1.0794223827		-0.1891891892	-0.1358024691	-0.65	-0.3249972194	2025-11-24T00:00:00.000	2025-11-27T14:00:43.924	5-10kg
251029A5E812F4	ad66b3d9-4886-423e-839c-198aefab9914	46dccb36-d254-4e2d-afba-1602f4404278	385c5273-6ab2-4f8a-bee5-b94e795927a4	SVT 맥세이프 카드지갑 2차판매	SEVENTEEN MagSafeカードウォレット 第2次販売		Leather wallet	unknown		우리끼리 사고파는 창작마켓	Synthetic Leather (PU Leather), Polyester Lining		4202311090	https://d2i2w6ttft7yxi.cloudfront.net/froala/2025/09/21/20250921115901_8vor1tls7a.jpeg|https://d2i2w6ttft7yxi.cloudfront.net/froala/2025/09/21/20250921115901_nohrsq84ci.jpeg|https://d2i2w6ttft7yxi.cloudfront.net/froala/2025/09/21/20250921115901_n78qvgd56h.jpeg	3	18000.0	1941.0	https://witchform.com/deposit_form.php?idx=921899	0.125	12.0x5.5x11.0	12.0	5.5	11.0	12.0	11.0	5.5	0.000726	726.0	0.726	0.121	0.4	15.0	30.0	10.0	30.0	15.0	10.0						2.2		1.5	0.3636363636	0.8181818182	0.8939393939	2025-11-24T00:00:00.000	2025-11-29T08:01:37.575	0-0.5kg
25111874D7A795	2a66c31a-5221-481c-b142-78712201dbdf	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Battery chargers	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)	Polyester, Polyester Fiber, Plastic		8504403090	https://st.kakaocdn.net/product/gift/product/20250922145628_8653138b30ed41e39093e09697b832ac.png|https://st.kakaocdn.net/product/gift/product/20251022142814_474739581d904daba01a5e7be3667ab1.png|https://st.kakaocdn.net/product/gift/product/20251022142843_0fb57178062c4518b36ff527cb7f1afd.jpg	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.34	25.0x15.5x17.5	25.0	15.5	17.5	25.0	17.5	15.5	0.00678125	6781.25	6.78125	1.13	1.0	16.0	22.0	12.0	22.0	16.0	12.0						1.9411764706		-0.12	-0.0857142857	-0.2258064516	-0.1438402458	2025-11-21T00:00:00.000	2025-11-23T14:00:27.768	0-0.5kg
25111833589F8F	3852d30e-5c44-4bdd-a840-3c5eb1045bb0	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Smartphone battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)	polyester		8507609000	https://st.kakaocdn.net/product/gift/product/20250922145628_8653138b30ed41e39093e09697b832ac.png|https://st.kakaocdn.net/product/gift/product/20251022142814_474739581d904daba01a5e7be3667ab1.png|https://st.kakaocdn.net/product/gift/product/20251022142843_0fb57178062c4518b36ff527cb7f1afd.jpg	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.365	25.0x15.5x17.5	25.0	15.5	17.5	25.0	17.5	15.5	0.00678125	6781.25	6.78125	1.13	1.0	16.0	22.0	12.0	22.0	16.0	12.0						1.7397260274		-0.12	-0.0857142857	-0.2258064516	-0.1438402458	2025-11-21T00:00:00.000	2025-11-23T05:00:48.584	0-0.5kg
25111633CACB80	35f34101-b019-4f54-a670-7eecedf17131	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Smartphone battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)			8507609000	https://st.kakaocdn.net/product/gift/product/20250922145628_8653138b30ed41e39093e09697b832ac.png|https://st.kakaocdn.net/product/gift/product/20251022142814_474739581d904daba01a5e7be3667ab1.png|https://st.kakaocdn.net/product/gift/product/20251022142843_0fb57178062c4518b36ff527cb7f1afd.jpg	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.355	24.5x15.5x17.5	24.5	15.5	17.5	24.5	17.5	15.5	0.006645625	6645.625	6.645625	1.108	1.0	16.0	22.0	12.0	22.0	16.0	12.0						1.8169014085		-0.1020408163	-0.0857142857	-0.2258064516	-0.1378538512	2025-11-20T00:00:00.000	2025-11-23T05:00:53.323	0-0.5kg
251117E370AE42	dfe93720-429a-4a17-ba51-6dab08966dcd	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Smartphone battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)	polyester		8507609000	https://st.kakaocdn.net/product/gift/product/20250922145628_8653138b30ed41e39093e09697b832ac.png|https://st.kakaocdn.net/product/gift/product/20251022142814_474739581d904daba01a5e7be3667ab1.png|https://st.kakaocdn.net/product/gift/product/20251022142843_0fb57178062c4518b36ff527cb7f1afd.jpg	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.39	25.0x16.0x20.5	25.0	16.0	20.5	25.0	20.5	16.0	0.0082	8200.0	8.2	1.367	1.0	16.0	22.0	12.0	22.0	16.0	12.0						1.5641025641		-0.12	-0.2195121951	-0.25	-0.196504065	2025-11-20T00:00:00.000	2025-11-27T08:00:17.303	0-0.5kg
251118F508C55E	53693eb1-3ad6-47ba-862a-48b76daf6931	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Smartphone battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)	polyester		8507609000	https://st.kakaocdn.net/product/gift/product/20250922145628_8653138b30ed41e39093e09697b832ac.png|https://st.kakaocdn.net/product/gift/product/20251022142814_474739581d904daba01a5e7be3667ab1.png|https://st.kakaocdn.net/product/gift/product/20251022142843_0fb57178062c4518b36ff527cb7f1afd.jpg	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.385	25.0x16.0x20.5	25.0	16.0	20.5	25.0	20.5	16.0	0.0082	8200.0	8.2	1.367	1.0	16.0	22.0	12.0	22.0	16.0	12.0						1.5974025974		-0.12	-0.2195121951	-0.25	-0.196504065	2025-11-20T00:00:00.000	2025-11-24T14:00:22.297	0-0.5kg
2510114706CCB8	c0a544f7-2317-4e00-ba18-468552e31195	7fc5532c-3218-47ab-86a8-89aa5579f021	e93cff75-a7f7-47c6-b41b-bd895200fd91	MOOD FRAGRANCE SET	ムードフレグランスセット		Perfume	unknown		Material GLASS, ABS, PP, PAPER Size(mm) Mood Fragrance Set 41X112 (50ml), Message Card 75X105, Polaroid 55X85(MM) Contents MOOD FRAGRANCE SET (Mood Fragrance 1pc, Message Card 1pc, Polaroid 1pc) Country of manufacture KOREA Year and month of manufacture 2025.08 Information that confirms that the product has been certified or permitted by law Not Applicable Precautions for handling [Product Warnings] - This product is intended for individuals aged 14 and above and should be kept out of reach of children. - Exchanges or compensation for this product can be processed in accordance with the Consumer Dispute Resolution Standards set forth by the Fair Trade Commission. - The actual product may slightly vary in color depending on your monitor settings. 1. Avoid using in a closed space for long periods of time and ventilate sufficiently after use. 2. Do not expose to direct sunlight or heat. 3. Do not use the product for any purpose not specified in the product information. 4. Keep it out of children's reach. 5. Keep the product upright to prevent liquid from leaking. 6. Do not throw or drop the packaging. 7. Do not maintain prolonged contact with this product if your skin is sensitive or damaged. 8. Do not use on damaged or broken skin. 9. The fragrance has a light yellow hue. The color may vary slightly depending on the natural ingredients’ inclusion, extraction, and maturation period. This is a natural characteristic of the product and not a defect. [First aid] 1. If you have ingested or swallowed the product, take emergency measures and consult a doctor immediately. 2. In case of contact with eyes or skin, wash with water. When seeking medical attention, provide the product warnings or the information label. 3. Seek medical attention if your skin becomes irritated or develops a rash. Quality assurance standards In accordance with relevant laws and the criteria for the settlement of consumer disputes Name MOOD FRAGRANCE SET Company Name/CEO Weverse Company Inc. / JOON WON CHOI Mail Order Business Registration 2022-Seongnam Bundang A-0557 Phone number +82 1544-0790 Email support@weverse.io Address C, 6F, PangyoTech-onetower, 131, Bundangnaegok-ro, Bundang-gu, Seongnam-si, Gyeonggi-do, Republic of Korea material: GLASS, ABS, PP, PAPER size(mm): Mood Fragrance Set 41X112 (50ml), Message Card 75X105, Polaroid 55X85(MM) contents: MOOD FRAGRANCE SET (Mood Fragrance 1pc, Message Card 1pc, Polaroid 1pc)			3303001000	https://cdn-contents.weverseshop.io/public/shop/95d81e117e2bb9dcbbed552651f19eb5.png?w=720&q=95	1	42000.0	4529.0	https://shop.weverse.io/en/shop/KRW/artists/128/sales/44371	0.465	23.0x10.0x17.0	23.0	10.0	17.0	23.0	17.0	10.0	0.00391	3910.0	3.91	0.652	1.0	15.0	25.0	10.0	25.0	15.0	10.0						1.1505376344		0.0869565217	-0.1176470588	0.0	-0.010230179	2025-11-17T00:00:00.000	2025-11-20T08:01:22.138	0-0.5kg
