order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
2505220BC1F5D1	87a0e2db-40b8-4a3d-a829-73a8d242db08	e244e9e2-e1de-4b3e-9994-733e74e0ee4c	64c5a804-798f-4233-8eab-b1165c4bdb68	버즈3프로 갤럭시 버즈3 프로 전용 이어팁 변환캡 디비누스 어뎁터 S1	バズ3プロギャラクシーバズ3プロ専用イヤーチップ変換キャップディビヌスアダプターS1	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	Other	naver					8518309000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/64c5a804-798f-4233-8eab-b1165c4bdb68.png	3	11900.0	1222.0	https://m.smartstore.naver.com/soundpick/products/11574264158	0.08	21.5x12.0x7.0	21.5	12.0	7.0	21.5	12.0	7.0	0.001806	1806.0	1.806	0.301	0.02	5.0	5.0	5.0	5.0	5.0	5.0	0.000125	125.0	0.125			-0.75	-0.9307862679955704	-0.7674418604651163	-0.5833333333333334	-0.2857142857142857	-0.5454964931709118	2025-05-29 14:06:06	2025-06-01 11:01:28.220	0-0.5kg
250520ADCBA875	e51f3867-2640-474d-ac25-d2463332c8ae	5b4dcc10-01c2-4ac9-8a0a-272b3694a774	804d120f-23b0-49ac-970b-d96367ea5676	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	アズラクリスタルギャラクシーバズ3プロ用イヤチップサムスンSMAPP認定純正互換	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	Mobile phone accessories	naver					8517693000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/804d120f-23b0-49ac-970b-d96367ea5676.jpg	9	34900.0	3582.0	https://smartstore.naver.com/main/products/10864476858	0.07	21.0x10.0x3.5	21.0	10.0	3.5	21.0	10.0	3.5	0.000735	735.0	0.735	0.123	0.02	5.0	2.0	5.0	5.0	5.0	2.0	5e-05	50.0	0.05			-0.7142857142857143	-0.9319727891156464	-0.7619047619047619	-0.5	-0.4285714285714285	-0.5634920634920635	2025-05-23 09:23:12	2025-05-28 11:01:23.151	0-0.5kg
25043062FDBFE8	19fe3af4-1f5d-444d-8658-39258462fbff	6b06dd54-8fd9-44bb-ae40-61bfa04752d3	8c5d97c3-fb41-4297-ad38-37e8d3aa50b9	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	アズラクリスタルギャラクシーバズ3プロ用イヤチップサムスンSMAPP認定純正互換	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	Earphones	naver					8518309000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8c5d97c3-fb41-4297-ad38-37e8d3aa50b9.jpg	6	34900.0	3685.0	https://brand.naver.com/azla/products/10864476858	0.11	15.6x12.5x13.7	15.6	12.5	13.7	15.6	13.7	12.5	0.0026715	2671.5	2.6715	0.445	0.02	4.0	2.0	4.0	4.0	4.0	2.0	3.2e-05	32.0	0.032			-0.8181818181818181	-0.988021710649448	-0.7435897435897436	-0.708029197080292	-0.84	-0.7638729802233452	2025-05-13 09:19:50	2025-05-17 14:02:59.923	0-0.5kg
250504CBCEEFDB	44cab0fa-12a9-4354-882e-a0acd0ffff2b	5b4dcc10-01c2-4ac9-8a0a-272b3694a774	eafb12be-d853-4d27-9ea6-a680f3dbca4c	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	アズラクリスタルギャラクシーバズ3プロ用イヤチップサムスンSMAPP認定純正互換	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	Earphones	naver					8518309000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/eafb12be-d853-4d27-9ea6-a680f3dbca4c.jpg	6	34900.0	3582.0	https://smartstore.naver.com/main/products/10864476858	0.095	18.9x11.8x9.6	18.9	11.8	9.6	18.9	11.8	9.6	0.002140992	2140.992	2.140992	0.357	0.02	5.0	2.0	5.0	5.0	5.0	2.0	5e-05	50.0	0.05			-0.7894736842105263	-0.97664633964069	-0.7354497354497355	-0.576271186440678	-0.7916666666666666	-0.7011291961856934	2025-05-12 13:00:57	2025-05-15 14:03:12.669	0-0.5kg
2504292A93822F	71cbd37f-5cdf-495b-a82d-6e0e22422391	5b4dcc10-01c2-4ac9-8a0a-272b3694a774	b7616110-bbb9-41de-85b3-9739e749225a	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	アズラクリスタルギャラクシーバズ3プロ用イヤチップサムスンSMAPP認定純正互換	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	Earphones	naver					8518309000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/b7616110-bbb9-41de-85b3-9739e749225a.jpg	6	24900.0	2629.0	https://smartstore.naver.com/main/products/10864476858	0.09	20.2x10.2x10.3	20.2	10.2	10.3	20.2	10.3	10.2	0.002122212	2122.212	2.122212	0.354	0.02	5.0	2.0	5.0	5.0	5.0	2.0	5e-05	50.0	0.05			-0.7777777777777777	-0.9764396770916384	-0.7524752475247525	-0.5145631067961165	-0.803921568627451	-0.6903199743161066	2025-05-08 12:45:47	2025-05-11 08:02:45.727	0-0.5kg
2504291D692242	be40a252-45b5-4a60-b5c7-3de1e0a8f66f	aa42ccaa-0235-49cd-ade7-f9358be09fb9	c70d679b-1d02-48e8-9d7a-56743d5edd40	아즈라 맥스 버즈3프로 이어팁 삼성 SMAPP 정품 호환 독일 프리미엄 LSR 이어캡	アズラマックスバズ3プロイヤーチップサムスンSMAPP純正互換ドイツプレミアムLSRイヤーキャップ	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	Other	naver					8518309000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/c70d679b-1d02-48e8-9d7a-56743d5edd40.jpg	6	34900.0	3685.0	https://smartstore.naver.com/main/products/11174745397	0.09	15.8x12.1x9.2	15.8	12.1	9.2	15.8	12.1	9.2	0.001758856	1758.856	1.758856	0.293	0.02	4.0	2.0	4.0	4.0	4.0	2.0	3.2e-05	32.0	0.032			-0.7777777777777777	-0.981806355949549	-0.7468354430379747	-0.6694214876033058	-0.782608695652174	-0.7329552087644848	2025-05-08 12:45:47	2025-05-11 05:02:43.911	0-0.5kg
250419F464E0FD	ae0f4912-1cd2-4aee-8118-753d2f4e48e7	5b4dcc10-01c2-4ac9-8a0a-272b3694a774	056f0149-6ed5-4d0d-9d5a-bb6a276f0229	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	アズラクリスタルギャラクシーバズ3プロ用イヤチップサムスンSMAPP認定純正互換	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	Bluetooth earphone	naver					8518309000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/056f0149-6ed5-4d0d-9d5a-bb6a276f0229.jpg	6	24900.0	2629.0	https://smartstore.naver.com/main/products/10864476858	0.08	20.7x10.0x6.6	20.7	10.0	6.6	20.7	10.0	6.6	0.0013662	1366.1999999999998	1.3662	0.228	0.02	5.0	2.0	5.0	5.0	5.0	2.0	5e-05	50.0	0.05			-0.75	-0.9634021373151808	-0.7584541062801933	-0.5	-0.6969696969696969	-0.6518079344166301	2025-04-25 11:08:26	2025-05-20 23:00:26.792	0-0.5kg
25042020143EE2	a56b7b63-953e-4661-8e8c-93597e8cc2cd	5b4dcc10-01c2-4ac9-8a0a-272b3694a774	1f67bd27-6915-4d89-963e-2da210ca3d90	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	アズラクリスタルギャラクシーバズ3プロ用イヤチップサムスンSMAPP認定純正互換	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	Other	naver					8518309000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/1f67bd27-6915-4d89-963e-2da210ca3d90.jpg	6	24900.0	2629.0	https://smartstore.naver.com/main/products/10864476858	0.06	15.9x10.3x3.9	15.9	10.3	3.9	15.9	10.3	3.9	0.000638703	638.703	0.638703	0.106	0.02	5.0	2.0	5.0	5.0	5.0	2.0	5e-05	50.0	0.05			-0.6666666666666666	-0.9217163532972288	-0.6855345911949685	-0.5145631067961165	-0.4871794871794871	-0.5624257283901907	2025-04-24 10:18:03	2025-05-04 14:02:30.126	0-0.5kg
250416AB32A32C	b7218b6d-ec7b-445a-a900-d79c314a516b	5b4dcc10-01c2-4ac9-8a0a-272b3694a774	a0c63961-a453-4770-a5fc-83ec5977d591	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	アズラクリスタルギャラクシーバズ3プロ用イヤチップサムスンSMAPP認定純正互換	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	Earphones	naver					8518309000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/a0c63961-a453-4770-a5fc-83ec5977d591.jpg	6	24900.0	2629.0	https://smartstore.naver.com/main/products/10864476858	0.085	17.6x12.0x8.2	17.6	12.0	8.2	17.6	12.0	8.2	0.00173184	1731.84	1.7318399999999998	0.289	0.02	5.0	2.0	5.0	5.0	5.0	2.0	5e-05	50.0	0.05			-0.7647058823529411	-0.9711289726533628	-0.7159090909090909	-0.5833333333333334	-0.7560975609756098	-0.6851133284060115	2025-04-23 11:06:19	2025-04-25 23:02:29.933	0-0.5kg
250414014480FB	62597638-46a7-4a94-a55d-25e223028420	5b4dcc10-01c2-4ac9-8a0a-272b3694a774	6ff8efe8-7c7d-4efd-a1e9-ba424664ed1b	아즈라 크리스탈 갤럭시 버즈3 프로용 이어팁 삼성 SMAPP 인증 정품 호환	アズラクリスタルギャラクシーバズ3プロ用イヤチップサムスンSMAPP認定純正互換	디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁	Other	naver					8518309000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/6ff8efe8-7c7d-4efd-a1e9-ba424664ed1b.jpg	6	34900.0	3685.0	https://smartstore.naver.com/main/products/10864476858	0.09	15.0x13.0x11.0	15.0	13.0	11.0	15.0	13.0	11.0	0.002145	2145.0	2.145	0.358	0.02	5.0	2.0	5.0	5.0	5.0	2.0	5e-05	50.0	0.05			-0.7777777777777777	-0.9766899766899768	-0.6666666666666666	-0.6153846153846154	-0.8181818181818182	-0.7000777000777001	2025-04-18 11:04:43	2025-04-23 14:01:53.683	0-0.5kg
