order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
251112710A8604	18b3741b-84b9-42fb-906a-2d5f1cb1dbdb	a689bf94-cc0b-4b79-aafa-b06e0b068a5b	82c86fc4-6439-4303-b2b3-aeab8c20f6c7	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	ストームローリングサンダープラス 3ボールローラーバッグ 3ボールボウリングバッグボウリング用品	스포츠/레저>볼링>볼링가방	Bag	naver			Polyester,PU Leather,Nylon Webbing,ABS Plastic, Rubber		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/82c86fc4-6439-4303-b2b3-aeab8c20f6c7.jpg	5	199000.0	21969.0	https://m.smartstore.naver.com/bowlingmall2/products/9769567867	7.55	78.5x37.5x40.0	78.5	37.5	40.0	78.5	40.0	37.5	0.11775	117750.0	117.75	19.625	5.0	80.0	35.0	40.0	80.0	40.0	35.0	0.112	112000.0	112.0			-0.3377483443708609	-0.048832271762208	0.019108280254777	0.0	-0.0666666666666666	-0.0158527954706298	2025-11-18 00:00:00	2025-11-21 14:00:48.999	5-10kg
2511087A1815E1	e9002e54-662a-45ad-8ed9-529172f3177e	9880f1e5-04d3-460e-84ea-c94dfafaf5db	08d1e6dc-6a33-444a-9409-ac53f11c59a2	스톰 롤링 썬더 시그니처 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	ストームローリングサンダーシグネチャープラススリーボールローラーバッグ 3ボールボウリングバッグボウリング用品	스포츠/레저>볼링>볼링가방	Bag	naver			enamel, polyurethane		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/08d1e6dc-6a33-444a-9409-ac53f11c59a2.jpg	5	199000.0	21969.0	https://smartstore.naver.com/main/products/10893057274	7.96	80.0x40.0x41.0	80.0	40.0	41.0	80.0	41.0	40.0	0.1312	131200.0	131.20000000000002	21.867	2.5	48.0	35.0	77.0	77.0	48.0	35.0	0.12936	129360.0	129.36			-0.6859296482412061	-0.0140243902439024	-0.0375	0.1707317073170731	-0.125	0.0027439024390243	2025-11-14 00:00:00	2025-11-21 05:01:02.154	5-10kg
2511026AEFCC45	5f8f8acb-f40d-4721-9d39-7a86b10f4299	b4b12568-7d03-4549-8aaa-45d363d7404e	5f4333a3-e2af-4949-a0c1-29cc200c3b21	스톰 롤링 썬더 플러스 3볼 볼링가방 에나멜 (악세사리 파우치 포함) 화이트레드	ストームローリングサンダープラス 3 ボールボウリングバッグエナメル (アクセサリーポーチ付属) ホワイトレッド	스포츠/레저>볼링>볼링가방	Bag	naver			Material: PVC Coated Polyester, Polyester Lining, PP & PU Frame/Wheels, ABS Handle , Ball Towel ; Cotton		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/5f4333a3-e2af-4949-a0c1-29cc200c3b21.jpg	5	199000.0	21969.0	https://smartstore.naver.com/main/products/9641781962	7.88	82.0x33.0x34.0	82.0	33.0	34.0	82.0	34.0	33.0	0.092004	92004.0	92.004	15.334	1.5	35.0	77.0	48.0	77.0	48.0	35.0	0.12936	129360.0	129.36			-0.8096446700507615	0.406025824964132	-0.0609756097560975	0.4117647058823529	0.0606060606060606	0.137131718910772	2025-11-06 00:00:00	2025-11-08 14:00:25.537	5-10kg
2510268962FEFD	96df663d-88d8-4bcb-b86a-906a9c481dcd	9327dbff-9548-4ca7-ab01-bc40b2efb448	f6d35e73-8793-4b9a-8cd3-c05b83632c06	[ 볼링티 1볼도트 악세사리백 3종스티커 네임텍 선물 ] 햄머 빅 3볼롤러백 블랙실버	[ ボウリングティー1個ボールドットアクセサリーバッグ3種類ステッカーネームテックギフト ] ハンマービッグ 3 ボールローラーバッグブラックシルバー	스포츠/레저>볼링>볼링가방	Bag	naver			Enamel Leather, PU Leather		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/f6d35e73-8793-4b9a-8cd3-c05b83632c06.jpg	1	199000.0	21459.0	https://smartstore.naver.com/main/products/12276730643	8.525	78.0x38.0x40.0	78.0	38.0	40.0	78.0	40.0	38.0	0.11856	118560.0	118.56	19.76	6.0	40.0	80.0	40.0	80.0	40.0	40.0	0.128	128000.0	128.0			-0.2961876832844575	0.0796221322537112	0.0256410256410256	0.0	0.0526315789473684	0.0260908681961313	2025-10-29 12:55:17	2025-11-03 14:00:11.898	5-10kg
250924A88D4EEA	3e037531-5f5e-4691-ad1e-37ea0c3b7ced	a08b6afc-aeda-40ea-a69c-54449ce41a43	7c08f135-fef0-4242-b6af-6ca098cee980	뉴 브런스윅3볼롤러백 매트 차콜그레이 볼링가방 (악세사리백 신발케이스 키링 포함)	ニューブランスウィック3ボロラーバッグマットチャコールグレーボウリングバッグ （アクセサリーバッグシューズケースキーリング付き)	스포츠/레저>볼링>볼링가방	Bag	naver			Polyster		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/7c08f135-fef0-4242-b6af-6ca098cee980.jpg	1	199000.0	21744.0	https://smartstore.naver.com/main/products/10218097101	8.325	77.5x33.0x45.0	77.5	33.0	45.0	77.5	45.0	33.0	0.1150875	115087.5	115.0875	19.181	7.0	70.0	48.0	45.0	70.0	48.0	45.0	0.1512	151200.0	151.2			-0.1591591591591591	0.313782991202346	-0.0967741935483871	0.0666666666666666	0.3636363636363636	0.1111762789182144	2025-10-14 12:56:43	2025-10-21 10:07:09.869	5-10kg
251006615BAD09	319e40d2-fd37-41e7-baa1-b7442a530b2f	a689bf94-cc0b-4b79-aafa-b06e0b068a5b	9ab70249-d025-4853-b135-ebcf274d5e36	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	ストームローリングサンダープラススリーボールローラーバッグ3ボールボウリングバッグボウリング用品	스포츠/레저>볼링>볼링가방	Bag	naver			Enamel		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/9ab70249-d025-4853-b135-ebcf274d5e36.jpg	5	199000.0	21663.0	https://m.smartstore.naver.com/bowlingmall2/products/9769567867	7.535	78.0x38.0x41.0	78.0	38.0	41.0	78.0	41.0	38.0	0.121524	121524.0	121.524	20.254	26.0	21.0	14.0	28.0	28.0	21.0	14.0	0.008232	8232.0	8.232			2.45056403450564	-0.9322602942628616	-0.6410256410256411	-0.4878048780487805	-0.631578947368421	-0.5868031554809475	2025-10-14 12:56:43	2025-10-17 08:00:51.898	5-10kg
251007FF5D509C	684eaf05-0adb-432a-96ad-2a68aad97a64	b2821d0c-80d3-4a1c-b071-8ae6e4135961	710d1c5c-cdb6-444d-82f7-0f70f16d5f2b	스톰 롤링 썬더 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	ストームローリングサンダープラス 3ボールローラーバッグ 3ボールボウリングバッグボウリング用品	스포츠/레저>볼링>볼링가방	Bag	naver			enamel		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/710d1c5c-cdb6-444d-82f7-0f70f16d5f2b.jpg	5	199000.0	21744.0	https://smartstore.naver.com/main/products/9769567867	7.58	81.0x32.5x44.5	81.0	32.5	44.5	81.0	44.5	32.5	0.11714625	117146.25	117.14625	19.524	7.0	80.0	40.0	35.0	80.0	40.0	35.0	0.112	112000.0	112.0			-0.0765171503957783	-0.0439301300724521	-0.0123456790123456	-0.1011235955056179	0.0769230769230769	-0.0121820658649622	2025-10-14 12:56:43	2025-10-18 08:00:26.635	5-10kg
251007FCB9CB60	924c8e27-a262-4fc3-b8bf-a37ade174c83	6a5f1997-7875-4552-92e9-890c30d62d0b	35ac97b5-64f8-4ece-9d1c-e203d53c2820	2024 뉴 햄머 2볼 롤러백 볼링가방	2024 ニューハンマー 2ボールローラーバッグボウリングバッグ	스포츠/레저>볼링>볼링가방	Bag	naver			enamel		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/35ac97b5-64f8-4ece-9d1c-e203d53c2820.jpg	3	120000.0	13112.0	https://smartstore.naver.com/main/products/11915181953	5.505	59.0x35.5x41.0	59.0	35.5	41.0	59.0	41.0	35.5	0.0858745	85874.5	85.87450000000001	14.312	6.3	21.0	14.0	28.0	28.0	21.0	14.0	0.008232	8232.0	8.232			0.1444141689373297	-0.9041391798496644	-0.5254237288135594	-0.4878048780487805	-0.6056338028169014	-0.5396208032264137	2025-10-14 12:56:43	2025-10-18 14:00:12.489	5-10kg
250929E8172B0F	2b6c5503-ba9c-41c2-a6ca-a9b8f2d0169a	97076dbc-bdec-4410-8a91-f1e53922f682	60a4d6d8-ee6c-4306-8b9a-ba07ed26066b	2025햄머 3볼 토트백/슈즈백포함 가방 쓰리덩키 Hammer	2025 ハンマー 3 ボールトート/シューズバッグ付きスリーダンクハンマーバッグ	스포츠/레저>볼링>볼링가방	Bag	naver			Polyurethane leather, Nylon, Polyester		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/60a4d6d8-ee6c-4306-8b9a-ba07ed26066b.jpg	5	135000.0	14654.0	https://smartstore.naver.com/main/products/11783737837	6.125	81.0x30.0x31.0	81.0	30.0	31.0	81.0	31.0	30.0	0.07533	75330.0	75.33	12.555	1.0	15.0	10.0	20.0	20.0	15.0	10.0	0.003	3000.0	3.0			-0.8367346938775511	-0.9601752289924332	-0.7530864197530864	-0.5161290322580645	-0.6666666666666666	-0.6452940395592726	2025-10-02 16:41:54	2025-10-08 14:00:13.888	5-10kg
250923DFCACD0C	9df5950b-3ec9-4a87-a2de-a4e41210175b	9880f1e5-04d3-460e-84ea-c94dfafaf5db	6be8bfce-415d-48c2-9735-0a1189dfa6c9	스톰 롤링 썬더 시그니처 플러스 쓰리볼 롤러백 3볼 볼링가방 볼링용품	ストームローリングサンダーシグネチャープラススリーボールローラーバッグ 3ボールボウリングバッグボウリング用品	스포츠/레저>볼링>볼링가방	Bag	naver			Polyester , PU Leather, Nylon, EVA Foam, Urethane		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/6be8bfce-415d-48c2-9735-0a1189dfa6c9.jpg	5	199000.0	21989.0	https://smartstore.naver.com/main/products/10893057274	7.915	78.0x37.5x40.0	78.0	37.5	40.0	78.0	40.0	37.5	0.117	117000.0	117.0	19.5	2.5	21.0	14.0	28.0	28.0	21.0	14.0	0.008232	8232.0	8.232			-0.6841440303221731	-0.9296410256410256	-0.6410256410256411	-0.475	-0.6266666666666667	-0.5808974358974359	2025-09-30 11:21:22	2025-10-02 08:00:58.046	5-10kg
