order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
250530CF6C4A7A	24545ca1-e7c6-4a76-bfdd-b8c83e83e19f	d3d90b52-21ef-4aa6-824c-70fa5cb0d49c	329d9e9b-3932-4520-af82-d631fd163132	셀바이셀 아줄렌 수딩 토너 1000ml / 약산성 촉촉한스킨 피부과토너	セルバイセルアズレンスーディングトナー1000ml/ 弱酸性のしっとり肌肌トナー	화장품/미용>스킨케어>스킨/토너	Facial toner	naver					3304991000	https://shop-phinf.pstatic.net/20240710_300/1720580406703Tr7ed_JPEG/1983006781781217_1691509879.jpg?type=m510|https://shop-phinf.pstatic.net/20241104_256/1730693786105T35uv_JPEG/64826757466108567_570589750.jpg?type=m510|https://shop-phinf.pstatic.net/20250213_87/1739421670110tHOm2_JPEG/13857483245078518_1084397799.jpg?type=m510|https://shop-phinf.pstatic.net/20250213_50/1739421675976NSEcK_JPEG/4690267803167619_1827768706.jpg?type=m510	4	75000.0	7696.0	https://smartstore.naver.com/main/products/8624435167	2.665	26.9x27.3x15.4	26.9	27.3	15.4	27.3	26.9	15.4	0.011309298	11309.298	11.309298	1.885	1.0	7.0	20.0	7.0	20.0	7.0	7.0						-0.6247654784		-0.2673992674	-0.7397769517	-0.5454545455	-0.5175435882	2025-06-03T13:57:57.000	2025-07-20T14:00:08.978	2-5kg
25052037C0E4E4	323f11bc-3985-4d5f-adf2-7a1f4ec6d8c0	c8a97d4e-707e-499e-9f9e-ce947156776f	f2c5aafd-238c-4322-8fdd-f78b6783b5ad	[미연x포토카드 A set 증정] 병풀 추출물 토너 300ml	[未延xフォトカードAセット贈呈] ボトルプールエキストナー300ml	뷰티 > 스킨케어 > 스킨/토너/패드	Photographs	musinsa		![](//image.msscdn.net/images/prd_img/20250429210629704165899826810c0c5abead.jpg)<br>![](//image.msscdn.net/images/prd_img/20250429210724722102729316810c0fcb04bd.jpg)<br>![](//image.msscdn.net/images/prd_img/20250429210752391784190226810c1185fa6f.jpg)<br>			4911919000	https://image.msscdn.net/images/goods_img/20220429/2530197/2530197_17459151093164_500.jpg|https://image.msscdn.net/images/prd_img/20220429/2530197/detail_2530197_3_500.jpg|https://image.msscdn.net/images/prd_img/20220429/2530197/detail_2530197_1_500.jpg	3	12900.0	1362.0	https://www.musinsa.com/products/2530197	0.145	20.7x15.5x10.2	20.7	15.5	10.2	20.7	15.5	10.2	0.00327267	3272.67	3.27267	0.545	0.3	6.0	15.0	6.0	15.0	6.0	6.0						1.0689655172		-0.2753623188	-0.6129032258	-0.4117647059	-0.4333434168	2025-05-30T17:27:29.000	2025-06-04T08:00:29.492	0-0.5kg
250515FD23388D	321fbf65-f0b0-4b6f-9e74-c8e7b84a57d5	afb505f3-b385-45af-ae06-369a4ebf90f7	d7f1d776-4113-4743-ac7f-f36460f28b53	토니모리 인텐스 케어 골드 24K 스네일 토너 140ml	トニーモリーインテンスケアゴールド24Kスネイルトナー140ml	화장품/향수>스킨케어>스킨/토너	Facial skin(toner)	auction					3304991000	//image.auction.co.kr/itemimage/44/4d/a1/444da165f6.jpg|//image.auction.co.kr/itemimage/44/4d/a1/444da165d1.jpg|//image.auction.co.kr/itemimage/44/4d/a1/444da165e1.jpg|//image.auction.co.kr/itemimage/44/4d/a1/444da16601.jpg	4	15740.0	1615.0	http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=E495685091	0.56	18.1x11.6x8.2	18.1	11.6	8.2	18.1	11.6	8.2	0.001721672	1721.672	1.721672	0.287	0.2	5.0	15.0	5.0	15.0	5.0	5.0						-0.6428571429		-0.1712707182	-0.5689655172	-0.3902439024	-0.3768267126	2025-05-23T17:57:03.000	2025-05-28T14:01:58.575	0.5-1kg
250430FA21B48B	b0ebac48-e3be-45eb-8e3d-8642e13951ab	a2c5f758-5ce8-4af4-986a-23c2fcb91967	1e6aa23f-9a41-409e-8224-b5580760a5a9	일리윤 세라마이드 아토 속보습 스킨 250ml	イリユンセラミドアト速保湿スキン250ml	화장품/미용>스킨케어>스킨/토너	Facial skin(toner)	naver					3304991000	https://shop-phinf.pstatic.net/20250203_95/1738567431828Hu3GG_JPEG/24976442613098797_2057894915.jpg?type=m510|https://shop-phinf.pstatic.net/20250203_155/1738567438839fWL3L_JPEG/85714961055419532_426229876.jpg?type=m510|https://shop-phinf.pstatic.net/20250203_74/1738567443847gkhLR_JPEG/85714966014899243_1455784448.jpg?type=m510|https://shop-phinf.pstatic.net/20250203_159/1738569195900GwlR1_JPEG/72702047051461341_620689244.jpg?type=m510	4	18400.0	1943.0	https://smartstore.naver.com/main/products/11424862101	0.42	20.0x16.5x12.0	20.0	16.5	12.0	20.0	16.5	12.0	0.00396	3960.0	3.96	0.66	0.25	6.0	20.0	6.0	20.0	6.0	6.0						-0.4047619048		0.0	-0.6363636364	-0.5	-0.3787878788	2025-05-16T18:09:45.000	2025-05-20T08:02:45.473	0-0.5kg
250428B87AB1C5	7cab4ac8-0172-43c1-8806-a1ac4cebc423	c1269e5f-973a-4e2d-8730-1b3db5b2fe05	0eb21e95-a35f-479b-8edd-e91f168f4a2f	넘버즈인 1번 진정 맑게담은 청초토너 300ml	ナンバーズイン1番落ち着き清潔トーン300ml	화장품/미용>스킨케어>스킨/토너	Facial skin(toner)	naver					3304991000	https://shop-phinf.pstatic.net/20231206_219/1701852188110TVnwG_PNG/102988022944955226_1915211613.png?type=m510	1	13080.0	1381.0	https://smartstore.naver.com/main/products/9623768024	3.565	39.7x32.7x19.5	39.7	32.7	19.5	39.7	32.7	19.5	0.025314705	25314.705	25.314705	4.219	0.3	6.0	15.0	6.0	15.0	6.0	6.0						-0.9158485273		-0.6221662469	-0.8165137615	-0.6923076923	-0.7103292335	2025-05-08T12:45:47.000	2025-05-15T14:03:09.201	2-5kg
2504192179B52F	2ed38b29-49b9-453a-b188-7bf2c0705d73	6da0b7d4-6f7d-4b20-80e1-54b79e44c4bb	5a1250b7-13e4-454c-abae-49c7bf3f7d60	아누아 어성초 77% 수딩 토너 저자극 토너 500ml 737015	アヌアオッスル77％スーディングトナー低刺激トナー500ml 737015	화장품/미용>스킨케어>스킨/토너	Facial toner	naver					3304991000	https://shop-phinf.pstatic.net/20250224_175/1740386868336pEfGo_JPEG/43899405326908302_393643169.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_73/1740386889453Hdo9g_JPEG/74519740593277495_2039816499.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_187/17403868859359IbBk_JPEG/74519737076865229_474493007.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_287/1740386886279EUKuo_JPEG/74519737417022643_1640016102.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_142/1740386886793vT1hV_JPEG/74519737932374158_1834513861.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_126/1740386887141jXqhW_JPEG/74519738282988250_507956896.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_290/17403868876682CUbI_JPEG/74519738808637470_2090315162.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_48/1740386888037Wykrt_JPEG/74519739176728792_2129441507.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_133/1740386888507u3ygV_JPEG/74519739558566366_1096083617.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_176/1740386888850zttDY_JPEG/74519739989855382_583150841.jpg?type=m510	10	8680.0	917.0	https://smartstore.naver.com/main/products/11515677477	5.315	38.4x19.5x25.9	38.4	19.5	25.9	38.4	25.9	19.5	0.01939392	19393.92	19.39392	3.232	0.5	7.0	20.0	7.0	20.0	7.0	7.0						-0.9059266228		-0.4791666667	-0.7297297297	-0.641025641	-0.6166406791	2025-04-25T11:08:26.000	2025-05-02T08:02:24.268	5-10kg
250416A8C7E8C8	0df76ca0-73af-4014-9ab0-2acfbcfdfb8f	d0cbf027-4a90-408d-9cd5-bd8342f3a470	a85f7773-78bc-4de4-873a-683eaf2cc793	아누아 어성초 77% 토너 500ml 1개	アヌアオソンチョ77％トナー500ml 1個	화장품/미용>스킨케어>스킨/토너	Facial skin(toner)	naver					3304991000	https://shop-phinf.pstatic.net/20240215_98/1707983937267QuTOt_JPEG/109119835972838921_1723290156.jpg?type=m510	1	9050.0	956.0	https://smartstore.naver.com/main/products/9954483900	5.37	35.5x28.1x23.6	35.5	28.1	23.6	35.5	28.1	23.6	0.02354218	23542.18	23.54218	3.924	0.5	7.0	20.0	7.0	20.0	7.0	7.0						-0.9068901304		-0.4366197183	-0.7508896797	-0.7033898305	-0.6302997428	2025-04-22T11:21:19.000	2025-05-23T08:00:36.382	5-10kg
25041488175506	71013a5c-efc9-4a18-83aa-ecfcda4d6ea8	c1269e5f-973a-4e2d-8730-1b3db5b2fe05	0eb21e95-a35f-479b-8edd-e91f168f4a2f	넘버즈인 1번 진정 맑게담은 청초토너 300ml	ナンバーズイン1番落ち着き清潔トーン300ml	화장품/미용>스킨케어>스킨/토너	Facial skin(toner)	naver					3304991000	https://shop-phinf.pstatic.net/20231206_219/1701852188110TVnwG_PNG/102988022944955226_1915211613.png?type=m510	1	13080.0	1381.0	https://smartstore.naver.com/main/products/9623768024	3.095	23.8x20.3x12.8	23.8	20.3	12.8	23.8	20.3	12.8	0.006184192	6184.192	6.184192	1.031	0.3	6.0	15.0	6.0	15.0	6.0	6.0						-0.9030694669		-0.3697478992	-0.7044334975	-0.53125	-0.5351437989	2025-04-18T17:26:50.000	2025-04-24T08:03:33.655	2-5kg
2504086CB8E740	6bdbff55-dc3d-4e80-ac3c-d9e5a480558f	6da0b7d4-6f7d-4b20-80e1-54b79e44c4bb	33f45ec1-185b-4a1f-bb71-e70678c95057	아누아 어성초 77% 수딩 토너 저자극 토너 500ml 737015	アヌアオッスル77％スーディングトナー低刺激トナー500ml 737015	화장품/미용>스킨케어>스킨/토너	Facial skin(toner)	naver					3304991000	https://shop-phinf.pstatic.net/20250224_175/1740386868336pEfGo_JPEG/43899405326908302_393643169.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_73/1740386889453Hdo9g_JPEG/74519740593277495_2039816499.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_187/17403868859359IbBk_JPEG/74519737076865229_474493007.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_287/1740386886279EUKuo_JPEG/74519737417022643_1640016102.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_142/1740386886793vT1hV_JPEG/74519737932374158_1834513861.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_126/1740386887141jXqhW_JPEG/74519738282988250_507956896.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_290/17403868876682CUbI_JPEG/74519738808637470_2090315162.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_48/1740386888037Wykrt_JPEG/74519739176728792_2129441507.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_133/1740386888507u3ygV_JPEG/74519739558566366_1096083617.jpg?type=m510|https://shop-phinf.pstatic.net/20250224_176/1740386888850zttDY_JPEG/74519739989855382_583150841.jpg?type=m510	10	8680.0	917.0	https://smartstore.naver.com/main/products/11515677477	6.13	22.2x31.9x21.1	22.2	31.9	21.1	31.9	22.2	21.1	0.014942598	14942.598	14.942598	2.49	0.5	7.0	20.0	7.0	20.0	7.0	7.0						-0.9184339315		-0.3730407524	-0.6846846847	-0.6682464455	-0.5753239608	2025-04-11T13:03:11.000	2025-04-15T14:02:47.203	5-10kg
250330D9836B71	d119045e-8779-43ae-9bed-5a269e33bad1	8ce4bd29-8611-4d05-9fa4-d78faa2b0274	62f490e7-7784-4c26-8bd9-3ed6b08449a5	아누아 어성초 77% 수딩 토너 500ml 대용량	アヌア オソンチョ 77% スーディングトナー 500ml 大容量	화장품/미용>스킨케어>스킨/토너	Facial skin(toner)	naver					3304991000	https://shop-phinf.pstatic.net/20241112_61/1731423328279krNYO_JPEG/37104112468675817_1137911416.jpg?type=m510	1	10550.0	1114.0	https://smartstore.naver.com/main/products/10304541090	7.465	25.6x32.4x21.6	25.6	32.4	21.6	32.4	25.6	21.6	0.017915904	17915.904	17.915904	2.986	0.5	8.0	15.0	8.0	15.0	8.0	8.0						-0.9330207636		-0.537037037	-0.6875	-0.6296296296	-0.6180555556	2025-04-09T13:03:29.000	2025-04-14T05:01:22.401	5-10kg
