order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
251029048F3E76	1c306b56-ba01-4757-8460-0e9da1f7c414	f772c635-e7f1-428d-9738-2a7222793156	da50f1bc-5ba6-42cc-b0b9-c90b53ff3a61	켈로그 운빨존많겜 기획팩 820g (N4)	ケロッグラッキーゾーンマルチジェムスペシャルパック 820g (N4)	식품>과자/베이커리>시리얼>기타시리얼	Cereal	naver					1904909000	https://shop-phinf.pstatic.net/20251017_291/1760656860593WjIxo_JPEG/87347329576229131_1002560116.jpg?type=m510|https://shop-phinf.pstatic.net/20251017_289/1760656860855tMvIt_JPEG/87347329827386002_1361452285.jpg?type=m510	2	14280.0	1540.0	https://smartstore.naver.com/main/products/12551988222	8.355	70.0x50.0x50.0	70.0	50.0	50.0	70.0	50.0	50.0	0.175	175000.0	175.0	29.167	0.9	22.0	10.0	30.0	30.0	22.0	10.0						-0.8922800718		-0.5714285714	-0.56	-0.8	-0.6438095238	2025-10-31T13:03:04.000	2025-11-07T08:00:13.585	5-10kg
251027C230E9BA	7f556aaa-a80f-4586-a0dc-78e5ca7d549f	12421284-a719-4acb-8e13-498b53e74be3	d3674e2e-28ae-4da4-8121-51e421681893	켈로그 운빨존많겜 기획팩 820g	ケロッグラッキーゾーンマルチジェムスペシャルパック 820g	가공식품 > 대용식 > 시리얼 > 시리얼	Cereal	ssg		![](https://sstatic.ssgcdn.com/cmpt/edit/202510/17/081000729085739_d1.jpg)<br>![](//sitem.ssgcdn.com/39/57/08/qlty/1000729085739_q1.jpg)			1904909000	https://sitem.ssgcdn.com/39/57/08/item/1000729085739_i1_500.jpg|https://sitem.ssgcdn.com/39/57/08/item/1000729085739_i2_500.jpg	2	14280.0	1540.0	http://www.ssg.com/item/itemView.ssg?itemId=1000729085739&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs	7.55	70.0x38.0x51.5	70.0	38.0	51.5	70.0	51.5	38.0	0.13699	136990.0	136.99	22.832	0.82	9.0	25.0	28.0	28.0	25.0	9.0						-0.8913907285		-0.6	-0.5145631068	-0.7631578947	-0.6259070005	2025-10-30T13:02:58.000	2025-11-02T08:00:39.392	5-10kg
2510193D7061E9	04062aa3-927e-40a1-be71-a52276c10a9c	12421284-a719-4acb-8e13-498b53e74be3	c42644b4-4547-49c4-b5b6-0cd640158d48	켈로그 운빨존많겜 기획팩 820g	ケロッグラッキーゾーンマルチジェムスペシャルパック 820g	가공식품 > 대용식 > 시리얼 > 시리얼	Cereal	ssg		![](//sitem.ssgcdn.com/39/57/08/qlty/1000729085739_q1.jpg)			1904909000	https://sitem.ssgcdn.com/39/57/08/item/1000729085739_i1_500.jpg	1	14280.0	1540.0	http://www.ssg.com/item/itemView.ssg?itemId=1000729085739&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs	7.49	70.0x30.0x51.0	70.0	30.0	51.0	70.0	51.0	30.0	0.1071	107100.0	107.1	17.85	0.82	9.0	25.0	28.0	28.0	25.0	9.0						-0.8905206943		-0.6	-0.5098039216	-0.7	-0.6032679739	2025-10-24T11:27:17.000	2025-10-30T14:00:22.129	5-10kg
251018A7463648	d1e3a20d-ec21-4ead-a86b-50b67c6a5ea0	6804d67b-9504-48db-afaa-00d56ffc104b	b0ed0885-7666-4e32-9c7b-e3c23a906447	메가마트 농심 켈로그 운빨존많겜 번들팩 820g	メガマートノンシムケロッグラッキーゾーンマルチジェムバンドルパック 820g	가공식품 > 과자/간식 > 시리얼	Cereal	gmarket					1904909000	https://gdimg.gmarket.co.kr/4564724037/still/600?ver=1760603722	1	14280.0	1540.0	https://item.gmarket.co.kr/Item?goodscode=4564724037	6.815	54.0x40.0x44.0	54.0	40.0	44.0	54.0	44.0	40.0	0.09504	95040.0	95.04	15.84	3.35	26.0	38.0	9.0	38.0	26.0	9.0						-0.5084372707		-0.2962962963	-0.4090909091	-0.775	-0.4934624018	2025-10-23T11:01:39.000	2025-10-31T14:00:31.953	5-10kg
251021F6AD08AB	649473ea-b167-46d6-a127-bcb1b03d32e2	6804d67b-9504-48db-afaa-00d56ffc104b	b0ed0885-7666-4e32-9c7b-e3c23a906447	메가마트 농심 켈로그 운빨존많겜 번들팩 820g	メガマートノンシムケロッグラッキーゾーンマルチジェムバンドルパック 820g	가공식품 > 과자/간식 > 시리얼	Cereal	gmarket					1904909000	https://gdimg.gmarket.co.kr/4564724037/still/600?ver=1760603722	1	14280.0	1540.0	https://item.gmarket.co.kr/Item?goodscode=4564724037	7.625	70.0x33.0x50.0	70.0	33.0	50.0	70.0	50.0	33.0	0.1155	115500.0	115.5	19.25	3.35	26.0	38.0	9.0	38.0	26.0	9.0						-0.5606557377		-0.4571428571	-0.48	-0.7272727273	-0.5548051948	2025-10-23T11:01:39.000	2025-10-31T14:00:10.838	5-10kg
251020537CAFCC	c9ff8b65-6dcb-4fed-b801-bf8766c1606f	12421284-a719-4acb-8e13-498b53e74be3	d3674e2e-28ae-4da4-8121-51e421681893	켈로그 운빨존많겜 기획팩 820g	ケロッグラッキーゾーンマルチジェムスペシャルパック 820g	가공식품 > 대용식 > 시리얼 > 시리얼	Cereal	ssg		![](https://sstatic.ssgcdn.com/cmpt/edit/202510/17/081000729085739_d1.jpg)<br>![](//sitem.ssgcdn.com/39/57/08/qlty/1000729085739_q1.jpg)			1904909000	https://sitem.ssgcdn.com/39/57/08/item/1000729085739_i1_500.jpg|https://sitem.ssgcdn.com/39/57/08/item/1000729085739_i2_500.jpg	2	14280.0	1540.0	http://www.ssg.com/item/itemView.ssg?itemId=1000729085739&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs	6.735	55.5x40.0x44.0	55.5	40.0	44.0	55.5	44.0	40.0	0.09768	97680.0	97.68	16.28	0.82	9.0	25.0	28.0	28.0	25.0	9.0						-0.8782479584		-0.4954954955	-0.4318181818	-0.775	-0.5674378924	2025-10-22T12:53:22.000	2025-10-29T05:00:14.488	5-10kg
251017796274E8	a1e19fa8-51d8-4a44-9a10-eb66d2f07b5f	12421284-a719-4acb-8e13-498b53e74be3	c42644b4-4547-49c4-b5b6-0cd640158d48	켈로그 운빨존많겜 기획팩 820g	ケロッグラッキーゾーンマルチジェムスペシャルパック 820g	가공식품 > 대용식 > 시리얼 > 시리얼	Cereal	ssg		![](//sitem.ssgcdn.com/39/57/08/qlty/1000729085739_q1.jpg)			1904909000	https://sitem.ssgcdn.com/39/57/08/item/1000729085739_i1_500.jpg	1	14280.0	1540.0	http://www.ssg.com/item/itemView.ssg?itemId=1000729085739&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs	7.8	56.0x39.5x44.5	56.0	39.5	44.5	56.0	44.5	39.5	0.098434	98434.0	98.434	16.406	0.82	9.0	25.0	28.0	28.0	25.0	9.0						-0.8948717949		-0.5	-0.4382022472	-0.7721518987	-0.5701180486	2025-10-22T12:53:22.000	2025-10-26T08:00:29.050	5-10kg
250524467EC378	32796a04-f9ca-475b-bb3a-c2d7b408180d	2f474267-17f0-49a7-b4db-4bc5143fcf6e	15b7496a-990c-43e9-8ea0-9a78ba82abed	오리온 눈을감자 칠리치즈 프라이즈맛 96g	オリオンアイポテトチリチーズプライズ味96g	과자/간식>스낵/시리얼>과자쿠키/비스킷/크래커>쿠키과자	Snack	eleventh					1905901090	https://cdn.011st.com/11dims/resize/1000x1000/quality/75/11src/product/7994918852/B.jpg?468000000	1	2550.0	262.0	https://www.11st.co.kr/products/7994918852	2.56	51.3x34.5x18.9	51.3	34.5	18.9	51.3	34.5	18.9	0.033450165	33450.165	33.450165	5.575	0.096	7.0	5.0	10.0	10.0	7.0	5.0						-0.9625		-0.8050682261	-0.7971014493	-0.7354497354	-0.7792064703	2025-06-03T13:57:57.000	2025-07-04T08:00:10.811	2-5kg
250521B60FA339	17a5d55b-94e2-4e92-ac4f-6870dda6d5af	57a4bcd3-5cc8-4c16-b70c-834de3da974e	ae6e8204-928c-4225-acb7-277387ecf5a8	농심 켈로그 담백한 현미 후레이크 550g+오곡푸레이크 570g	ノンシムケロッグ淡白玄米フレーク550g+五穀フレーク570g	식품>과자/베이커리>시리얼>기타시리얼	Cereal	naver					1904909000	https://shop-phinf.pstatic.net/20230512_130/1683851503031qWvRD_JPEG/2016626370485062_965008589.jpg?type=m510|https://shop-phinf.pstatic.net/20210915_148/1631673956176haWEb_JPEG/32809735886153817_1579105489.jpg?type=m510	2	11980.0	1230.0	https://smartstore.naver.com/main/products/6545838907	7.015	61.0x36.5x29.0	61.0	36.5	29.0	61.0	36.5	29.0	0.0645685	64568.5	64.5685	10.761	1.12	15.0	10.0	25.0	25.0	15.0	10.0						-0.840342124		-0.5901639344	-0.5890410959	-0.6551724138	-0.611459148	2025-05-23T17:57:03.000	2025-05-28T05:01:36.795	5-10kg
2505125A1FC7CA	43da980e-b774-4d19-8e6f-2031c3b2e3e5	78040448-b8ed-482f-a223-37b2eae84c28	b06dcc70-d593-4596-bde3-40dcb90607bb	동서식품 포스트 오레오 오즈 시리얼 500g	東西食品ポストオレオオーズシリアル500g	식품>과자/베이커리>시리얼>기타시리얼	Cereal	naver					1904909000	https://shop-phinf.pstatic.net/20250216_10/1739691395689tkIQV_JPEG/10199432791099757_1050162146.JPG?type=m510|https://shop-phinf.pstatic.net/20250216_245/1739691400189HLmUL_JPEG/14127213315390083_1482941553.JPG?type=m510	2	4830.0	496.0	https://smartstore.naver.com/main/products/10460203471	1.86	39.1x28.9x17.0	39.1	28.9	17.0	39.1	28.9	17.0	0.01920983	19209.83	19.20983	3.202	0.5	15.0	10.0	25.0	25.0	15.0	10.0						-0.7311827957		-0.3606138107	-0.4809688581	-0.4117647059	-0.4177824583	2025-05-20T08:58:12.000	2025-05-23T23:01:12.546	1-2kg
