order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
2511210079630C	0fe5818d-e228-4eed-9156-95f80e7fb855	43247c9a-80e8-47e0-98d3-7d2b501b684e	c2e7fc5a-ccdd-45ef-b2f4-b08a46c4d71b	버디즈 보조배터리 멍몽이 카몽이 위시 세트 강아지 인형 키링 미니 4500mAh 귀여운 선물	ワンちゃんキーリングモバイルバッテリー 4500mAh	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20251104152147_e8b589b779884d48ade598be3f9d5a72.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152154_6d76ba61289a4b6f95add687681c26cc.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152202_11ba774905c144f296400891010b1c34.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152208_57fcbdaf520540bda514dd4c6f089697.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152230_363d278a4d4c4a1f9133f8df9e8ee7e0.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152233_b84419b1684b41659113219e32497d37.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152237_7d2c665d3399432780cdb79c9d5371f6.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152241_1c7c52715a7b4533abd72cbd0ec0c4d7.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152258_6f7026b7c6b24e69b5ba615af6619aca.gif)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152303_e84899ee56e84d349ebc7b85b8042fb5.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152308_4a7dbf7eb2f24347a48d1673d9dda467.gif)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152314_02c47b67379a44b3a5866e54ad29beb9.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152318_584f015f4928462297dd65dbf8efdb61.gif)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152322_36fbfc8740e64a68922f0a03733389e6.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152326_3feafbf97dd14e2689bad3788f60aff3.gif)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152330_07c2946a5b754b69ae4d3be1fd247911.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152336_9430fc6630a64e3b9d4ad32a71bd7cce.gif)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152340_d1e31df7af8f47149539e58e14409521.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152343_f416d8152589438491942706ae751d07.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152347_6acb3b282e014f6fbfad3979040b84fa.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152351_50027358896448199f810e7c901a38df.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251104152355_c260be17676f48fab193b25edca0f789.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135119_1324ab55a2e34dbaa8b1e9d3a4234393.png)			8506809000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/c2e7fc5a-ccdd-45ef-b2f4-b08a46c4d71b.png	4	26900.0	2970.0	https://gift.kakao.com/product/12507141?banner_id=1250&campaign_code=null	0.37	24.0x15.0x17.5	24.0	15.0	17.5	24.0	17.5	15.0	0.0063	6300.0	6.3	1.05	0.6	15.0	20.0	10.0	20.0	15.0	10.0	0.003	3000.0	3.0			0.6216216216216216	-0.5238095238095238	-0.1666666666666666	-0.1428571428571428	-0.3333333333333333	-0.2142857142857142	2025-11-27 00:00:00	2025-12-02 08:00:25.457	0-0.5kg
251121E6091590	80c3516b-62d6-4618-90ed-5b7ef359bd4f	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh 	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)			8506809000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8fc61640-f250-4e0c-9b86-a71854c7f783.png	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.425	25.5x16.0x21.0	25.5	16.0	21.0	25.5	21.0	16.0	0.008568	8568.0	8.568	1.428	1.0	16.0	22.0	12.0	22.0	16.0	12.0	0.004224	4224.0	4.224			1.352941176470588	-0.5070028011204482	-0.1372549019607843	-0.238095238095238	-0.25	-0.2084500466853408	2025-11-24 00:00:00	2025-12-01 05:00:14.394	0-0.5kg
25111874D7A795	2a66c31a-5221-481c-b142-78712201dbdf	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh 	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Battery chargers	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)	Polyester, Polyester Fiber, Plastic		8504403090	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8fc61640-f250-4e0c-9b86-a71854c7f783.png	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.34	25.0x15.5x17.5	25.0	15.5	17.5	25.0	17.5	15.5	0.00678125	6781.25	6.78125	1.13	1.0	16.0	22.0	12.0	22.0	16.0	12.0	0.004224	4224.0	4.224			1.9411764705882348	-0.3771059907834101	-0.12	-0.0857142857142857	-0.2258064516129032	-0.1438402457757296	2025-11-21 00:00:00	2025-11-23 14:00:27.768	0-0.5kg
25111833589F8F	3852d30e-5c44-4bdd-a840-3c5eb1045bb0	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh 	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Smartphone battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)	polyester		8507609000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8fc61640-f250-4e0c-9b86-a71854c7f783.png	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.365	25.0x15.5x17.5	25.0	15.5	17.5	25.0	17.5	15.5	0.00678125	6781.25	6.78125	1.13	1.0	16.0	22.0	12.0	22.0	16.0	12.0	0.004224	4224.0	4.224			1.7397260273972603	-0.3771059907834101	-0.12	-0.0857142857142857	-0.2258064516129032	-0.1438402457757296	2025-11-21 00:00:00	2025-11-23 05:00:48.584	0-0.5kg
25111633CACB80	35f34101-b019-4f54-a670-7eecedf17131	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh 	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Smartphone battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)			8507609000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8fc61640-f250-4e0c-9b86-a71854c7f783.png	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.355	24.5x15.5x17.5	24.5	15.5	17.5	24.5	17.5	15.5	0.006645625	6645.625	6.645625	1.108	1.0	16.0	22.0	12.0	22.0	16.0	12.0	0.004224	4224.0	4.224			1.8169014084507045	-0.3643938681463369	-0.1020408163265306	-0.0857142857142857	-0.2258064516129032	-0.1378538512179065	2025-11-20 00:00:00	2025-11-23 05:00:53.323	0-0.5kg
251117E370AE42	dfe93720-429a-4a17-ba51-6dab08966dcd	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh 	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Smartphone battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)	polyester 		8507609000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8fc61640-f250-4e0c-9b86-a71854c7f783.png	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.39	25.0x16.0x20.5	25.0	16.0	20.5	25.0	20.5	16.0	0.0082	8200.0	8.200000000000001	1.367	1.0	16.0	22.0	12.0	22.0	16.0	12.0	0.004224	4224.0	4.224			1.564102564102564	-0.4848780487804878	-0.12	-0.2195121951219512	-0.25	-0.1965040650406504	2025-11-20 00:00:00	2025-11-27 08:00:17.303	0-0.5kg
251118F508C55E	53693eb1-3ad6-47ba-862a-48b76daf6931	4e7f7a10-daac-4740-8432-c4993fa0a109	8fc61640-f250-4e0c-9b86-a71854c7f783	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	キャットキーリングモバイルバッテリー 4500mAh 	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	Smartphone battery	kakao		![Image](https://st.kakaocdn.net/product/gift/editor/20250915150607_27ca0b3ba6ea4b8f81f61bba72f6b0b7.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150611_35d88a44e5ae474ca62d23d6a5e033e9.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150615_e7d30ad0addb4fcc9a2f87502b713aa4.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150620_18bb221b054549a38cae11fe0c312292.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150625_be132636eabd4cf69609fffdb1cdb124.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20250915150634_f0b1b9be13fb4d0e8e22d7fb707b236f.jpg)![Image](https://st.kakaocdn.net/product/gift/editor/20251106171353_a67ca88407d44421b9274fd2c2561b62.png)![Image](https://st.kakaocdn.net/product/gift/editor/20251106135241_2ba76cdf155f4a129d46cdb72e6d0f0a.png)	polyester		8507609000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/8fc61640-f250-4e0c-9b86-a71854c7f783.png	3	27900.0	3080.0	https://gift.kakao.com/product/11954810?banner_id=1250&campaign_code=null	0.385	25.0x16.0x20.5	25.0	16.0	20.5	25.0	20.5	16.0	0.0082	8200.0	8.200000000000001	1.367	1.0	16.0	22.0	12.0	22.0	16.0	12.0	0.004224	4224.0	4.224			1.5974025974025974	-0.4848780487804878	-0.12	-0.2195121951219512	-0.25	-0.1965040650406504	2025-11-20 00:00:00	2025-11-24 14:00:22.297	0-0.5kg
2511103F5A78F3	21a4db65-f6d5-4bad-af4e-a472c767e4ec	e4b2543e-a192-41f7-9288-953b825d67c6	f2e89c7b-5d2d-4400-85f3-4bf3f6758753	템포러리 지속력좋은 오드 퍼퓸 미니향수 우디 프로티 머스크 화이트, 50ml, 1개	一時的に長持ちするオードパルファムミニフレグランスウッディプロテインムスクホワイト、 50 ミリリットル、 1	화장품/미용>향수>여성향수	Perfume	naver					3303001000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/f2e89c7b-5d2d-4400-85f3-4bf3f6758753.png	7	8170.0	902.0	https://smartstore.naver.com/main/products/11192592615	0.255	17.0x12.0x13.0	17.0	12.0	13.0	17.0	13.0	12.0	0.002652	2652.0	2.6519999999999997	0.442	0.25	10.0	10.0	15.0	15.0	10.0	10.0	0.0015	1500.0	1.5			-0.0196078431372549	-0.4343891402714932	-0.1176470588235294	-0.2307692307692307	-0.1666666666666666	-0.1716943187531422	2025-11-17 00:00:00	2025-11-21 08:00:26.196	0-0.5kg
2511033B5F9009	fe1459cb-ca52-4513-82ac-de72e3fd4569	6210665d-a75b-41d7-934e-838de2f5395c	70f0cc49-8c47-4bf7-95ec-e6e2ea656f01	밀워키 M18 BLHSB-0 / 18V 브러쉬리스 에어건 베어툴	ミルウォーキー M18 BLHSB-0 / 18V ブラシレスエアガンベアツール	홈 > 전동공구 > 밀워키 > 송풍기 > 	motor(electric) drill	unknown		"고액결제의 경우 안전을 위해 카드사에서 확인전화를 드릴 수도 있습니다. 확인과정에서 도난 카드의 사용이나 타인 명의의 주문등 정상적인 주문이 아니라고 판단될 경우 임의로 주문을 보류 또는 취소할 수 있습니다.

무통장 입금은 상품 구매 대금은 PC뱅킹, 인터넷뱅킹, 텔레뱅킹 혹은 가까운 은행에서 직접 입금하시면 됩니다.
주문시 입력한 입금자명과 실제입금자의 성명이 반드시 일치하여야 하며, 7일 이내로 입금을 하셔야 하며 입금되지 않은 주문은 자동취소 됩니다.
배송 방법 : 택배
배송 지역 : 전국지역
배송 비용 : 3,500원
배송 기간 : 2일 ~ 4일
산간벽지나 도서지방은 별도의 추가금액을 지불하셔야 하는 경우가 있습니다.
고객님께서 주문하신 상품은 입금 확인후 배송해 드립니다. 다만, 상품종류에 따라서 상품의 배송이 다소 지연될 수 있습니다.
상품명: 밀워키 M18 BLHSB-0 / 18V 브러쉬리스 에어건 베어툴
소비자가: 200,000원
판매가: 123,200원
배송비: 1개 주문시 3,500원
적립금: 2,470원 (2%) 620원 (0.5%) 2,470원 (2%) 620원 (0.5%)
결제 시: 할인
배송 방법: 택배
배송 지역: 전국지역
배송 비용: 3,500원
배송 기간: 2일 ~ 4일
산간벽지나 도서지방은 별도의 추가금액을 지불하셔야 하는 경우가 있습니다.: 고객님께서 주문하신 상품은 입금 확인후 배송해 드립니다. 다만, 상품종류에 따라서 상품의 배송이 다소 지연될 수 있습니다.
"			8467115000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/70f0cc49-8c47-4bf7-95ec-e6e2ea656f01.jpg	1	123200.0	13601.0	https://postool.co.kr/product/detail.html?product_no=1811&cate_no=206&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	1.705	37.0x16.0x26.0	37.0	16.0	26.0	37.0	26.0	16.0	0.015392	15392.0	15.392	2.565	1.2	15.0	25.0	20.0	25.0	20.0	15.0	0.0075	7500.0	7.5			-0.2961876832844575	-0.5127338877338877	-0.3243243243243243	-0.2307692307692307	-0.0625	-0.2058645183645183	2025-11-06 00:00:00	2025-11-19 05:00:11.545	1-2kg
251103ECF79E24	257bfee1-850e-407d-b4dd-f52233acf20c	6210665d-a75b-41d7-934e-838de2f5395c	70f0cc49-8c47-4bf7-95ec-e6e2ea656f01	밀워키 M18 BLHSB-0 / 18V 브러쉬리스 에어건 베어툴	ミルウォーキー M18 BLHSB-0 / 18V ブラシレスエアガンベアツール	홈 > 전동공구 > 밀워키 > 송풍기 > 	motor(electric) drill	unknown		"고액결제의 경우 안전을 위해 카드사에서 확인전화를 드릴 수도 있습니다. 확인과정에서 도난 카드의 사용이나 타인 명의의 주문등 정상적인 주문이 아니라고 판단될 경우 임의로 주문을 보류 또는 취소할 수 있습니다.

무통장 입금은 상품 구매 대금은 PC뱅킹, 인터넷뱅킹, 텔레뱅킹 혹은 가까운 은행에서 직접 입금하시면 됩니다.
주문시 입력한 입금자명과 실제입금자의 성명이 반드시 일치하여야 하며, 7일 이내로 입금을 하셔야 하며 입금되지 않은 주문은 자동취소 됩니다.
배송 방법 : 택배
배송 지역 : 전국지역
배송 비용 : 3,500원
배송 기간 : 2일 ~ 4일
산간벽지나 도서지방은 별도의 추가금액을 지불하셔야 하는 경우가 있습니다.
고객님께서 주문하신 상품은 입금 확인후 배송해 드립니다. 다만, 상품종류에 따라서 상품의 배송이 다소 지연될 수 있습니다.
상품명: 밀워키 M18 BLHSB-0 / 18V 브러쉬리스 에어건 베어툴
소비자가: 200,000원
판매가: 123,200원
배송비: 1개 주문시 3,500원
적립금: 2,470원 (2%) 620원 (0.5%) 2,470원 (2%) 620원 (0.5%)
결제 시: 할인
배송 방법: 택배
배송 지역: 전국지역
배송 비용: 3,500원
배송 기간: 2일 ~ 4일
산간벽지나 도서지방은 별도의 추가금액을 지불하셔야 하는 경우가 있습니다.: 고객님께서 주문하신 상품은 입금 확인후 배송해 드립니다. 다만, 상품종류에 따라서 상품의 배송이 다소 지연될 수 있습니다.
"			8467115000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/70f0cc49-8c47-4bf7-95ec-e6e2ea656f01.jpg	1	123200.0	13601.0	https://postool.co.kr/product/detail.html?product_no=1811&cate_no=206&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	1.685	37.0x16.0x26.0	37.0	16.0	26.0	37.0	26.0	16.0	0.015392	15392.0	15.392	2.565	1.2	15.0	25.0	20.0	25.0	20.0	15.0	0.0075	7500.0	7.5			-0.2878338278931751	-0.5127338877338877	-0.3243243243243243	-0.2307692307692307	-0.0625	-0.2058645183645183	2025-11-06 00:00:00	2025-11-19 05:00:11.587	1-2kg
